Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,21.04,21.325,20.9,21.195,1813400
2005-02-28,21.125,21.225,20.92,21.12,746800
2005-03-01,21.175,21.395,21.175,21.305,876000
2005-03-02,21.125,21.675,21.075,21.6,1150000
2005-03-03,21.6,22.12,21.575,22.05,1921200
2005-03-04,22.1,22.13,21.725,22.025,1354600
2005-03-07,21.5,21.68,20.95,21.05,2594000
2005-03-08,20.85,20.985,20.73,20.855,1780800
2005-03-09,20.855,20.99,20.6,20.855,1110200
2005-03-10,20.8,20.91,20.705,20.875,797400
2005-03-11,20.755,20.905,20.425,20.51,1913600
2005-03-14,20.55,21.14,20.5,21.08,2378400
2005-03-15,21.0,21.25,20.95,21.135,1069000
2005-03-16,21.115,21.205,20.76,20.885,1120800
2005-03-17,20.885,21.1,20.835,20.955,636000
2005-03-18,20.975,21.035,20.7,20.98,577000
2005-03-21,20.975,21.085,20.64,21.035,621400
2005-03-22,20.94,21.125,20.84,20.915,1558600
2005-03-23,20.9,21.055,20.68,21.025,1063800
2005-03-24,20.975,21.075,20.87,20.95,1298000
2005-03-28,20.7,20.825,20.645,20.675,639400
2005-03-29,20.725,20.75,20.52,20.63,1338200
2005-03-30,20.6,21.0,20.565,20.925,1059800
2005-03-31,20.925,21.03,20.8,20.925,623600
2005-04-01,21.125,21.245,20.985,21.0,1341800
2005-04-04,21.0,21.045,20.905,21.03,769000
2005-04-05,21.035,21.215,21.02,21.125,728200
2005-04-06,21.22,21.375,21.15,21.345,2044000
2005-04-07,21.3,21.67,21.3,21.63,1071800
2005-04-08,21.635,21.86,21.43,21.63,1446400
2005-04-11,21.725,21.91,21.71,21.835,1383800
2005-04-12,21.835,22.05,21.755,21.975,1166000
2005-04-13,21.9,21.9,21.595,21.6,1188200
2005-04-14,21.565,21.58,20.98,21.06,1304600
2005-04-15,21.1,21.11,20.685,20.795,1051000
2005-04-18,20.82,20.95,20.65,20.89,1153600
2005-04-19,20.95,21.015,20.4,20.955,1904800
2005-04-20,20.885,20.975,20.55,20.605,1399800
2005-04-21,20.615,20.785,20.35,20.5,1533400
2005-04-22,20.565,20.6,20.16,20.315,1223800
2005-04-25,20.325,20.525,20.325,20.475,1313800
2005-04-26,20.375,20.455,20.3,20.4,1385000
2005-04-27,20.43,20.715,20.105,20.66,1489000
2005-04-28,20.4,20.435,19.575,20.005,2555600
2005-04-29,20.0,20.305,20.0,20.15,1718600
2005-05-02,20.1,20.25,20.0,20.08,1449800
2005-05-03,20.09,20.22,20.0,20.115,1334000
2005-05-04,20.625,21.005,20.58,20.605,3855400
2005-05-05,20.5,20.825,20.44,20.75,1678200
2005-05-06,20.56,20.9,20.51,20.75,628000
2005-05-09,20.675,21.27,20.625,21.255,956600
2005-05-10,21.265,21.47,21.145,21.29,1504800
2005-05-11,21.235,21.385,21.225,21.32,758800
2005-05-12,21.3,21.31,20.945,21.06,547000
2005-05-13,21.025,21.1,20.6,20.83,1161400
2005-05-16,20.845,21.04,20.845,20.965,916200
2005-05-17,20.99,21.125,20.805,21.125,751400
2005-05-18,21.095,21.58,21.095,21.37,995800
2005-05-19,21.32,21.6,21.26,21.55,438000
2005-05-20,21.51,21.805,21.385,21.75,1028200
2005-05-23,21.7,21.985,21.67,21.925,698200
2005-05-24,21.875,21.975,21.78,21.845,953200
2005-05-25,21.915,21.95,21.75,21.84,852600
2005-05-26,21.815,22.62,21.815,22.55,3288000
2005-05-27,22.46,23.375,22.46,23.045,2320000
2005-05-31,23.095,23.155,22.935,23.03,3863400
2005-06-01,23.035,23.335,22.9,23.2,1314200
2005-06-02,23.27,23.455,23.175,23.305,1051000
2005-06-03,23.18,23.475,23.105,23.125,1005000
2005-06-06,23.035,23.06,22.9,23.0,898600
2005-06-07,22.95,23.235,22.94,23.14,1006000
2005-06-08,23.11,23.305,23.11,23.29,620400
2005-06-09,23.2,23.25,22.97,23.055,592000
2005-06-10,23.1,23.1,22.75,22.825,445400
2005-06-13,22.65,23.04,22.625,23.025,828800
2005-06-14,22.95,23.13,22.88,23.01,468200
2005-06-15,22.96,22.96,22.685,22.91,424200
2005-06-16,22.875,22.935,22.725,22.79,418800
2005-06-17,22.75,23.065,22.375,23.055,1607600
2005-06-20,22.93,23.375,22.755,23.36,782800
2005-06-21,23.35,23.375,23.015,23.085,979600
2005-06-22,23.14,23.17,22.855,22.925,759200
2005-06-23,22.9,23.045,22.5,22.545,1070000
2005-06-24,22.45,22.585,22.1,22.205,1057800
2005-06-27,22.325,22.465,22.14,22.395,920200
2005-06-28,22.575,23.085,22.45,22.97,745000
2005-06-29,22.91,23.085,22.83,22.875,724400
2005-06-30,23.0,23.045,22.68,22.74,720000
2005-07-01,22.775,22.895,22.65,22.77,611600
2005-07-05,22.69,22.975,22.685,22.9,520200
2005-07-06,22.875,23.0,22.675,22.85,614600
2005-07-07,22.85,23.125,22.675,23.065,585400
2005-07-08,23.065,23.235,22.925,23.215,860600
2005-07-11,23.215,23.595,23.185,23.38,757600
2005-07-12,23.5,23.51,22.995,23.005,1119000
2005-07-13,22.895,22.9,22.45,22.565,1488400
2005-07-14,22.565,22.7,22.395,22.535,1219400
2005-07-15,22.485,22.495,22.205,22.43,704400
2005-07-18,22.38,22.45,22.09,22.34,724600
2005-07-19,22.395,22.45,21.895,22.245,1396800
2005-07-20,22.22,22.51,22.2,22.485,760400
2005-07-21,22.395,22.41,21.925,21.99,1052000
2005-07-22,21.905,21.955,21.49,21.8,839000
2005-07-25,21.55,21.95,21.55,21.64,1594800
2005-07-26,21.7,22.025,21.615,21.915,682800
2005-07-27,21.86,22.085,21.68,22.085,733800
2005-07-28,23.0,24.175,23.0,23.48,3484200
2005-07-29,23.48,23.75,23.435,23.62,1657600
2005-08-01,23.68,23.875,23.65,23.705,1206000
2005-08-02,23.635,24.185,23.635,23.89,1306800
2005-08-03,23.84,23.96,23.665,23.745,677600
2005-08-04,23.75,23.935,23.63,23.63,580800
2005-08-05,23.59,23.62,23.145,23.215,405600
2005-08-08,23.225,23.48,23.14,23.14,382800
2005-08-09,23.11,23.5,23.095,23.45,507000
2005-08-10,23.6,23.875,23.58,23.77,805400
2005-08-11,23.675,23.925,23.655,23.825,479400
2005-08-12,23.7,23.725,23.385,23.59,346800
2005-08-15,23.55,23.805,23.525,23.77,381200
2005-08-16,23.775,23.945,23.7,23.76,480200
2005-08-17,23.735,23.735,23.25,23.53,1333800
2005-08-18,23.5,23.64,23.46,23.575,462400
2005-08-19,23.61,23.61,23.19,23.425,418400
2005-08-22,23.39,23.53,23.2,23.425,370000
