Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-09-24,0.884959,0.896687,0.729927,0.785612,550353406.85593
1998-09-25,0.753876,0.765802,0.682322,0.742048,128841637.56565
1998-09-28,0.785612,0.841297,0.761761,0.79734,95373055.78355
1998-09-29,0.817545,0.833216,0.789455,0.809561,41985438.15436
1998-09-30,0.781769,0.793398,0.714255,0.745893,46915291.613745
1998-10-01,0.706075,0.714255,0.662611,0.662611,47447597.356499
1998-10-02,0.670791,0.690601,0.579131,0.662611,49697788.759184
1998-10-05,0.646643,0.646643,0.579131,0.595295,36003072.58919
1998-10-06,0.630777,0.630777,0.527683,0.602983,42929067.003477
1998-10-07,0.579131,0.591451,0.507873,0.507873,37351977.391367
1998-10-08,0.46024,0.484032,0.416597,0.4801,60737035.544188
1998-10-09,0.507873,0.531725,0.488062,0.507873,41047855.443923
1998-10-12,0.527683,0.527683,0.519601,0.519601,30063050.287253
1998-10-13,0.519601,0.52384,0.484032,0.488062,16386478.621042
1998-10-14,0.484032,0.531725,0.484032,0.495948,32899982.973286
1998-10-15,0.495948,0.539609,0.495948,0.539609,30952236.493414
1998-10-16,0.551436,0.602983,0.547494,0.595295,45983762.144352
1998-10-19,0.615106,0.761761,0.610867,0.749835,82918366.232181
1998-10-20,0.809561,0.861206,0.749835,0.769645,116157087.19433
1998-10-21,0.809561,0.853124,0.781769,0.837158,69768050.111551
1998-10-22,0.853124,0.884959,0.817545,0.853124,56738710.539573
1998-10-23,0.853124,0.865051,0.817545,0.829076,34496894.113812
1998-10-26,0.99189,1.21395,0.972084,1.21395,413980885.03038
1998-10-27,1.34917,1.50361,1.32917,1.36494,605864190.15661
1998-10-28,1.28925,1.40053,1.26569,1.32128,270162163.44212
1998-10-29,1.3411,1.37263,1.32128,1.32128,86184772.6161
1998-10-30,1.33696,1.39667,1.32128,1.37263,100883607.43147
1998-11-02,1.43629,1.44832,1.38475,1.38889,131545498.3818
1998-11-03,1.40437,1.41254,1.37263,1.38889,48984015.656894
1998-11-04,1.41254,1.42043,1.34917,1.36494,47435500.006021
