Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-01-05,2.03921,2.10037,2.03921,2.08266,485322.86825685
1988-01-06,2.08266,2.08266,2.03921,2.03921,338432.07619166
1988-01-07,2.04742,2.04742,2.00398,2.03031,601144.14486704
1988-01-08,2.03921,2.03921,1.98656,1.98656,470803.14706218
1988-01-11,2.00398,2.00398,1.9167,1.95152,153579.22094592
1988-01-12,1.95152,1.95152,1.86385,1.88146,297105.08353945
1988-01-13,1.9167,1.95152,1.88997,1.93392,391264.50036468
1988-01-14,1.93392,1.97825,1.93392,1.97825,83920.128435955
1988-01-15,2.00398,2.03921,1.99497,2.00398,255062.66444101
1988-01-18,2.03031,2.03031,1.99497,1.99497,56678.346566156
1988-01-19,1.97825,1.99497,1.95152,1.97825,202499.03042999
1988-01-20,1.99497,2.00398,1.9167,1.9167,174211.39210278
1988-01-21,1.9167,1.9167,1.85515,1.85515,240772.32432444
1988-01-22,1.86385,1.87275,1.86385,1.86385,323770.88649067
1988-01-25,1.87275,1.90788,1.86385,1.88997,346472.53979707
1988-01-26,1.88997,1.90788,1.87275,1.87275,143190.38013568
1988-01-27,1.88997,1.9167,1.88146,1.88997,59423.846078016
1988-01-28,1.88997,1.94301,1.88997,1.92501,222553.20168961
1988-01-29,1.93392,1.98656,1.92501,1.96885,414109.64315605
1988-02-01,1.95152,1.97825,1.93392,1.93392,153579.22094592
1988-02-02,1.93392,1.98656,1.9167,1.98656,165464.59645514
1988-02-03,1.97825,1.99497,1.97825,1.97825,44692.932613202
1988-02-04,1.97825,1.98656,1.96885,1.96885,176043.40925957
1988-02-05,1.98656,1.98656,1.95152,1.95152,149926.30201498
1988-02-08,1.94301,1.94301,1.87275,1.88997,414117.7270707
1988-02-09,1.9167,1.95152,1.9167,1.94301,170035.03969846
1988-02-10,1.95152,1.96885,1.93392,1.93392,43879.488701886
1988-02-11,1.93392,1.96885,1.93392,1.96885,228949.59915375
1988-02-12,1.94301,1.97825,1.94301,1.94301,225800.91439889
1988-02-16,1.93392,1.93392,1.86385,1.87275,2123230.077043
1988-02-17,1.87275,1.94301,1.87275,1.93392,637185.26782969
1988-02-18,1.93392,1.98656,1.9167,1.95152,301679.5687401
1988-02-19,1.95152,1.98656,1.95152,1.98656,119760.16402177
1988-02-22,1.97825,1.99497,1.96885,1.99497,336419.18144465
1988-02-23,2.02131,2.08266,2.02131,2.03921,644027.29108874
1988-02-24,2.03031,2.03921,1.99497,2.03031,1028966.1282424
1988-02-25,2.00398,2.08266,2.00398,2.05653,1091525.522714
1988-02-26,2.05653,2.10868,2.05653,2.08266,1008041.925669
1988-02-29,2.08266,2.13529,2.08266,2.13529,595732.97450047
1988-03-01,2.11808,2.21398,2.11808,2.20498,312944.50380018
1988-03-02,2.18785,2.21398,2.18785,2.18785,768199.25152891
1988-03-03,2.20498,2.249,2.20498,2.249,3713461.3887113
1988-03-04,2.249,2.249,2.21398,2.249,282847.07908146
1988-03-07,2.249,2.26653,2.22268,2.25781,266416.52256219
1988-03-08,2.27504,2.31007,2.26653,2.28395,205691.16622608
1988-03-09,2.30116,2.31007,2.26653,2.27504,305334.50864973
1988-03-10,2.28395,2.30116,2.249,2.26653,624382.3680081
1988-03-11,2.26653,2.26653,2.22268,2.23139,634439.76831783
1988-03-14,2.21398,2.25781,2.21398,2.249,467148.20715257
1988-03-15,2.23139,2.26653,2.22268,2.26653,1121689.6397285
1988-03-16,2.25781,2.28395,2.2403,2.249,334852.92298187
1988-03-17,2.2403,2.249,2.21398,2.2403,264595.62078805
