Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-11-05,1.89177,1.92616,1.88283,1.88283,133840.54632958
1987-11-06,1.88283,1.90031,1.88283,1.88283,236654.81839857
1987-11-09,1.88283,1.88283,1.83979,1.84834,34273.771449716
1987-11-10,1.83979,1.85718,1.81414,1.83094,62059.590801297
1987-11-11,1.81414,1.84834,1.80509,1.81414,64837.267300437
1987-11-12,1.81414,1.94337,1.79655,1.89177,83820.236464599
1987-11-13,1.91742,1.96095,1.88283,1.94337,120412.93016369
1987-11-16,1.92616,1.94337,1.88283,1.90031,89847.422232923
1987-11-17,1.88283,1.88283,1.84834,1.87428,35661.100639253
1987-11-18,1.86553,1.90848,1.86553,1.90848,137548.80984853
1987-11-19,1.90848,1.91742,1.87428,1.89177,53723.543183816
1987-11-20,1.86553,1.96095,1.85718,1.95191,163480.49744063
1987-11-23,1.93481,1.93481,1.90031,1.91742,18989.005404291
1987-11-24,1.93481,1.94337,1.90031,1.90031,167652.54540945
1987-11-25,1.91742,1.99535,1.91742,1.94337,62515.326931001
1987-11-27,1.91742,1.96095,1.91742,1.91742,27326.059061793
1987-11-30,1.90031,1.90031,1.7708,1.78781,36586.657458958
1987-12-01,1.7708,1.7708,1.72757,1.72757,94011.421881577
1987-12-02,1.71862,1.7708,1.71862,1.72757,51407.639054509
1987-12-03,1.72757,1.72757,1.69297,1.69297,67616.955879618
1987-12-04,1.67558,1.68393,1.51128,1.55421,109295.18188698
1987-12-07,1.56356,1.68393,1.56356,1.64119,109295.18188698
1987-12-08,1.65828,1.78781,1.64953,1.7708,92625.098732062
1987-12-09,1.7708,1.85718,1.74457,1.85718,272317.93111787
1987-12-10,1.87428,1.87428,1.81414,1.83094,126891.82790163
1987-12-11,1.82259,1.86553,1.78781,1.78781,516843.000604
1987-12-14,1.80509,1.84834,1.77925,1.81414,325576.68381178
1987-12-15,1.80509,1.84834,1.78781,1.81414,117635.25366455
1987-12-16,1.83094,2.05558,1.83094,2.02955,145422.07905616
1987-12-17,2.01234,2.02955,1.9862,2.02955,101425.93683944
1987-12-18,1.9862,2.02955,1.9862,2.02955,76879.566356827
1987-12-21,2.03829,2.08998,2.004,2.02955,420975.4348829
1987-12-22,2.03829,2.03829,1.99535,2.02955,87994.296513468
1987-12-23,2.04723,2.07328,2.02955,2.07328,145886.86954605
1987-12-24,2.08998,2.15946,2.07328,2.14186,119948.13967379
