Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1980-01-02,0.944303,0.964345,0.944303,0.951048,123616.04896548
1980-01-03,0.951048,0.951048,0.937947,0.944303,360696.14870046
1980-01-04,0.944303,0.971188,0.944303,0.964345,277690.13826167
1980-01-07,0.964345,0.964345,0.951048,0.95799,111677.09451273
1980-01-08,0.95799,0.95799,0.944303,0.951048,388762.71580373
1980-01-09,0.951048,0.964345,0.944303,0.944303,1050442.8521279
1980-01-10,0.944303,0.95799,0.944303,0.944303,254996.71438496
1980-01-11,0.944303,0.951048,0.944303,0.944303,194082.67946627
1980-01-14,0.944303,0.964345,0.944303,0.964345,228121.79240999
1980-01-15,0.964345,0.977836,0.964345,0.964345,175568.70794511
1980-01-16,0.964345,0.977836,0.951048,0.951048,344572.62753538
1980-01-17,0.951048,0.964345,0.944303,0.951048,230512.24276606
1980-01-18,0.951048,0.951048,0.910965,0.924358,911894.92712555
1980-01-21,0.924358,0.924358,0.917515,0.924358,274702.33103442
1980-01-22,0.924358,0.924358,0.904219,0.910965,366669.71741227
1980-01-23,0.910965,0.951048,0.910965,0.924358,378610.71760774
1980-01-24,0.917515,0.917515,0.910965,0.910965,532682.76116122
1980-01-25,0.910965,0.910965,0.890728,0.890728,819329.16100517
1980-01-28,0.890728,0.910965,0.890728,0.904219,229913.86302353
1980-01-29,0.904219,0.904219,0.897474,0.904219,320089.17878784
1980-01-30,0.904219,0.904219,0.897474,0.904219,162430.94826457
1980-01-31,0.904219,0.910965,0.897474,0.904219,376223.33586573
1980-02-01,0.904219,0.910965,0.890728,0.910965,188709.53623972
1980-02-04,0.910965,0.910965,0.897474,0.897474,120632.33322365
1980-02-05,0.897474,0.910965,0.897474,0.910965,316507.08330347
1980-02-06,0.910965,0.910965,0.904219,0.904219,1185404.5901603
1980-02-07,0.904219,0.910965,0.904219,0.904219,1549084.4546027
1980-02-08,0.904219,0.904219,0.870882,0.890728,1513852.6736593
1980-02-11,0.890728,0.890728,0.870882,0.870882,878452.14818167
1980-02-12,0.870882,0.870882,0.857293,0.870882,699896.65588065
1980-02-13,0.870882,0.884275,0.870882,0.877432,730351.62759728
1980-02-14,0.877432,0.877432,0.870882,0.870882,1268412.6463419
1980-02-15,0.870882,0.870882,0.86394,0.870882,315910.74930364
1980-02-19,0.870882,0.870882,0.86394,0.870882,490285.76637775
1980-02-20,0.870882,0.870882,0.857293,0.870882,409663.04619555
1980-02-21,0.86394,0.86394,0.850743,0.850743,620470.69518351
1980-02-22,0.850743,0.857293,0.824151,0.850743,480727.03356752
1980-02-25,0.850743,0.850743,0.824151,0.837251,539253.68674419
1980-02-26,0.837251,0.843801,0.830505,0.837251,612108.72185835
1980-02-27,0.837251,0.837251,0.80362,0.817209,5587217.9266507
1980-02-28,0.817209,0.817209,0.80362,0.810659,648534.19367272
1980-02-29,0.810659,0.850743,0.810659,0.850743,938768.82622916
1980-03-03,0.850743,0.850743,0.824151,0.843801,2059671.1487583
1980-03-04,0.843801,0.843801,0.824151,0.824151,398912.66825702
1980-03-05,0.824151,0.837251,0.797167,0.797167,634205.81173524
1980-03-06,0.797167,0.80362,0.797167,0.797167,560158.10862143
1980-03-07,0.797167,0.817209,0.783578,0.810659,545821.54371311
1980-03-10,0.810659,0.850743,0.80362,0.850743,1038493.6689615
1980-03-11,0.843801,0.843801,0.837251,0.843801,303963.61188004
1980-03-12,0.843801,0.843801,0.830505,0.837251,1169873.3115097
1980-03-13,0.837251,0.843801,0.830505,0.837251,582850.50962679
1980-03-14,0.837251,0.877432,0.837251,0.870882,613900.79247189
1980-03-17,0.870882,0.877432,0.857293,0.870882,753638.31685975
1980-03-18,0.870882,0.884275,0.870882,0.884275,500439.81031646
1980-03-19,0.884275,0.890728,0.870882,0.890728,974597.96404371
1980-03-20,0.890728,0.910965,0.890728,0.904219,246634.74105979
1980-03-21,0.897474,0.897474,0.890728,0.897474,241858.95470442
1980-03-24,0.890728,0.890728,0.86394,0.870882,181542.27665692
1980-03-25,0.86394,0.86394,0.837251,0.857293,1046860.7566435
1980-03-26,0.857293,0.870882,0.857293,0.86394,272312.9035497
1980-03-27,0.86394,0.86394,0.850743,0.857293,573289.73107384
1980-03-28,0.870882,0.870882,0.830505,0.86394,390556.83215999
1980-03-31,0.86394,0.884275,0.86394,0.86394,1181224.1149334
1980-04-01,0.884275,0.904219,0.884275,0.904219,815153.80013504
1980-04-02,0.904219,0.937947,0.877432,0.931104,738118.28979397
1980-04-03,0.931104,0.931104,0.910965,0.917515,696906.80291069
1980-04-07,0.917515,0.924358,0.897474,0.917515,389956.40667474
1980-04-08,0.917515,0.931104,0.917515,0.924358,563740.2041058
1980-04-09,0.924358,0.944303,0.924358,0.944303,552388.37781067
1980-04-10,0.944303,0.971188,0.944303,0.971188,892783.59873321
1980-04-11,0.971188,0.984679,0.971188,0.971188,618672.48734185
1980-04-14,0.971188,0.971188,0.951048,0.951048,511787.54512617
1980-04-15,0.951048,0.95799,0.944303,0.95799,183332.30152775
1980-04-16,0.964345,0.984679,0.964345,0.984679,2247787.4196123
1980-04-17,0.984679,1.00491,0.977836,0.984679,566721.87410493
1980-04-18,0.984679,0.984679,0.971188,0.971188,670031.88093571
1980-04-21,0.971188,0.984679,0.964345,0.964345,344572.62753538
1980-04-22,0.964345,0.984679,0.944303,0.971188,822317.99110377
1980-04-23,0.984679,0.997974,0.984679,0.997974,1598055.4435831
1980-04-24,0.997974,1.02505,0.971188,1.01127,2076396.11828
1980-04-25,1.01127,1.01127,1.00491,1.00491,1246319.6479503
1980-04-28,1.00491,1.01801,1.00491,1.01127,438330.03878406
1980-04-29,1.01127,1.01801,1.00491,1.00491,378015.40647927
1980-04-30,1.00491,1.01127,0.997974,1.00491,364281.31279891
1980-05-01,1.00491,1.00491,0.991232,0.991232,337409.459438
1980-05-02,0.991232,1.00491,0.991232,0.997974,282464.90174569
1980-05-05,1.00491,1.01127,1.00491,1.01127,711241.32207629
1980-05-06,1.01127,1.02505,1.01127,1.01127,1258856.9821456
1980-05-07,1.01127,1.03845,1.01127,1.03845,637786.88434825
1980-05-08,1.03845,1.05146,1.02505,1.03151,670635.37503502
1980-05-09,1.03151,1.045,1.01801,1.02505,800220.90122689
1980-05-12,1.02505,1.02505,1.02505,1.02505,210807.64898796
1980-05-13,1.02505,1.02505,1.01801,1.02505,499242.02796004
1980-05-14,1.02505,1.02505,1.01127,1.01801,473563.86547013
1980-05-15,1.01801,1.02505,1.00491,1.02505,1349028.2064245
1980-05-16,1.02505,1.02505,1.00491,1.01127,726168.08375631
1980-05-19,1.01127,1.01127,1.00491,1.00491,490880.05463488
1980-05-20,1.00491,1.01127,0.997974,1.01127,485508.95715103
1980-05-21,1.01127,1.02505,1.00491,1.01127,558959.30339365
1980-05-22,1.01801,1.03845,1.01801,1.03151,409663.04619555
1980-05-23,1.03845,1.0583,1.03845,1.05146,458627.89794792
1980-05-27,1.05146,1.07188,1.05146,1.06514,1089853.0625554
1980-05-28,1.0583,1.0583,1.03845,1.05146,401306.18722716
1980-05-29,1.05146,1.05146,1.03845,1.05146,1086271.9899424
1980-05-30,1.05146,1.05146,1.03151,1.05146,606736.60150315
1980-06-02,1.05146,1.05146,1.03151,1.045,212001.33985897
1980-06-03,1.045,1.045,1.01801,1.03151,585233.79988338
1980-06-04,1.03151,1.03845,1.02505,1.03151,293812.6365554
1980-06-05,1.03151,1.03151,1.01801,1.02505,213194.00785862
1980-06-06,1.02505,1.03151,1.01801,1.01801,237079.07686362
1980-06-09,1.01801,1.02505,1.01801,1.02505,405487.68532542
1980-06-10,1.02505,1.05146,1.02505,1.045,659886.01996784
1980-06-11,1.045,1.06514,1.045,1.0583,422803.87449016
1980-06-12,1.0583,1.07824,1.0583,1.07824,579263.29978564
1980-06-13,1.09857,1.12507,1.09857,1.10513,697508.25126728
1980-06-16,1.10513,1.11207,1.09183,1.11207,631214.93589392
1980-06-17,1.11207,1.12507,1.10513,1.11852,588217.51562521
1980-06-18,1.11852,1.12507,1.08499,1.09857,471770.77198524
1980-06-19,1.09857,1.10513,1.08499,1.09183,280078.54287504
1980-06-20,1.09183,1.09857,1.07824,1.09183,373237.57438119
1980-06-23,1.09183,1.09183,1.08499,1.09183,699896.65588065
1980-06-24,1.09183,1.11207,1.09183,1.11207,623458.50241077
1980-06-25,1.11207,1.11852,1.09857,1.09857,646142.72044529
1980-06-26,1.09857,1.10513,1.09183,1.09183,1206895.1173239
1980-06-27,1.09183,1.09183,1.07188,1.07824,458627.89794792
1980-06-30,1.07824,1.07824,1.0583,1.06514,254399.35751378
1980-07-01,1.06514,1.07188,1.05146,1.0583,521936.47470811
1980-07-02,1.0583,1.07824,1.05146,1.0583,364876.62392737
1980-07-03,1.0583,1.07824,1.0583,1.07824,394140.97338706
1980-07-07,1.07824,1.07824,1.0583,1.06514,626437.10379583
1980-07-08,1.06514,1.07824,1.0583,1.07188,1046260.3311582
1980-07-09,1.06514,1.06514,1.05146,1.06514,589419.38946705
1980-07-10,1.06514,1.06514,1.05146,1.06514,376223.33586573
1980-07-11,1.06514,1.06514,1.0583,1.06514,287245.80245784
1980-07-14,1.06514,1.06514,1.05146,1.06514,386975.75954697
1980-07-15,1.06514,1.06514,1.05146,1.05146,374432.28812355
1980-07-16,1.0583,1.07824,1.0583,1.07188,222147.20082684
1980-07-17,1.07188,1.07824,1.0583,1.07188,424592.87648963
1980-07-18,1.07188,1.07824,1.05146,1.06514,316507.08330347
1980-07-21,1.06514,1.06514,1.05146,1.06514,422803.87449016
1980-07-22,1.06514,1.07824,0.984679,1.07824,288437.44758614
1980-07-23,1.07188,1.07188,1.05146,1.06514,1007441.3403737
1980-07-24,1.06514,1.06514,1.05146,1.05146,1250492.9630778
1980-07-25,1.05146,1.0583,1.05146,1.05146,349943.72501923
1980-07-28,1.05146,1.0583,1.045,1.05146,412057.58803704
1980-07-29,1.05146,1.05146,1.045,1.05146,429970.11120161
1980-07-30,1.05146,1.05146,1.045,1.045,297992.08891095
1980-07-31,1.045,1.05146,1.045,1.05146,574488.53630162
1980-08-01,1.05146,1.05146,1.03845,1.03845,335019.00908192
1980-08-04,1.03845,1.03845,1.01801,1.03151,702284.03762265
1980-08-05,1.03151,1.045,1.03151,1.03845,365476.02654127
1980-08-06,1.03845,1.045,1.03151,1.03845,234689.64937891
1980-08-07,1.03845,1.05146,1.03151,1.05146,2661626.8495493
1980-08-08,1.05146,1.05146,1.03845,1.05146,837842.10965497
1980-08-11,1.05146,1.05146,1.03845,1.03845,256190.40525597
1980-08-12,1.03845,1.045,1.03151,1.03845,1142408.1927629
1980-08-13,1.03845,1.045,1.03151,1.03151,252608.3097716
1980-08-14,1.03151,1.03845,1.03151,1.03845,269923.47606498
1980-08-15,1.03845,1.03845,1.02505,1.03151,246634.74105979
1980-08-18,1.03151,1.03151,1.01127,1.03151,366669.71741227
1980-08-19,1.03151,1.03151,1.01127,1.03151,3280308.5427334
1980-08-20,1.02505,1.02505,1.00491,1.01801,325460.27627169
1980-08-21,1.01801,1.02505,1.01127,1.02505,679590.61374595
1980-08-22,1.02505,1.02505,1.01127,1.01801,214390.76734369
1980-08-25,1.01801,1.01801,1.00491,1.00491,337409.459438
1980-08-26,1.00491,1.01801,1.00491,1.01801,366669.71741227
1980-08-27,1.01801,1.01801,1.00491,1.01127,320089.17878784
1980-08-28,1.01801,1.03151,1.01801,1.01801,1814831.5469261
1980-08-29,1.01801,1.05146,1.01801,1.05146,696906.80291069
1980-09-02,1.05146,1.07824,1.045,1.07188,379807.47709281
1980-09-03,1.07188,1.07188,1.05146,1.0583,385777.97719054
1980-09-04,1.0583,1.08499,1.0583,1.06514,580460.05927071
1980-09-05,1.06514,1.07824,1.06514,1.07188,339204.5986656
1980-09-08,1.07188,1.07824,1.0583,1.06514,398912.66825702
1980-09-09,1.06514,1.06514,1.05146,1.0583,306952.44197866
1980-09-10,1.0583,1.07188,1.05146,1.0583,443699.09052519
1980-09-11,1.0583,1.06514,1.05146,1.05146,429371.73145907
1980-09-12,1.05146,1.06514,1.05146,1.05146,386975.75954697
1980-09-15,1.05146,1.0583,1.03845,1.05146,818137.51587687
1980-09-16,1.05146,1.06514,1.05146,1.0583,260966.19161134
1980-09-17,1.0583,1.07188,1.05146,1.06514,707659.22659193
1980-09-18,1.06514,1.09183,1.0583,1.07824,1205707.563681
1980-09-19,1.07824,1.07824,1.07824,1.07824,466989.87127309
1980-09-22,1.07824,1.07824,1.07188,1.07824,397125.71200025
1980-09-23,1.07824,1.07824,1.07824,1.07824,695115.7551685
1980-09-24,1.07824,1.07824,1.07188,1.07824,303364.20926615
1980-09-25,1.07824,1.07824,1.06514,1.06514,640173.24321891
1980-09-26,1.06514,1.07188,1.05146,1.0583,1682850.4560214
1980-09-29,1.0583,1.0583,1.03845,1.03845,893385.04708981
1980-09-30,1.03845,1.05146,1.03151,1.045,638980.57521925
1980-10-01,1.045,1.05146,1.03845,1.045,951902.49442429
1980-10-02,1.03845,1.03845,1.02505,1.03845,234094.33825044
1980-10-03,1.03845,1.03845,1.02505,1.03845,872481.64808393
1980-10-06,1.03845,1.05146,1.03151,1.05146,348756.17137635
1980-10-07,1.05146,1.05146,1.05146,1.05146,506407.24180013
1980-10-08,1.05146,1.05146,1.045,1.05146,382194.85883482
1980-10-09,1.05146,1.05146,1.03845,1.03845,259179.23535457
1980-10-10,1.03845,1.045,1.03151,1.03845,572695.44281672
1980-10-13,1.03845,1.05146,1.03845,1.045,328446.03775623
1980-10-14,1.05146,1.0583,1.05146,1.0583,671230.6861635
1980-10-15,1.0583,1.0583,1.045,1.05146,631214.93589392
1980-10-16,1.05146,1.05146,1.02505,1.03151,457440.34430505
1980-10-17,1.03151,1.03845,1.02505,1.03151,324273.74550016
1980-10-20,1.03151,1.03845,1.02505,1.02505,689144.23219941
1980-10-21,1.02505,1.03151,1.02505,1.02505,296797.37516859
1980-10-22,1.02505,1.02505,1.01801,1.02505,214390.76734369
1980-10-23,1.02505,1.02505,1.00491,1.00491,619869.24682692
1980-10-24,1.00491,1.01127,1.00491,1.01127,355917.29373103
1980-10-27,1.01127,1.01127,0.991232,0.997974,333225.91559703
1980-10-28,0.997974,1.00491,0.997974,0.997974,564333.46949156
1980-10-29,0.997974,1.00491,0.997974,1.00491,188111.15649718
1980-10-30,1.00491,1.00491,0.997974,0.997974,327253.36975658
1980-10-31,0.997974,1.03845,0.997974,1.03845,286049.04297277
1980-11-03,1.03845,1.05146,1.02505,1.03845,717211.82217404
1980-11-05,1.03845,1.08499,1.03151,1.03151,613304.45847206
1980-11-06,1.03151,1.05146,1.01127,1.02505,581058.43901325
1980-11-07,1.02505,1.03151,1.01801,1.01801,234689.64937891
1980-11-10,1.01801,1.02505,1.01127,1.01127,143325.75710036
1980-11-11,1.01801,1.03845,1.01801,1.02505,374432.28812355
1980-11-12,1.02505,1.0583,1.02505,1.0583,389956.40667474
1980-11-13,1.0583,1.09857,1.03845,1.0583,324273.74550016
1980-11-14,1.0583,1.07824,1.045,1.06514,850381.48959298
1980-11-17,1.06514,1.07824,1.06514,1.07824,275298.66503424
1980-11-18,1.07824,1.07824,1.07188,1.07188,288437.44758614
1980-11-19,1.07188,1.07824,1.0583,1.06514,216179.76934316
1980-11-20,1.06514,1.07824,1.0583,1.07188,423400.20848998
1980-11-21,1.07188,1.07824,1.06514,1.07188,213787.27324438
1980-11-24,1.07188,1.07188,1.0583,1.06514,246039.42993132
1980-11-25,1.06514,1.07824,1.06514,1.06514,790666.25990207
1980-11-26,1.06514,1.06514,1.03151,1.05146,252007.88428635
1980-11-28,1.05146,1.06514,1.05146,1.05146,160047.65800799
1980-12-01,1.05146,1.05146,1.03151,1.045,901744.97467227
1980-12-02,1.045,1.0583,1.045,1.05146,156463.51678091
1980-12-03,1.05146,1.0583,1.045,1.045,157056.78216667
1980-12-04,1.045,1.05146,1.03845,1.05146,213194.00785862
1980-12-05,1.05146,1.0583,1.03151,1.05146,115850.40964015
1980-12-08,1.05146,1.05146,1.03151,1.045,151685.68468282
1980-12-09,1.045,1.05146,1.03845,1.05146,211403.98298779
1980-12-10,1.05146,1.06514,1.045,1.05146,643166.16480293
1980-12-11,1.05146,1.0583,1.05146,1.05146,195872.7043371
1980-12-12,1.05146,1.07188,1.05146,1.0583,587625.27311081
1980-12-15,1.0583,1.06514,1.05146,1.05146,342183.20005066
1980-12-16,1.05146,1.0583,1.03845,1.045,484315.26628002
1980-12-17,1.05146,1.07188,1.05146,1.07188,171983.54384668
1980-12-18,1.07188,1.13211,1.07188,1.12507,1660761.5491153
1980-12-19,1.12507,1.13211,1.12507,1.13211,1133444.7710812
1980-12-22,1.13211,1.15205,1.11852,1.13836,315311.34668975
1980-12-23,1.13836,1.15205,1.10513,1.13211,932197.90064619
1980-12-24,1.13211,1.13211,1.12507,1.13211,222147.20082684
1980-12-26,1.13211,1.13836,1.13211,1.13836,134370.51838944
1980-12-29,1.13836,1.13836,1.11207,1.11207,439523.72965506
1980-12-30,1.11207,1.13211,1.11207,1.11852,335614.3202104
1980-12-31,1.11852,1.13211,1.11852,1.12507,340395.22092254
1981-01-02,1.12507,1.13211,1.12507,1.12507,66883.512145065
1981-01-05,1.12507,1.15205,1.12507,1.1456,348756.17137635
1981-01-06,1.1456,1.1588,1.13836,1.15205,298591.49152484
1981-01-07,1.13836,1.13836,1.11852,1.12507,788274.78667464
1981-01-08,1.13211,1.1456,1.13211,1.13836,152280.99581129
1981-01-09,1.13836,1.1456,1.09857,1.10513,575681.20430127
1981-01-12,1.12507,1.12507,1.12507,1.12507,234689.64937891
1981-01-13,1.12507,1.12507,1.11207,1.12507,235291.09773551
1981-01-14,1.12507,1.12507,1.11207,1.11852,101518.9590886
1981-01-15,1.11852,1.12507,1.10513,1.10513,117047.16912522
1981-01-16,1.10513,1.10513,1.07188,1.07824,339204.5986656
1981-01-19,1.07824,1.08499,1.06514,1.07824,145114.75909984
1981-01-20,1.07824,1.08499,1.06514,1.07188,118839.23973876
1981-01-21,1.07188,1.08499,1.06514,1.07824,92560.651763612
1981-01-22,1.07824,1.09183,1.06514,1.07188,307548.77597848
1981-01-23,1.07188,1.07188,1.06514,1.06514,3178784.469288
1981-01-26,1.06514,1.07188,1.06514,1.06514,222752.74066886
1981-01-27,1.06514,1.07188,1.06514,1.07188,166019.18097708
1981-01-28,1.07188,1.07188,1.06514,1.06514,105104.12318704
1981-01-29,1.06514,1.07188,1.06514,1.07188,295011.44178318
1981-01-30,1.07188,1.07824,1.06514,1.06514,125405.05096497
1981-02-02,1.0583,1.0583,1.045,1.0583,1891266.6317819
1981-02-03,1.0583,1.0583,1.045,1.0583,1384264.0788533
1981-02-04,1.05146,1.05146,1.045,1.05146,388166.38180391
1981-02-05,1.05146,1.05146,1.045,1.05146,418627.49074867
1981-02-06,1.05146,1.05146,1.045,1.05146,765585.45428335
1981-02-09,1.05146,1.05146,1.045,1.05146,415634.56916464
1981-02-10,1.05146,1.05146,1.03845,1.03845,680186.94774577
1981-02-11,1.03845,1.045,1.03151,1.045,1386655.5520808
1981-02-12,1.045,1.045,1.03151,1.03845,173776.63733158
1981-02-13,1.03151,1.03151,1.01801,1.02505,443699.09052519
