Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,19.5042,19.5528,19.3921,19.4011,1158903.8176734
2005-02-28,19.4011,19.4338,19.2611,19.3256,1464557.6078641
2005-03-01,19.3475,19.5042,19.2849,19.3068,2216976.9488526
2005-03-02,19.2443,19.2483,18.5419,18.773,5326123.3486198
2005-03-03,18.773,18.8842,18.76,18.8375,3643757.0653513
2005-03-04,18.9298,19.0229,18.8842,18.894,2996032.6364023
2005-03-07,18.8891,19.1877,18.8891,19.0229,1921109.7079698
2005-03-08,19.0201,19.0866,18.9248,19.0676,2681269.594652
2005-03-09,18.9615,19.0152,18.643,18.76,4388893.4397798
2005-03-10,18.894,18.9109,18.388,18.519,9499489.9613611
2005-03-11,18.6757,18.8455,18.638,18.7522,2795288.4374481
2005-03-14,18.8057,19.0716,18.76,19.0676,3169455.1279788
2005-03-15,19.2711,20.1234,19.2711,19.5181,9435990.273818
2005-03-16,19.4854,19.5528,19.4051,19.4715,2151206.4996627
2005-03-17,19.5092,19.5439,19.2353,19.3296,1909503.9288472
2005-03-18,19.2899,19.3296,19.0279,19.0676,1813685.4472665
2005-03-21,19.0716,19.2751,19.0676,19.2224,1703075.2666494
2005-03-22,19.2711,19.3336,18.9615,19.0032,1690786.1424772
2005-03-23,18.8652,19.5698,18.8534,19.5092,2917281.6549224
2005-03-24,20.431,20.431,19.7255,19.7732,3634200.3134938
2005-03-28,19.5389,19.8634,19.4388,19.7255,1835988.9024295
2005-03-29,19.7404,19.8237,19.415,19.4615,1582452.7708084
2005-03-30,19.5301,19.8495,19.5301,19.7949,1135460.4462109
2005-03-31,19.7999,19.8763,19.7165,19.7642,1232640.5784729
2005-04-01,19.9914,19.9944,19.6442,19.7355,1812550.5703848
2005-04-04,19.6779,19.8455,19.6442,19.7771,1310018.8225525
2005-04-05,19.8187,19.8455,19.5698,19.7255,1085845.3625056
2005-04-06,19.8187,19.8357,19.6183,19.7642,1482543.2898825
2005-04-07,19.7642,19.8822,19.6412,19.8089,1420861.8242706
2005-04-08,19.7404,19.8584,19.7215,19.8584,1919519.2677219
2005-04-11,19.9686,20.0351,19.7255,19.8991,1281804.1303461
2005-04-12,19.9269,20.1411,19.6828,20.0718,1780685.3239463
2005-04-13,20.0351,20.1461,19.4615,19.5658,2315756.5923146
2005-04-14,19.6948,19.7999,19.4854,19.5132,1195995.948222
2005-04-15,19.5778,19.6561,19.2006,19.2006,1290679.5529213
2005-04-18,19.2443,19.3118,18.9695,19.2195,1260640.5914824
2005-04-19,19.2006,19.2195,18.8583,18.901,2643488.0717524
2005-04-20,18.9059,18.9059,18.4099,18.527,2171460.9275608
2005-04-21,18.5686,18.6708,18.393,18.5369,2521044.3303296
2005-04-22,18.5547,18.7085,18.3256,18.388,2559279.4008283
2005-04-25,18.5319,18.783,18.4506,18.5846,2896345.8977418
2005-04-26,18.5846,18.5846,18.2938,18.2958,2028531.9529061
2005-04-27,18.1837,18.2581,17.5774,18.1886,3298955.0621621
2005-04-28,17.2451,17.3948,16.4672,16.5923,14358822.120852
2005-04-29,16.6567,16.8908,16.4116,16.871,7318236.4371911
2005-05-02,16.9891,17.0069,16.735,16.8462,8579558.3579558
2005-05-03,16.8462,16.8462,16.5923,16.744,5156796.8958061
2005-05-04,16.744,16.7887,16.5546,16.61,4336322.2336111
2005-05-05,16.6329,16.7837,16.5506,16.6656,4241186.0891962
2005-05-06,16.5506,16.7083,16.4206,16.5267,3229309.3007076
2005-05-09,16.5267,16.6983,16.3372,16.6378,3774395.9079505
2005-05-10,16.6378,16.6785,16.4752,16.5169,3700658.1392674
2005-05-11,16.3729,16.5366,16.2052,16.4206,3716585.7230688
2005-05-12,16.4334,16.4712,16.3273,16.3769,3796477.6287317
2005-05-13,16.3729,16.4423,16.1864,16.2539,3369054.3712157
2005-05-16,16.1904,16.4076,16.1904,16.3273,3077736.716695
