Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-01-28,7.2744,7.75085,7.24106,7.55823,21779537.097969
1993-01-29,7.61687,7.63364,7.47486,7.63364,3513869.2415819
1993-02-01,7.61687,8.09351,7.61687,8.03516,3065125.4438718
1993-02-02,8.03516,8.34468,7.84274,8.28593,2182236.1647205
1993-02-03,8.17667,8.76337,8.11881,8.53671,2179125.4446044
1993-02-04,8.65351,8.96254,8.40313,8.52072,1737083.7523339
1993-02-05,8.34468,8.52072,8.03516,8.14373,1860987.5536791
1993-02-08,8.34468,8.40313,8.23571,8.28593,755399.13090201
1993-02-09,8.20247,8.23571,8.00162,8.11881,1216337.9188436
1993-02-10,8.11881,8.53671,8.09351,8.53671,713063.30834398
1993-02-11,8.48639,8.53671,8.14373,8.20247,1057029.1446192
1993-02-12,8.20247,8.26093,7.29952,7.50028,4397715.8204125
1993-02-16,6.37125,6.76443,5.71916,6.71391,3282326.6642862
1993-02-17,6.76443,6.85591,6.26238,6.48011,1828936.1527293
1993-02-18,6.71391,6.73892,6.3127,6.53876,1244566.167179
1993-02-19,6.65556,6.71391,5.7526,6.09566,1205328.9725307
1993-02-22,6.02828,6.02828,5.19191,5.50193,2412826.480756
1993-02-23,5.52703,6.06182,5.52703,5.95326,1216820.5994187
1993-02-24,6.02828,6.4545,6.02828,6.37125,1122337.1364309
1993-02-25,6.3127,6.37125,6.14548,6.14548,879068.14190476
1993-02-26,6.20412,6.42989,6.17079,6.37125,600639.0416805
1993-03-01,6.26238,6.40498,6.26238,6.3127,468116.52016922
1993-03-02,6.3127,6.4545,6.3127,6.40498,531741.67991299
1993-03-03,6.48011,6.62182,6.42989,6.48011,1046743.715327
1993-03-04,6.42989,6.48011,5.7526,5.7776,2915629.4952031
1993-03-05,5.7776,5.88637,5.66864,5.7776,1425878.7264552
1993-03-08,5.91962,6.00347,5.86136,5.97827,1075452.62887
1993-03-09,6.06182,6.14548,6.02828,6.12028,389656.23844656
1993-03-10,6.14548,6.37125,5.97827,6.3379,1535193.2806865
1993-03-11,6.42989,6.48011,6.3127,6.37125,765443.72374848
1993-03-12,6.3127,6.3379,6.12028,6.28729,674787.44411041
1993-03-15,6.3127,6.37125,6.14548,6.26238,355216.62671766
1993-03-16,6.26238,6.48011,6.26238,6.40498,860885.49409962
1993-03-17,6.3379,6.37125,6.22884,6.26238,701576.71987519
1993-03-18,6.3127,6.37125,6.26238,6.26238,435585.46169586
1993-03-19,6.22884,6.26238,5.81105,5.86136,679807.7251659
1993-03-22,5.86136,5.86136,5.69405,5.7526,471229.25565305
1993-03-23,5.7526,5.88637,5.69405,5.7526,552795.21907242
1993-03-24,5.71916,5.71916,5.50193,5.57666,1286423.3398973
1993-03-25,5.50193,5.71916,5.50193,5.69405,554467.97430166
1993-03-26,5.69405,5.7526,5.43444,5.52703,569778.72306863
1993-03-29,5.52703,5.64373,5.50193,5.64373,489886.52256239
1993-03-30,5.66864,5.88637,5.52703,5.7526,661391.29470222
1993-03-31,6.26238,6.26238,5.97827,6.17079,1326850.6091999
1993-04-01,6.14548,6.26238,6.00347,6.09566,532941.83140578
1993-04-02,6.00347,6.09566,5.86136,5.91962,426491.11474167
1993-04-05,5.97827,6.00347,5.86136,5.91962,299238.77988641
1993-04-06,5.95326,5.95326,5.81105,5.95326,427453.45284043
1993-04-07,5.91962,5.95326,5.81105,5.86136,104053.43673014
1993-04-08,5.86136,5.86136,5.69405,5.71916,194470.89529029
1993-04-12,5.69405,5.83625,5.69405,5.7776,468359.37198263
1993-04-13,5.86136,5.91962,5.71916,5.7776,217440.04149238
1993-04-14,5.83625,5.95326,5.81105,5.91962,386307.70493645
1993-04-15,5.91962,5.95326,5.86136,5.88637,117207.74200881
1993-04-16,5.86136,5.95326,5.86136,5.88637,87546.567205863
1993-04-19,5.88637,6.00347,5.86136,5.97827,366217.51155966
1993-04-20,5.91962,6.28729,5.91962,6.26238,507821.28013476
1993-04-21,6.3379,6.597,6.3379,6.42989,907526.14216327
1993-04-22,6.48011,6.71391,6.48011,6.65556,726452.40396507
1993-04-23,6.65556,6.76443,6.53876,6.53876,881457.36036773
1993-04-26,6.597,6.597,6.28729,6.48011,312397.11590057
1993-04-27,6.51355,6.93144,6.40498,6.87279,462852.37961646
1993-04-28,6.90663,6.93144,6.20412,6.3379,1445732.1141218
1993-04-29,6.20412,6.28729,6.02828,6.22884,377936.87500311
1993-04-30,6.3127,6.3127,5.69405,5.69405,1733728.1650367
1993-05-03,5.81105,6.00347,5.81105,5.97827,877394.37899164
1993-05-04,5.97827,6.14548,5.88637,6.02828,483187.44017442
1993-05-05,6.09566,6.48011,6.09566,6.40498,525046.62826051
1993-05-06,6.37125,6.37125,6.06182,6.09566,823809.78135884
1993-05-07,6.12028,6.17079,6.00347,6.09566,186579.72288051
1993-05-10,6.14548,6.40498,6.14548,6.37125,471468.07673095
1993-05-11,6.40498,6.597,6.40498,6.51355,315746.65709455
1993-05-12,6.51355,6.51355,6.22884,6.28729,553753.52643567
1993-05-13,6.37125,6.42989,6.22884,6.42989,379370.80915444
1993-05-14,6.3379,6.3379,6.26238,6.26238,193272.75916525
1993-05-17,6.28729,6.37125,6.26238,6.3127,145434.98266041
1993-05-18,6.42989,6.53876,6.37125,6.51355,474815.60255719
1993-05-19,6.4545,6.4545,6.22884,6.3127,361670.84192449
1993-05-20,6.3127,6.37125,6.3127,6.3127,220783.53658312
1993-05-21,6.3127,6.40498,6.3127,6.37125,416928.19478653
1993-05-24,6.37125,6.4545,6.37125,6.42989,478162.12069957
1993-05-25,6.42989,6.42989,6.22884,6.26238,161222.36589933
1993-05-26,6.26238,6.26238,6.17079,6.20412,128448.45561257
1993-05-27,6.22884,6.48011,6.22884,6.42989,454002.89984342
1993-05-28,6.42989,6.48011,6.42989,6.48011,340622.34118444
1993-06-01,6.42989,6.48011,6.42989,6.42989,118883.52028967
1993-06-02,6.42989,6.51355,6.42989,6.51355,606377.80133746
1993-06-03,6.48011,6.51355,6.42989,6.42989,188730.12026558
1993-06-04,6.42989,6.4545,6.42989,6.4545,324596.1368676
1993-06-07,6.42989,6.4545,6.28729,6.28729,135865.00891814
1993-06-08,6.26238,6.26238,6.14548,6.17079,114099.03726047
1993-06-09,6.17079,6.17079,5.97827,6.02828,171029.14535175
1993-06-10,5.97827,6.17079,5.97827,6.17079,493950.51162235
1993-06-11,6.17079,6.3127,6.12028,6.26238,254506.68507829
1993-06-14,6.28729,6.42989,6.28729,6.3379,168879.75565056
1993-06-15,6.37125,6.4545,6.37125,6.42989,199732.01279143
1993-06-16,6.40498,6.4545,6.3379,6.42989,214563.10403484
1993-06-17,6.40498,6.4545,6.40498,6.42989,107873.56629282
1993-06-18,6.40498,6.42989,6.3127,6.3127,61952.404514515
1993-06-21,6.3127,6.3127,6.09566,6.09566,126057.22178183
1993-06-22,6.09566,6.20412,6.09566,6.14548,396117.5074405
1993-06-23,6.14548,6.17079,6.00347,6.12028,242071.86608497
1993-06-24,6.06182,6.14548,6.06182,6.06182,232264.07894867
1993-06-25,6.02828,6.09566,6.02828,6.06182,352342.71231176
1993-06-28,6.12028,6.12028,5.97827,6.00347,282021.49323165
1993-06-29,6.00347,6.20412,6.00347,6.17079,522413.55030025
1993-06-30,6.26238,6.42989,6.22884,6.42989,198056.23451057
1993-07-01,6.37125,6.42989,6.3127,6.3379,146866.901444
1993-07-02,6.37125,6.53876,6.3379,6.53876,154999.9179833
1993-07-06,6.53876,6.597,6.48011,6.48011,228678.73972839
1993-07-07,6.71391,6.87279,6.65556,6.87279,436068.14227105
1993-07-08,6.85591,6.87279,6.68077,6.78904,412859.16730719
1993-07-09,6.78904,7.21545,6.78904,7.15701,772857.25400244
1993-07-12,7.15701,7.3913,7.15701,7.19035,710670.0591455
1993-07-13,7.15701,7.15701,6.98989,7.09856,211694.22804829
1993-07-14,7.15701,7.15701,6.85591,6.96509,482943.58067715
1993-07-15,6.93144,7.09856,6.93144,7.01469,197579.60003862
1993-07-16,7.07315,7.19035,7.07315,7.132,151895.24397047
1993-07-19,7.15701,7.15701,7.01469,7.04844,235852.44122056
1993-07-20,7.07315,7.07315,6.65556,6.71391,658997.03781988
1993-07-21,6.71391,6.73892,6.62182,6.73892,81565.963419369
1993-07-22,6.73892,6.85591,6.71391,6.73892,88504.874569124
1993-07-23,6.71391,7.15701,6.68077,6.93144,184424.28707607
1993-07-26,6.98989,7.19035,6.96509,7.19035,146393.29002366
1993-07-27,7.132,7.19035,7.04844,7.09856,143042.74114581
