Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1982-01-04,1.41642,1.43773,1.39501,1.39501,613347.51733701
1982-01-05,1.38106,1.39501,1.36721,1.36721,450690.18547531
1982-01-06,1.35277,1.35974,1.34579,1.35277,731947.30449344
1982-01-07,1.35974,1.37389,1.34579,1.36721,445609.40251767
1982-01-08,1.38832,1.40227,1.36721,1.39501,457465.9200708
1982-01-11,1.38832,1.40227,1.37389,1.37389,218569.35814216
1982-01-12,1.36721,1.38106,1.35277,1.35974,498129.4895445
1982-01-13,1.34579,1.35974,1.33135,1.33135,606564.65681872
1982-01-14,1.3172,1.35277,1.28174,1.33872,767528.05503154
1982-01-15,1.35277,1.36721,1.33872,1.36721,365972.12526326
1982-01-18,1.35277,1.35974,1.34579,1.35277,221957.22543991
1982-01-19,1.36721,1.37389,1.35974,1.37389,703142.28855082
1982-01-20,1.36721,1.37389,1.35974,1.36721,1224994.9930913
1982-01-21,1.35974,1.36721,1.35277,1.35277,855633.98254134
1982-01-22,1.35277,1.35974,1.33872,1.35277,821749.20163005
1982-01-25,1.35974,1.36721,1.35277,1.35974,547265.78122949
1982-01-26,1.35974,1.36721,1.34579,1.35277,645540.40057737
1982-01-27,1.34579,1.35277,1.33135,1.35277,598090.91661847
1982-01-28,1.35974,1.36721,1.34579,1.35974,1555390.4397724
1982-01-29,1.36721,1.37389,1.35974,1.37389,1767183.0453301
1982-02-01,1.36721,1.37389,1.35974,1.36721,388001.40661039
1982-02-02,1.36721,1.37389,1.35277,1.35974,1230077.812027
1982-02-03,1.36721,1.37389,1.35277,1.35974,382918.58767479
1982-02-04,1.36721,1.37389,1.35974,1.36721,501521.42879814
1982-02-05,1.37389,1.38832,1.35974,1.38106,1209750.6082405
1982-02-08,1.39501,1.39501,1.38832,1.39501,633676.75710143
1982-02-09,1.38106,1.38832,1.36721,1.37389,391392.32787504
1982-02-10,1.38106,1.38832,1.37389,1.38106,499826.47716029
1982-02-11,1.36721,1.38106,1.34579,1.34579,459165.96165352
1982-02-12,1.35974,1.36721,1.33872,1.34579,423578.08519261
1982-02-16,1.33872,1.34579,1.3172,1.32428,503213.32646906
1982-02-17,1.32428,1.33135,1.3172,1.32428,1208053.6206247
1982-02-18,1.32428,1.33872,1.31013,1.31013,1304626.1624119
1982-02-19,1.3172,1.32428,1.31013,1.31013,503213.32646906
1982-02-22,1.30325,1.32428,1.28891,1.28891,1053873.0829301
1982-02-23,1.28891,1.29609,1.27506,1.28174,1060646.7815477
1982-02-24,1.30325,1.31013,1.28174,1.31013,1096230.5860527
1982-02-25,1.34579,1.37389,1.32428,1.36721,1030148.8499452
1982-02-26,1.37389,1.38832,1.35277,1.37389,1182639.5259467
1982-03-01,1.40227,1.41642,1.38106,1.41642,2705839.1184567
1982-03-02,1.42369,1.43047,1.41642,1.43047,1848509.1662885
1982-03-03,1.41642,1.41642,1.40227,1.40227,2158571.3012492
1982-03-04,1.40227,1.40944,1.38832,1.38832,1536750.043712
1982-03-05,1.38832,1.39501,1.38106,1.39501,609960.66802823
1982-03-08,1.37389,1.39501,1.35277,1.35974,692977.66866862
1982-03-09,1.34579,1.35974,1.33872,1.34579,848860.2839238
1982-03-10,1.35277,1.35974,1.34579,1.34579,2873572.1433312
1982-03-11,1.35974,1.36721,1.35277,1.35277,501521.42879814
1982-03-12,1.35277,1.35974,1.33872,1.34579,652318.17115081
1982-03-15,1.35277,1.35974,1.34579,1.34579,423578.08519261
1982-03-16,1.35974,1.36721,1.34579,1.35974,1387654.360931
1982-03-17,1.36721,1.37389,1.35974,1.36721,1289382.79555
1982-03-18,1.37389,1.38106,1.36721,1.38106,870881.42135915
1982-03-19,1.40227,1.41642,1.38832,1.40227,1352074.6283818
1982-03-22,1.41642,1.43047,1.40227,1.40944,1962030.2064652
1982-03-23,1.43047,1.44481,1.41642,1.43047,2710917.8654364
1982-03-24,1.45178,1.46602,1.43047,1.44481,2299200.3697528
1982-03-25,1.44481,1.45178,1.43047,1.43773,1528282.4114455
1982-03-26,1.44481,1.45886,1.43773,1.44481,2143320.8084645
1982-03-29,1.44481,1.45886,1.43047,1.45178,737031.141418
1982-03-30,1.43773,1.45178,1.43047,1.43773,1679074.0638533
1982-03-31,1.43773,1.44481,1.43047,1.43047,742109.88839771
1982-04-01,1.41642,1.43047,1.40944,1.42369,786167.43310298
1982-04-02,1.43047,1.43773,1.41642,1.43047,2012862.467777
1982-04-05,1.43047,1.44481,1.41642,1.43773,1280910.0733388
1982-04-06,1.43047,1.43773,1.43047,1.43047,452386.15510213
1982-04-07,1.44481,1.44481,1.43047,1.43773,1633329.7114221
1982-04-08,1.44481,1.45178,1.43047,1.44481,2011164.4621722
1982-04-12,1.45886,1.45886,1.44481,1.45178,4984706.1764891
1982-04-13,1.45886,1.4732,1.45178,1.45886,1755320.4198431
1982-04-14,1.45178,1.45886,1.43047,1.44481,4405247.5120193
1982-04-15,1.43773,1.44481,1.43047,1.44481,476102.24417533
1982-04-16,1.45886,1.48725,1.44481,1.4732,2604177.6498
1982-04-19,1.48725,1.50178,1.4732,1.50178,1416456.3229067
1982-04-20,1.49423,1.50178,1.48725,1.49423,4630589.55079
1982-04-21,1.48725,1.50178,1.4732,1.48037,1060646.7815477
1982-04-22,1.48725,1.48725,1.4732,1.48725,1252108.111363
1982-04-23,1.48725,1.49423,1.4732,1.48725,2675341.1868542
1982-04-26,1.50856,1.52261,1.48725,1.52261,1235162.6669405
1982-04-27,1.53715,1.5511,1.52261,1.53715,1418152.2925334
1982-04-28,1.52261,1.53715,1.50178,1.50856,1241939.419525
1982-04-29,1.50856,1.51553,1.50178,1.50178,1333434.2323214
1982-04-30,1.51553,1.52261,1.50178,1.50856,345645.93946576
1982-05-03,1.52261,1.53715,1.50856,1.52261,986098.43116269
1982-05-04,1.52261,1.53715,1.51553,1.52261,1313102.9565791
1982-05-05,1.52261,1.53715,1.50856,1.53715,760748.24848016
1982-05-06,1.5511,1.5511,1.54402,1.5511,818361.33433231
1982-05-07,1.54402,1.56534,1.52261,1.52261,2119602.6834134
1982-05-10,1.50856,1.52261,1.48725,1.48725,721782.68461122
1982-05-11,1.50178,1.52261,1.48725,1.48725,967460.07108022
1982-05-12,1.48725,1.50178,1.4732,1.48037,2275482.2447017
1982-05-13,1.48037,1.48725,1.46602,1.4732,333781.27800085
1982-05-14,1.46602,1.4732,1.45886,1.45886,289728.82324043
1982-05-17,1.45886,1.45886,1.44481,1.45178,376134.70916752
1982-05-18,1.44481,1.45886,1.43047,1.43773,816665.36470549
1982-05-19,1.43047,1.43773,1.43047,1.43047,1441869.3995957
1982-05-20,1.43047,1.43047,1.42369,1.43047,986098.43116269
1982-05-21,1.43773,1.45178,1.43047,1.43773,633676.75710143
1982-05-24,1.43047,1.43047,1.42369,1.43047,986098.43116269
1982-05-25,1.44481,1.45178,1.43047,1.44481,830219.8878634
1982-05-26,1.42369,1.43773,1.40227,1.40944,987791.34682258
