Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1989-10-04,1.81419,1.87395,1.79395,1.84203,12911921.347806
1989-10-05,1.84982,1.92991,1.84203,1.89789,4038006.8788621
1989-10-06,1.90987,1.92991,1.87395,1.87395,1723921.5600971
1989-10-09,1.87395,1.87395,1.84203,1.87395,678257.07656214
1989-10-10,1.88601,1.88601,1.84203,1.86596,934541.56063397
1989-10-11,1.84203,1.84982,1.81419,1.84982,788381.09205649
1989-10-12,1.84982,1.87395,1.84982,1.86596,376920.71059961
1989-10-13,1.86596,1.86596,1.81419,1.82987,2484273.2471662
1989-10-16,1.74997,1.81419,1.74997,1.81419,2455740.7044122
1989-10-17,1.79395,1.84203,1.79395,1.84203,1153286.49386
1989-10-18,1.84203,1.88601,1.82987,1.87395,705788.60673047
1989-10-19,1.86596,1.87395,1.86596,1.87395,650721.33603595
1989-10-20,1.86596,1.86596,1.84982,1.86596,148664.57892579
1989-10-23,1.87395,1.88601,1.87395,1.87395,54555.712212263
1989-10-24,1.87395,1.88601,1.86596,1.88601,431481.68575921
1989-10-25,1.87395,1.89789,1.84982,1.87395,380422.67576515
1989-10-26,1.87395,1.88601,1.87395,1.87395,143163.74635736
1989-10-27,1.87395,1.87395,1.84203,1.84982,285318.05941333
1989-10-30,1.84982,1.84982,1.84203,1.84203,156673.73220039
1989-10-31,1.84203,1.84982,1.84203,1.84203,265797.78769856
1989-11-01,1.84982,1.88601,1.84982,1.88601,447493.67677162
1989-11-02,1.90987,1.94576,1.90987,1.94576,81591.472740374
1989-11-03,1.92991,2.02568,1.92991,2.01399,699778.32085874
1989-11-06,2.00182,2.00182,1.89789,1.89789,165682.84547119
1989-11-07,1.87395,1.97769,1.84203,1.97769,455008.11299549
1989-11-08,1.97769,2.00182,1.96592,2.00182,148169.86187505
1989-11-09,2.00182,2.00182,1.97769,1.97769,38043.741201772
1989-11-10,1.97769,1.97769,1.87395,1.88601,131644.20720145
1989-11-13,1.88601,1.88601,1.84982,1.87395,58067.150683035
1989-11-14,1.89789,1.89789,1.82987,1.86596,267806.12840666
1989-11-15,1.87395,1.89789,1.86596,1.88601,110122.96290487
1989-11-16,1.87395,1.90987,1.87395,1.90987,188710.34529884
1989-11-17,1.90987,1.94576,1.90987,1.94576,156176.90997072
1989-11-20,1.95395,1.95395,1.91764,1.91764,27028.392401823
1989-11-21,1.90987,1.96592,1.90987,1.96592,68075.171360523
1989-11-22,1.97769,2.02568,1.97769,2.02568,159678.87513626
1989-11-24,2.04553,2.1735,2.04553,2.14965,357901.47147239
1989-11-27,2.14158,2.16114,2.10177,2.11375,158681.02031903
1989-11-28,2.11375,2.11375,2.08163,2.08163,350391.24560639
1989-11-29,2.06984,2.06984,2.04553,2.05778,38043.741201772
1989-11-30,2.06984,2.14158,2.06984,2.1298,445994.78936683
1989-12-01,2.1298,2.1735,2.1298,2.14158,223245.80579825
1989-12-04,2.16114,2.19753,2.11375,2.19753,107620.95773549
1989-12-05,2.1735,2.19753,2.14158,2.14158,58563.972912714
1989-12-06,2.14158,2.2096,2.14158,2.19753,418464.31178797
1989-12-07,2.19753,2.19753,2.14965,2.1735,134650.40272679
1989-12-08,2.14965,2.1735,2.14965,2.1735,76583.252043752
1989-12-11,2.18556,2.22945,2.16114,2.2096,191717.59341365
1989-12-12,2.21749,2.22945,2.19753,2.21749,700283.56380418
1989-12-13,2.2096,2.32522,2.19753,2.32522,250283.6715053
1989-12-14,2.29758,2.31344,2.28541,2.29758,244777.57598954
1989-12-15,2.31344,2.31344,2.27734,2.28541,97112.95705992
1989-12-18,2.26546,2.29758,2.22945,2.22945,140153.34047416
1989-12-19,2.22945,2.25339,2.22945,2.25339,134650.40272679
1989-12-20,2.25339,2.28541,2.24152,2.26546,104115.83480155
1989-12-21,2.28541,2.29758,2.25339,2.28541,109123.0029087
1989-12-22,2.29758,2.29758,2.28541,2.29758,108620.91773167
1989-12-26,2.28541,2.28541,2.26546,2.26546,61070.188439964
1989-12-27,2.25339,2.25339,2.22945,2.22945,90102.711192013
1989-12-28,2.24152,2.24152,2.22945,2.22945,7004.9829205599
1989-12-29,2.22945,2.32522,2.21749,2.32522,137154.5130751
1990-01-02,2.29758,2.29758,2.22945,2.24152,121635.13393448
1990-01-03,2.25339,2.25339,2.22945,2.22945,226255.15909201
1990-01-04,2.22945,2.25339,2.1735,2.1735,104115.83480155
1990-01-05,2.16114,2.16114,2.10177,2.14158,63076.423969128
1990-01-08,2.11375,2.1298,2.09341,2.10177,551114.79452243
1990-01-09,2.08163,2.09341,2.06984,2.06984,176699.2468606
1990-01-10,2.04163,2.04163,1.98158,1.99386,490547.74384895
1990-01-11,2.00572,2.04163,1.99386,2.02966,217239.7302844
1990-01-12,2.00572,2.01769,1.98158,2.00572,99611.804460882
1990-01-15,2.01769,2.01769,2.00572,2.00572,16015.148780814
1990-01-16,1.98158,1.99386,1.93371,1.99386,108117.77996517
1990-01-17,2.00572,2.07345,2.00572,2.00572,135148.27754594
1990-01-18,1.98158,2.00572,1.98158,1.99386,98607.634106831
1990-01-19,2.01769,2.02966,2.01769,2.02966,5503.9903368305
1990-01-22,2.01769,2.02966,2.00572,2.01769,35540.683442931
1990-01-23,2.04163,2.04163,2.01769,2.02966,63570.088430397
1990-01-24,2.01769,2.01769,1.98158,1.98158,16518.286547309
1990-01-25,1.98158,2.00572,1.96981,2.00572,156176.90997072
1990-01-26,1.99386,2.00572,1.96981,1.96981,28536.753111841
1990-01-29,1.98158,1.98158,1.93371,1.94996,277814.14908415
1990-01-30,1.93371,1.96184,1.90188,1.96184,342878.91456146
1990-01-31,1.98158,2.10966,1.98158,2.10966,474023.14176483
1990-02-01,2.12144,2.12144,2.0974,2.10966,93601.518589148
1990-02-02,2.12144,2.14567,2.12144,2.12144,450511.45078113
1990-02-05,2.14567,2.14567,2.12144,2.12144,102116.96739866
1990-02-06,2.12144,2.14567,2.0974,2.1298,62064.885488789
1990-02-07,2.14567,2.16562,2.14567,2.16562,20519.179121471
1990-02-08,2.18963,2.30537,2.18963,2.24532,216742.90805472
1990-02-09,2.26964,2.30537,2.18963,2.21339,112129.19843403
1990-02-12,2.21339,2.21339,2.14567,2.14567,17514.036185605
1990-02-13,2.16562,2.1775,2.16562,2.1775,16518.286547309
1990-02-14,2.1775,2.18963,2.16562,2.16562,20519.179121471
1990-02-15,2.1775,2.18963,2.1775,2.1775,95105.668941287
1990-02-16,2.18963,2.18963,2.18963,2.18963,20021.304302325
1990-02-20,2.20124,2.20124,2.1775,2.1775,14521.524323373
1990-02-21,2.1775,2.1775,2.14567,2.14567,346384.03749541
1990-02-22,2.14567,2.14567,2.0974,2.0974,92607.874129794
1990-02-23,2.0499,2.0499,1.98158,2.00572,359899.28628579
1990-02-26,2.01769,2.02966,2.01769,2.02966,298834.36079318
1990-02-27,2.04163,2.0974,2.04163,2.0974,223754.20651209
1990-02-28,2.07345,2.08543,2.06557,2.06557,91099.513419776
1990-03-01,2.06557,2.06557,2.02966,2.02966,141155.40564927
1990-03-02,2.02966,2.0499,1.98158,1.99386,582650.37503331
1990-03-05,1.96981,1.99386,1.96184,1.96981,91603.703775741
1990-03-06,1.96981,2.01769,1.93371,2.01769,161683.00548649
1990-03-07,2.01769,2.02966,1.99386,2.02966,109123.0029087
1990-03-08,2.02966,2.06557,2.01769,2.0499,91603.703775741
1990-03-09,2.02966,2.0499,2.01769,2.01769,121635.13393448
1990-03-12,1.99386,2.00572,1.93371,1.98158,671251.04105212
1990-03-13,1.96981,1.98158,1.96981,1.98158,414465.52439275
1990-03-14,1.96981,2.04163,1.96981,2.04163,186708.32012755
1990-03-15,2.0499,2.06557,2.00572,2.00572,120133.0887613
1990-03-16,2.02966,2.0499,2.01769,2.0499,169689.0009927
1990-03-19,2.02966,2.04163,2.02966,2.04163,297834.40079701
1990-03-20,2.02966,2.14567,2.02966,2.06557,562130.14332237
1990-03-21,2.06557,2.07345,2.06557,2.06557,64077.43655477
1990-03-22,2.02966,2.04163,2.02966,2.04163,111121.87031158
1990-03-23,2.06557,2.06557,2.06557,2.06557,200225.67409687
1990-03-26,2.0499,2.0499,2.02966,2.02966,23529.585004687
1990-03-27,2.01769,2.02966,2.01769,2.02966,15017.293963581
1990-03-28,2.0974,2.16562,2.0974,2.15355,441993.89679266
1990-03-29,2.15355,2.16562,2.1298,2.14567,226255.15909201
1990-03-30,2.15355,2.15355,2.15355,2.15355,101112.79704461
1990-04-02,2.15355,2.15355,2.0974,2.12144,115632.21618904
1990-04-03,2.12144,2.23354,2.12144,2.20124,224249.97615231
1990-04-04,2.20124,2.20124,2.14567,2.14567,228254.02649489
1990-04-05,2.16562,2.1775,2.14567,2.14567,233767.49013693
1990-04-06,2.15355,2.15355,2.0499,2.0499,507061.82003838
1990-04-09,2.02168,2.04553,2.02168,2.02168,210735.7799514
1990-04-10,2.03356,2.08163,2.0099,2.04553,266790.37956845
1990-04-11,2.05418,2.08163,2.0099,2.02168,146661.50116503
1990-04-12,2.0099,2.02168,1.91764,1.94159,285318.05941333
1990-04-16,1.94996,2.02168,1.94996,1.99774,171186.83580801
1990-04-17,2.0099,2.0099,1.99774,2.0099,10513.263622923
1990-04-18,1.98558,2.03356,1.98558,2.0099,208732.70219064
1990-04-19,2.0099,2.0099,1.97769,1.98558,129648.49756698
1990-04-20,1.97769,1.98558,1.96592,1.97769,105619.98515369
1990-04-23,1.96592,1.96592,1.94159,1.94159,108620.91773167
1990-04-24,1.94159,1.97769,1.94159,1.94159,286819.05199706
1990-04-25,1.96592,1.97769,1.94996,1.96592,65065.818066777
1990-04-26,1.94159,1.98558,1.94159,1.98558,288820.02457888
1990-04-27,1.98558,1.99774,1.98558,1.99774,83593.497911661
1990-04-30,1.99774,2.0099,1.98558,2.0099,43047.751540516
1990-05-01,2.0099,2.09341,1.98558,2.08163,458513.23592944
1990-05-02,2.05418,2.09341,2.04553,2.08163,359899.28628579
