Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,34.7929,35.0946,34.1213,34.35,111183.6047083
2005-02-28,34.4142,34.997,34.1628,34.6292,173309.35544741
2005-03-01,34.1539,34.858,34.1213,34.2239,179758.11810147
2005-03-02,34.1746,35.0946,33.7979,34.6025,194403.97912518
2005-03-03,34.5808,34.8855,34.2239,34.8648,289184.26005155
2005-03-04,34.645,36.6822,34.6025,36.5866,697000.80568794
2005-03-07,36.1615,36.3509,35.0453,35.3471,340066.50842465
2005-03-08,34.7198,35.1647,34.2308,34.3333,486748.22414766
2005-03-09,34.2061,34.7929,33.7407,33.8068,208740.53481639
2005-03-10,33.8443,34.3807,32.7901,33.1314,159393.6578316
2005-03-11,33.219,33.6993,32.9814,33.1955,102407.44619151
2005-03-14,33.1254,33.4627,32.8819,33.1551,205431.47481637
2005-03-15,32.6264,33.0061,32.6087,32.935,326461.1302572
2005-03-16,32.6817,32.9725,32.5368,32.9725,158180.77528179
2005-03-17,32.7753,33.1391,32.231,32.2853,135008.22823899
2005-03-18,32.5308,32.5308,32.023,32.2853,214709.62067609
2005-03-21,32.023,32.7142,31.9796,32.4213,79277.492014173
2005-03-22,32.4627,32.4627,32.0466,32.162,116055.41722442
2005-03-23,32.1363,32.3237,31.9549,32.2222,110010.27267641
2005-03-24,32.3414,33.4084,32.3414,32.9657,110328.70505152
2005-03-28,32.8138,33.2911,32.301,32.66,90075.797524532
2005-03-29,32.4213,32.9725,32.4213,32.7379,166773.37883074
2005-03-30,32.66,34.2061,32.0871,33.9379,159183.73585182
2005-03-31,33.5977,34.1439,33.2437,33.4805,282226.41124363
2005-04-01,32.1541,33.0534,32.0466,32.5001,220857.19092437
2005-04-04,32.4834,32.4834,31.526,32.2142,102489.5895749
2005-04-05,32.0949,32.1758,31.668,31.8731,99022.327503158
2005-04-06,31.8357,32.0625,31.8277,31.8277,70768.045964451
2005-04-07,31.5122,31.9055,31.2351,31.5664,215463.10874842
2005-04-08,31.3081,31.6286,30.6425,30.8357,224537.41732343
2005-04-11,30.7026,30.8406,29.6623,30.4117,330677.82393789
2005-04-12,30.0252,30.8406,29.757,30.7855,88634.738909749
2005-04-13,30.6819,30.9087,30.4689,30.5882,67337.292063104
2005-04-14,30.4748,31.0615,30.4531,30.6819,146400.80563413
2005-04-15,30.0696,30.8535,30.0696,30.245,114746.1936694
2005-04-18,30.034,30.8466,30.034,30.6425,146928.14587316
2005-04-19,30.6947,31.9055,30.6947,31.8584,121131.06702526
2005-04-20,31.8641,32.6344,31.3524,31.5979,122903.74152114
2005-04-21,31.6453,32.5772,31.6453,32.3237,74991.838456061
2005-04-22,32.1463,32.4056,31.4973,32.0702,91669.98763181
2005-04-25,32.0949,32.9558,31.8584,32.3651,108225.42879039
2005-04-26,32.0043,32.4834,31.7074,32.023,120489.13169581
2005-04-27,31.947,32.4213,30.4384,30.8111,216249.04852777
2005-04-28,30.1691,31.2666,29.5578,29.5804,380329.94979184
2005-04-29,29.7313,29.7313,27.345,27.6605,561163.03068829
2005-05-02,27.415,29.2176,27.415,28.6792,456092.51628958
2005-05-03,28.3972,28.3972,27.4367,27.6517,226718.78050458
2005-05-04,27.5817,28.6032,27.3361,28.2207,199923.81166584
2005-05-05,28.3627,28.4061,27.5431,27.8114,183190.9002345
2005-05-06,28.27,28.3627,27.5363,28.1349,99363.070426851
2005-05-09,27.6764,27.8183,26.2691,26.9408,649228.85060937
2005-05-10,26.8046,26.8618,25.9605,26.213,181308.70122744
2005-05-11,26.0138,26.4665,25.6855,25.8806,138196.60845354
2005-05-12,25.8205,25.8275,24.9242,24.9961,224479.61272031
2005-05-13,24.9242,25.5878,24.8217,25.3886,132004.4171081
2005-05-16,24.9883,26.8697,24.9489,26.7198,250589.03924826
2005-05-17,26.7424,27.4219,26.1962,26.4892,604540.8218134
2005-05-18,25.8343,28.3548,25.8343,28.0717,647319.2704745
2005-05-19,29.3043,30.0389,28.4356,28.758,439427.55061982
2005-05-20,28.7669,28.8241,28.1576,28.6792,361394.37874662
2005-05-23,28.687,29.9858,28.687,29.1604,291786.48130808
2005-05-24,29.2096,29.2392,28.687,28.8646,180909.13958478
2005-05-25,29.0125,29.2975,28.6032,28.7107,127349.62538266
2005-05-26,28.7019,29.8329,28.618,29.8329,327927.5417681
2005-05-27,29.8329,30.2136,29.5104,30.103,166962.00437779
2005-05-31,29.8822,30.2363,29.8822,30.1277,194761.96201824
2005-06-01,29.7865,31.0694,29.7234,30.7943,212647.92316459
2005-06-02,30.744,31.2666,30.5291,30.6484,804208.06217064
2005-06-03,30.5616,30.883,29.9315,30.0469,60255.72112219
2005-06-06,30.0025,30.0606,29.5509,29.6534,160575.10279024
2005-06-07,29.2629,29.7806,28.4662,29.4355,269587.48547582
2005-06-08,29.4187,29.612,29.1525,29.2323,145483.03079502
2005-06-09,29.1318,29.4957,28.9316,29.044,130024.86297998
2005-06-10,29.1239,29.2176,28.8646,28.9878,77696.485412872
2005-06-13,28.8241,29.1771,28.6259,28.833,88292.981870211
2005-06-14,29.0125,29.6534,28.7186,29.0854,270024.56940473
2005-06-15,28.5056,29.472,28.3005,29.4069,298287.97798604
2005-06-16,30.9234,35.0453,30.8406,34.4606,1287571.1676299
2005-06-17,34.3196,35.3944,34.3196,34.8787,319905.88543949
