Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-08-12,4.58406,4.58406,4.32668,4.51962,11176491.707308
1993-08-13,4.50203,4.50203,4.38493,4.38493,1091295.6798421
1993-08-16,4.38493,4.4261,4.36145,4.4261,477408.65035485
1993-08-17,4.4261,4.46107,4.40271,4.44358,465962.16199493
1993-08-18,4.44358,4.44358,4.44358,4.44358,400716.66938443
1993-08-19,4.44358,4.44358,4.36145,4.36145,349646.70339909
1993-08-20,4.38493,4.44358,4.38493,4.40271,461863.00604782
1993-08-23,4.40271,4.44358,4.38493,4.4261,286617.21836167
1993-08-24,4.4261,4.48464,4.4261,4.48464,200188.85133855
1993-08-25,4.44358,4.44358,4.4261,4.4261,87623.402802094
1993-08-26,4.4261,4.51962,4.4261,4.51962,154070.03869982
1993-08-27,4.51962,4.51962,4.44358,4.46107,102145.02156087
1993-08-30,4.44358,4.50203,4.44358,4.46107,60979.398104834
1993-08-31,4.46107,4.56078,4.46107,4.543,125544.92146463
1993-09-01,4.56078,4.58406,4.51962,4.51962,120929.68107122
1993-09-02,4.58406,4.58406,4.543,4.58406,185842.31448265
1993-09-03,4.56078,4.67768,4.56078,4.61914,152701.95685405
1993-09-07,4.60145,4.67768,4.60145,4.64242,143139.6347862
1993-09-08,4.67768,4.70127,4.58406,4.58406,235887.2370017
1993-09-09,4.58406,4.70127,4.58406,4.61914,63544.551565659
1993-09-10,4.60145,4.81826,4.60145,4.7774,209243.23230443
1993-09-13,4.71884,4.74183,4.70127,4.74183,214534.37027641
1993-09-14,4.66039,4.67768,4.60145,4.66039,108467.31050738
1993-09-15,4.66039,4.66039,4.60145,4.66039,138697.44045959
1993-09-16,4.70127,4.70127,4.64242,4.70127,75838.965652899
1993-09-17,4.67768,4.75981,4.66039,4.75981,96506.77353726
1993-09-20,4.71276,4.75363,4.69527,4.69527,13150.483158888
1993-09-21,4.73044,4.73044,4.67179,4.71276,244259.61288078
1993-09-22,4.69527,4.75363,4.67179,4.75363,46800.817725536
1993-09-23,4.73044,4.73044,4.67179,4.71276,43559.766686145
1993-09-24,4.69527,4.79479,4.69527,4.79479,226322.87909777
1993-09-27,4.79479,5.0114,4.79479,4.99431,576822.59781438
1993-09-28,4.97054,5.02899,4.92938,5.0114,308139.0594816
1993-09-29,5.0114,5.1286,5.0114,5.0114,703043.41685757
1993-09-30,4.99431,5.0114,4.92938,4.95295,117857.60442647
1993-10-01,4.95295,5.0114,4.95295,4.95295,26988.060994783
1993-10-04,4.92938,4.92938,4.81237,4.85314,23571.928052509
1993-10-05,4.85314,4.91179,4.83016,4.85314,74819.011776809
1993-10-06,4.81237,4.95295,4.81237,4.92938,279779.86288692
1993-10-07,4.89459,5.0114,4.89459,4.95295,34501.314048096
1993-10-08,4.99431,5.56754,4.99431,5.45073,1061232.4884484
1993-10-11,5.40948,5.4917,5.40948,5.40948,755998.56705301
1993-10-12,5.40948,5.80784,5.40948,5.72581,604827.55893113
1993-10-13,5.76687,5.76687,5.64957,5.64957,47485.876566463
1993-10-14,5.64957,5.64957,5.64957,5.64957,46967.756284098
1993-10-15,5.64957,5.8487,5.64957,5.76687,171319.67780583
1993-10-18,5.74928,5.82513,5.64957,5.74928,40309.554384393
1993-10-19,5.70862,5.70862,5.56754,5.56754,148090.7881328
1993-10-20,5.56754,5.59131,5.42735,5.54996,120929.68107122
1993-10-21,5.5088,5.5088,5.46802,5.4917,27496.002096748
1993-10-22,5.46802,5.64957,5.46802,5.56754,137493.24341826
1993-10-25,5.54996,5.6085,5.45073,5.52657,40997.666979439
1993-10-26,5.45073,5.45073,5.39189,5.39189,23061.951114464
1993-10-27,5.32764,5.35112,5.31016,5.32764,104533.05728273
1993-10-28,5.32764,5.40948,5.2519,5.40948,64398.584801228
1993-10-29,5.45073,5.5088,5.40948,5.5088,191651.57273699
1993-11-01,5.4917,5.52657,5.46802,5.52657,20836.782279003
1993-11-02,5.4917,5.52657,5.46802,5.5088,58756.265105453
1993-11-03,5.5088,5.56754,5.4917,5.56754,199500.7387435
1993-11-04,5.54996,5.54996,5.3687,5.3687,228377.0377025
1993-11-05,5.3687,5.56754,5.3687,5.52657,284566.11351105
1993-11-08,5.56754,5.70862,5.52657,5.70862,140573.46340733
1993-11-09,5.76687,5.80784,5.70862,5.70862,164661.47590613
1993-11-10,5.66696,5.66696,5.6085,5.6085,5805.1865821765
1993-11-11,5.56754,5.56754,5.46802,5.52657,81821.269974037
1993-11-12,5.56754,5.56754,5.52657,5.54996,60121.293197106
1993-11-15,5.5088,5.5088,5.32764,5.4917,117857.60442647
1993-11-16,5.46802,5.46802,5.3687,5.39189,10419.409057541
1993-11-17,5.35112,5.3687,5.19275,5.22802,162950.35568087
1993-11-18,5.16986,5.19275,4.95295,5.0114,265264.35163638
1993-11-19,5.0114,5.02899,4.95295,5.0114,153895.97471498
1993-11-22,4.99431,4.99431,4.97054,4.99431,44579.720562235
1993-11-23,4.99431,5.0114,4.92938,4.95295,139378.42762836
1993-11-24,4.91179,4.99431,4.89459,4.95295,246989.66906408
1993-11-26,4.95295,4.95295,4.92938,4.92938,16226.631475798
1993-11-29,4.97054,5.0114,4.91179,4.92938,82328.193157962
1993-11-30,4.91179,5.16986,4.91179,5.16986,138863.36110011
1993-12-01,5.1286,5.1286,4.97054,5.02899,100431.86549954
1993-12-02,5.04657,5.04657,4.98793,5.04657,24081.904990554
1993-12-03,5.00571,5.00571,4.94705,5.00571,29722.188850249
1993-12-06,4.94705,5.06416,4.94705,5.06416,163802.35308036
1993-12-07,5.06416,5.08764,5.00571,5.08764,19306.851464868
1993-12-08,5.08764,5.08764,5.00571,5.00571,23061.951114464
1993-12-09,5.00571,5.06416,5.00571,5.02899,44752.766629036
1993-12-10,5.06416,5.06416,5.00571,5.04657,124688.85239297
1993-12-13,5.06416,5.06416,5.00571,5.04657,219662.64136198
1993-12-14,5.04657,5.04657,4.80667,4.80667,144164.67825248
1993-12-15,4.76532,5.00571,4.70127,5.00571,349819.74946589
1993-12-16,5.00571,5.21074,5.00571,5.08764,102313.99595551
1993-12-17,5.1286,5.1286,5.04657,5.04657,50730.999278014
1993-12-20,5.04657,5.08764,5.02899,5.04657,46636.932921094
1993-12-21,5.08764,5.08764,4.92358,4.96474,204113.94330083
1993-12-22,5.00571,5.02899,5.00571,5.00571,14179.598297338
1993-12-23,5.02899,5.08764,5.00571,5.00571,43559.766686145
1993-12-27,5.00571,5.00571,5.00571,5.00571,42701.661778416
1993-12-28,5.04657,5.14579,5.04657,5.14579,204113.94330083
1993-12-29,5.1286,5.14579,5.08764,5.10513,336997.03591588
1993-12-30,5.08764,5.08764,5.00571,5.08764,136646.33560897
1993-12-31,5.10513,5.14579,5.02899,5.14579,47831.968700066
