Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,12.7899,12.9993,12.7762,12.9876,1107131.8308853
2005-02-28,12.8868,12.9671,12.746,12.8633,689849.79701304
2005-03-01,12.8633,12.9231,12.8095,12.9231,583753.73013184
2005-03-02,12.8633,12.8995,12.746,12.8242,542238.011185
2005-03-03,12.8242,12.9064,12.6736,12.7518,658644.53037383
2005-03-04,12.7831,12.9181,12.746,12.9181,467056.9484078
2005-03-07,12.8477,13.0786,12.8477,13.0082,458350.09440219
2005-03-08,12.9377,13.1627,12.9377,13.0444,755887.58993062
2005-03-09,13.0219,13.0571,12.8633,12.8633,597830.44103915
2005-03-10,12.8242,13.2263,12.8242,13.1324,1308432.9872697
2005-03-11,13.1696,13.4358,13.1696,13.2644,1098997.3255407
2005-03-14,12.8868,13.2861,12.8409,13.1413,1505098.1194999
2005-03-15,13.1774,13.2068,13.0082,13.0629,757772.25230723
2005-03-16,12.9945,13.0903,12.8995,12.9377,402329.42510347
2005-03-17,12.9514,13.1236,12.9132,13.0786,615683.63105795
2005-03-18,13.0571,13.1236,12.9945,13.0571,983611.83548116
2005-03-21,13.0219,13.1236,13.016,13.1089,522354.00547082
2005-03-22,13.0444,13.1696,12.9132,12.9181,597830.44103915
2005-03-23,12.9132,12.9231,12.7762,12.7762,839192.93754063
2005-03-24,12.7958,13.0219,12.7958,12.8917,424385.28957596
2005-03-28,12.8917,13.0571,12.8868,12.9671,415682.52377507
2005-03-29,12.8868,13.0571,12.8868,12.8868,701458.25431974
2005-03-30,12.9181,13.0444,12.9181,12.9993,436867.60064188
2005-03-31,13.0219,13.4004,12.9876,13.2791,921201.30220274
2005-04-01,13.379,13.4004,13.149,13.2861,546158.59951293
2005-04-04,13.2263,13.2988,13.1324,13.2704,500003.79025837
2005-04-05,13.2704,13.4221,13.242,13.3457,435418.33206811
2005-04-06,13.3526,13.3526,13.1696,13.1882,536004.5210359
2005-04-07,13.1627,13.1627,13.0571,13.1089,672578.15411589
2005-04-08,13.1089,13.1089,13.0365,13.0629,382009.00353525
2005-04-11,13.0629,13.1089,12.9582,13.0786,666048.26912448
2005-04-12,13.0444,13.2185,12.9671,13.1931,517131.32393909
2005-04-13,13.2009,13.2009,13.0365,13.1627,588252.79942786
2005-04-14,13.1236,13.1696,12.9876,13.0219,651675.16337485
2005-04-15,13.0219,13.0219,12.7685,12.7685,484187.54824207
2005-04-18,12.7313,12.8242,12.6501,12.7234,736296.91290519
2005-04-19,12.746,12.8721,12.6666,12.8721,404500.26181058
2005-04-20,12.8409,12.8721,12.6736,12.6736,718147.32804408
2005-04-21,12.746,12.8868,12.6892,12.8721,737021.54719208
2005-04-22,12.8995,12.9318,12.7831,12.8868,541221.07026054
2005-04-25,12.879,12.9181,12.8477,12.8721,404647.43718056
2005-04-26,12.8721,12.8721,12.7234,12.7899,682879.40796288
2005-04-27,12.7186,12.8409,12.6071,12.7117,637449.23299521
2005-04-28,12.7186,12.7518,12.4778,12.4778,585636.3484061
2005-04-29,12.5874,12.6793,12.4162,12.6158,832956.38123798
2005-05-02,13.0571,13.0903,12.8242,12.8995,1587831.1184488
