Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,1.59758,1.63594,1.59758,1.62247,3819191.1849758
1985-07-02,1.62247,1.64352,1.6082,1.64352,3060482.6932209
1985-07-03,1.64352,1.69605,1.63968,1.68897,2187276.3685987
1985-07-05,1.68897,1.69949,1.68897,1.69241,377648.09175675
1985-07-08,1.69241,1.71327,1.68897,1.71327,1302114.2591876
1985-07-09,1.71327,1.75557,1.70993,1.75557,2395753.4599625
1985-07-10,1.75557,1.75557,1.7239,1.74515,7175295.4468192
1985-07-11,1.74515,1.74515,1.73118,1.74141,1566982.3616662
1985-07-12,1.73806,1.73806,1.70993,1.73472,927882.54157437
1985-07-15,1.73472,1.73806,1.70993,1.71327,1917282.1801918
1985-07-16,1.71327,1.76974,1.70265,1.76974,2158230.5812886
1985-07-17,1.76974,1.77663,1.69605,1.70265,7014663.8570716
1985-07-18,1.70265,1.71327,1.68189,1.70993,2530752.587117
1985-07-19,1.70265,1.70265,1.65405,1.66477,919341.09797799
1985-07-22,1.66477,1.66783,1.65011,1.66783,375939.39644728
1985-07-23,1.66783,1.68189,1.65405,1.66477,1015035.150637
1985-07-24,1.66477,1.67127,1.66477,1.66783,5663000.4833357
1985-07-25,1.66783,1.68189,1.66783,1.67127,2142851.3070279
1985-07-26,1.67127,1.68189,1.66783,1.67127,743334.29987167
1985-07-29,1.67127,1.68189,1.67127,1.68189,811683.12872614
1985-07-30,1.69241,1.69241,1.67835,1.69241,900543.41662278
1985-07-31,1.69241,1.71721,1.69241,1.71327,5512622.0819206
1985-08-01,1.72774,1.74141,1.72774,1.74141,8058748.8609207
1985-08-02,1.74141,1.74515,1.73472,1.73472,570744.8923843
1985-08-05,1.73472,1.74141,1.71721,1.72774,2076203.0416789
1985-08-06,1.72774,1.73472,1.71327,1.71721,475048.80677426
1985-08-07,1.71721,1.71721,1.70265,1.71327,997946.1645913
1985-08-08,1.71327,1.73472,1.71327,1.73118,189676.36058212
1985-08-09,1.73118,1.73118,1.7239,1.7239,874908.92107868
1985-08-12,1.7239,1.73806,1.7239,1.7239,220438.97500563
1985-08-13,1.7239,1.75223,1.7239,1.72774,1553306.7003374
1985-08-14,1.72774,1.74515,1.7239,1.73806,322967.80890257
1985-08-15,1.73806,1.74141,1.7239,1.72774,902254.14488325
1985-08-16,1.72774,1.75223,1.7239,1.74141,1449070.1876064
1985-08-19,1.74141,1.75223,1.73806,1.75223,1182492.3733431
1985-08-20,1.75223,1.75557,1.74515,1.75223,2441891.2827448
1985-08-21,1.75223,1.76266,1.74515,1.76266,1978801.3101859
1985-08-22,1.76266,1.76266,1.74141,1.74141,890287.17886395
1985-08-23,1.74141,1.74141,1.73472,1.73472,377648.09175675
1985-08-26,1.73472,1.75223,1.73118,1.75223,570744.8923843
1985-08-27,1.75223,1.75557,1.73806,1.73806,1194458.3228868
1985-08-28,1.73806,1.75223,1.73472,1.74515,555362.56869704
1985-08-29,1.74515,1.74515,1.73806,1.73806,263150.25888952
1985-08-30,1.73806,1.75223,1.73472,1.74141,681816.18635312
1985-09-03,1.74141,1.75223,1.73118,1.73118,1995889.2797561
1985-09-04,1.73118,1.73472,1.7239,1.73472,372524.03877932
1985-09-05,1.73472,1.73806,1.72774,1.73806,866367.47748231
1985-09-06,1.74141,1.75223,1.74141,1.74141,727951.97618442
1985-09-09,1.74141,1.75557,1.73806,1.75223,591248.2196225
1985-09-10,1.75223,1.75223,1.70265,1.70265,452838.81717759
1985-09-11,1.69605,1.69605,1.66783,1.67835,7394026.7429908
1985-09-12,1.67835,1.67835,1.66477,1.66783,1228635.2785027
1985-09-13,1.66783,1.66783,1.65405,1.65405,1346539.3207584
1985-09-16,1.65405,1.66477,1.65405,1.66074,637386.04240479
1985-09-17,1.66074,1.67127,1.65405,1.66783,731371.39975436
1985-09-18,1.66783,1.67835,1.65405,1.66783,3057063.2696509
1985-09-19,1.66783,1.67835,1.65405,1.65405,2988709.3584189
1985-09-20,1.65405,1.66477,1.63968,1.64352,2110382.0302459
1985-09-23,1.66477,1.68189,1.66477,1.67127,505808.37177129
1985-09-24,1.67127,1.68189,1.66074,1.66074,483590.25037064
1985-09-25,1.66074,1.66477,1.64352,1.64352,3181807.175522
1985-09-26,1.64352,1.65405,1.6326,1.64352,4335250.7121285
1985-09-30,1.64352,1.65405,1.63968,1.65405,404988.23318383
1985-10-01,1.64352,1.65405,1.64352,1.65405,2675995.7543242
1985-10-02,1.65405,1.65405,1.63594,1.63594,3320219.6273935
1985-10-03,1.63594,1.65405,1.6326,1.65011,3026304.7211294
1985-10-04,1.65011,1.65011,1.6326,1.64352,676690.10042468
1985-10-07,1.64352,1.67127,1.64352,1.66783,599792.71264537
1985-10-08,1.66783,1.68189,1.66477,1.66477,603210.10326431
1985-10-09,1.66783,1.67835,1.66783,1.67127,555362.56869704
1985-10-10,1.67127,1.68189,1.66074,1.66477,748462.41875109
1985-10-11,1.66477,1.66783,1.62916,1.66074,663019.52147339
1985-10-14,1.66074,1.66783,1.65405,1.66074,83728.103115237
1985-10-15,1.66074,1.68543,1.66074,1.68189,864656.74922183
1985-10-16,1.68189,1.68543,1.67835,1.68543,953520.08654496
1985-10-17,1.68543,1.70678,1.68189,1.69605,615170.97043063
1985-10-18,1.69605,1.71327,1.69241,1.69605,1037248.1896602
1985-10-21,1.69605,1.70678,1.69241,1.70678,909089.94259664
1985-10-22,1.70678,1.71327,1.67127,1.69949,2903268.4940922
1985-10-23,1.69949,1.69949,1.67835,1.68543,4383103.3290733
1985-10-24,1.68189,1.68189,1.65011,1.66477,5586102.0790809
1985-10-25,1.66783,1.68189,1.66783,1.67127,933008.62750279
1985-10-28,1.67127,1.68543,1.67127,1.68543,1170535.5720788
1985-10-29,1.69949,1.70993,1.69241,1.69241,1003073.2669952
1985-10-30,1.69241,1.70678,1.69241,1.70265,1167114.1155577
1985-10-31,1.71721,1.75557,1.71721,1.75557,1255978.4693564
1985-11-01,1.75557,1.79433,1.74515,1.79433,1596028.1489762
1985-11-04,1.79433,1.80123,1.77663,1.78351,5623698.4582668
1985-11-05,1.78351,1.80467,1.78351,1.78735,500680.25289188
1985-11-06,1.78735,1.80123,1.78351,1.79433,589537.49136202
1985-11-07,1.79433,1.82601,1.79433,1.81874,1079964.5559216
1985-11-08,1.81874,1.82926,1.81156,1.8154,3636349.6056316
1985-11-11,1.8154,1.8329,1.81156,1.8329,917631.38619303
1985-11-12,1.8329,1.83979,1.81874,1.82601,751874.72699256
1985-11-13,1.82601,1.83654,1.82601,1.82601,1696849.3040391
1985-11-14,1.82601,1.8329,1.82601,1.82601,661307.77673743
1985-11-15,1.82601,1.83979,1.82601,1.8329,2969911.6770638
1985-11-18,1.8329,1.85396,1.82926,1.84362,1213254.9877665
1985-11-19,1.84697,1.88879,1.84697,1.87157,1688308.8769183
1985-11-20,1.87157,1.88879,1.86773,1.87157,3099782.6853388
1985-11-21,1.88572,1.92774,1.88572,1.92774,649346.9095711
1985-11-22,1.92774,1.93472,1.90659,1.92774,762129.94827588
1985-11-25,1.92774,1.93108,1.91013,1.91711,1922411.3155467
1985-11-26,1.91711,1.92774,1.91013,1.91711,1020160.22009
1985-11-27,1.91711,1.93108,1.91013,1.91711,350305.91737867
1985-11-29,1.91711,1.92774,1.91711,1.92065,727951.97618442
1985-12-02,1.92065,1.93108,1.88199,1.88879,1623371.3398298
