Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,14.6208,14.9294,14.6208,14.8496,493537.67971682
2005-02-28,14.8281,14.9147,14.6713,14.7395,387381.2782876
2005-03-01,14.7347,14.869,14.682,14.7297,510216.05364066
2005-03-02,14.7045,14.7843,14.6139,14.7395,570233.1318643
2005-03-03,14.7541,14.8136,14.504,14.682,608110.32108593
2005-03-04,14.7347,14.8496,14.682,14.758,872342.44787038
2005-03-07,14.6139,14.9362,14.5556,14.8807,818406.39066775
2005-03-08,14.8553,14.8807,14.7726,14.8613,743265.35392909
2005-03-09,14.8613,14.8613,14.6256,14.6256,500551.55545773
2005-03-10,14.6568,14.7464,14.5819,14.7347,336093.7887809
2005-03-11,14.7464,14.8496,14.5964,14.5964,279194.78773226
2005-03-14,14.5964,14.9147,14.5741,14.8213,646615.23523471
2005-03-15,14.8213,14.9147,14.6004,14.6139,441938.89617914
2005-03-16,14.6208,14.6315,14.1234,14.2266,939216.21375988
2005-03-17,14.3901,14.466,14.324,14.3959,1113809.0154718
2005-03-18,14.3959,14.3959,14.1817,14.2791,1057844.9238891
2005-03-21,14.2061,14.2266,14.0641,14.1107,488082.32887688
2005-03-22,14.176,14.2207,13.8684,13.8771,667975.34809971
2005-03-23,13.883,14.0358,13.7807,13.992,799077.39430191
2005-03-24,13.9861,14.1457,13.9063,13.9131,558228.27789731
2005-03-28,13.9861,14.0007,13.7574,13.812,606397.69022901
2005-03-29,13.7974,13.8421,13.5491,13.5686,731572.82136613
2005-03-30,13.5268,13.7807,13.5141,13.6883,561349.43719143
2005-03-31,13.6766,13.883,13.6766,13.883,724095.60038439
2005-04-01,13.9734,14.0007,13.6766,13.8324,590498.06506915
2005-04-04,13.7408,13.8363,13.5335,13.8324,634928.86690998
2005-04-05,13.8557,13.9063,13.7311,13.8684,872495.52645326
2005-04-06,13.9336,13.9463,13.7807,13.8625,1092767.3882489
2005-04-07,13.8557,14.0504,13.8421,13.992,1216067.5635889
2005-04-08,13.992,14.3054,13.954,14.1234,1400486.161051
2005-04-11,14.1457,14.2266,14.1107,14.172,799540.73954275
2005-04-12,14.1107,14.6208,13.9978,14.5176,1205781.5047171
2005-04-13,14.4543,14.6636,14.3833,14.5176,863456.69845142
2005-04-14,14.5176,14.5361,14.3123,14.324,473267.60964677
2005-04-15,14.3998,14.4981,14.0874,14.0874,616061.1610389
2005-04-18,14.1049,14.2665,14.0358,14.1322,692137.10724353
2005-04-19,14.2061,14.5819,14.2061,14.5117,1120515.7066738
2005-04-20,14.5117,14.6071,14.3376,14.356,621677.80944605
2005-04-21,14.4339,14.5964,14.3833,14.5283,562748.71927128
2005-04-22,14.5283,14.69,14.4767,14.69,574442.27920728
2005-04-25,14.7395,14.8739,14.69,14.7541,662204.59373664
2005-04-26,14.7541,14.7541,14.4981,14.5176,434301.40500323
2005-04-27,14.4543,14.5819,14.3745,14.5556,564777.78102436
2005-04-28,14.5594,14.5819,14.4476,14.5224,514265.95816251
2005-04-29,14.5497,14.69,14.3317,14.69,726896.21929017
2005-05-02,14.69,14.9595,14.6713,14.9147,795644.94097683
2005-05-03,14.8213,14.8807,14.65,14.6713,643971.80440398
2005-05-04,14.682,14.7541,14.6256,14.6315,409357.81497633
2005-05-05,14.6773,14.8359,14.5964,14.7113,531258.70823643
2005-05-06,14.7843,14.8613,14.726,14.8213,336714.32209679
2005-05-09,14.7843,14.942,14.6568,14.942,508342.12521655
2005-05-10,14.5964,14.69,14.4709,14.5964,1091987.612112
2005-05-11,14.6315,14.65,14.3998,14.5361,557762.8779104
2005-05-12,14.4981,14.504,14.0689,14.1974,1334388.0618063
2005-05-13,14.2334,14.2918,13.8187,14.0057,595646.23137027
2005-05-16,13.959,14.3637,13.9248,14.324,730796.12734824
2005-05-17,14.2402,14.543,14.176,14.504,545138.51800058
2005-05-18,14.5497,14.6315,14.4213,14.4593,542638.91939538
2005-05-19,14.5117,14.6636,14.5117,14.5594,348719.17606376
