Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,3.5383,3.5667,3.505,3.5633,4968000
2005-02-28,3.5533,3.585,3.535,3.5833,4614000
2005-03-01,3.6,3.6433,3.5867,3.6367,4903200
2005-03-02,3.6467,3.685,3.6167,3.6733,5137200
2005-03-03,3.6683,3.6683,3.6167,3.6483,4982400
2005-03-04,3.6583,3.6767,3.625,3.66,2337600
2005-03-07,3.655,3.655,3.615,3.6283,3398400
2005-03-08,3.6283,3.66,3.5683,3.59,4188000
2005-03-09,3.5833,3.625,3.5833,3.6217,2689200
2005-03-10,3.6267,3.6567,3.6067,3.6183,2882400
2005-03-11,3.625,3.635,3.6083,3.6183,3774000
2005-03-14,3.6217,3.6967,3.62,3.69,4440000
2005-03-15,3.705,3.72,3.625,3.64,2866800
2005-03-16,3.64,3.64,3.5683,3.58,3776400
2005-03-17,3.575,3.6067,3.56,3.5867,2328000
2005-03-18,3.6067,3.6183,3.5933,3.615,5570400
2005-03-21,3.6067,3.6317,3.5833,3.625,2872800
2005-03-22,3.625,3.6367,3.59,3.6067,3915600
2005-03-23,3.6,3.6067,3.5833,3.5917,4239600
2005-03-24,3.5917,3.6117,3.5717,3.5717,4748400
2005-03-28,3.5717,3.5833,3.55,3.5733,3175200
2005-03-29,3.56,3.6133,3.55,3.5833,3715200
2005-03-30,3.5833,3.6183,3.5617,3.6167,6835200
2005-03-31,3.6167,3.6217,3.5983,3.6017,4111200
2005-04-01,3.5917,3.625,3.5917,3.6017,10345200
2005-04-04,3.6083,3.61,3.5417,3.56,3964800
2005-04-05,3.5633,3.5883,3.5633,3.5783,3897600
2005-04-06,3.58,3.6067,3.5683,3.575,4291200
2005-04-07,3.565,3.5667,3.5417,3.5567,5614800
2005-04-08,3.55,3.55,3.52,3.5417,2608800
2005-04-11,3.5417,3.5617,3.535,3.5417,2450400
2005-04-12,3.5417,3.5483,3.5,3.52,4508400
2005-04-13,3.5283,3.5733,3.5233,3.5433,3720000
2005-04-14,3.5417,3.5533,3.4833,3.5,10772400
2005-04-15,3.4867,3.545,3.475,3.4883,5217600
2005-04-18,3.48,3.52,3.4683,3.5067,4402800
2005-04-19,3.52,3.55,3.5117,3.535,4394400
2005-04-20,3.54,3.5717,3.5083,3.5117,4275600
2005-04-21,3.5333,3.5467,3.485,3.5333,10870800
2005-04-22,3.5333,3.5633,3.485,3.5517,11569200
2005-04-25,3.5533,3.66,3.5533,3.6483,11046000
2005-04-26,3.65,3.6933,3.61,3.6333,7291200
2005-04-27,3.645,3.67,3.6067,3.6667,3619200
2005-04-28,3.665,3.6833,3.6467,3.675,6734400
2005-04-29,3.6783,3.6783,3.6383,3.67,9620400
2005-05-02,3.6667,3.7417,3.6667,3.73,6667200
2005-05-03,3.7267,3.7833,3.7183,3.7583,6944400
2005-05-04,3.7617,3.79,3.7467,3.7767,6312000
2005-05-05,3.7767,3.81,3.7433,3.795,5406000
2005-05-06,3.8,3.8167,3.7917,3.81,3180000
2005-05-09,3.81,3.85,3.785,3.85,5077200
2005-05-10,3.8333,3.89,3.7767,3.7917,10401600
2005-05-11,3.7917,3.83,3.7833,3.825,1845600
