Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,0.648181,0.648181,0.648181,0.648181,412794.24675361
1990-03-27,0.648181,0.648181,0.648181,0.648181,56287.91641952
1990-03-28,0.648181,0.648181,0.648181,0.648181,1013222.9780775
1990-03-29,0.648181,0.648181,0.631088,0.648181,705504.16413085
1990-03-30,0.631088,0.648181,0.631088,0.631088,491598.54421672
1990-04-02,0.648181,0.648181,0.631088,0.639486,3944064.7613923
1990-04-03,0.648181,0.648181,0.639486,0.648181,1542346.7999073
1990-04-04,0.631088,0.631088,0.631088,0.631088,7505.4603478642
1990-04-05,0.631088,0.639486,0.631088,0.639486,217656.32596176
1990-04-06,0.622688,0.631088,0.622688,0.631088,11404390.128791
1990-04-09,0.631088,0.648181,0.631088,0.648181,135096.26213525
1990-04-10,0.622688,0.631088,0.622688,0.622688,138848.99230918
1990-04-11,0.648181,0.648181,0.622688,0.622688,67548.131067624
1990-04-12,0.631088,0.631088,0.631088,0.631088,165120.12765301
1990-04-16,0.622688,0.631088,0.622688,0.631088,63797.425019999
1990-04-17,0.631088,0.631088,0.605397,0.622688,9115256.09665
1990-04-18,0.622688,0.631088,0.622688,0.631088,330235.19499025
1990-04-19,0.631088,0.631088,0.622688,0.622688,630450.57271536
1990-04-20,0.614092,0.614092,0.614092,0.614092,30021.841391457
1990-04-23,0.631088,0.631088,0.631088,0.631088,3750.7060476247
1990-04-24,0.631088,0.631088,0.605397,0.605397,318977.00446846
1990-04-25,0.631088,0.631088,0.605397,0.605397,240170.68287903
1990-04-27,0.605397,0.622688,0.605397,0.605397,78806.32158942
1990-04-30,0.614092,0.614092,0.605397,0.605397,281448.69066598
1990-05-01,0.622688,0.622688,0.605397,0.614092,390277.86571001
1990-05-02,0.631088,0.631088,0.631088,0.631088,26272.147406985
1990-05-03,0.631088,0.631088,0.631088,0.631088,108827.15091772
1990-05-04,0.631088,0.631088,0.631088,0.631088,26272.147406985
1990-05-07,0.631088,0.656382,0.631088,0.656382,240170.68287903
1990-05-08,0.664978,0.673674,0.648181,0.648181,277700.00874466
1990-05-09,0.656382,0.656382,0.631088,0.631088,198892.6750921
1990-05-10,0.631088,0.648181,0.631088,0.639486,266440.80615972
1990-05-11,0.648181,0.648181,0.648181,0.648181,330235.19499025
1990-05-14,0.631088,0.648181,0.631088,0.631088,1088276.569493
1990-05-15,0.631088,0.631088,0.622688,0.631088,6859895.6240114
1990-05-16,0.622688,0.631088,0.622688,0.622688,1058253.7160384
1990-05-17,0.631088,0.631088,0.622688,0.622688,191386.20268107
1990-05-18,0.622688,0.631088,0.622688,0.622688,71298.837115248
1990-05-21,0.631088,0.648181,0.622688,0.631088,2739457.60476
1990-05-22,0.648181,0.648181,0.631088,0.648181,2769478.4340883
1990-05-23,0.648181,0.648181,0.648181,0.648181,844353.15644003
1990-05-24,0.631088,0.648181,0.631088,0.648181,600429.74338706
1990-05-25,0.631088,0.631088,0.631088,0.631088,60044.694846067
1990-05-29,0.631088,0.648181,0.631088,0.648181,82559.051763352
1990-05-30,0.631088,0.631088,0.631088,0.631088,3750.7060476247
1990-05-31,0.648181,0.648181,0.648181,0.648181,22517.393106746
1990-06-01,0.648181,0.673674,0.631088,0.673674,2101501.5716969
1990-06-04,0.673674,0.690767,0.673674,0.690767,210150.86561389
1990-06-05,0.690767,0.690767,0.673674,0.690767,345245.10362283
1990-06-06,0.690767,0.690767,0.690767,0.690767,93818.254348302
1990-06-07,0.690767,0.699067,0.664978,0.673674,2195316.7898557
1990-06-08,0.664978,0.673674,0.656382,0.664978,1842566.225885
1990-06-11,0.673674,0.673674,0.673674,0.673674,198892.6750921
1990-06-12,0.673674,0.673674,0.673674,0.673674,810580.60900095
1990-06-13,0.673674,0.673674,0.673674,0.673674,52537.210371896
1990-06-14,0.673674,0.673674,0.664978,0.664978,2454252.1356675
1990-06-15,0.673674,0.673674,0.664978,0.664978,281448.69066598
1990-06-18,0.664978,0.664978,0.648181,0.648181,911899.26338134
1990-06-19,0.648181,0.664978,0.648181,0.648181,510362.19508638
1990-06-20,0.664978,0.664978,0.648181,0.648181,1831307.0233
1990-06-21,0.648181,0.664978,0.648181,0.664978,394031.6079471
1990-06-22,0.648181,0.664978,0.648181,0.664978,746784.1960441
1990-06-25,0.656382,0.673674,0.656382,0.673674,345245.10362283
1990-06-26,0.673674,0.673674,0.656382,0.664978,476590.65971046
1990-06-27,0.673674,0.682171,0.673674,0.673674,521618.36148187
1990-06-29,0.690767,0.690767,0.673674,0.673674,127589.78972423
1990-07-02,0.673674,0.690767,0.673674,0.690767,7505.4603478642
1990-07-03,0.682171,0.682171,0.682171,0.682171,131346.56815077
1990-07-05,0.682171,0.682171,0.682171,0.682171,217656.32596176
1990-07-06,0.673674,0.682171,0.673674,0.673674,217656.32596176
1990-07-10,0.682171,0.682171,0.664978,0.682171,1403499.8317244
1990-07-11,0.682171,0.682171,0.664978,0.664978,405289.7984689
1990-07-12,0.673674,0.707762,0.673674,0.707762,450319.52436662
1990-07-13,0.707762,0.733354,0.699067,0.707762,1223371.8195651
1990-07-16,0.690767,0.716457,0.690767,0.707762,2469263.0563633
1990-07-17,0.699067,0.699067,0.682171,0.690767,303965.07170958
1990-07-19,0.690767,0.690767,0.682171,0.690767,142602.73454627
1990-07-20,0.682171,0.690767,0.682171,0.690767,157612.64317884
1990-07-23,0.673674,0.682171,0.664978,0.682171,788062.20383104
1990-07-24,0.664978,0.682171,0.648181,0.656382,975695.67633819
1990-07-25,0.656382,0.656382,0.656382,0.656382,97565.924206466
1990-07-26,0.656382,0.690767,0.656382,0.673674,1204609.1807586
1990-07-27,0.664978,0.673674,0.664978,0.673674,424051.42521225
1990-07-30,0.656382,0.673674,0.622688,0.631088,2514293.7943241
1990-07-31,0.648181,0.648181,0.631088,0.648181,889382.88233775
1990-08-01,0.656382,0.656382,0.631088,0.631088,213902.58372467
1990-08-02,0.631088,0.631088,0.605397,0.614092,893134.60044853
1990-08-03,0.605397,0.605397,0.596899,0.605397,311468.50793114
1990-08-06,0.5886,0.5886,0.562909,0.5886,120086.35350267
1990-08-07,0.5886,0.5886,0.562909,0.562909,7948173.2055676
1990-08-08,0.580004,0.580004,0.562909,0.580004,4368116.1866046
1990-08-09,0.562909,0.580004,0.562909,0.562909,4034128.2614403
1990-08-10,0.580004,0.580004,0.562909,0.580004,754287.63226566
1990-08-13,0.562909,0.57111,0.554412,0.554412,360259.06050802
1990-08-14,0.537318,0.545618,0.528722,0.528722,1110791.9384734
