Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-07-20,25.336,25.336,22.006,22.034,704276
2005-07-21,22.212,22.665,22.034,22.13,237010
2005-07-22,22.682,22.938,22.063,22.904,123262
2005-07-25,22.938,22.938,22.249,22.33,85900
2005-07-26,22.43,22.43,21.879,22.11,222418
2005-07-27,22.11,22.221,21.787,22.176,212973
2005-07-28,22.204,22.221,22.024,22.158,203126
2005-07-29,22.204,22.43,21.969,22.423,131714
2005-08-01,22.321,22.57,22.204,22.43,358054
2005-08-02,23.951,23.951,21.779,22.158,650607
2005-08-03,22.357,22.357,21.889,21.969,320735
2005-08-04,21.899,22.006,21.511,21.741,306449
2005-08-05,21.823,21.823,21.327,21.53,449473
2005-08-08,21.65,21.787,19.585,20.731,13860126
2005-08-09,21.436,21.969,20.747,21.969,10573584
2005-08-10,22.285,22.59,21.806,21.833,5574315
2005-08-11,21.723,21.908,20.985,21.07,3701828
2005-08-12,20.938,20.957,19.807,20.542,3668275
2005-08-15,20.731,20.803,19.619,19.751,3234395
2005-08-16,19.609,19.903,19.06,19.76,5094187
2005-08-17,19.513,20.26,19.486,19.98,2436994
2005-08-18,19.609,20.269,19.609,20.033,2911235
2005-08-19,19.913,20.174,19.846,19.947,1732913
2005-08-22,19.989,20.08,19.531,19.903,3541762
2005-08-23,19.694,19.938,19.539,19.76,2340140
2005-08-24,19.619,20.061,19.549,19.903,2517532
2005-08-25,19.741,20.551,19.741,20.413,1714372
2005-08-26,20.396,20.755,20.174,20.37,1172315
2005-08-29,20.316,20.731,20.174,20.58,1009688
2005-08-30,20.306,20.731,20.269,20.635,1315942
2005-08-31,20.514,20.663,20.269,20.504,1795687
2005-09-01,20.396,20.673,20.325,20.469,1607715
2005-09-02,20.443,20.848,20.008,20.608,1994015
2005-09-06,19.98,20.775,19.98,20.351,2696890
2005-09-07,20.223,20.812,20.183,20.524,1485760
2005-09-08,20.423,21.162,20.288,20.682,1389901
2005-09-09,20.269,20.59,20.033,20.325,4486069
2005-09-12,20.223,20.994,20.223,20.36,2194187
2005-09-13,20.58,20.645,20.269,20.334,1624494
2005-09-14,20.213,20.396,20.033,20.1,1579026
2005-09-15,20.017,20.126,19.395,19.723,2738704
2005-09-16,19.577,19.769,19.118,19.347,2066642
2005-09-19,19.162,19.628,19.128,19.395,2349179
2005-09-20,19.413,19.413,19.128,19.288,1475516
2005-09-21,19.751,19.807,17.143,19.024,1946451
2005-09-22,19.033,19.042,18.083,18.657,2111724
2005-09-23,18.694,18.704,18.196,18.498,1498594
2005-09-26,18.451,18.729,18.331,18.46,1662232
2005-09-27,18.46,18.675,18.101,18.348,1468653
2005-09-28,18.312,18.358,18.091,18.176,1414577
2005-09-29,18.065,18.527,18.001,18.442,2483904
2005-09-30,18.101,18.415,17.983,18.251,2329444
2005-10-03,18.8,19.577,18.608,18.8,2221598
2005-10-04,18.828,19.365,18.792,18.971,1460683
2005-10-05,18.978,19.135,18.348,18.508,1169516
2005-10-06,18.704,18.704,18.111,18.46,798482
2005-10-07,18.348,18.792,18.167,18.518,1186437
2005-10-10,18.423,18.883,18.331,18.704,960268
2005-10-11,18.713,18.961,18.331,18.47,968359
2005-10-12,18.377,18.657,18.001,18.101,1346690
2005-10-13,17.983,18.34,17.782,18.205,1349324
2005-10-14,18.251,19.308,18.149,18.554,1041543
2005-10-17,18.498,18.883,18.196,18.809,1304119
2005-10-18,18.856,18.961,18.149,18.304,652893
2005-10-19,18.29,18.415,17.918,18.046,1014758
2005-10-20,17.983,18.149,17.484,17.964,1276662
2005-10-21,17.836,18.368,17.695,18.037,906492
2005-10-24,18.074,18.074,17.375,17.752,1726154
2005-10-25,17.588,17.724,17.272,17.348,1066197
2005-10-26,17.32,17.53,17.052,17.262,1023784
2005-10-27,17.579,17.597,17.225,17.348,1258614
2005-10-28,17.123,17.404,17.116,17.301,1318383
2005-10-31,17.143,17.714,17.033,17.367,1962056
2005-11-01,17.208,17.676,17.208,17.54,1784877
2005-11-02,17.45,18.001,17.32,17.872,1789682
2005-11-03,18.883,19.318,18.545,19.079,4921266
2005-11-04,21.631,22.221,20.452,20.938,9478874
2005-11-07,21.003,21.07,20.325,20.848,1570943
2005-11-08,20.653,21.097,20.174,20.812,1529906
2005-11-09,20.84,20.994,20.288,20.542,1830001
2005-11-10,20.36,20.692,20.183,20.269,1404939
2005-11-11,20.26,20.378,19.694,19.807,1491181
2005-11-14,19.807,20.1,19.486,19.875,2062116
2005-11-15,19.769,19.893,19.422,19.816,1436074
2005-11-16,19.98,20.342,19.685,19.723,1248991
2005-11-17,19.76,20.144,19.495,19.947,2458899
2005-11-18,19.947,20.183,19.855,19.989,1810493
2005-11-21,19.972,21.097,19.972,20.821,4949483
2005-11-22,20.93,21.823,20.653,21.557,4122065
2005-11-23,21.281,21.557,20.775,21.003,2458305
2005-11-25,21.133,21.574,21.133,21.317,419677
2005-11-28,21.502,21.621,21.116,21.363,1401324
2005-11-29,21.309,22.34,21.281,21.797,4237450
2005-11-30,22.081,23.021,21.872,22.928,6016985
2005-12-01,22.928,23.105,22.692,22.885,3145613
2005-12-02,22.708,22.967,22.477,22.938,1022201
2005-12-05,23.006,23.006,22.24,22.459,2391026
2005-12-06,22.692,22.837,22.302,22.396,1468519
2005-12-07,22.302,22.847,22.302,22.646,2162201
2005-12-08,22.57,22.817,22.295,22.682,1147385
2005-12-09,22.618,23.141,22.414,22.938,2129701
2005-12-12,23.262,23.307,22.665,23.214,1529279
2005-12-13,23.167,23.426,22.778,23.141,1935484
2005-12-14,23.223,23.472,22.855,23.364,1504693
2005-12-15,23.426,23.566,23.058,23.426,1812372
2005-12-16,23.629,24.245,22.996,24.047,17819334
2005-12-19,23.639,23.895,22.847,23.417,5036743
2005-12-20,23.481,23.548,22.523,22.808,2330136
2005-12-21,22.718,22.808,22.249,22.406,2267930
2005-12-22,22.486,22.628,21.751,22.276,3256469
2005-12-23,22.35,22.468,21.899,22.072,1082272
2005-12-27,22.015,22.312,21.327,21.852,1195135
2005-12-28,21.714,22.167,21.281,22.063,2055899
2005-12-29,22.11,22.321,21.814,21.95,975753
2005-12-30,21.814,22.285,21.557,22.072,1148578
2006-01-03,22.11,22.295,21.603,22.11,2235400
2006-01-04,22.11,22.386,21.732,22.34,2465327
2006-01-05,22.414,22.43,21.927,22.11,1343445
2006-01-06,22.33,22.423,21.751,22.12,3474685
2006-01-09,22.148,22.58,21.927,22.495,2344112
2006-01-10,22.904,23.399,22.59,23.317,4040453
2006-01-11,23.289,23.629,23.077,23.436,2099215
2006-01-12,23.262,23.676,23.077,23.61,1855554
2006-01-13,23.52,23.768,23.374,23.692,1378751
2006-01-17,23.806,23.942,23.692,23.833,2806745
2006-01-18,23.647,24.074,23.647,23.913,2835002
2006-01-19,23.904,24.056,23.61,23.933,949190
2006-01-20,23.702,23.951,23.223,23.354,1653230
2006-01-23,23.28,23.741,23.031,23.639,1376778
2006-01-24,23.639,23.842,23.262,23.481,2560460
2006-01-25,23.417,23.491,22.754,23.307,1278899
2006-01-26,23.584,23.859,23.317,23.647,1313371
2006-01-27,23.667,24.459,23.557,24.108,2111494
2006-01-30,24.254,24.515,24.074,24.236,1599511
2006-01-31,24.218,24.375,23.584,23.97,1275496
2006-02-01,23.886,24.228,23.472,24.118,908560
2006-02-02,23.961,25.381,23.603,23.851,1636559
2006-02-03,23.472,23.647,22.847,23.463,1838561
2006-02-06,23.242,23.575,23.214,23.51,853588
2006-02-07,23.28,23.692,23.214,23.53,1066548
2006-02-08,23.52,23.833,23.336,23.676,1056533
2006-02-09,23.61,24.056,23.124,23.252,956132
2006-02-10,22.396,22.477,21.696,22.33,4780652
