Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.372296,0.378705,0.372296,0.372296,672400.06961864
1977-01-04,0.372296,0.372296,0.359293,0.36579,1106430.7207589
1977-01-05,0.36579,0.36579,0.359293,0.359293,1080249.007764
1977-01-06,0.359293,0.36579,0.359293,0.36579,1209769.6510985
1977-01-07,0.36579,0.36579,0.36579,0.36579,720625.24395395
1977-01-10,0.36579,0.372296,0.36579,0.372296,996199.12662803
1977-01-11,0.372296,0.372296,0.36579,0.36579,1373738.3054303
1977-01-12,0.36579,0.372296,0.36579,0.36579,731647.99515479
1977-01-13,0.36579,0.372296,0.36579,0.372296,2013066.0393239
1977-01-14,0.372296,0.372296,0.372296,0.372296,684799.51662264
1977-01-17,0.372296,0.372296,0.36579,0.36579,844628.89876951
1977-01-18,0.36579,0.372296,0.36579,0.372296,715114.37861884
1977-01-19,0.372296,0.372296,0.36579,0.372296,1209769.6510985
1977-01-20,0.372296,0.372296,0.36579,0.36579,811563.70675884
1977-01-21,0.36579,0.372296,0.36579,0.372296,1709932.7273212
1977-01-24,0.372296,0.372296,0.36579,0.36579,1408182.2343054
1977-01-25,0.372296,0.372296,0.36579,0.36579,1022372.675378
1977-01-26,0.372296,0.372296,0.372296,0.372296,1504633.6035067
1977-01-27,0.372296,0.372296,0.372296,0.372296,869439.01861431
1977-01-28,0.372296,0.378705,0.372296,0.372296,1037537.7603557
1977-01-31,0.372296,0.372296,0.372296,0.372296,872186.28703691
1977-02-01,0.372296,0.372296,0.372296,0.372296,873571.14708502
1977-02-02,0.372296,0.372296,0.36579,0.36579,578704.13308496
1977-02-03,0.36579,0.372296,0.359293,0.36579,1350311.0045724
1977-02-04,0.36579,0.36579,0.359293,0.36579,781254.96794634
1977-02-07,0.36579,0.36579,0.359293,0.359293,682044.08395509
1977-02-08,0.359293,0.36579,0.359293,0.359293,742672.78741687
1977-02-09,0.359293,0.359293,0.346182,0.346182,4010974.1373845
1977-02-10,0.346182,0.352709,0.346182,0.346182,1526679.1059083
1977-02-11,0.346182,0.352709,0.346182,0.346182,1340668.0107666
1977-02-14,0.346182,0.346182,0.339696,0.346182,945217.49909455
1977-02-15,0.346182,0.346182,0.346182,0.346182,1488098.9664401
1977-02-16,0.346182,0.352709,0.346182,0.352709,4431226.6046563
1977-02-17,0.352709,0.352709,0.352709,0.352709,731647.99515479
1977-02-18,0.352709,0.352709,0.352709,0.352709,863929.17380981
1977-02-22,0.352709,0.352709,0.352709,0.352709,998955.5798262
1977-02-23,0.352709,0.352709,0.352709,0.352709,1680996.6021895
1977-02-24,0.352709,0.352709,0.346182,0.346182,844628.89876951
