Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-10-12,15.6225,16.0254,15.342,15.342,7378662.1115239
2012-10-15,15.3872,15.6319,15.342,15.5595,722109.98317055
2012-10-16,15.4022,15.7355,15.1218,15.5952,205608.03387394
2012-10-17,15.5171,15.8418,15.342,15.5171,137983.59785527
2012-10-18,15.4277,15.6667,15.3608,15.5171,166555.85170994
2012-10-19,15.5359,15.6047,15.2611,15.2611,339931.51889206
2012-10-22,15.342,15.3514,14.8412,14.9297,410352.30236714
2012-10-23,14.7726,15.1641,14.6841,15.0154,189427.04156342
2012-10-24,14.8328,15.3147,14.8328,15.2441,180420.72036734
2012-10-25,15.7618,15.7618,14.2398,14.9297,235938.6293093
2012-10-26,15.3514,15.3514,14.5523,15.0248,227469.90378683
2012-10-31,14.4638,14.9297,14.4638,14.9297,41464.988042992
2012-11-01,14.991,15.3242,14.4733,15.1038,231505.05866506
2012-11-02,14.895,15.1038,14.5194,14.9035,82142.706532334
2012-11-05,14.7189,14.9035,14.4638,14.6483,37979.115700851
2012-11-06,14.4828,15.3242,14.1052,14.911,422669.19296831
2012-11-07,14.6841,15.2517,14.6841,14.957,177685.9945494
2012-11-08,14.9035,15.1405,14.2793,14.6841,161494.37781846
2012-11-09,14.316,14.8507,14.316,14.51,239030.33565359
2012-11-12,14.429,14.51,14.3425,14.4638,14578.829710104
2012-11-13,14.413,14.6936,13.9998,14.0638,54274.851751979
2012-11-14,13.9998,14.4385,13.7193,14.0723,140742.7598402
2012-11-15,14.3603,15.1313,13.7701,14.639,418593.66529247
2012-11-16,15.3608,15.5086,14.2615,14.7462,119314.36628072
2012-11-19,14.7726,15.1218,14.4638,15.0079,88044.572079603
2012-11-20,15.0248,15.1595,14.7547,15.0154,286753.10732816
2012-11-21,15.0079,15.3242,14.7726,15.0785,37693.318791361
2012-11-23,15.1218,15.3872,14.957,15.1858,107185.52792112
2012-11-26,15.168,15.2696,14.957,15.1313,88218.812574608
2012-11-27,14.9655,15.1961,14.8412,15.1038,63549.970784862
2012-11-28,15.168,15.2611,14.8855,15.1858,95598.53500329
2012-11-29,15.3053,16.0865,15.0785,15.9199,187508.27123428
2012-11-30,16.1657,16.2004,15.5782,15.7797,50393.75096995
2012-12-03,15.8512,16.2182,15.2441,15.8691,54273.789309936
2012-12-04,15.744,15.9802,15.262,15.6319,34238.257268459
2012-12-05,15.6497,15.8691,15.4107,15.7618,37614.698080201
2012-12-06,15.3053,15.5867,15.1858,15.4455,47789.705523261
2012-12-07,15.4992,15.6497,15.4277,15.5595,48383.610625137
2012-12-10,15.6847,15.71,15.2196,15.4455,82421.066347524
2012-12-11,15.2611,15.6404,15.0785,15.3788,82291.448418314
2012-12-12,15.3147,15.5867,15.3147,15.4644,66083.895056731
2012-12-13,15.2611,15.7618,15.1595,15.6762,154924.23622632
2012-12-14,15.2789,15.4738,15.1218,15.4022,50926.034433349
2012-12-17,15.7524,16.2182,15.342,15.7618,122725.86767987
2012-12-18,15.7185,16.8743,15.5171,16.4818,162569.56916568
2012-12-19,16.5505,17.4362,15.8935,16.8141,219646.08058429
2012-12-20,16.6136,16.6739,16.1657,16.6739,228687.46236778
2012-12-21,16.3227,16.8141,15.4992,16.641,2988411.4791333
2012-12-24,16.7002,17.0494,15.7881,16.3407,181334.42052408
2012-12-26,16.4376,16.6579,16.0178,16.3482,92698.068226684
2012-12-27,16.2804,17.0852,16.1204,16.2559,184882.97694674
2012-12-28,16.1392,16.5854,16.0507,16.4659,75744.680551118
2012-12-31,16.4282,16.8489,16.2804,16.7604,143273.49678594
2013-01-02,17.0588,17.4626,16.305,16.8649,230671.04166153
2013-01-03,16.6918,17.0494,16.3482,16.7784,101569.45928333
2013-01-04,16.8743,17.9643,16.6315,17.5794,197639.71855359
2013-01-07,17.4362,18.6193,17.217,18.2081,239847.35358443
2013-01-08,18.1374,18.4979,17.8646,18.0594,261677.35023605
2013-01-09,18.1534,18.385,17.8833,17.9473,195927.06198073
2013-01-10,18.304,19.2792,17.8306,18.962,268194.36972606
2013-01-11,18.866,19.0928,18.017,18.9977,189593.84496412
2013-01-14,19.0062,19.699,19.0062,19.1098,148736.57376957
2013-01-15,18.9977,20.0783,18.5582,19.04,67590.437873297
2013-01-16,18.1798,18.866,17.5879,18.6561,273187.8473268
2013-01-17,18.7333,19.1192,18.1986,18.5139,147948.24177387
2013-01-18,18.4979,19.1023,17.8052,18.0076,136124.32428052
2013-01-22,18.0594,19.1888,18.0594,19.1023,182585.9772504
2013-01-23,19.0589,19.0589,18.3671,18.7878,48593.974149594
2013-01-24,18.6193,19.8025,18.5761,18.7878,130584.75146982
2013-01-25,18.8924,19.9079,18.8924,19.2876,81186.508693892
2013-01-28,19.4627,19.5069,18.7069,18.9714,103713.46732553
2013-01-29,19.0325,19.4278,18.962,19.4016,129665.73910287
2013-01-30,19.4193,20.0576,19.3206,19.874,388332.12858988
2013-01-31,19.7526,19.7526,18.8924,19.6538,296953.61338024
2013-02-01,19.778,20.1206,19.6001,19.8985,106726.55295866
2013-02-04,19.858,19.9079,19.1455,19.7601,91327.517991585
2013-02-05,19.7686,19.858,19.4278,19.8392,44144.466874713
2013-02-06,19.7169,20.0133,19.4712,19.8392,155145.22417121
2013-02-07,19.3385,19.89,19.2876,19.6538,69925.685483179
2013-02-08,19.6275,19.9455,19.3206,19.3291,109910.69176067
2013-02-11,19.4016,19.4016,18.6739,18.8999,67415.13493625
2013-02-12,18.866,19.0768,18.4556,18.9093,176415.31386632
2013-02-13,18.8924,19.2961,18.6108,18.8999,366859.11246462
2013-02-14,19.1192,20.1028,18.8924,19.2876,432816.57691827
2013-02-15,19.3478,19.858,19.0231,19.5502,167091.32249948
2013-02-19,19.5662,20.0039,19.4881,20.0039,116243.90877728
2013-02-20,19.9954,20.4087,18.5949,18.6561,109688.64137375
2013-02-21,18.6646,18.6646,18.017,18.1714,87705.653067977
2013-02-22,19.5069,19.8392,17.7337,18.3934,354222.42680859
2013-02-25,18.4114,18.481,17.1567,17.3054,191180.0709339
2013-02-26,17.3929,17.9906,17.2706,17.5794,136039.32891711
2013-02-27,17.6122,18.8491,17.4004,18.3765,180790.45019821
2013-02-28,18.3934,20.435,17.7073,19.9079,233770.18510012
2013-03-01,19.7262,19.9954,19.2076,19.5823,52395.391778419
2013-03-04,19.699,20.0491,19.138,19.6275,44428.138900117
2013-03-05,19.6444,20.9357,19.6275,20.7767,123967.86242781
2013-03-06,21.0392,21.0647,20.4971,20.6439,15665.707919799
2013-03-07,20.6006,21.8158,19.7517,21.4864,147903.61920808
2013-03-08,21.7132,21.8827,20.9442,21.828,145008.46464169
2013-03-11,21.846,21.908,21.1099,21.4694,248785.67848977
2013-03-12,21.4958,21.908,21.3028,21.8553,122317.88993547
2013-03-13,21.8035,23.1354,21.6275,22.5735,352131.54086854
2013-03-14,22.6695,22.6695,21.2342,21.7942,174414.73549988
2013-03-15,21.846,21.8827,20.6006,21.172,212339.66665656
2013-03-18,20.883,21.5202,20.7155,21.0307,44260.273057369
2013-03-19,21.2416,22.0389,20.6618,20.8303,99462.636712635
2013-03-20,21.074,21.3028,20.7334,21.0392,92324.088627649
2013-03-21,20.9677,21.4525,20.9395,21.3113,151654.03961885
2013-03-22,21.3819,21.5851,21.251,21.5202,54860.257317514
2013-03-25,21.6454,22.2054,21.5824,22.0925,224680.99342471
2013-03-26,22.1189,22.6789,21.9861,22.4859,218256.40639242
2013-03-27,22.3043,23.0299,22.3043,22.8906,95268.115528006
2013-03-28,23.0036,23.8545,22.8276,23.5279,179620.70150918
2013-04-01,24.1274,24.52,23.6079,24.023,246973.15236491
2013-04-02,24.0813,24.4484,23.4498,23.7057,562606.62174013
2013-04-03,23.7133,23.7133,21.4609,21.846,606026.50314171
2013-04-04,21.8035,22.1519,20.8906,21.9597,154048.78398314
2013-04-05,21.6454,22.2412,21.5344,22.0746,67810.36337614
2013-04-08,22.0652,23.1006,21.9315,22.8371,170878.92838175
2013-04-09,23.0564,24.0135,22.9161,23.4591,325339.93987745
2013-04-10,23.4498,23.8789,22.7241,22.8643,262440.18362273
2013-04-11,22.9161,23.4073,22.004,23.2323,188788.51389576
2013-04-12,23.2059,23.7133,22.9951,23.3472,314521.0925565
