Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-07-10,8.51416,8.82999,8.51416,8.82999,6996749.5233476
1995-07-11,9.05423,9.05423,8.91872,9.00873,6313543.2711823
1995-07-12,9.00873,9.41181,8.96184,9.41181,1358436.0005439
1995-07-13,9.37057,9.45731,9.32477,9.41181,1767330.3885787
1995-07-14,9.37057,9.41181,9.32477,9.37057,1268113.4685006
1995-07-17,9.37057,9.37057,9.28065,9.32477,1219216.186035
1995-07-18,9.32477,9.32477,9.05423,9.09795,935899.66800984
1995-07-19,9.05423,9.05423,8.42107,8.55698,718202.78341836
1995-07-20,8.46786,8.51416,8.46786,8.51416,597772.74069408
1995-07-21,8.55698,8.78201,8.55698,8.69319,927922.15325936
1995-07-24,8.69319,8.82999,8.69319,8.69319,654900.27884142
1995-07-25,8.73997,8.91872,8.69319,8.73997,1089782.5003798
1995-07-26,8.82999,9.05423,8.82999,9.05423,2039066.317139
1995-07-27,9.00873,9.28065,9.00873,9.28065,2679554.2971232
1995-07-28,9.28065,9.86584,9.14424,9.86584,18837434.680399
1995-07-31,9.82132,9.82132,9.5493,9.72637,3273986.8136713
1995-08-01,9.68383,9.68383,9.5493,9.59679,2516669.8437498
1995-08-02,9.59679,9.59679,9.09795,9.14424,2969048.8144691
1995-08-03,9.05423,9.37057,9.05423,9.37057,2268089.0283367
1995-08-04,9.28065,9.32477,9.00873,9.14424,1162865.068028
1995-08-07,9.09795,9.09795,8.96184,9.05423,1076916.9760211
1995-08-08,9.00873,9.05423,8.96184,8.96184,937961.02304422
1995-08-09,8.96184,8.96184,8.78201,8.82999,754744.06724252
1995-08-10,8.82999,9.05423,8.82999,8.91872,1697594.1108587
1995-08-11,8.91872,9.09795,8.91872,9.00873,1482209.3003053
1995-08-14,9.00873,9.00873,8.73997,8.82999,488664.48072113
1995-08-15,8.82999,8.91872,8.82999,8.87203,449806.06804027
1995-08-16,8.96184,9.00873,8.87203,8.91872,566380.2951191
1995-08-17,8.91872,9.05423,8.87203,9.05423,528294.25872381
1995-08-18,9.05423,9.05423,8.78201,8.82999,770442.31195746
1995-08-21,8.87203,8.96184,8.73997,8.73997,566637.07990513
1995-08-22,8.78201,8.82999,8.55698,8.6468,571528.12240454
1995-08-23,8.69319,8.69319,8.33156,8.51416,248579.8044493
1995-08-24,8.51416,8.51416,8.33156,8.37835,1652045.1402487
1995-08-25,8.37835,8.60328,8.24234,8.51416,943619.38701058
1995-08-28,8.51416,8.51416,8.28902,8.37835,575900.54051326
1995-08-29,8.37835,8.37835,8.15291,8.24234,474256.22571872
1995-08-30,8.15291,8.46786,8.15291,8.33156,512084.46636425
1995-08-31,8.37835,8.42107,8.33156,8.42107,537042.12783242
1995-09-01,8.37835,8.51416,8.37835,8.46786,765034.6669948
1995-09-05,8.55698,8.60328,8.42107,8.51416,627365.67083935
1995-09-06,8.55698,8.6468,8.51416,8.60328,612954.38294577
1995-09-07,8.55698,8.55698,8.33156,8.37835,795142.17767587
1995-09-08,8.37835,8.42107,8.33156,8.37835,1306712.0635043
1995-09-11,8.37835,8.6468,8.33156,8.55698,358974.01027989
1995-09-12,8.55698,8.6468,8.42107,8.6468,373121.43664135
1995-09-13,8.78201,8.96184,8.78201,8.78201,418156.83767925
1995-09-14,8.78201,8.82999,8.69319,8.82999,632769.27194711
1995-09-15,8.91872,8.96184,8.82999,8.91872,1426365.6860882
1995-09-18,8.91872,8.96184,8.87203,8.96184,784078.1906743
1995-09-19,8.91872,8.96184,8.87203,8.96184,748307.26120826
1995-09-20,8.91872,8.96184,8.87203,8.91872,768898.57035006
1995-09-21,8.91872,8.96184,8.87203,8.91872,562779.24233221
1995-09-22,8.82999,8.91872,8.78201,8.87203,1070742.0095914
1995-09-25,8.91872,8.96184,8.82999,8.91872,561488.24165596
1995-09-26,8.87203,8.96184,8.82999,8.87203,734667.33863652
1995-09-27,8.91872,9.05423,8.87203,8.87203,1149227.1673838
1995-09-28,8.91872,9.14424,8.91872,9.14424,936930.85100889
1995-09-29,9.14424,9.37057,9.09795,9.23337,387017.13303541
1995-10-02,9.28065,9.28065,9.18796,9.28065,376729.56617431
1995-10-03,9.23337,9.28065,9.09795,9.23337,254239.17937937
1995-10-04,9.23337,9.23337,8.96184,9.00873,298501.19316799
1995-10-05,9.09795,9.09795,8.91872,8.96184,510795.48761543
1995-10-06,8.96184,9.09795,8.91872,9.00873,160055.77687207
1995-10-09,8.96184,9.00873,8.87203,9.00873,191197.50344337
1995-10-10,9.05423,9.09795,9.00873,9.05423,524432.377296
1995-10-11,9.09795,9.09795,8.96184,9.05423,323464.92041851
1995-10-12,9.08955,9.17936,9.04266,9.17936,595458.64472856
1995-10-13,9.17936,9.45336,9.17936,9.31596,857416.53214494
1995-10-16,9.36295,9.36295,9.13643,9.17936,391651.39074879
1995-10-17,9.17936,9.17936,9.00131,9.08955,461388.67943254
1995-10-18,9.08955,9.27264,9.08955,9.22476,1106505.8623114
1995-10-19,9.22476,9.27264,9.13643,9.22476,563035.01615453
1995-10-20,9.17936,9.17936,9.00131,9.00131,591338.96755099
1995-10-23,9.00131,9.04266,8.86461,8.90734,141273.0818335
1995-10-24,8.95413,8.95413,8.77103,8.95413,378531.10353147
1995-10-25,8.90734,8.95413,8.68211,8.68211,192741.24505077
