Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,0.4875,0.4875,0.4775,0.4825,744184.0
1990-03-27,0.4775,0.4825,0.4775,0.4825,191360.0
1990-03-28,0.4775,0.4875,0.4775,0.4775,628760.0
1990-03-29,0.4775,0.4825,0.4775,0.4825,100236.0
1990-03-30,0.4875,0.4875,0.4775,0.4825,297672.0
1990-04-02,0.4825,0.4825,0.4825,0.4825,48600.0
1990-04-03,0.4875,0.4875,0.4775,0.4825,291600.0
1990-04-04,0.4875,0.4875,0.485,0.4875,249072.0
1990-04-05,0.4825,0.4875,0.4825,0.4875,279448.0
1990-04-06,0.4875,0.4875,0.475,0.4825,2824872.0
1990-04-09,0.4875,0.4875,0.4775,0.4775,953772.0
1990-04-10,0.4775,0.4825,0.4725,0.4825,249072.0
1990-04-11,0.4825,0.4825,0.4725,0.4725,188324.0
1990-04-12,0.4825,0.4825,0.4725,0.4825,82012.0
1990-04-16,0.4825,0.4875,0.4775,0.4825,1066160.0
1990-04-17,0.4825,0.4825,0.4775,0.4825,170100.0
1990-04-18,0.4825,0.4875,0.4825,0.4875,69860.0
1990-04-19,0.4875,0.5,0.4825,0.4875,722924.0
1990-04-20,0.4875,0.495,0.4875,0.4875,580160.0
1990-04-23,0.4875,0.4875,0.4825,0.4825,558900.0
1990-04-24,0.4825,0.4875,0.4775,0.485,1527860.0
1990-04-25,0.4775,0.4875,0.4775,0.4825,1081348.0
1990-04-26,0.4875,0.4875,0.4825,0.4875,1837684.0
1990-04-27,0.4825,0.4875,0.4825,0.4875,36448.0
1990-04-30,0.4825,0.4875,0.4825,0.4875,379684.0
1990-05-01,0.4875,0.4875,0.4825,0.4825,170100.0
1990-05-02,0.4875,0.5,0.4825,0.4875,504224.0
1990-05-03,0.5,0.51,0.495,0.5,306784.0
1990-05-04,0.51,0.51,0.5,0.505,719884.0
1990-05-07,0.5,0.51,0.5,0.5,865684.0
