Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,9.1617,9.33232,9.12397,9.33232,1405207.7718437
2005-02-28,9.35004,9.35004,9.13427,9.18289,1359540.0820448
2005-03-01,9.17616,9.64671,9.17616,9.59918,3033423.8569754
2005-03-02,9.53581,9.54373,9.35004,9.41203,1498169.0549059
2005-03-03,9.46352,9.47541,9.32658,9.43183,1328902.405454
2005-03-04,9.47837,9.70118,9.43481,9.66454,1265492.1703315
2005-03-07,9.66454,9.68929,9.55858,9.59918,925338.01735245
2005-03-08,9.59027,9.68236,9.49521,9.53977,899011.50963777
2005-03-09,9.52095,9.73286,9.52095,9.63879,1105357.8469858
2005-03-10,9.62096,9.62096,9.47243,9.59918,1873250.8459157
2005-03-11,9.63582,9.72196,9.60314,9.64968,1046246.6622045
2005-03-14,9.67542,9.71008,9.57937,9.64275,820014.81856895
2005-03-15,9.65958,9.80118,9.63582,9.67542,1259582.3646947
2005-03-16,9.64968,9.69424,9.41995,9.43877,2224145.0506631
2005-03-17,9.48233,9.61799,9.39559,9.60314,942539.26810637
2005-03-18,9.67542,9.67542,9.53581,9.57541,2009206.6719004
2005-03-21,9.55165,9.55858,9.43481,9.52689,549724.02067447
2005-03-22,9.51105,9.77841,9.47243,9.52293,1192409.3244113
2005-03-23,9.47541,9.48233,9.25974,9.25974,1307411.1932602
2005-03-24,9.84575,10.5023,9.6784,10.4062,9245351.6439939
2005-03-28,10.3439,10.4973,10.0587,10.0755,3755641.0870831
2005-03-29,10.0755,10.2111,9.80911,9.83188,2568065.038437
2005-03-30,9.87347,9.98931,9.80911,9.92497,1730848.9691141
2005-03-31,9.94675,10.0289,9.86258,9.94675,1727623.4190109
2005-04-01,10.0289,10.0289,9.77841,9.88833,1958156.3327434
2005-04-04,9.93289,9.98145,9.86258,9.95468,1761483.6160712
2005-04-05,10.0685,10.1081,10.0269,10.0655,1602963.077655
2005-04-06,10.1081,10.1259,9.90713,9.92199,872676.92289966
2005-04-07,9.92199,9.98145,9.86258,9.95468,594327.2991368
2005-04-08,9.96165,9.96165,9.68532,9.68929,1215518.3610462
2005-04-11,9.84575,9.86258,9.53581,9.63582,1289135.4323906
2005-04-12,9.61799,9.79722,9.42787,9.77148,1487962.218684
2005-04-13,9.74474,9.74474,9.27874,9.33628,1254745.0494179
2005-04-14,9.37876,9.4044,9.1516,9.1617,2076911.9178522
2005-04-15,9.1617,9.19071,8.9292,8.96019,2402554.1250006
2005-04-18,8.97019,9.10705,8.90058,9.02624,1305254.0940053
2005-04-19,9.09961,9.22904,9.09961,9.19071,1359540.0820448
2005-04-20,9.2019,9.22904,9.05297,9.11863,1577164.7360969
2005-04-21,9.21062,9.32281,9.1617,9.29836,1087618.3312961
2005-04-22,9.253,9.253,9.01911,9.10981,1145120.7805374
2005-04-25,9.18289,9.29836,9.1314,9.25676,857631.7615228
2005-04-26,9.25974,9.42391,9.08407,9.10981,1159630.7066122
2005-04-27,9.06417,9.06417,8.86582,8.97693,2108622.0848029
2005-04-28,9.00792,9.04436,8.8577,8.87622,1547612.6782789
2005-04-29,8.97693,9.19458,8.95633,9.11863,1950092.4574854
2005-05-02,9.1617,9.2019,9.01238,9.19458,1556200.6801818
2005-05-03,9.29836,9.53977,9.1617,9.43183,3779819.5844441
2005-05-04,9.53581,9.67542,9.45659,9.66454,2141393.6334565
2005-05-05,9.66454,9.78633,9.55858,9.68236,1321918.0897013
2005-05-06,9.73286,9.80911,9.64968,9.69424,756610.64271416
2005-05-09,9.70118,9.98533,9.70118,9.95071,1793186.7138766
2005-05-10,9.86258,9.96165,9.77544,9.8705,2303142.7516098
2005-05-11,9.86258,10.0081,9.85267,10.0081,1924836.4203748
2005-05-12,10.0081,10.0873,9.6576,9.67542,1971587.7091907
2005-05-13,9.74474,9.84575,9.45659,9.54769,1696991.8016876
2005-05-16,9.54769,9.80118,9.53581,9.80118,1644336.7665024
2005-05-17,9.80118,10.0903,9.76256,10.0685,1816292.7208777
2005-05-18,10.1141,10.3527,10.1111,10.2943,2208025.3791704
2005-05-19,10.2943,10.3279,10.2191,10.3091,1087086.1256278
2005-05-20,10.3091,10.3221,10.1685,10.2646,1053769.242893
2005-05-23,10.2646,10.4141,10.2597,10.3527,802280.35226884
