Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-03-13,36.9598,37.8115,36.6759,37.6696,21607604.048749
2019-03-14,37.6696,39.2341,37.6696,38.5243,6593449.2047657
2019-03-15,39.2152,39.6788,39.0822,39.519,7499539.5129804
2019-03-18,39.7563,39.7563,38.9025,39.519,4242876.7362518
2019-03-19,39.3771,39.519,37.7569,38.2305,10676956.029654
2019-03-20,38.3724,38.6772,36.2411,36.5994,16548868.283416
2019-03-21,36.9598,37.9734,36.7235,37.9267,13455558.431846
2019-03-22,37.7917,37.8989,35.7179,36.6957,11499502.774614
2019-03-25,36.8566,36.9221,35.435,35.4816,9854385.1085858
2019-03-26,35.6802,36.2758,35.5482,35.5759,6634113.4184446
2019-03-27,35.5571,35.9274,34.8374,34.9893,5885999.8733691
2019-03-28,34.9217,35.2067,34.4403,34.4959,5620216.8079081
2019-03-29,34.6378,34.9793,34.2596,34.7897,6220739.2429119
2019-04-01,34.9793,35.2067,34.7897,34.9217,5604351.2370242
2019-04-02,35.027,35.2345,34.0214,34.3827,7074902.2931269
2019-04-03,34.4671,34.6478,34.0214,34.1921,8856994.7357956
2019-04-04,34.3073,34.8751,34.1276,34.8374,5179323.1700911
2019-04-05,34.8652,35.8688,34.7699,35.708,7750291.083284
2019-04-08,35.6335,35.708,35.3169,35.5104,3580548.0811112
2019-04-09,35.4618,35.6802,35.2245,35.3576,6041931.7407055
2019-04-10,35.3764,35.566,34.4582,34.5723,5094861.9220699
2019-04-11,34.6567,35.2156,34.1087,35.1501,5055892.0506276
2019-04-12,35.2067,35.6524,34.5624,35.566,6719981.9174198
2019-04-15,35.5005,35.6047,35.0558,35.566,4143815.1336661
2019-04-16,35.6981,35.8688,35.5104,35.7765,6037804.6776
2019-04-17,35.8221,36.8178,35.7864,36.8079,8023482.1111755
2019-04-18,36.8754,36.9598,36.4188,36.4277,4998896.8759856
2019-04-22,36.3542,36.4277,35.6524,35.7278,8098951.8616913
