Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-12-13,25.175,25.3781,24.7158,25.0854,516865.45686918
2010-12-14,25.3592,25.6072,24.7358,25.0017,391200.17749524
2010-12-15,25.0584,25.3592,24.8911,25.1272,264475.62208831
2010-12-16,25.2656,25.3115,24.9091,25.3115,283967.3051488
2010-12-17,25.2178,25.6889,25.175,25.6889,136832.35808402
2010-12-20,25.7267,26.0155,25.4876,25.7616,71957.474367531
2010-12-21,25.7885,26.5872,25.6411,26.4657,229512.48462718
2010-12-22,26.5494,27.9408,26.5106,26.9608,112506.15928992
2010-12-23,27.1699,27.1699,26.4468,26.642,72139.207980777
2010-12-27,26.7944,26.878,26.4289,26.5294,32490.154646614
2010-12-28,26.5394,26.6679,26.3731,26.5962,98527.73186663
2010-12-29,26.7775,26.7775,26.4029,26.6221,93163.076089973
2010-12-30,26.7605,27.4209,26.1928,26.5106,163598.40593993
2010-12-31,26.632,26.6579,26.3931,26.6579,42829.893592529
2011-01-03,26.9966,27.0165,26.3113,26.5294,252130.78907801
2011-01-04,26.7605,26.7605,26.0903,26.1171,61700.067776789
2011-01-05,26.2566,26.4558,25.907,26.0066,195150.77498006
2011-01-06,26.1928,26.7427,26.1171,26.5494,232696.33704489
2011-01-07,28.4178,28.5653,27.6012,27.9587,2034243.7343239
2011-01-10,28.2764,28.6828,28.2127,28.3142,679038.10739026
2011-01-11,28.5653,28.6021,27.8391,27.9976,361465.14458756
2011-01-12,28.1787,28.2864,27.6559,27.7366,236435.43083345
2011-01-13,27.8123,28.1599,27.7366,27.9308,145125.83678796
2011-01-14,28.1967,28.6986,28.0054,28.6986,288945.4004774
2011-01-18,28.6986,28.8082,27.7366,28.2764,301061.30937819
2011-01-19,28.0792,28.2226,27.8391,27.9408,327901.65716437
2011-01-20,27.7366,28.4616,27.4467,28.0144,169596.61923017
2011-01-21,27.9786,27.9976,27.4557,27.6648,154460.51856891
2011-01-24,27.5473,27.8651,27.2814,27.7366,92939.172246028
2011-01-25,27.6559,27.7565,27.4647,27.7565,59028.282446135
2011-01-26,27.7107,27.8651,27.5284,27.7824,68291.676456137
2011-01-27,28.1141,28.379,27.7266,27.7465,183947.55035795
2011-01-28,27.646,27.646,26.8203,27.2057,334168.95668859
2011-01-31,27.2615,27.2615,27.0613,27.2137,62591.666940118
2011-02-01,27.2336,27.3362,26.7505,26.8004,216056.16482206
2011-02-02,26.6679,26.9966,26.5962,26.6579,109742.00107297
2011-02-03,26.632,26.8203,26.4379,26.4558,185205.62890711
2011-02-04,26.5394,26.7505,26.1828,26.7327,154234.60661874
2011-02-07,27.2236,27.2236,26.9608,27.0065,161963.80747382
2011-02-08,27.1619,27.3641,26.7327,27.3172,117140.86845426
2011-02-09,27.1171,27.2336,26.914,26.9697,39208.274018057
2011-02-10,26.7855,26.9318,26.163,26.7775,215597.31254994
2011-02-11,26.632,26.888,26.4029,26.6679,97045.749473528
2011-02-14,26.5494,26.642,26.2406,26.3931,82805.264188045
2011-02-15,26.3661,26.6879,26.3661,26.5872,65255.419845878
2011-02-16,26.5782,26.6779,26.3661,26.6779,82795.223656927
2011-02-18,26.642,27.2436,26.642,27.2436,62349.690140161
2011-02-22,26.8691,27.1968,26.5494,26.7427,159806.09733644
2011-02-23,26.5494,27.0981,26.5494,26.6042,173122.85375902
2011-02-24,26.6221,26.9318,26.5684,26.642,111747.09513736
2011-02-25,26.7605,27.3551,26.6579,26.8203,108718.87095199
2011-02-28,26.9318,27.3551,26.7327,26.7775,199687.08693944
2011-03-01,26.914,26.9697,26.5006,26.6042,145290.5014983
2011-03-02,26.5594,26.6221,26.0903,26.3113,193941.89503339
2011-03-03,26.2306,26.642,26.163,26.6221,110876.58108937
2011-03-04,26.642,26.7505,26.2745,26.3661,130419.47085858
2011-03-07,26.4737,26.4737,25.5983,25.6331,200675.07520151
2011-03-08,25.5694,26.4289,25.5694,26.3113,287465.42619051
2011-03-09,26.2656,26.5782,25.8542,26.4558,161329.24590712
2011-03-10,26.2406,26.3213,25.7795,26.0903,146467.2517454
2011-03-11,25.6511,26.0255,25.414,25.89,156319.02087895
2011-03-14,25.6142,25.899,25.5405,25.7984,130082.10901299
2011-03-15,25.4508,26.7775,25.2656,26.6122,304389.74544399
2011-03-16,26.5594,26.9508,25.9419,26.878,460459.76115121
2011-03-17,26.9786,27.4647,26.914,27.4388,168563.44857807
