Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,33.9964,34.5391,33.971,34.5391,295922.16444218
2005-02-28,34.5391,34.5391,33.8664,34.1978,441843.07079909
2005-03-01,34.1362,34.5175,34.101,34.4285,332695.452142
2005-03-02,34.3405,34.4227,34.0708,34.2887,171011.64276829
2005-03-03,34.4081,34.5057,34.2731,34.5057,172913.21555922
2005-03-04,34.6759,35.2947,34.6759,35.2947,192761.58480893
2005-03-07,35.3133,35.5968,35.0454,35.4169,252000.84518613
2005-03-08,35.4169,35.4169,34.89,35.0689,110601.16084962
2005-03-09,34.6759,34.6837,33.7002,33.7169,292710.25558606
2005-03-10,33.7951,34.1978,33.6729,34.101,285266.60566697
2005-03-11,33.9642,34.0678,33.842,33.8977,318242.88519038
2005-03-14,33.6836,34.0678,33.5663,34.0678,221356.77973657
2005-03-15,34.0708,34.6006,34.0678,34.1714,344951.85084073
2005-03-16,33.9964,34.2389,33.8596,33.9232,279868.75756704
2005-03-17,33.9524,34.2995,33.9524,34.1822,130594.7820285
2005-03-18,34.1763,34.1978,33.7951,33.7951,379385.76416032
2005-03-21,33.8752,33.9104,33.404,33.5527,296800.83632352
2005-03-22,33.5527,33.8596,32.9778,33.0736,361439.99060244
2005-03-23,32.8057,33.3209,32.4968,32.7989,318394.27452501
2005-03-24,32.8566,33.36,32.8566,33.0354,241348.35511364
2005-03-28,32.9964,33.0256,32.5095,32.6141,213770.94659104
2005-03-29,32.7041,32.8956,32.5447,32.6287,172186.9559134
2005-03-30,32.5819,32.9964,32.5447,32.9436,172764.89492733
2005-03-31,33.1821,33.4431,32.9436,32.9436,141397.63853469
2005-04-01,33.2046,33.3532,32.7041,33.1136,486343.35196997
2005-04-04,33.011,33.011,32.3824,32.7383,220631.54299167
2005-04-05,32.7852,32.9308,32.5095,32.6395,149128.72360939
2005-04-06,32.7568,33.0452,32.6523,32.8526,295047.58416448
2005-04-07,32.7383,33.3385,32.7041,33.3004,179328.85006418
2005-04-08,33.3453,33.3737,32.971,32.971,151314.66285319
2005-04-11,32.9103,33.1821,32.8654,33.1821,74421.155677351
2005-04-12,33.1821,33.7462,32.9494,33.7462,184880.13330053
2005-04-13,33.9163,34.061,33.6425,33.7305,253754.09734517
2005-04-14,33.6944,33.9964,33.6211,33.8332,858586.19907861
2005-04-15,33.971,34.0424,33.7305,33.9026,261049.42663237
2005-04-18,33.931,34.2575,33.931,34.2575,248788.93633001
2005-04-19,34.1362,34.6759,34.1362,34.5469,622784.01269678
2005-04-20,34.5469,34.9916,34.4921,34.8568,431771.58844324
2005-04-21,34.9096,35.1784,34.7717,35.0758,144457.13515529
2005-04-22,35.0386,35.7327,34.9232,35.5079,462998.70741126
2005-04-25,35.5274,35.765,35.4511,35.765,224424.45956444
2005-04-26,35.765,35.9243,35.721,35.9243,267758.63369838
2005-04-27,35.765,36.1061,35.545,36.1003,496559.06335406
2005-04-28,36.07,36.157,35.8168,35.9194,367424.98382447
2005-04-29,36.0074,36.5685,35.631,36.4522,419514.16684361
2005-05-02,36.3857,36.3857,35.9028,36.2147,263672.14456457
2005-05-03,36.1716,36.4385,36.0641,36.2821,345391.69823186
2005-05-04,36.1061,36.4874,36.024,36.418,470002.50993925
2005-05-05,36.418,37.2128,36.418,37.0603,298257.44721878
2005-05-06,36.9214,37.4738,36.5412,37.0661,582652.54131077
2005-05-09,37.0994,37.9558,37.0603,37.9059,388871.12429497
2005-05-10,37.8082,37.8834,37.6107,37.775,394127.81206936
2005-05-11,37.8708,38.0633,37.4875,38.0633,330796.9480538
2005-05-12,37.8991,38.2549,37.4816,37.6371,271841.03122857
2005-05-13,37.8082,37.8228,37.2011,37.2549,240474.79773684
2005-05-16,37.2011,37.7348,37.2011,37.7348,202824.8839575
2005-05-17,37.6439,37.7662,37.4201,37.7534,320876.85503259
2005-05-18,37.8502,38.2549,37.8375,38.0496,669763.80567252
2005-05-19,37.9802,38.513,37.9802,38.4113,578130.29638946
2005-05-20,38.3595,38.6596,38.0819,38.5638,355020.26449385
2005-05-23,38.4915,38.8845,38.4241,38.5971,250832.69234737
2005-05-24,38.5971,38.5971,37.4816,37.857,346120.00367949
2005-05-25,37.815,37.9079,37.5462,37.857,420103.35776754
