Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.366304,0.373709,0.366304,0.373709,2248878.7898269
1977-01-04,0.373709,0.373709,0.366304,0.366304,539941.56419126
1977-01-05,0.366304,0.366304,0.358621,0.358621,419372.43237224
1977-01-06,0.358621,0.366304,0.358621,0.358621,775839.75843951
1977-01-07,0.358621,0.358621,0.358621,0.358621,508487.99963761
1977-01-10,0.358621,0.358621,0.358621,0.358621,220166.86066624
1977-01-11,0.358621,0.358621,0.351058,0.351058,508487.99963761
1977-01-12,0.351058,0.351058,0.335693,0.343236,1588372.1394213
1977-01-13,0.343236,0.343236,0.335693,0.343236,817774.47317384
1977-01-14,0.343236,0.358621,0.335693,0.358621,1446835.6502351
1977-01-17,0.358621,0.358621,0.358621,0.358621,366950.49905028
1977-01-18,0.358621,0.366304,0.358621,0.366304,775839.75843951
1977-01-19,0.366304,0.389262,0.366304,0.389262,3360216.4941642
1977-01-20,0.389262,0.396796,0.389262,0.389262,5006251.6476984
1977-01-21,0.389262,0.396796,0.389262,0.389262,3019479.4902778
1977-01-24,0.389262,0.389262,0.381481,0.381481,1174243.8220434
1977-01-25,0.389262,0.396796,0.389262,0.389262,1399653.7863029
1977-01-26,0.389262,0.389262,0.381481,0.381481,2453326.453725
1977-01-27,0.381481,0.389262,0.381481,0.381481,812535.41518523
1977-01-28,0.381481,0.389262,0.381481,0.381481,571397.1515472
1977-01-31,0.389262,0.396796,0.389262,0.396796,2138792.8309909
1977-02-01,0.396796,0.404419,0.396796,0.404419,1494010.4343592
1977-02-02,0.404419,0.412062,0.404419,0.412062,2301302.7459512
1977-02-03,0.412062,0.412062,0.404419,0.412062,1011733.9070831
1977-02-04,0.412062,0.419567,0.412062,0.412062,1897657.6015564
1977-02-07,0.412062,0.419567,0.404419,0.412062,938343.60499286
1977-02-08,0.412062,0.412062,0.404419,0.412062,870197.41789696
1977-02-09,0.404419,0.404419,0.389262,0.396796,1740395.8471951
1977-02-10,0.396796,0.404419,0.396796,0.396796,2065408.5973076
1977-02-11,0.396796,0.396796,0.389262,0.389262,1635547.9349466
1977-02-14,0.389262,0.396796,0.381481,0.389262,906891.05184037
1977-02-15,0.396796,0.396796,0.396796,0.396796,539941.56419126
1977-02-16,0.396796,0.404419,0.396796,0.404419,1300053.0232522
1977-02-17,0.404419,0.404419,0.404419,0.404419,1682727.7760764
1977-02-18,0.404419,0.404419,0.396796,0.404419,1179485.9142355
1977-02-22,0.404419,0.404419,0.396796,0.404419,1284328.7694782
1977-02-23,0.404419,0.404419,0.396796,0.396796,608089.77408946
1977-02-24,0.396796,0.396796,0.381481,0.381481,1310537.2076363
1977-02-25,0.381481,0.381481,0.373709,0.381481,2421868.8435667
1977-02-28,0.381481,0.389262,0.381481,0.389262,429859.65095987
1977-03-01,0.389262,0.404419,0.389262,0.396796,1509742.7793424
1977-03-02,0.396796,0.404419,0.396796,0.396796,498002.80385229
1977-03-03,0.396796,0.412062,0.396796,0.396796,1294809.919659
1977-03-04,0.396796,0.396796,0.396796,0.396796,587113.31411189
1977-03-07,0.396796,0.396796,0.389262,0.389262,828260.68036032
1977-03-08,0.389262,0.396796,0.389262,0.389262,975038.25033743
1977-03-09,0.389262,0.389262,0.381481,0.389262,760110.44765979
1977-03-10,0.389262,0.389262,0.381481,0.389262,1216183.5937835
1977-03-11,0.389262,0.389262,0.389262,0.389262,214928.81407878
1977-03-14,0.389262,0.396796,0.389262,0.396796,1058916.7824165
1977-03-15,0.396796,0.396796,0.396796,0.396796,345980.10747964
1977-03-16,0.396796,0.396796,0.396796,0.396796,1037943.3566424
1977-03-17,0.396796,0.396796,0.396796,0.396796,262107.6438075
1977-03-18,0.396796,0.396796,0.396796,0.396796,655271.63802166
