Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1962-01-02,4.77075,4.83345,4.71276,4.71276,338906.03768687
1962-01-03,4.71276,4.71276,4.65385,4.71276,232214.99420813
1962-01-04,4.71276,4.71276,4.58868,4.65385,288697.66148105
1962-01-05,4.65385,4.65385,4.4073,4.52659,428339.51966508
1962-01-08,4.52659,4.52659,4.3437,4.52659,486393.51906836
1962-01-09,4.52659,4.58868,4.46858,4.52659,365579.55111027
1962-01-10,4.52659,4.58868,4.52659,4.52659,307526.55511193
1962-01-11,4.52659,4.52659,4.46858,4.52659,255749.85699057
1962-01-12,4.52659,4.58868,4.46858,4.46858,265162.7986986
1962-01-15,4.52659,4.52659,4.52659,4.52659,332630.74321485
1962-01-16,4.52659,4.58868,4.52659,4.58868,218093.07313372
1962-01-17,4.58868,4.58868,4.46858,4.46858,335768.39045086
1962-01-18,4.46858,4.52659,4.46858,4.52659,232214.99420813
1962-01-19,4.52659,4.58868,4.52659,4.58868,208679.12802075
1962-01-22,4.58868,4.65385,4.58868,4.58868,222799.04228529
1962-01-23,4.58868,4.58868,4.46858,4.46858,357735.93472271
1962-01-24,4.46858,4.58868,4.46858,4.58868,251042.88443408
1962-01-25,4.58868,4.58868,4.52659,4.52659,249472.55570868
1962-01-26,4.52659,4.52659,4.52659,4.52659,158469.74840999
1962-01-29,4.52659,4.52659,4.52659,4.52659,160039.07373046
1962-01-30,4.58868,4.65385,4.58868,4.58868,279284.71977301
1962-01-31,4.58868,4.77075,4.58868,4.77075,294973.95935801
1962-02-01,4.77075,4.77075,4.65385,4.71276,403236.3349671
1962-02-02,4.71276,4.71276,4.71276,4.71276,232214.99420813
1962-02-05,4.71276,4.71276,4.65385,4.65385,221230.72036974
1962-02-06,4.65385,4.71276,4.65385,4.71276,163176.72096648
1962-02-07,4.71276,4.77075,4.71276,4.77075,265162.7986986
1962-02-08,4.77075,4.77075,4.71276,4.77075,276146.06913206
1962-02-09,4.77075,4.77075,4.71276,4.77075,236920.96335968
1962-02-12,4.77075,4.77075,4.71276,4.77075,128657.58434565
1962-02-13,4.77075,4.83345,4.77075,4.83345,189850.23438987
1962-02-14,4.83345,4.89403,4.83345,4.83345,254178.52486022
1962-02-15,4.83345,4.95433,4.83345,4.89403,293405.63744248
1962-02-16,4.89403,4.95433,4.83345,4.89403,367148.87643074
1962-02-19,4.89403,4.89403,4.83345,4.83345,244765.58315218
1962-02-20,4.83345,4.83345,4.77075,4.83345,167883.69352296
1962-02-21,4.83345,4.89403,4.77075,4.83345,169454.02224837
1962-02-23,4.83345,4.83345,4.77075,4.77075,255749.85699057
1962-02-26,4.77075,4.77075,4.65385,4.71276,197695.85758731
1962-02-27,4.71276,4.77075,4.71276,4.77075,145918.156061
1962-02-28,4.77075,4.77075,4.71276,4.71276,260455.82614212
1962-03-01,4.77075,4.83345,4.77075,4.83345,142779.50542004
1962-03-02,4.83345,4.89403,4.83345,4.83345,197695.85758731
1962-03-05,4.83345,4.89403,4.83345,4.83345,218093.07313372
1962-03-06,4.83345,4.83345,4.77075,4.77075,147486.47797654
1962-03-07,4.77075,4.83345,4.77075,4.83345,158469.74840999
1962-03-08,4.83345,4.89403,4.77075,4.89403,277715.39445253
1962-03-09,4.89403,4.95433,4.89403,4.95433,310664.20234795
1962-03-12,4.95433,4.95433,4.95433,4.95433,331060.41448944
1962-03-13,4.95433,4.95433,4.89403,4.95433,202401.82673885
1962-03-14,4.95433,4.95433,4.89403,4.89403,171022.34416392
1962-03-15,4.89403,4.95433,4.89403,4.95433,296542.28127355
1962-03-16,4.95433,4.95433,4.95433,4.95433,163176.72096648
1962-03-19,4.95433,4.95433,4.89403,4.89403,174160.99480486
1962-03-20,4.89403,4.89403,4.89403,4.89403,133365.56030707
1962-03-21,4.89403,4.89403,4.89403,4.89403,252611.20634962
1962-03-22,4.89403,4.89403,4.89403,4.89403,160039.07373046
1962-03-23,4.89403,4.95433,4.89403,4.95433,200833.50482331
1962-03-26,4.95433,4.95433,4.83345,4.83345,182006.6180023
1962-03-27,4.83345,4.89403,4.83345,4.89403,196127.53567176
1962-03-28,4.89403,4.95433,4.89403,4.95433,208679.12802075
1962-03-29,4.95433,4.95433,4.89403,4.89403,183573.9365129
1962-03-30,4.89403,4.95433,4.83345,4.89403,230644.66548271
1962-04-02,4.83345,4.83345,4.83345,4.83345,178866.96395642
1962-04-03,4.83345,4.83345,4.77075,4.77075,266732.12401909
1962-04-04,4.77075,4.83345,4.77075,4.77075,214954.42249279
1962-04-05,4.77075,4.83345,4.77075,4.83345,277715.39445253
1962-04-06,4.83345,4.83345,4.77075,4.83345,221230.72036974
1962-04-09,4.83345,4.83345,4.77075,4.77075,186712.58715385
1962-04-10,4.77075,4.77075,4.71276,4.71276,224368.36760576
1962-04-11,4.71276,4.77075,4.58868,4.65385,197695.85758731
1962-04-12,4.65385,4.65385,4.58868,4.58868,225937.69292623
1962-04-13,4.65385,4.77075,4.65385,4.71276,268300.44593462
1962-04-16,4.71276,4.71276,4.65385,4.71276,238489.28527521
1962-04-17,4.71276,4.71276,4.71276,4.71276,225937.69292623
1962-04-18,4.71276,4.71276,4.65385,4.71276,553859.45677472
1962-04-19,4.71276,4.71276,4.65385,4.71276,160039.07373046
1962-04-23,4.71276,4.71276,4.65385,4.65385,271439.09657557
1962-04-24,4.65385,4.65385,4.65385,4.65385,349890.31152526
1962-04-25,4.65385,4.65385,4.58868,4.58868,346751.66088431
1962-04-26,4.58868,4.65385,4.52659,4.58868,225937.69292623
1962-04-27,4.58868,4.65385,4.46858,4.46858,335768.39045086
1962-04-30,4.46858,4.52659,4.28162,4.3437,434616.82094699
1962-05-01,4.3437,4.46858,4.28162,4.46858,500515.44014275
1962-05-02,4.46858,4.52659,4.46858,4.46858,456582.35840895
1962-05-03,4.52659,4.52659,4.52659,4.52659,489531.16630436
1962-05-04,4.52659,4.58868,4.52659,4.52659,310664.20234795
1962-05-07,4.52659,4.52659,4.46858,4.46858,327922.76725343
1962-05-08,4.46858,4.46858,4.46858,4.46858,243197.26123664
1962-05-09,4.46858,4.46858,4.46858,4.46858,343613.01024337
1962-05-10,4.46858,4.52659,4.4073,4.46858,415787.9273161
1962-05-11,4.46858,4.46858,4.3437,4.4073,608777.81575185
1962-05-14,4.4073,4.46858,4.3437,4.46858,475410.24863489
1962-05-15,4.46858,4.52659,4.46858,4.46858,412650.28008007
1962-05-16,4.46858,4.46858,4.46858,4.46858,273008.42189604
1962-05-17,4.46858,4.52659,4.46858,4.46858,127090.26583505
1962-05-18,4.52659,4.52659,4.52659,4.52659,294973.95935801
1962-05-21,4.52659,4.52659,4.52659,4.52659,218093.07313372
1962-05-22,4.52659,4.52659,4.4073,4.4073,265162.7986986
1962-05-23,4.3437,4.3437,4.28162,4.28162,346751.66088431
1962-05-24,4.28162,4.3437,4.22203,4.28162,447169.4167009
1962-05-25,4.28162,4.28162,4.09635,4.16063,400098.6877311
1962-05-28,4.16063,4.16063,3.91696,3.97626,665260.48302476
1962-05-29,3.97626,4.16063,3.79159,4.09635,1225397.2410813
1962-05-31,4.16063,4.22203,4.16063,4.16063,682520.05133518
1962-06-01,4.16063,4.22203,4.09635,4.16063,429908.84498555
1962-06-04,4.16063,4.16063,3.97626,3.97626,316939.49681997
1962-06-05,3.97626,4.09635,3.97626,4.03746,498947.11822721
1962-06-06,4.03746,4.16063,4.03746,4.03746,345183.33896877
1962-06-07,4.09635,4.16063,4.09635,4.09635,166316.37501236
1962-06-08,4.09635,4.16063,4.09635,4.09635,210247.44993629
1962-06-11,4.09635,4.16063,4.09635,4.09635,185143.26183338
1962-06-12,4.03746,4.03746,3.85587,3.91696,429908.84498555
1962-06-13,3.91696,3.97626,3.85587,3.85587,436184.13945758
1962-06-14,3.85587,3.97626,3.85587,3.85587,91001.803893746
1962-06-15,3.85587,3.97626,3.79159,3.97626,550723.81634857
1962-06-18,3.97626,3.97626,3.85587,3.91696,353028.96216621
1962-06-19,3.91696,3.91696,3.85587,3.91696,200833.50482331
1962-06-20,3.85587,3.85587,3.79159,3.79159,385975.76325175
1962-06-21,3.79159,3.79159,3.6721,3.6721,478548.89927585
1962-06-22,3.6721,3.6721,3.48843,3.48843,522480.97760472
1962-06-25,3.48843,3.54821,3.42853,3.54821,726453.13306898
1962-06-26,3.54821,3.61051,3.48843,3.48843,531894.92271769
1962-06-27,3.48843,3.54821,3.48843,3.54821,279284.71977301
1962-06-28,3.61051,3.73208,3.61051,3.73208,412650.28008007
1962-06-29,3.73208,3.79159,3.73208,3.79159,345183.33896877
1962-07-02,3.79159,4.03746,3.73208,3.97626,310664.20234795
1962-07-03,3.97626,4.03746,3.91696,3.97626,500515.44014275
1962-07-05,3.97626,4.03746,3.97626,4.03746,276146.06913206
1962-07-06,4.03746,4.03746,3.91696,3.97626,244765.58315218
1962-07-09,3.97626,4.03746,3.91696,4.03746,273008.42189604
1962-07-10,4.03746,4.16063,3.97626,4.03746,461290.33437038
1962-07-11,4.03746,4.03746,3.97626,4.03746,227506.01484177
1962-07-12,4.09635,4.16063,4.09635,4.09635,384408.44474116
1962-07-13,4.09635,4.09635,3.97626,4.09635,304387.90447098
1962-07-16,4.03746,4.03746,4.03746,4.03746,155332.10117398
1962-07-17,4.03746,4.03746,3.97626,3.97626,205540.47737981
1962-07-18,3.91696,3.91696,3.85587,3.91696,244765.58315218
1962-07-19,3.91696,3.97626,3.91696,3.97626,236920.96335968
1962-07-20,3.97626,4.03746,3.97626,3.97626,158469.74840999
1962-07-23,3.97626,4.03746,3.97626,4.03746,152194.45393796
1962-07-24,4.03746,4.03746,3.97626,3.97626,155332.10117398
1962-07-25,3.97626,3.97626,3.85587,3.97626,144348.83074052
1962-07-26,3.97626,4.03746,3.97626,4.03746,196127.53567176
1962-07-27,4.03746,4.09635,3.97626,4.03746,229076.34356718
1962-07-30,4.03746,4.09635,4.03746,4.09635,166316.37501236
1962-07-31,4.09635,4.22203,4.09635,4.22203,450306.06053199
1962-08-01,4.22203,4.22203,4.16063,4.16063,224368.36760576
1962-08-02,4.16063,4.22203,4.16063,4.22203,185143.26183338
1962-08-03,4.22203,4.22203,4.22203,4.22203,241627.93591617
1962-08-06,4.22203,4.22203,4.16063,4.16063,241627.93591617
1962-08-07,4.16063,4.16063,4.16063,4.16063,251042.88443408
1962-08-08,4.16063,4.16063,4.09635,4.16063,163176.72096648
1962-08-09,4.16063,4.22203,4.16063,4.16063,186712.58715385
1962-08-10,4.16063,4.22203,4.16063,4.22203,243197.26123664
1962-08-13,4.22203,4.22203,4.16063,4.16063,191419.55971034
1962-08-14,4.16063,4.28162,4.16063,4.28162,342044.68832782
1962-08-15,4.28162,4.28162,4.22203,4.28162,236920.96335968
