Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1992-01-22,0.416796,0.525051,0.416796,0.486309,217625060.63509
1992-01-23,0.505584,0.548296,0.486309,0.53251,49694788.937238
1992-01-24,0.536577,0.559531,0.5174,0.536577,15600599.053571
1992-01-27,0.559531,0.579193,0.536577,0.579193,13880552.673963
1992-01-28,0.575221,0.582777,0.548296,0.567764,25792386.371135
1992-01-29,0.548296,0.567764,0.525051,0.525051,17146571.93073
1992-01-30,0.53251,0.536577,0.471083,0.471083,14050488.034445
1992-01-31,0.482386,0.501903,0.471083,0.501903,3232855.2701931
1992-02-03,0.505584,0.505584,0.486309,0.494058,3004898.1621485
1992-02-04,0.501903,0.525051,0.501903,0.525051,3236999.6069854
1992-02-05,0.525051,0.525051,0.513234,0.513234,1487944.9347719
1992-02-06,0.525051,0.53251,0.513234,0.53251,7128863.2779702
1992-02-07,0.5174,0.53251,0.501903,0.501903,5906176.5473144
1992-02-10,0.501903,0.5174,0.471083,0.478755,18315369.893439
1992-02-11,0.478755,0.478755,0.432264,0.432264,12782210.501663
1992-02-12,0.440013,0.440013,0.420767,0.440013,5106252.4358211
1992-02-13,0.440013,0.440013,0.416796,0.428274,4198567.3079646
1992-02-14,0.432264,0.432264,0.409173,0.413126,17813864.875223
1992-02-18,0.420767,0.420767,0.366732,0.378315,3945740.0492843
1992-02-19,0.366732,0.405281,0.366732,0.389928,5549735.7064746
1992-02-20,0.432264,0.463268,0.420767,0.440013,6196305.9345368
1992-02-21,0.440013,0.459413,0.428274,0.459413,2416350.7141192
1992-02-24,0.459413,0.494058,0.451529,0.463268,4053501.0656476
1992-02-25,0.478755,0.478755,0.420767,0.420767,4053501.0656476
1992-02-26,0.416796,0.432264,0.416796,0.420767,2146947.1407403
1992-02-27,0.432264,0.432264,0.416796,0.428274,265260.26905716
1992-02-28,0.420767,0.432264,0.416796,0.428274,294271.65907357
1992-03-02,0.432264,0.432264,0.386035,0.389928,6706101.6912781
1992-03-03,0.397706,0.416796,0.386035,0.416796,688013.59598485
1992-03-04,0.416796,0.432264,0.397706,0.420767,600978.39346505
1992-03-05,0.416796,0.432264,0.409173,0.409173,588548.4804999
1992-03-06,0.405281,0.420767,0.386035,0.397706,2258852.4938959
1992-03-09,0.397706,0.428274,0.386035,0.420767,1396760.2331072
1992-03-10,0.409173,0.471083,0.409173,0.451529,1997738.6265721
1992-03-11,0.463268,0.463268,0.428274,0.428274,1322154.9435524
1992-03-12,0.416796,0.416796,0.397706,0.416796,7203464.4376427
1992-03-13,0.405281,0.416796,0.405281,0.409173,2258852.4938959
1992-03-16,0.420767,0.420767,0.405281,0.405281,1081764.8251311
1992-03-17,0.405281,0.420767,0.405281,0.405281,513938.02859249
1992-03-18,0.420767,0.420767,0.401463,0.405281,816502.4911328
1992-03-19,0.440013,0.463268,0.416796,0.463268,4459683.2402295
1992-03-20,0.463268,0.463268,0.405281,0.409173,3726071.6148242
1992-03-23,0.420767,0.420767,0.405281,0.416796,787489.03617528
1992-03-24,0.432264,0.447829,0.397706,0.409173,3502255.7461603
1992-03-25,0.416796,0.416796,0.389928,0.409173,1243405.3172055
1992-03-26,0.409173,0.409173,0.389928,0.409173,194801.38123588
1992-03-27,0.389928,0.405281,0.351294,0.366732,5048224.4934356
1992-03-30,0.362849,0.389928,0.362849,0.389928,4177846.6564739
1992-03-31,0.389928,0.428274,0.378315,0.397706,12214389.899948
1992-04-01,0.386035,0.397706,0.374432,0.378315,4948755.2480684
1992-04-02,0.374432,0.389928,0.362849,0.362849,4144684.7348418
1992-04-03,0.351294,0.366732,0.351294,0.366732,8707983.6221719
1992-04-06,0.366732,0.374432,0.355167,0.374432,5015069.7990974
1992-04-07,0.362849,0.374432,0.312688,0.312688,3187263.4355959
1992-04-08,0.312688,0.320426,0.270206,0.320426,5342504.4122735
1992-04-09,0.332001,0.3397,0.308823,0.332001,1537680.0736907
1992-04-10,0.3397,0.3397,0.312688,0.32429,3929164.7670564
1992-04-13,0.32429,0.32429,0.301103,0.301103,625845.44668919
1992-04-14,0.32429,0.32429,0.301103,0.301103,692159.99771822
1992-04-15,0.32429,0.32429,0.301103,0.301103,2540691.1425927
1992-04-16,0.32429,0.32429,0.266332,0.2818,2872268.0276199
1992-04-20,0.2818,0.2818,0.254787,0.266332,4625470.1340373
1992-04-21,0.254787,0.270206,0.250923,0.270206,25344758.76369
1992-04-22,0.266332,0.289529,0.258642,0.266332,3933309.1038486
1992-04-23,0.289529,0.289529,0.266332,0.2818,3303318.2878966
1992-04-24,0.266332,0.2818,0.266332,0.2818,1023738.9476866
1992-04-27,0.2818,0.289529,0.266332,0.270206,6386966.076392
1992-04-28,0.297268,0.297268,0.270206,0.285665,2847402.0068663
1992-04-29,0.293374,0.297268,0.277955,0.277955,2428784.7569666
1992-04-30,0.277955,0.320426,0.277955,0.312688,1434062.3616491
1992-05-01,0.320426,0.32429,0.301103,0.301103,1715899.9778753
1992-05-04,0.32429,0.32429,0.301103,0.320426,82894.995609732
1992-05-05,0.32429,0.343555,0.312688,0.3397,2909571.1886326
1992-05-06,0.343555,0.366732,0.343555,0.351294,5441971.5926996
1992-05-07,0.362849,0.362849,0.332001,0.351294,833085.00065462
1992-05-08,0.351294,0.351294,0.308823,0.32429,2677469.7437958
1992-05-11,0.332001,0.332001,0.332001,0.332001,58022.780032828
1992-05-12,0.320426,0.320426,0.289529,0.308823,1160509.2891252
1992-05-13,0.312688,0.312688,0.289529,0.289529,331577.91749783
1992-05-14,0.289529,0.293374,0.266332,0.266332,1438204.6335003
1992-05-15,0.254787,0.277955,0.254787,0.277955,1206104.2211341
1992-05-18,0.277955,0.289529,0.266332,0.270206,4774678.6482056
