Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-12-30,1.97275,2.06438,1.97275,2.04068,537165.44970711
1987-12-31,2.02046,2.04068,2.00043,2.00043,508616.45799798
1988-01-04,2.01269,2.10431,2.01269,2.09247,305772.32248372
1988-01-05,2.10431,2.12433,2.06438,2.06438,256937.91314369
1988-01-06,2.06438,2.12433,2.05242,2.11249,330561.03655943
1988-01-07,2.11249,2.12433,2.0845,2.12433,249427.39867162
1988-01-08,2.10431,2.10431,2.02046,2.02046,414706.91287186
1988-01-11,2.02046,2.0605,1.9608,2.05242,997705.57836859
1988-01-12,2.0605,2.0605,2.02046,2.04068,636335.3672021
1988-01-13,2.0605,2.0845,2.04068,2.07244,492091.31800049
1988-01-14,2.07244,2.0845,2.04068,2.07244,637089.43088773
1988-01-15,2.09247,2.12433,2.09247,2.11249,462037.21115852
1988-01-18,2.11249,2.13668,2.10431,2.12433,452274.54642432
1988-01-19,2.11249,2.16447,2.10431,2.16447,295251.57774597
1988-01-20,2.14465,2.19634,2.12433,2.12433,1956335.3958134
1988-01-21,2.11249,2.18439,2.11249,2.18439,1103631.94665
1988-01-22,2.18439,2.28826,2.18439,2.28826,746023.0171964
1988-01-25,2.28826,2.33239,2.26834,2.30799,453773.63708031
1988-01-26,2.30002,2.30799,2.28826,2.28826,212613.8288048
1988-01-27,2.28826,2.30799,2.2804,2.2804,317044.11866866
1988-01-28,2.2804,2.28826,2.2804,2.2804,67613.707758615
1988-01-29,2.30002,2.3519,2.30002,2.30799,214117.93985817
1988-02-01,2.33239,2.37999,2.30799,2.37999,163773.39498793
1988-02-02,2.37202,2.37999,2.35968,2.37999,340331.73392944
1988-02-03,2.37999,2.39184,2.3519,2.3519,233647.28564449
1988-02-04,2.3519,2.35968,2.32013,2.35968,697942.67154201
1988-02-05,2.35968,2.35968,2.33239,2.33239,215619.03867311
1988-02-08,2.30799,2.30799,2.28826,2.30799,184812.87630446
1988-02-09,2.30799,2.33239,2.28826,2.33239,829416.83798215
1988-02-10,2.34015,2.35968,2.33239,2.3519,659622.98246288
1988-02-11,2.34015,2.35968,2.33239,2.33239,217874.20117368
1988-02-12,2.33239,2.34015,2.30002,2.34015,576982.22128328
1988-02-16,2.33239,2.3519,2.30002,2.30002,262950.34103925
1988-02-17,2.30799,2.3519,2.30002,2.33239,552190.49496914
1988-02-18,2.30799,2.37999,2.30799,2.37202,219374.29590914
1988-02-19,2.37999,2.40369,2.37202,2.40369,1693390.0751716
1988-02-22,2.39184,2.42371,2.37202,2.41176,138984.68091221
1988-02-23,2.41176,2.43187,2.41176,2.42371,196840.74433399
1988-02-24,2.43187,2.45598,2.41176,2.42371,734754.23324987
1988-02-25,2.42371,2.46355,2.40369,2.45598,454526.69668647
1988-02-26,2.44383,2.45598,2.43187,2.43187,138984.68091221
1988-02-29,2.43187,2.46355,2.43187,2.45598,166785.63341255
1988-03-01,2.45598,2.46355,2.43187,2.44383,418463.17418737
1988-03-02,2.46355,2.48386,2.44383,2.44383,1449221.0407099
1988-03-03,2.44383,2.48386,2.44383,2.48386,346341.14958657
1988-03-04,2.48386,2.55557,2.45598,2.55557,278725.43366901
