Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,0.873566,0.873566,0.866046,0.873566,903302.56903102
1982-01-04,0.873566,0.881086,0.866046,0.873566,1224761.8875137
1982-01-05,0.866046,0.873566,0.866046,0.866046,1173328.150805
1982-01-06,0.858819,0.866046,0.851103,0.851103,1031889.9826963
1982-01-07,0.828837,0.843779,0.821122,0.821122,1674809.6436261
1982-01-08,0.843779,0.858819,0.821122,0.851103,1208688.7167967
1982-01-11,0.843779,0.858819,0.828837,0.828837,1118685.3093612
1982-01-12,0.821122,0.828837,0.814091,0.828837,678281.25088604
1982-01-13,0.821122,0.828837,0.814091,0.821122,1886974.0635407
1982-01-14,0.806181,0.821122,0.791141,0.798953,1112254.8123169
1982-01-15,0.806181,0.806181,0.798953,0.806181,1253696.0523192
1982-01-18,0.806181,0.814091,0.806181,0.814091,922586.89241217
1982-01-19,0.814091,0.821122,0.806181,0.806181,1391922.0437993
1982-01-20,0.791141,0.798953,0.791141,0.798953,813293.01780853
1982-01-21,0.798953,0.798953,0.791141,0.798953,1211902.9413543
1982-01-22,0.798953,0.798953,0.791141,0.798953,1366205.175445
1982-01-25,0.798953,0.798953,0.791141,0.798953,2221293.3521473
1982-01-26,0.806181,0.806181,0.798953,0.806181,819723.51485274
1982-01-27,0.806181,0.806181,0.798953,0.798953,135012.79088699
1982-01-28,0.798953,0.798953,0.791141,0.798953,2404520.5353629
1982-01-29,0.806181,0.806181,0.798953,0.798953,1035103.1832893
1982-02-01,0.798953,0.798953,0.791141,0.791141,186448.57552469
1982-02-02,0.791141,0.791141,0.783914,0.783914,658993.85561139
1982-02-03,0.776492,0.783914,0.761648,0.761648,437190.85788202
1982-02-04,0.754225,0.761648,0.754225,0.754225,2330587.2267509
1982-02-05,0.754225,0.761648,0.754225,0.754225,1806607.185991
1982-02-08,0.754225,0.754225,0.746413,0.746413,671848.70591284
1982-02-09,0.746413,0.746413,0.739479,0.746413,1832322.0064164
1982-02-10,0.746413,0.754225,0.739479,0.754225,1125107.6146894
1982-02-11,0.754225,0.761648,0.754225,0.754225,2565248.1466752
1982-02-12,0.761648,0.761648,0.754225,0.754225,1041528.5605112
1982-02-16,0.754225,0.754225,0.754225,0.754225,1134752.3362913
1982-02-17,0.754225,0.754225,0.754225,0.754225,983665.3507227
1982-02-18,0.754225,0.754225,0.754225,0.754225,1064032.2282724
1982-02-19,0.754225,0.754225,0.746413,0.754225,1070465.79721
1982-02-22,0.754225,0.754225,0.754225,0.754225,1674809.6436261
1982-02-23,0.754225,0.754225,0.746413,0.746413,1147613.3303796
1982-02-24,0.754225,0.754225,0.754225,0.754225,665420.25679762
1982-02-25,0.754225,0.754225,0.754225,0.754225,2806345.7074308
1982-02-26,0.754225,0.754225,0.754225,0.754225,2526673.356126
1982-03-01,0.754225,0.754225,0.746413,0.754225,1330848.7053112
1982-03-02,0.746413,0.754225,0.739479,0.739479,1446570.0050657
