Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-11-17,25.3914,25.3914,25.3914,25.3914,
2010-11-18,26.9305,27.692,26.0753,26.3063,595379006.28875
2010-11-19,26.2745,26.5443,25.477,26.3621,140187313.2234
2010-11-22,26.3133,26.5283,26.0136,26.2217,47642628.427647
2010-11-23,26.1221,26.154,25.5368,25.5796,40557067.614261
2010-11-24,25.9529,26.0067,25.5636,25.7608,33983867.213518
2010-11-26,25.706,26.0136,25.5537,26.0067,15987648.072399
2010-11-29,26.0067,26.0136,25.4432,26.0067,36104499.637716
2010-11-30,25.7986,26.3541,25.6672,26.3133,74709859.601487
2010-12-01,26.6597,26.8907,26.4815,26.7593,45016552.660795
2010-12-02,26.8677,26.9135,26.5541,26.6826,30220140.362977
2010-12-03,26.5831,26.6219,26.1361,26.5831,25209965.737439
2010-12-06,26.5283,26.7593,26.4755,26.5283,15179370.463432
2010-12-07,26.7383,26.8439,26.5153,26.6826,27064112.163919
2010-12-08,26.6309,26.7235,26.4159,26.5083,16383767.354917
2010-12-09,26.4387,26.4915,25.8683,25.9619,23928446.428663
2010-12-10,26.0445,26.154,25.7986,26.0136,15269363.693643
2010-12-13,26.1281,26.2007,25.931,26.0067,14424225.514935
2010-12-14,25.9529,26.1003,25.7389,26.0753,19786257.608452
2010-12-15,26.0136,26.1689,25.8613,25.8613,13235433.718175
2010-12-16,25.8305,26.0525,25.8215,25.8613,12850449.451752
2010-12-17,25.7986,26.1609,25.5368,26.1609,46375319.950868
2010-12-20,26.0913,26.2007,25.9619,25.9748,16217599.966791
2010-12-21,26.0525,26.1151,25.9439,26.0445,11713906.344856
2010-12-22,25.9439,26.8907,25.7986,26.8677,27220397.162478
2010-12-23,26.6747,27.3297,26.6388,26.7831,26683486.475289
2010-12-27,26.4755,26.8439,26.3063,26.6219,9578046.5224652
2010-12-28,27.2232,27.4482,26.9823,27.1754,30547646.449795
2010-12-29,27.2919,27.929,27.1226,27.715,27264446.020463
2010-12-30,27.7776,28.4536,27.715,28.3292,22085117.592469
2010-12-31,28.3461,28.4397,28.138,28.36,8018460.1965267
2011-01-03,28.7164,29.2391,28.4924,28.5173,32345749.13988
2011-01-04,28.5452,29.2301,28.2226,29.1605,42061882.920573
2011-01-05,28.8309,29.4691,28.8309,29.2909,29248853.551776
2011-01-06,29.4213,30.3789,29.2909,29.9299,50134774.611653
2011-01-07,29.8861,30.2605,29.6293,29.9907,25868037.654784
2011-01-10,30.2694,30.2853,29.5795,29.6691,23842576.720424
2011-01-11,29.7457,30.3371,29.6293,29.8155,19320792.840948
2011-01-12,29.9698,30.2943,29.5217,29.7149,21800611.653054
2011-01-13,29.7457,29.7856,29.3227,29.4461,14773112.640775
2011-01-14,29.3775,29.5985,29.2679,29.3923,7664390.7930105
2011-01-18,29.2769,29.4929,28.7164,29.2599,11591865.162144
2011-01-19,29.0669,29.1853,28.6696,28.7752,16463842.033128
2011-01-20,28.5532,28.6915,27.908,28.6079,20594191.674297
2011-01-21,28.7224,29.1226,28.3292,28.6527,12410214.008942
2011-01-24,29.0151,29.1305,28.4924,28.9593,15859737.525768
2011-01-25,29.1226,29.6133,29.0151,29.5447,16015445.934409
2011-01-26,29.8155,29.9369,29.1305,29.1525,14995930.490576
2011-01-27,29.3923,29.9698,29.2599,29.7517,18133347.090338
2011-01-28,29.2391,29.254,27.707,28.163,48264865.382055
2011-01-31,28.383,28.5074,27.6154,28.0774,18141143.108372
2011-02-01,28.4138,28.6477,27.7996,28.0464,36513825.240179
2011-02-02,28.0524,28.129,27.3775,27.4551,22672458.802708
2011-02-03,27.6752,27.7428,27.0301,27.7428,25156350.911184
2011-02-04,27.8932,28.2615,27.6154,28.155,14449461.871213
2011-02-07,28.4317,28.5372,28.1699,28.2396,9533280.4428755
2011-02-08,28.4466,28.5074,28.0076,28.383,8115753.2158185
2011-02-09,28.3292,28.3998,27.915,28.0136,8318970.0219514
2011-02-10,27.8294,28.1898,27.3297,27.6074,15004686.822131
2011-02-11,27.5148,28.138,27.3546,28.0464,17569368.8214
2011-02-14,28.1202,28.129,27.2919,27.922,9259019.521877
2011-02-15,27.8464,28.0136,27.5457,27.7826,13434314.04578
2011-02-16,27.7826,28.3461,27.715,28.2754,11284323.752356
2011-02-17,28.1202,28.2396,27.929,27.9848,9701117.330031
2011-02-18,28.0206,28.2834,27.9936,28.0942,8862194.0673869
2011-02-22,27.5905,27.8145,27.2759,27.5218,18123742.95061
2011-02-23,27.5836,27.6522,26.0067,26.6129,36663025.415237
2011-02-24,26.8509,26.9305,24.6608,25.4054,82611073.151324
2011-02-25,25.9051,26.3133,25.4302,25.5796,37725772.044245
2011-02-28,25.7677,25.9619,25.2829,25.7986,20645809.530592
2011-03-01,25.9688,25.9688,24.9524,25.3516,35506618.082516
2011-03-02,25.3128,25.5218,25.0748,25.2998,18554202.482132
2011-03-03,25.2998,25.5218,25.1216,25.4133,22871216.579843
2011-03-04,25.4432,25.4512,24.6308,24.9226,31504932.372018
2011-03-07,24.8906,25.0052,24.2516,24.391,19592654.987167
2011-03-08,24.4228,25.255,24.382,25.1744,18857496.814964
2011-03-09,25.1884,25.2062,24.6996,24.814,14586761.591993
2011-03-10,24.2118,24.4507,23.8125,24.1749,49815921.391649
2011-03-11,24.0435,24.6608,24.0365,24.5682,18224839.052531
2011-03-14,24.7294,24.8528,24.1829,24.3053,12966512.783244
2011-03-15,23.8375,24.9992,23.5826,24.8906,27903111.769479
2011-03-16,24.9444,25.03,24.16,24.4507,18390438.891347
2011-03-17,24.7622,24.9226,24.1052,24.1908,14332868.157357
