Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-12-17,4.33941,4.33941,4.30731,4.33176,226269.70244825
1984-12-18,4.34796,4.46127,4.34796,4.43692,745003.68767785
1984-12-19,4.44507,4.45312,4.43692,4.45312,543436.84922607
1984-12-20,4.44507,4.44507,4.42916,4.44507,471309.27540999
1984-12-21,4.42916,4.42916,4.38036,4.38036,270730.43078562
1984-12-24,4.39647,4.40461,4.38831,4.39647,29642.833133535
1984-12-26,4.41277,4.42916,4.40461,4.42916,22724.864134241
1984-12-27,4.41277,4.41277,4.38831,4.39647,28655.845409813
1984-12-28,4.38831,4.38831,4.34796,4.34796,50392.71571664
1984-12-31,4.36416,4.41277,4.35592,4.41277,77069.555160541
1985-01-02,4.40461,4.43692,4.38831,4.43692,33596.820650584
1985-01-03,4.42916,4.42916,4.34796,4.36416,135362.19708173
1985-01-04,4.34796,4.34796,4.33176,4.33176,15812.931757111
1985-01-07,4.33176,4.33176,4.25065,4.2749,143271.17821952
1985-01-08,4.2749,4.2749,4.24271,4.25065,448579.38075728
1985-01-09,4.2265,4.2914,4.2265,4.2914,1019685.0876694
1985-01-10,4.34796,4.51812,4.34796,4.51812,1315114.3580367
1985-01-11,4.51812,4.54237,4.46127,4.48552,631377.35479926
1985-01-14,4.51812,4.61523,4.50978,4.59903,165007.04242265
1985-01-15,4.59903,4.71224,4.59903,4.69613,810214.29859833
1985-01-16,4.69613,4.82525,4.69613,4.80924,360646.92401363
1985-01-17,4.80924,4.80924,4.76104,4.76104,80034.542746481
1985-01-18,4.76879,4.84989,4.76879,4.84989,146231.13528699
1985-01-21,4.84185,5.07681,4.84185,5.02036,764762.55812246
1985-01-22,5.04421,5.13317,5.00356,5.00356,495021.12726795
1985-01-23,4.97941,4.99561,4.90665,4.9634,160068.07938927
1985-01-24,5.00356,5.06837,5.00356,5.06071,168960.02383601
1985-01-25,5.04421,5.06071,5.02772,5.05216,128452.27691199
1985-01-28,5.06071,5.06071,5.02036,5.02036,72125.561608691
1985-01-29,5.04421,5.06837,5.02036,5.06837,194649.87555619
1985-01-30,5.17362,5.23057,5.15762,5.23057,390284.7266287
1985-01-31,5.23057,5.23057,5.19797,5.19797,147221.14132179
1985-02-01,5.19797,5.19797,5.10116,5.10116,228243.67789568
1985-02-04,5.07681,5.12502,5.07681,5.10116,65213.629231561
1985-02-05,5.12502,5.18198,5.12502,5.18198,124498.28939493
1985-02-06,5.17362,5.22243,5.17362,5.19797,357684.95473878
1985-02-07,5.19797,5.23853,5.19797,5.23853,158089.07342336
1985-02-08,5.23853,5.28713,5.23853,5.28713,54345.697129994
1985-02-11,5.29499,5.32748,5.29499,5.32748,176862.96835163
1985-02-12,5.30323,5.31943,5.27888,5.27888,297405.25802213
1985-02-13,5.29499,5.33574,5.27888,5.31943,315192.16522669
1985-02-14,5.33574,5.33574,5.29499,5.29499,132400.22780687
1985-02-15,5.29499,5.29499,5.18198,5.18198,197611.84483105
1985-02-19,5.10116,5.10116,5.04421,5.04421,150186.12890773
1985-02-20,5.04421,5.07681,5.04421,5.05216,190695.88803914
1985-02-21,5.05216,5.06837,5.04421,5.04421,43474.746717346
1985-02-22,5.06837,5.06837,5.04421,5.04421,23712.857961657
1985-02-25,5.04421,5.06837,5.02772,5.06837,65213.629231561
1985-02-26,5.06837,5.19797,5.06837,5.17362,172911.99914567
1985-02-27,5.15762,5.17362,5.13317,5.13317,143271.17821952
1985-02-28,5.10882,5.14947,5.10882,5.14151,102758.40077703
1985-03-01,5.12502,5.18198,5.12502,5.14947,193658.86341769
1985-03-04,5.14151,5.14151,5.00356,5.06837,187730.90045319
1985-03-05,5.06837,5.06837,5.02036,5.02036,262826.48016629
1985-03-06,5.02036,5.02036,4.97126,4.97941,24699.845685378
1985-03-07,4.97126,4.97126,4.90665,4.93091,88927.493296911
1985-03-08,4.89006,4.89006,4.84989,4.87425,122519.28342902
1985-03-11,4.87425,4.87425,4.77695,4.77695,70153.598368636
1985-03-12,4.77695,4.77695,4.74454,4.75239,145248.17197804
1985-03-13,4.76879,4.76879,4.72824,4.72824,120540.27746311
1985-03-14,4.74454,4.8336,4.74454,4.80924,56320.678681131
1985-03-15,4.80924,4.84989,4.80924,4.80924,187730.90045319
1985-03-18,4.82525,4.82525,4.74454,4.76879,60273.660094485
1985-03-19,4.77695,4.78499,4.77695,4.77695,227251.6596535
1985-03-20,4.77695,4.78499,4.75239,4.77695,147221.14132179
1985-03-21,4.78499,4.82525,4.76879,4.82525,112642.36346595
1985-03-22,4.80924,4.8336,4.80924,4.8336,82995.505917644
1985-03-25,4.80924,4.82525,4.79334,4.79334,22724.864134241
1985-03-26,4.80924,4.85815,4.80924,4.84989,170935.00538714
1985-03-27,4.85815,4.89006,4.85815,4.8824,131415.25229054
1985-03-28,4.89006,4.8986,4.87425,4.8824,98804.41325998
1985-03-29,4.85815,4.85815,4.84185,4.84989,179826.94983388
1985-04-01,4.84989,4.84989,4.79334,4.80924,80034.542746481
1985-04-02,4.79334,4.80924,4.75239,4.75239,77069.555160541
1985-04-03,4.73688,4.73688,4.63918,4.63918,91888.456468074
1985-04-04,4.62279,4.63143,4.58262,4.59098,152162.11656256
1985-04-08,4.59903,4.59903,4.57478,4.57478,142284.19049579
1985-04-09,4.58262,4.58262,4.55033,4.55033,203541.82000292
1985-04-10,4.55033,4.59903,4.55033,4.59903,146231.13528699
1985-04-11,4.63143,4.72049,4.63143,4.72049,322108.12201859
1985-04-12,4.72049,4.74454,4.72049,4.74454,33596.820650584
1985-04-15,4.77695,4.8336,4.77695,4.8336,72125.561608691
1985-04-16,4.84989,4.84989,4.80924,4.80924,334953.04787868
1985-04-17,4.82525,4.82525,4.74454,4.74454,46434.703784817
