Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,5.74066,5.77362,5.6985,5.6985,320678.6698746
1982-01-04,5.6985,5.77362,5.63237,5.74066,318274.19107309
1982-01-05,5.5907,5.71572,5.45767,5.49944,533750.8516705
1982-01-06,5.39115,5.44163,5.31672,5.43293,865507.2988806
1982-01-07,5.39115,5.44163,5.31672,5.39115,406873.17319736
1982-01-08,5.39115,5.40798,5.34165,5.34165,393387.8862047
1982-01-11,5.20843,5.3664,5.02552,5.05876,637035.33961775
1982-01-12,5.10074,5.16715,5.02552,5.10074,518094.46176001
1982-01-13,5.14212,5.1921,5.07589,5.08391,468747.08064252
1982-01-14,5.16715,5.23357,5.08391,5.22525,287455.44072016
1982-01-15,5.2501,5.31672,5.18369,5.29197,1470032.6707027
1982-01-18,5.25862,5.33305,5.18369,5.29197,266752.67618214
1982-01-19,5.2501,5.29998,5.1921,5.20843,424204.61598721
1982-01-20,5.12558,5.22525,5.01769,5.05876,477889.15151431
1982-01-21,5.05876,5.08391,5.02552,5.05104,375334.08948919
1982-01-22,5.05876,5.08391,5.01769,5.01769,423000.35601604
1982-01-25,5.05876,5.11757,4.98433,5.11757,554936.53253923
1982-01-26,5.15914,5.22525,5.07589,5.12558,296606.60415884
1982-01-27,5.11757,5.22525,4.98433,5.16715,323093.25152821
1982-01-28,5.33305,5.45767,5.1921,5.39976,215474.64002698
1982-01-29,5.45767,5.52429,5.3664,5.50775,418426.79486712
1982-02-01,5.2501,5.40798,5.08391,5.16715,383033.47308006
1982-02-02,5.12558,5.1921,5.05104,5.05104,343792.9852106
1982-02-03,4.89288,5.01769,4.77667,4.80162,953377.86536795
1982-02-04,4.82646,4.93465,4.70194,4.88485,1107460.5039953
1982-02-05,4.89288,4.97612,4.81012,4.9096,720568.75169548
1982-02-08,4.68502,4.81012,4.55238,4.57742,894633.82150558
1982-02-09,4.5692,4.63542,4.50219,4.55238,883320.64771597
1982-02-10,4.60206,4.66027,4.53565,4.55238,591043.11568505
1982-02-11,4.50219,4.55238,4.44439,4.46111,548913.21211294
1982-02-12,4.52753,4.55238,4.50219,4.53565,308881.56946905
1982-02-16,4.46924,4.5692,4.36986,4.50219,836133.256379
1982-02-17,4.50219,4.57742,4.41984,4.42756,328624.56305689
1982-02-18,4.46924,4.51081,4.41984,4.42756,436480.59158264
1982-02-19,4.42756,4.48596,4.36986,4.40263,384482.22207223
1982-02-22,4.35303,4.48596,4.21168,4.21168,806276.29754668
1982-02-23,4.30335,4.36986,4.22039,4.32799,613441.13880666
1982-02-24,4.40263,4.53565,4.28641,4.51081,455262.80393509
1982-02-25,4.46924,4.56069,4.37788,4.37788,440819.76656267
1982-02-26,4.30335,4.37788,4.22039,4.3363,107860.0696666
1982-03-01,4.24494,4.32799,4.14546,4.25335,594897.35376394
1982-03-02,4.17021,4.28641,4.06222,4.12032,580210.83765575
1982-03-03,3.92098,3.97937,3.87118,3.89623,1838867.5954313
1982-03-04,3.87118,3.96264,3.77151,3.87118,1207371.6496239
1982-03-05,3.75517,3.81328,3.68836,3.75517,1301025.0886574
1982-03-08,3.68836,3.83822,3.53079,3.56414,661347.85321365
1982-03-09,3.66371,3.75517,3.54691,3.68836,1266597.5995318
1982-03-10,3.73835,3.85465,3.62997,3.81328,826261.75958509
1982-03-11,3.87118,3.91296,3.81328,3.8793,1276224.6073047
1982-03-12,3.89623,3.94582,3.8298,3.92098,440090.34064053
1982-03-15,3.96264,4.04548,3.8793,4.03738,490171.18882099
1982-03-16,3.98719,4.06222,3.91296,3.94582,824573.57299798
1982-03-17,3.8793,3.9379,3.8298,3.8298,313217.71359345
1982-03-18,3.8793,3.92098,3.83822,3.92098,576602.09888306
1982-03-19,3.89623,3.9379,3.87118,3.92098,553730.25199765
1982-03-22,3.96264,4.00421,3.92098,3.97937,560229.41675818
1982-03-23,4.06222,4.12884,3.97937,4.06222,697697.91509527
1982-03-24,4.00421,4.06222,3.9379,3.97937,479336.89022126
1982-03-25,3.89623,3.96264,3.81328,3.81328,438653.71507088
1982-03-26,3.75517,3.83822,3.67174,3.73004,540250.01643103
1982-03-29,3.73004,3.75517,3.7051,3.73835,531822.21720323
1982-03-30,3.7051,3.73835,3.66371,3.67174,491137.02148243
1982-03-31,3.68836,3.7051,3.66371,3.67174,861410.59235115
1982-04-01,3.77151,3.85465,3.67174,3.8298,546027.83755113
1982-04-02,3.92098,3.97937,3.85465,3.96264,429260.08318165
1982-04-05,3.97937,4.00421,3.94582,4.00421,549154.67027829
1982-04-06,4.00421,4.04548,3.96264,4.02064,688558.87507912
