Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-12-18,2.4081,2.42977,2.37917,2.42977,652221.89533488
1984-12-19,2.42977,2.48684,2.42977,2.46537,600422.86997184
1984-12-20,2.45851,2.46537,2.45115,2.46537,555688.50684703
1984-12-21,2.45115,2.45851,2.42977,2.42977,362611.53261059
1984-12-24,2.45115,2.46537,2.45115,2.46537,122436.47021062
1984-12-26,2.47959,2.50107,2.46537,2.47959,284902.28744226
1984-12-27,2.46537,2.48684,2.26472,2.26472,1127860.8856746
1984-12-28,2.2865,2.34377,2.2865,2.30758,2684263.6932513
1984-12-31,2.29326,2.30758,2.14312,2.19304,1356258.1119239
1985-01-02,2.20736,2.30758,2.20736,2.25747,1036028.4343862
1985-01-03,2.27905,2.30758,2.27905,2.30758,183660.82367238
1985-01-04,2.31513,2.32935,2.30758,2.31513,409703.50241768
1985-01-07,2.31513,2.31513,2.26472,2.27905,216623.46900302
1985-01-08,2.27905,2.29326,2.27905,2.2865,609842.07971412
1985-01-09,2.29326,2.34377,2.29326,2.33631,477984.36030907
1985-01-10,2.34377,2.34377,2.34377,2.34377,259008.38325415
1985-01-11,2.34377,2.35073,2.32935,2.33631,440310.58051818
1985-01-14,2.33631,2.34377,2.33631,2.34377,282551.8188425
1985-01-15,2.35779,2.36495,2.32935,2.35073,536852.12681462
1985-01-16,2.32935,2.34377,2.32935,2.34377,652221.89533488
1985-01-17,2.33631,2.34377,2.29326,2.32209,492111.64533337
1985-01-18,2.34377,2.34377,2.32935,2.34377,195431.52174049
1985-01-21,2.34377,2.36495,2.34377,2.35779,536852.12681462
1985-01-22,2.34377,2.34377,2.30758,2.33631,447375.24275641
1985-01-23,2.33631,2.34377,2.32935,2.33631,200140.61674859
1985-01-24,2.34377,2.3722,2.34377,2.36495,426186.35467211
1985-01-25,2.36495,2.3722,2.34377,2.34377,282551.8188425
1985-01-28,2.33631,2.46537,2.33631,2.44419,1001183.3747236
1985-01-29,2.47959,2.51528,2.46537,2.50107,1475874.0198148
1985-01-30,2.42977,2.42977,2.37917,2.42977,1092540.6336617
1985-01-31,2.42977,2.42977,2.38652,2.41535,472802.11240279
1985-02-01,2.41535,2.47959,2.40113,2.42977,543447.71505897
1985-02-04,2.45115,2.5299,2.45115,2.5299,706384.64573663
1985-02-05,2.58001,2.6158,2.58001,2.60167,777964.31747627
1985-02-06,2.58001,2.73054,2.58001,2.71622,1175422.9492016
1985-02-07,2.73054,2.86655,2.69464,2.86655,2255724.8305273
1985-02-08,2.78055,2.83096,2.75927,2.78055,1793273.9574981
1985-02-11,2.76613,2.76613,2.68063,2.73054,1079360.6741598
1985-02-12,2.73054,2.88087,2.70936,2.85979,1158468.9835011
1985-02-13,2.90951,2.90951,2.80948,2.84537,1251711.7159493
1985-02-14,2.85979,2.9957,2.84537,2.9957,2864151.5304512
1985-02-15,3.01002,3.0315,2.93118,2.93118,1448556.5780279
1985-02-19,2.90951,3.01002,2.86655,3.01002,541561.22182272
1985-02-20,3.0315,3.12486,3.01002,3.0315,1345896.6752896
1985-02-21,3.02444,3.0315,2.95991,2.9957,586770.77729786
1985-02-22,2.98129,2.9957,2.92403,2.93118,421005.12649191
1985-02-25,2.90951,2.90951,2.80948,2.90951,476576.11860136
1985-02-26,2.90951,2.97432,2.90951,2.93118,796804.77641297
1985-02-27,2.94579,2.98129,2.94579,2.97432,542501.40926263
1985-02-28,2.9957,3.13928,2.97432,3.13928,800569.60507687
1985-03-01,3.11054,3.12486,3.07455,3.11054,810929.00225906
1985-03-04,3.11054,3.11054,3.0315,3.08171,405936.63430162
1985-03-05,3.06014,3.13928,3.06014,3.11054,295738.91642691
1985-03-06,3.09622,3.09622,3.08171,3.09622,315516.50362528
1985-03-07,3.06014,3.07455,2.98129,3.06014,647048.82496327
1985-03-08,3.06014,3.06014,3.02444,3.0315,195907.73381688
1985-03-11,2.93118,2.93118,2.88087,2.93118,345656.54718407
1985-03-12,2.90951,2.93118,2.88087,2.93118,140335.72198135
1985-03-13,2.90951,2.92403,2.81654,2.83096,212858.64033912
1985-03-14,2.81654,2.83096,2.80948,2.81654,178009.50177223
1985-03-15,2.81654,2.83096,2.80948,2.83096,111135.86586247
1985-03-18,2.83096,2.85979,2.80948,2.81654,170476.78526621
1985-03-19,2.81654,2.84537,2.75927,2.80948,871206.03019839
1985-03-20,2.81654,2.83096,2.79506,2.83096,594304.51352996
1985-03-21,2.81654,2.94579,2.81654,2.94579,238285.50998549
1985-03-22,2.94579,2.97432,2.86655,2.86655,259008.38325415
1985-03-25,2.86655,2.89558,2.81654,2.83096,286321.74613678
1985-03-26,2.84537,2.88087,2.81654,2.86655,729931.14050321
1985-03-27,2.83096,2.84537,2.80948,2.83096,506713.10298192
1985-03-28,2.83096,2.89558,2.83096,2.84537,469980.53035702
1985-03-29,2.86655,2.88087,2.83096,2.85979,800569.60507687
1985-04-01,2.85979,2.86655,2.81654,2.84537,396518.44428542
1985-04-02,2.84537,2.92403,2.84537,2.88087,3296461.3401956
1985-04-03,2.89558,2.89558,2.84537,2.85979,2260429.8466312
1985-04-04,2.85979,2.85979,2.83096,2.83096,1805514.7492862
1985-04-08,2.83096,2.85979,2.83096,2.84537,668706.78704146
1985-04-09,2.84537,2.88087,2.83096,2.86655,1054866.8538708
1985-04-10,2.86655,2.93118,2.86655,2.90951,698850.90950453
1985-04-11,2.93118,2.94579,2.90951,2.93118,735579.40322515
1985-04-12,2.95991,2.97432,2.90951,2.95991,1064284.0241609
1985-04-15,2.95991,3.01002,2.95991,2.97432,566047.90402921
1985-04-16,2.97432,2.98129,2.94579,2.98129,485991.24943934
1985-04-17,2.98129,2.9957,2.95991,2.98129,438898.25990619
