Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-09-22,0.0228555,0.0303825,0.0228555,0.0228555,9905507.2386674
1981-09-23,0.0228555,0.0303825,0.0228555,0.0228555,9814630.9880737
1981-09-24,0.0228555,0.0303825,0.0228555,0.0228555,6815710.6424482
1981-09-25,0.0228555,0.0303825,0.0228555,0.0228555,9769188.277236
1981-09-28,0.0228555,0.0303825,0.0228555,0.0228555,7724472.1293752
1981-09-29,0.0228555,0.0303825,0.0228555,0.0228555,5316257.0931946
1981-09-30,0.0228555,0.0303825,0.0228555,0.0228555,6997461.1056172
1981-10-01,0.0303825,0.0303825,0.0303825,0.0303825,5816073.9239366
1981-10-02,0.0303825,0.0303825,0.0303825,0.0303825,4680123.3390392
1981-10-05,0.0303825,0.0303825,0.0303825,0.0303825,2408224.2072626
1981-10-06,0.0303825,0.0303825,0.0303825,0.0303825,3362414.1388999
1981-10-07,0.0303825,0.0303825,0.0303825,0.0303825,5588882.7879481
1981-10-08,0.0303825,0.0303825,0.0303825,0.0303825,181749.44415993
1981-10-09,0.0303825,0.0303825,0.0303825,0.0303825,7542723.7042244
1981-10-12,0.0303825,0.0303825,0.0303825,0.0303825,499813.77371481
1981-10-13,0.0303825,0.0303825,0.0303825,0.0303825,1544890.1460368
1981-10-14,0.0303825,0.0303825,0.0303825,0.0303825,545257.50356168
1981-10-15,0.0303825,0.0303825,0.0303825,0.0303825,4134861.7594411
1981-10-16,0.0303825,0.0303825,0.0303825,0.0303825,408943.6371758
1981-10-19,0.0303825,0.0303825,0.0303825,0.0303825,1635772.510685
1981-10-20,0.0303825,0.0303825,0.0303825,0.0303825,2044716.1478609
1981-10-21,0.0303825,0.0303825,0.0303825,0.0303825,9451128.0237176
1981-10-22,0.0303825,0.0303825,0.0303825,0.0303825,8542364.4987723
1981-10-23,0.0303825,0.0379486,0.0303825,0.0303825,5225376.7665644
1981-10-26,0.0303825,0.0379486,0.0303825,0.0303825,5770635.2891352
1981-10-27,0.0303825,0.0379486,0.0303825,0.0303825,1726643.6662332
1981-10-28,0.0303825,0.0379486,0.0303825,0.0303825,4634681.6472106
1981-10-29,0.0303825,0.0379486,0.0303825,0.0303825,817880.14128791
1981-10-30,0.0303825,0.0379486,0.0303825,0.0303825,636122.54505519
1981-11-02,0.0379486,0.0379486,0.0379486,0.0379486,1135954.6609338
1981-11-03,0.0379486,0.0379486,0.0379486,0.0379486,1454016.9524706
1981-11-04,0.0379486,0.0379486,0.0379486,0.0379486,1499452.5302446
1981-11-05,0.0379486,0.0379486,0.0379486,0.0379486,5725191.5592884
1981-11-06,0.0379486,0.0379486,0.0379486,0.0379486,181749.44415993
1981-11-09,0.0379486,0.0379486,0.0303825,0.0303825,5906954.2505667
1981-11-10,0.0303825,0.0379486,0.0303825,0.0303825,3725923.2173109
1981-11-11,0.0303825,0.0379486,0.0303825,0.0303825,545257.50356168
1981-11-12,0.0303825,0.0379486,0.0303825,0.0303825,908758.42989973
1981-11-13,0.0303825,0.0379486,0.0303825,0.0303825,408943.6371758
1981-11-16,0.0303825,0.0379486,0.0303825,0.0303825,3816800.4869136
1981-11-17,0.0379486,0.0379486,0.0379486,0.0379486,272620.59970804
1981-11-18,0.0379486,0.0379486,0.0379486,0.0379486,499813.77371481
1981-11-19,0.0379486,0.0379486,0.0379486,0.0379486,272620.59970804
1981-11-20,0.0379486,0.0379486,0.0379486,0.0379486,3589607.3129067
1981-11-23,0.0379486,0.0379486,0.0379486,0.0379486,1226824.7974728
1981-11-24,0.0379486,0.0379486,0.0379486,0.0379486,454377.17693166
1981-11-25,0.0379486,0.0379486,0.0379486,0.0379486,318059.23450939
1981-11-27,0.0379486,0.0379486,0.0379486,0.0379486,272620.59970804
1981-11-30,0.0379486,0.0379486,0.0379486,0.0379486,136312.84737677
1981-12-01,0.0379486,0.0379486,0.0379486,0.0379486,272620.59970804
1981-12-02,0.0379486,0.0379486,0.0379486,0.0379486,499813.77371481
1981-12-03,0.0379486,0.0379486,0.0379486,0.0379486,2271900.1507857
1981-12-04,0.0379486,0.0455737,0.0379486,0.0379486,6406775.1573452
1981-12-07,0.0455737,0.0455737,0.0455737,0.0455737,5316257.0931946
1981-12-08,0.0455737,0.0455737,0.0455737,0.0455737,3862240.140724
1981-12-09,0.0455737,0.0455737,0.0455737,0.0455737,1681207.0694501
1981-12-10,0.0455737,0.0455737,0.0455737,0.0455737,1045072.2962855
1981-12-11,0.0455737,0.0455737,0.0455737,0.0455737,363497.86931075
1981-12-14,0.0455737,0.0455737,0.0379486,0.0379486,2226464.5730117
1981-12-15,0.0379486,0.0379486,0.0379486,0.0379486,3862240.140724
1981-12-16,0.0379486,0.0379486,0.0379486,0.0379486,272620.59970804
1981-12-17,0.0379486,0.0379486,0.0379486,0.0379486,2544529.9215756
1981-12-18,0.0379486,0.0379486,0.0379486,0.0379486,727002.8716852
1981-12-21,0.0379486,0.0379486,0.0379486,0.0379486,1135954.6609338
1981-12-22,0.0379486,0.0379486,0.0379486,0.0379486,1862956.5136099
1981-12-23,0.0379486,0.0379486,0.0379486,0.0379486,1544890.1460368
1981-12-24,0.0379486,0.0379486,0.0379486,0.0379486,2362779.4584066
1981-12-28,0.0379486,0.0379486,0.0379486,0.0379486,636122.54505519
1981-12-29,0.0379486,0.0379486,0.0379486,0.0379486,590695.11935394
1981-12-30,0.0379486,0.0455737,0.0379486,0.0379486,636122.54505519
1981-12-31,0.0379486,0.0455737,0.0379486,0.0379486,363497.86931075
1982-01-04,0.0379486,0.0455737,0.0379486,0.0379486,181749.44415993
1982-01-05,0.0379486,0.0455737,0.0379486,0.0379486,590695.11935394
1982-01-06,0.0379486,0.0455737,0.0379486,0.0379486,408943.6371758
