Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-12-18,16.876,16.9261,16.3705,16.5033,1736712.3099205
1995-12-19,16.5033,16.5033,16.0352,16.1611,702708.72103411
1995-12-20,16.1611,16.6655,16.1611,16.5809,2501710.8203853
1995-12-21,16.5417,16.6655,16.2446,16.3705,2493639.834085
1995-12-22,16.4532,16.5809,16.3705,16.4532,1390681.9934158
1995-12-26,16.4532,16.4532,16.3302,16.4168,599538.20626138
1995-12-27,16.3705,16.4168,16.2446,16.2446,891619.22711671
1995-12-28,16.1611,16.3705,16.1198,16.2446,1270719.6370598
1995-12-29,16.1611,16.3302,15.9968,16.3302,658748.49134264
1996-01-02,16.2446,16.4532,16.1198,16.3705,1051691.415718
1996-01-03,16.3302,16.4532,16.291,16.3302,1630214.1405139
1996-01-04,16.2064,16.5417,16.2064,16.5033,1504739.5934135
1996-01-05,16.5033,16.5417,16.3302,16.4532,2069164.5344272
1996-01-08,16.6253,16.8366,16.5417,16.8366,696172.40186171
1996-01-09,16.8366,16.8366,16.6253,16.7608,2858898.7466053
1996-01-10,16.5809,16.6655,16.1611,16.291,1156654.9179967
1996-01-11,16.4532,16.5033,16.291,16.4532,1615860.0703724
1996-01-12,16.7925,16.7925,16.4168,16.7531,870984.1071528
1996-01-15,16.8366,17.048,16.7925,17.048,605949.4332822
1996-01-16,17.3459,17.3459,17.0854,17.1355,1212406.3542363
1996-01-17,16.9644,17.0854,16.9261,16.9261,707961.57439111
1996-01-18,16.8366,17.048,16.6655,16.9644,1273411.6608422
1996-01-19,16.8366,16.9644,16.7925,16.876,653110.19143727
1996-01-22,16.7925,16.876,16.7147,16.876,784349.14760398
1996-01-23,17.048,17.2211,17.0097,17.1729,1303656.5022718
1996-01-24,17.1355,17.1729,17.0097,17.048,1383886.336856
1996-01-25,16.9644,17.1729,16.7147,16.7925,1390552.8332268
1996-01-26,16.7147,17.0097,16.5809,17.0097,913531.71083984
1996-01-29,16.876,16.9644,16.7531,16.876,264527.18619874
1996-01-30,16.7925,16.876,16.6655,16.7531,407042.74217618
1996-01-31,16.7147,16.9261,16.6253,16.9261,963005.1482851
1996-02-01,17.0854,17.0854,16.9644,17.0097,789089.42824231
1996-02-02,16.9261,16.9261,16.6655,16.876,587749.03373198
1996-02-05,16.7147,16.9261,16.7147,16.876,449846.63222256
1996-02-06,16.876,17.0097,16.8366,16.9644,465738.42052005
1996-02-07,16.9644,17.048,16.8366,17.0097,1043107.856699
1996-02-08,17.0097,17.2997,16.9644,17.2997,969666.55960908
1996-02-09,17.2997,17.4285,17.0854,17.1355,861762.88326355
1996-02-12,17.1355,17.4285,17.1355,17.3833,579545.83621453
