Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-04-05,33.7893,34.4742,33.1064,34.4033,1606700.3526482
2011-04-06,34.0117,34.4546,33.439,33.9172,2433475.6965828
2011-04-07,32.694,33.5522,32.0633,33.1645,2497392.2645805
2011-04-08,32.7619,33.2333,32.6516,32.9095,1529398.2649333
2011-04-11,32.9095,32.9774,32.7215,32.754,1828611.1730403
2011-04-12,32.4018,32.8406,32.1891,32.5258,1915669.8941296
2011-04-13,32.2315,32.7953,31.8655,32.4805,1929832.8145898
2011-04-14,32.3938,33.6417,32.3545,33.1378,1441723.7205105
2011-04-15,33.2401,34.8314,33.1732,34.3108,1757289.481889
2011-04-18,33.7194,34.3777,32.9853,34.2331,928786.58074829
2011-04-19,34.2576,34.2941,33.7558,34.0028,938671.25659788
2011-04-20,34.3108,34.4977,33.7627,34.2409,418959.04395716
2011-04-21,34.2409,34.3522,33.4882,33.6003,935195.81798313
2011-04-25,33.3336,33.6849,33.001,33.3956,348627.14146399
2011-04-26,33.3081,33.9408,33.0798,33.625,814989.3389481
2011-04-27,33.3081,34.36,32.5651,34.1986,903179.10190236
2011-04-28,34.1888,34.3955,33.8316,34.179,809547.5337487
2011-04-29,34.1888,34.3363,34.1386,34.1888,651012.65756967
2011-05-02,33.807,35.2073,33.3759,35.0242,634167.95859948
2011-05-03,34.7851,35.1217,34.5165,34.6159,630547.20193739
2011-05-04,34.5342,34.7635,33.8394,34.1484,692335.82594104
2011-05-05,34.0343,35.2152,33.7627,34.053,743811.94963402
2011-05-06,34.2232,34.3177,33.625,33.7627,484096.0803104
2011-05-09,33.617,34.0628,33.2166,33.8464,431498.06064353
2011-05-10,34.0117,34.482,33.9949,34.3363,830048.55673521
2011-05-11,33.746,33.7627,32.9095,33.1467,1518443.519826
2011-05-12,33.1645,33.2501,32.7117,32.8121,448593.76351369
2011-05-13,32.7452,33.001,32.4529,32.875,508836.73192288
2011-05-16,32.6516,33.2401,32.6516,33.0719,355198.97231825
2011-05-17,32.9853,33.2333,32.8308,33.1467,432651.45913117
2011-05-18,33.0247,33.0325,32.5572,32.9095,655642.51088218
2011-05-19,32.8673,33.0621,32.4805,32.8023,607981.23998445
2011-05-20,32.7619,32.7953,32.3545,32.5326,408232.94612715
2011-05-23,32.1637,32.6085,31.892,32.3112,331676.75664119
2011-05-24,32.2315,32.3624,31.6332,31.77,431566.14672166
2011-05-25,31.6411,31.7109,31.2918,31.343,383040.08101072
2011-05-26,31.1806,31.3193,31.0202,31.1323,563590.13325696
2011-05-27,31.3518,31.5427,31.1559,31.2661,282289.96095753
2011-05-31,31.4207,31.95,31.1481,31.2584,977302.48435801
2011-06-01,31.2584,31.2584,30.7378,30.8539,782626.09521598
2011-06-02,30.7889,30.9749,30.6531,30.8135,371377.0374489
2011-06-03,30.4907,30.8046,30.1217,30.6,493121.04239741
2011-06-06,30.5054,30.8804,30.353,30.7555,415490.71881328
2011-06-07,30.7732,31.222,30.6767,31.1481,294880.80436009
2011-06-08,31.0103,31.7199,31.0103,31.6008,297136.79082931
2011-06-09,31.5761,31.9737,31.4631,31.6165,1154470.5893207
2011-06-10,31.5053,31.5053,30.908,31.0536,540725.40552835
2011-06-13,31.0536,31.404,31.0536,31.2052,451065.18652861
2011-06-14,31.3695,31.4118,31.0782,31.2661,270509.03702164
2011-06-15,30.9829,31.0694,30.6689,30.908,338247.57128533
2011-06-16,30.8628,31.1481,30.7465,30.7732,339375.56451994
2011-06-17,30.9267,31.1392,30.6531,30.7298,578226.60763363
2011-06-20,30.6255,31.1323,30.6078,30.7642,2293275.2834118
2011-06-21,30.8302,31.1559,30.7968,31.0694,231736.55605466
2011-06-22,30.9267,31.3607,30.7732,30.8981,151747.60877906
2011-06-23,30.7732,30.8716,30.5281,30.6856,197636.60922529
2011-06-24,30.7555,30.7555,30.1316,30.4218,630040.11308688
2011-06-27,30.3451,30.7298,30.0606,30.0873,189798.58055993
2011-06-28,30.1739,30.5281,29.9584,30.1413,187517.18883767
2011-06-29,30.1413,30.2152,29.6779,29.7654,384412.98088456
2011-06-30,29.799,29.9584,29.2577,29.4919,702709.29885898
2011-07-01,29.6061,29.985,29.4487,29.5804,332921.61403975
2011-07-05,29.5401,29.8629,29.5076,29.6061,390601.7005231
2011-07-06,29.5313,30.7732,29.2253,30.1316,807517.14592639
2011-07-07,30.2566,30.3609,29.4023,29.4831,366614.06061049
2011-07-08,29.2253,30.1572,29.2076,29.9151,949008.14595146
2011-07-11,29.7202,29.9328,29.429,29.7822,606542.28645273
2011-07-12,29.6238,29.6238,29.1899,29.4023,935317.76319768
2011-07-13,29.3936,29.5156,28.3849,29.0954,1664411.9416454
2011-07-14,29.1386,29.1386,28.2255,28.6733,564726.25617254
2011-07-15,28.6161,28.7716,28.2175,28.6506,710599.15424053
2011-07-18,28.5512,28.6929,28.2324,28.378,724131.00821537
2011-07-19,28.4725,28.4883,28.131,28.4725,455966.3679435
2011-07-20,28.4105,28.811,28.3278,28.4046,367412.80176582
2011-07-21,28.4813,28.7648,28.3435,28.5679,273091.22693979
2011-07-22,28.507,29.0954,28.1831,28.9822,384224.98201213
2011-07-25,28.683,29.5076,28.5147,29.299,452569.17750809
2011-07-26,30.2999,30.5822,30.0352,30.0519,803079.3563268
2011-07-27,29.8629,30.103,29.0954,29.2331,499356.50770153
2011-07-28,29.1485,29.556,29.0364,29.0638,367760.34562729
2011-07-29,28.8031,29.1485,28.497,28.6161,399726.25120199
2011-08-01,28.7284,28.7716,28.0286,28.071,630975.02639845
2011-08-02,27.95,28.497,27.7363,27.7363,433757.09574312
2011-08-03,27.7984,27.9342,27.0437,27.4274,602677.63936153
2011-08-04,27.2414,27.4885,26.9747,27.0092,590511.57178968
2011-08-05,27.204,27.204,25.7742,26.6086,654064.33656385
2011-08-08,25.969,26.2081,25.3432,25.5508,1057268.0588008
2011-08-09,25.8549,25.8549,23.6428,25.4031,1410916.294474
2011-08-10,25.0892,25.0892,23.7618,23.9419,1184105.3088772
2011-08-11,23.8465,24.2569,22.641,23.7874,759185.17634862
2011-08-12,23.9174,24.8413,23.7874,23.9508,928853.65061628
2011-08-15,24.2007,24.5392,24.0335,24.4369,468306.20744609
2011-08-16,24.2322,25.3265,24.2322,25.1966,938776.94245051
2011-08-17,25.292,25.418,24.8561,25.2054,239501.41759131
2011-08-18,24.863,25.105,24.122,24.4811,577830.28568633
2011-08-19,24.3779,25.1376,24.3779,24.4713,580103.54772761
2011-08-22,24.8728,25.1877,24.1752,24.2736,380300.37852378
2011-08-23,24.3424,25.1622,24.0167,25.0016,569145.75398995
2011-08-24,25.0096,26.3872,25.0096,26.156,353558.80918252
2011-08-25,26.3528,26.3528,25.3009,25.362,284973.77188781
2011-08-26,25.1523,26.0074,24.6593,25.8549,257521.8716718
2011-08-29,25.9848,26.4886,25.4711,26.3263,240077.60873005
2011-08-30,25.9779,26.4128,25.8028,26.1727,292500.84025607
