Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-12-12,42.9721,44.2218,42.8695,43.3737,35264517.930712
2013-12-13,44.3644,45.1527,43.4754,44.5836,5922991.8987115
2013-12-16,46.5429,52.3501,43.4136,43.4136,4797800.8924618
2013-12-17,43.597,44.3644,43.5372,43.9966,2355940.601876
2013-12-18,44.0394,44.747,43.7006,44.0394,2906894.447248
2013-12-19,43.878,45.2094,43.4754,44.9483,1494499.0683049
2013-12-20,45.3908,45.4915,44.1003,44.2428,1011882.0148314
2013-12-23,44.4032,44.765,43.4963,43.4963,1241950.7527972
2013-12-24,43.5771,43.7186,42.6682,43.3927,1255215.9411694
2013-12-26,43.4963,44.3035,43.4754,43.7764,1331722.5639094
2013-12-27,43.5771,44.0604,43.4754,43.5771,1109019.918821
2013-12-30,43.8192,44.3245,43.5771,44.163,886764.798242
2013-12-31,44.3833,45.3291,44.2837,44.8856,1153812.5064862
2014-01-02,44.8856,45.0928,43.9169,44.1003,1794046.4880608
2014-01-03,43.9757,44.5656,43.878,44.4032,469148.17121027
2014-01-06,44.3644,44.6235,43.8989,44.3833,1193348.1862934
2014-01-07,44.3833,44.5836,44.182,44.3833,2026886.6670466
2014-01-08,44.4431,44.4431,43.9757,44.4431,1174096.6050446
2014-01-09,44.3833,44.4241,43.7983,44.1222,467555.7465547
2014-01-10,43.8989,44.1003,43.5172,43.7574,826484.45093058
2014-01-13,43.4963,44.0394,43.4963,43.8192,740958.1021484
2014-01-14,43.7983,44.6025,43.6588,44.5836,1273733.0203087
2014-01-15,44.4839,44.7262,44.0394,44.2029,931255.35703421
2014-01-16,44.182,44.4431,43.7574,44.3035,1149415.5280106
2014-01-17,44.3035,45.5125,43.9757,44.8856,2748953.4150738
2014-01-21,45.3908,45.5732,44.0604,44.2218,1302147.8163996
2014-01-22,44.3644,45.3699,44.182,45.3091,1453150.2118419
2014-01-23,45.2474,45.7157,44.5836,45.7157,952176.62613854
2014-01-24,45.0928,45.349,44.5656,45.2882,906722.78589118
2014-01-27,45.2882,45.2882,44.163,44.3644,1118489.176209
2014-01-28,44.0604,44.3833,43.878,44.182,698168.33717548
2014-01-29,43.9966,44.1421,43.4963,43.7006,445393.24915866
2014-01-30,43.8989,44.0176,43.5771,43.7006,529192.71524882
2014-01-31,43.3927,43.7574,43.0528,43.6797,436074.50449812
2014-02-03,43.6797,43.7764,42.0413,42.2665,1134182.6365826
2014-02-04,42.3652,42.5306,42.0413,42.426,850187.1952367
2014-02-05,42.0602,42.2875,41.4582,41.9626,706692.3746355
2014-02-06,42.0413,42.7658,42.0034,42.7658,299129.99779204
2014-02-07,42.8924,44.1222,42.8077,43.6797,521792.50615315
2014-02-10,43.7186,43.7574,42.9721,43.1914,572061.75025815
2014-02-11,43.8382,43.9169,43.293,43.7574,653443.98194677
2014-02-12,43.8581,44.2837,43.6179,44.163,444278.45155793
2014-02-13,43.9368,44.4241,43.6797,44.2837,561062.280142
2014-02-14,44.3833,44.4839,44.1003,44.3833,658985.86056851
2014-02-18,44.3833,44.3833,43.8382,43.8989,626733.9933478
2014-02-19,43.8989,44.2837,43.3737,43.4345,448590.13948798
2014-02-20,43.3737,43.7186,42.9921,43.3528,612433.27741135
2014-02-21,43.3737,44.765,43.3139,44.6842,1186099.4933432
2014-02-24,44.8049,45.3908,44.4631,44.9066,783134.77861184
2014-02-25,44.8856,45.5533,44.8049,45.1357,837293.27159206
2014-02-26,45.2094,45.7576,44.9893,45.4705,1090580.1028819
2014-02-27,45.1148,46.1154,43.9757,45.3699,2225553.4329924
2014-02-28,45.3908,45.5533,44.5448,45.1148,987310.31037928
2014-03-03,44.8257,45.3908,44.6025,45.3699,688582.68327842
2014-03-04,46.2171,46.6017,45.3091,45.5125,2346576.7033973
2014-03-05,45.3291,46.1791,45.2882,45.936,680161.99789119
2014-03-06,45.936,46.1154,45.1905,45.349,694087.43542741
2014-03-07,45.2284,46.0556,45.1905,45.8194,653358.69140126
2014-03-10,45.917,46.0964,44.8447,45.1527,937823.7324566
2014-03-11,45.1726,45.3091,44.3833,44.6025,849733.65021822
2014-03-12,44.4631,45.1905,43.9169,45.0928,802166.6112786
2014-03-13,44.8447,45.2474,44.3035,44.4839,1009709.6144663
2014-03-14,44.3035,44.9066,44.1222,44.4431,620247.89821637
2014-03-17,44.6025,45.1726,44.5656,44.6235,375599.4940593
2014-03-18,44.5836,45.5732,44.5039,45.5333,689439.60240623
2014-03-19,45.4288,45.4486,44.7052,44.9066,746086.57247897
2014-03-20,44.8856,45.2284,44.6025,44.7262,663908.63017167
2014-03-21,44.9274,46.3815,44.6842,46.3815,3078911.4296857
2014-03-24,46.2788,46.5828,45.3091,45.917,982746.76448545
2014-03-25,45.953,46.1991,45.349,45.349,795451.73680157
2014-03-26,45.3908,45.5333,44.9683,45.072,795427.65476519
2014-03-27,45.0081,45.4288,44.7262,44.8447,682282.22051073
2014-03-28,44.7262,45.1527,44.2837,44.8856,2108597.0164809
2014-03-31,45.072,45.2474,44.3833,44.8656,4980896.6150521
