Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.959318,0.998033,0.959318,0.982567,69799.004355603
1970-01-05,0.990252,1.0137,0.990252,1.0137,143475.67478119
1970-01-06,1.0137,1.03655,1.00552,1.0137,114779.93076746
1970-01-07,1.0137,1.02907,1.0137,1.0137,83756.572015898
1970-01-08,1.0137,1.03655,1.0137,1.03655,72901.137211593
1970-01-09,1.03655,1.03655,1.0137,1.02119,97720.230251172
1970-01-12,1.02119,1.02119,1.0137,1.02119,73673.625138101
1970-01-13,1.02119,1.02119,0.982567,0.982567,135716.2822579
1970-01-14,0.982567,1.0137,0.982567,1.0137,58163.975953981
1970-01-15,0.998033,0.998033,0.982567,0.982567,85307.638443892
1970-01-16,0.982567,0.998033,0.974784,0.982567,57389.457835813
1970-01-19,0.982567,0.998033,0.974784,0.990252,55836.361216159
1970-01-20,0.990252,0.998033,0.967101,0.982567,63594.738643622
1970-01-21,0.998033,1.09094,0.998033,1.0599,181475.78717124
1970-01-22,1.0599,1.07556,1.02119,1.02907,199313.05109319
1970-01-23,1.02907,1.03655,1.00552,1.0137,79109.463306892
1970-01-26,1.00552,1.00552,0.959318,0.974784,120986.2266711
1970-01-27,0.974784,0.974784,0.951438,0.974784,69799.004355603
1970-01-28,0.967101,0.967101,0.928484,0.928484,137272.42416505
1970-01-29,0.920504,0.920504,0.889768,0.913017,284619.67444124
1970-01-30,0.913017,0.920504,0.897551,0.920504,210172.54628081
1970-02-02,0.920504,0.928484,0.905234,0.928484,170616.29198361
1970-02-03,0.928484,0.93597,0.905234,0.93597,179925.73583906
1970-02-04,0.951438,0.951438,0.913017,0.920504,190782.18573921
1970-02-05,0.920504,0.920504,0.905234,0.913017,98494.748369339
1970-02-06,0.913017,0.913017,0.897551,0.913017,141924.6083532
1970-02-09,0.913017,0.913017,0.897551,0.913017,154334.15487298
1970-02-10,0.913017,0.913017,0.897551,0.913017,80657.484447398
1970-02-11,0.913017,0.920504,0.905234,0.920504,96942.666845514
1970-02-12,0.920504,0.920504,0.905234,0.913017,86858.704871888
1970-02-13,0.913017,0.920504,0.905234,0.913017,62040.626928139
1970-02-16,0.913017,0.913017,0.897551,0.913017,88412.816587372
1970-02-17,0.913017,0.913017,0.889768,0.889768,107024.59862748
1970-02-18,0.897551,0.913017,0.897551,0.897551,103923.48086731
1970-02-19,0.897551,0.920504,0.897551,0.897551,132618.20978523
1970-02-20,0.897551,0.928484,0.897551,0.905234,232658.94910341
1970-02-24,0.905234,0.913017,0.905234,0.913017,206293.86511499
1970-02-25,0.913017,0.920504,0.897551,0.913017,248945.14659736
1970-02-26,0.913017,0.913017,0.897551,0.905234,237318.23896238
1970-02-27,0.905234,0.951438,0.897551,0.928484,274542.81813843
1970-03-02,0.93597,0.974784,0.93597,0.951438,260582.20519064
1970-03-03,0.951438,0.974784,0.93597,0.974784,153554.56127567
1970-03-04,0.974784,0.990252,0.967101,0.974784,203187.67187568
1970-03-05,0.974784,0.990252,0.967101,0.974784,133390.69771174
1970-03-06,0.974784,0.974784,0.951438,0.951438,100044.7997015
1970-03-09,0.951438,0.959318,0.943852,0.951438,82984.084089389
1970-03-10,0.951438,0.967101,0.943852,0.959318,48857.577386012
1970-03-11,0.959318,0.967101,0.951438,0.951438,72127.634189255
1970-03-12,0.951438,0.951438,0.93597,0.943852,68247.937927608
1970-03-13,0.943852,0.951438,0.93597,0.951438,72901.137211593
1970-03-16,0.951438,0.959318,0.928484,0.943852,63594.738643622
1970-03-17,0.943852,0.951438,0.928484,0.943852,72127.634189255
1970-03-18,0.943852,0.967101,0.928484,0.93597,248175.70395833
