Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.261322,0.261322,0.261322,0.261322,2860887.0939454
1970-01-05,0.261322,0.271054,0.261322,0.267813,7289378.7406025
1970-01-06,0.267813,0.267813,0.264485,0.264485,5212294.4352723
1970-01-07,0.267813,0.267813,0.267813,0.267813,2194647.8081224
1970-01-08,0.267813,0.271054,0.267813,0.267813,5016351.1658779
1970-01-09,0.267813,0.271054,0.267813,0.271054,1881125.6681578
1970-01-12,0.271054,0.277604,0.271054,0.277604,862185.62877301
1970-01-13,0.277604,0.280854,0.274344,0.274344,4036595.8872016
1970-01-14,0.274344,0.277604,0.271054,0.274344,4546071.5417459
1970-01-15,0.274344,0.280854,0.274344,0.280854,2704122.4381482
1970-01-16,0.280854,0.280854,0.267813,0.277604,9444858.1803132
1970-01-19,0.277604,0.277604,0.274344,0.274344,4350125.198796
1970-01-20,0.274344,0.280854,0.274344,0.280854,2860887.0939454
1970-01-21,0.280854,0.280854,0.277604,0.280854,1645989.4419066
1970-01-22,0.280854,0.280854,0.277604,0.280854,2273038.8444286
1970-01-23,0.277604,0.277604,0.274344,0.274344,1175705.7197005
1970-01-26,0.274344,0.274344,0.271054,0.271054,9562417.5850312
1970-01-27,0.271054,0.271054,0.264485,0.264485,11090847.62222
1970-01-28,0.264485,0.267813,0.261322,0.261322,2939275.0566961
1970-01-29,0.261322,0.271054,0.254784,0.257985,13403064.055727
1970-01-30,0.257985,0.257985,0.254784,0.254784,2390608.494332
1970-02-02,0.254784,0.261322,0.254784,0.254784,2939275.0566961
1970-02-03,0.254784,0.254784,0.244935,0.254784,8465093.6809699
1970-02-04,0.254784,0.264485,0.251434,0.251434,4350125.198796
1970-02-05,0.248253,0.248253,0.241684,0.244935,4663638.1180936
1970-02-06,0.244935,0.257985,0.244935,0.257985,9679991.3330086
1970-02-09,0.257985,0.257985,0.254784,0.254784,3370362.7484898
1970-02-10,0.254784,0.254784,0.254784,0.254784,1332461.1548307
1970-02-11,0.254784,0.261322,0.254784,0.257985,4977160.2580583
1970-02-12,0.257985,0.261322,0.257985,0.257985,3487926.2512819
1970-02-13,0.257985,0.257985,0.257985,0.257985,2155468.1700067
1970-02-16,0.261322,0.264485,0.261322,0.264485,5329876.3793981
