Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,2.06128,2.08407,2.06128,2.07656,638923.38851761
1985-07-02,2.08407,2.10724,2.08407,2.09185,303800.59494289
1985-07-03,2.09185,2.10724,2.09185,2.10724,283445.52430266
1985-07-05,2.10724,2.10724,2.08407,2.08407,147199.73776156
1985-07-08,2.08407,2.10724,2.07656,2.09185,461967.46069604
1985-07-09,2.09185,2.10724,2.09185,2.10724,609166.18485981
1985-07-10,2.10724,2.10724,2.09185,2.10724,173824.92427572
1985-07-11,2.10724,2.12264,2.09185,2.12264,162861.85067525
1985-07-12,2.10724,2.10724,2.08407,2.10724,269350.43355856
1985-07-15,2.10724,2.13813,2.08407,2.09185,638923.38851761
1985-07-16,2.09185,2.10724,2.07656,2.07656,416553.21211345
1985-07-17,2.07656,2.08407,2.04568,2.05377,662414.53069259
1985-07-18,2.05377,2.06128,2.04568,2.05377,178522.94999116
1985-07-19,2.05377,2.06128,2.04568,2.05377,466663.45921591
1985-07-22,2.06128,2.07656,2.06128,2.07656,368005.93278946
1985-07-23,2.07656,2.07656,2.00809,2.00809,432217.35222271
1985-07-24,2.00809,2.0148,1.99261,1.99261,576282.03204728
1985-07-25,1.99261,1.99971,1.93064,1.93064,374270.98067449
1985-07-26,1.92344,1.92344,1.88517,1.90056,790825.20638572
1985-07-29,1.92344,1.92344,1.88517,1.90056,790825.20638572
1985-07-30,1.90786,1.93064,1.90786,1.93064,554359.93923747
1985-07-31,1.93064,1.95432,1.92344,1.94613,537130.80415418
1985-08-01,1.94613,1.97722,1.94613,1.97722,487017.51625837
1985-08-02,1.97722,1.97722,1.97722,1.97722,300670.60499483
1985-08-05,1.97722,1.97722,1.94613,1.95432,200447.06999655
1985-08-06,1.95432,1.97722,1.94613,1.94613,283445.52430266
1985-08-07,1.94613,1.95432,1.91575,1.93064,220803.15423456
1985-08-08,1.93064,1.94613,1.91575,1.92344,184784.95708286
1985-08-09,1.92344,1.94613,1.92344,1.93875,502680.64276985
1985-08-12,1.93875,1.97722,1.93064,1.97722,491717.56916936
1985-08-13,1.97722,1.97722,1.95432,1.96172,109619.58642916
1985-08-14,1.96172,1.96172,1.94613,1.95432,364872.90204806
1985-08-15,1.95432,1.95432,1.92344,1.93064,360179.94432152
1985-08-16,1.93064,1.93875,1.90786,1.90786,515206.68414879
1985-08-19,1.92344,1.93064,1.90056,1.92344,353909.82844757
1985-08-20,1.93064,1.94613,1.93064,1.93875,133109.71500636
1985-08-21,1.93875,1.94613,1.92344,1.92344,208278.1264534
1985-08-22,1.92344,1.92344,1.91575,1.91575,104923.58790927
1985-08-23,1.91575,1.92344,1.87746,1.87746,519906.73705979
1985-08-26,1.87746,1.90056,1.87746,1.90056,479193.55498599
1985-08-27,1.90056,1.90056,1.89266,1.90056,225503.20714556
1985-08-28,1.90056,1.90056,1.88517,1.89266,422817.2464007
1985-08-29,1.89266,1.89266,1.88517,1.88517,382097.98274022
1985-08-30,1.88517,1.93064,1.88517,1.91575,559055.93775734
1985-09-03,1.92344,1.94613,1.92344,1.94613,222372.20359972
1985-09-04,1.94613,1.97722,1.94613,1.95432,537130.80415418
1985-09-05,1.95432,1.96172,1.94613,1.94613,139368.68130471
1985-09-06,1.95432,1.96932,1.95432,1.96172,167561.90358626
1985-09-09,1.96172,1.99261,1.96172,1.99261,609166.18485981
1985-09-10,1.99261,2.00809,1.97722,1.99261,436909.29635146
1985-09-11,1.99261,1.99261,1.96172,1.96172,311628.61060639
1985-09-12,1.96172,1.97722,1.93064,1.93064,147199.73776156
1985-09-13,1.93064,1.93064,1.89266,1.91575,507376.64128972
1985-09-16,1.91575,1.95432,1.91575,1.93064,181649.89914588
1985-09-17,1.93064,1.95432,1.91575,1.91575,208278.1264534
1985-09-18,1.91575,1.91575,1.90056,1.90056,203578.0735424
1985-09-19,1.90056,1.94613,1.90056,1.94613,494854.6543019
1985-09-20,1.94613,1.96172,1.93064,1.93875,557491.95638109
1985-09-23,1.94613,1.96172,1.94613,1.94613,181649.89914588
1985-09-24,1.94613,1.97722,1.94613,1.96172,205143.06851643
1985-09-25,1.96172,1.96172,1.93875,1.93875,140939.75786542
1985-09-26,1.93875,1.96932,1.93064,1.96172,573150.01490367
1985-09-30,1.96172,2.00809,1.96172,1.97722,388359.98983191
1985-10-01,1.97722,1.99971,1.95432,1.99971,568456.04357934
1985-10-02,2.0148,2.07656,2.0148,2.0148,1287238.774075
1985-10-03,2.03049,2.05377,2.03049,2.04568,651448.41629876
1985-10-04,2.04568,2.04568,2.03049,2.03049,253688.32064486
1985-10-07,2.03858,2.05377,2.03858,2.05377,579413.03559313
1985-10-08,2.05377,2.06128,2.03858,2.06128,432217.35222271
1985-10-09,2.06906,2.09185,2.06906,2.08407,765770.08283449
1985-10-10,2.08407,2.09185,2.07656,2.09185,286577.54144628
1985-10-11,2.09185,2.12264,2.07656,2.12264,574717.03707326
1985-10-14,2.10724,2.10724,2.08407,2.09185,255256.35641224
1985-10-15,2.09185,2.10724,2.06128,2.06906,433776.26561005
1985-10-16,2.06906,2.10724,2.06906,2.10724,299103.58282524
1985-10-17,2.10724,2.12264,2.10724,2.12264,529302.78849068
1985-10-18,2.12264,2.15361,2.12264,2.12264,366439.92421764
1985-10-21,2.12264,2.13033,2.09185,2.11504,227069.21571738
1985-10-22,2.11504,2.11504,2.07656,2.09185,706258.71631224
1985-10-23,2.09185,2.11504,2.07656,2.10724,206709.07708824
1985-10-24,2.10724,2.10724,2.07656,2.08407,137805.71352623
1985-10-25,2.08407,2.09185,2.06128,2.07656,150335.80929631
1985-10-28,2.07656,2.12264,2.06128,2.06906,167561.90358626
1985-10-29,2.07656,2.11504,2.07656,2.10724,443174.3442365
1985-10-30,2.10724,2.16072,2.10724,2.15361,504245.63774388
1985-10-31,2.15361,2.1692,2.14543,2.16072,352345.84707132
1985-11-01,2.16072,2.19929,2.13813,2.1915,494854.6543019
1985-11-04,2.1915,2.22987,2.1692,2.1915,469793.44916399
1985-11-05,2.1915,2.2071,2.1843,2.1843,269350.43355856
1985-11-06,2.1843,2.1843,2.15361,2.16072,521471.73203382
1985-11-07,2.14543,2.1692,2.14543,2.1692,466663.45921591
1985-11-08,2.1692,2.1843,2.1692,2.1843,202017.13295949
1985-11-11,2.1843,2.2071,2.1692,2.2071,609166.18485981
1985-11-12,2.2071,2.22209,2.1915,2.19929,947417.95478481
1985-11-13,2.19929,2.2071,2.1915,2.2071,543397.87923478
1985-11-14,2.2071,2.2071,2.19929,2.2071,637356.36634801
1985-11-15,2.2071,2.23737,2.2071,2.23737,676506.58064335
1985-11-18,2.23737,2.25276,2.2071,2.25276,482324.55853184
1985-11-19,2.26796,2.28355,2.25276,2.26057,338250.75632722
1985-11-20,2.26057,2.30654,2.26057,2.29884,328856.73209189
1985-11-21,2.30654,2.33722,2.30654,2.32933,299103.58282524
1985-11-22,2.32933,2.36,2.31423,2.32933,842502.47565778
1985-11-25,2.32933,2.32933,2.29884,2.31423,385227.97268828
1985-11-26,2.31423,2.32933,2.31423,2.32933,223938.21217153
1985-11-27,2.32933,2.34481,2.31423,2.34481,131541.67923898
1985-11-29,2.34481,2.39079,2.33722,2.38339,314761.64134779
1985-12-02,2.38339,2.40618,2.37539,2.37539,494854.6543019
1985-12-03,2.37539,2.39079,2.36781,2.37539,186355.0200458
1985-12-04,2.37539,2.41358,2.36,2.41358,701560.6905968
1985-12-05,2.41358,2.42877,2.37539,2.37539,1935557.2004257
1985-12-06,2.37539,2.39079,2.36,2.37539,948989.03134553
1985-12-09,2.37539,2.39079,2.36781,2.39079,598205.1384549
1985-12-10,2.39079,2.39079,2.36,2.36,397761.1092517
1985-12-11,2.36,2.37539,2.34481,2.36,372708.01289602
1985-12-12,2.36,2.37539,2.32193,2.34481,753239.98706442
1985-12-13,2.34481,2.38339,2.32193,2.37539,535567.8363757
1985-12-16,2.37539,2.39838,2.36,2.39079,601337.15559852
1985-12-17,2.39079,2.42186,2.39079,2.39838,360179.94432152
1985-12-18,2.39079,2.39079,2.36,2.36,333552.73061178
1985-12-19,2.36,2.36,2.32933,2.34481,330418.68627259
1985-12-20,2.34481,2.39079,2.34481,2.37539,737578.88774851
1985-12-23,2.37539,2.37539,2.31423,2.31423,416553.21211345
1985-12-24,2.31423,2.31423,2.28355,2.28355,178522.94999116
1985-12-26,2.28355,2.31423,2.28355,2.29884,368005.93278946
1985-12-27,2.29884,2.30654,2.28355,2.29884,192619.05433305
1985-12-30,2.29884,2.29884,2.26796,2.28355,169127.91215806
1985-12-31,2.26796,2.26796,2.22987,2.26796,850331.50491907
1986-01-02,2.26796,2.26796,2.23737,2.23737,776732.14283718
1986-01-03,2.23737,2.26796,2.23737,2.25276,548091.85055908
1986-01-06,2.25276,2.26057,2.22209,2.24527,255256.35641224
