Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-11-15,4.61188,4.61188,4.61188,4.61188,
2005-11-16,6.91802,7.84259,6.84071,6.96271,110249026.56762
2005-11-17,7.14859,7.40566,6.13068,6.25349,38693400.699406
2005-11-18,6.37589,6.56148,6.12188,6.20859,14442576.683701
2005-11-21,6.25349,6.37925,6.17666,6.36887,7220171.2638405
2005-11-22,6.28829,6.29027,6.08432,6.20009,7367285.7347916
2005-11-23,6.1556,6.20009,5.59657,6.02231,14004017.621921
2005-11-25,5.98702,6.111,5.96952,6.05791,1483726.3758233
2005-11-28,6.01382,6.01382,5.77385,5.90722,3557101.0390881
2005-11-29,5.90722,5.94104,5.54693,5.67072,5048136.7157513
2005-11-30,5.69436,5.74943,5.60556,5.72946,4390845.7896673
2005-12-01,5.72946,6.24438,5.70315,6.20859,6413490.243879
2005-12-02,6.20859,6.43976,6.1911,6.40397,5772523.1195877
2005-12-05,6.41811,6.64324,6.41811,6.52974,5178358.984872
2005-12-06,6.52974,6.67241,6.46616,6.4895,3610648.9750181
2005-12-07,6.50166,6.50166,6.11991,6.28829,2788175.1319468
2005-12-08,6.33278,6.44748,6.30628,6.38588,2055900.9133533
2005-12-09,6.38588,6.46813,6.34693,6.42177,910981.41547974
2005-12-12,6.46616,6.47487,6.39459,6.46616,1075018.4299
2005-12-13,6.46439,6.46439,6.29936,6.31371,2077886.464987
2005-12-14,6.29738,6.33278,6.1733,6.20859,1630283.5720043
2005-12-15,6.20009,6.20009,5.96952,6.03142,3690144.0692497
2005-12-16,6.00481,6.11842,5.94283,6.06513,9211799.4832585
2005-12-19,6.03142,6.10192,6.0066,6.09687,2527726.5481534
2005-12-20,6.14126,6.28127,6.10192,6.19842,2732371.8008498
2005-12-21,6.1911,6.20859,6.1289,6.17162,1033303.7331877
2005-12-22,6.17162,6.17162,6.08432,6.1556,1320247.6475611
2005-12-23,6.111,6.15362,6.0421,6.07591,1110535.3411485
2005-12-27,6.11991,6.28829,6.11991,6.25349,1368720.438671
2005-12-28,6.25349,6.28829,6.21423,6.22273,655036.54230489
2005-12-29,6.1911,6.42533,6.1911,6.41119,1213693.8796517
2005-12-30,6.43087,6.44748,6.28829,6.44748,1041201.6618245
2006-01-03,6.47487,6.78582,6.38588,6.71601,3374451.4519052
2006-01-04,6.72344,6.72344,6.44946,6.54576,1348996.3505323
2006-01-05,6.77663,7.04982,6.77663,6.97319,3924647.5175173
2006-01-06,6.96271,7.16679,6.93631,7.15195,2600450.3999438
2006-01-09,7.27268,7.85633,7.25558,7.7359,9839222.0998916
2006-01-10,7.69171,8.30205,7.69171,8.16145,9772144.8271226
2006-01-11,8.24737,8.55043,8.04499,8.32311,8523490.2996046
2006-01-12,8.39758,8.48814,7.67421,7.7981,5458533.6795801
2006-01-13,7.7537,7.91299,7.62803,7.9026,2269550.5531227
