Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,21.912,22.115,21.6931,22.0625,503408.32721021
2005-02-28,22.115,22.2488,21.8763,22.2488,626239.47848706
2005-03-01,22.3943,22.6449,22.0625,22.6232,541567.60904813
2005-03-02,22.5875,23.1619,22.4953,23.0858,709134.47843809
2005-03-03,23.0936,23.1272,22.9005,23.0461,349504.17076342
2005-03-04,23.0936,23.7375,22.9937,23.6691,551683.65011002
2005-03-07,23.7217,23.7217,23.3066,23.3492,294657.45951312
2005-03-08,23.3572,23.4977,23.2482,23.3492,153544.74420945
2005-03-09,23.3235,23.3235,22.9342,22.9937,209987.60924406
2005-03-10,23.0461,23.0461,22.74,22.8846,311165.18280682
2005-03-11,22.9609,23.1085,22.8174,22.9005,254897.98555114
2005-03-14,22.9609,23.2561,22.9253,23.1352,191885.75133593
2005-03-15,23.0936,23.3829,23.0114,23.0114,211760.44039224
2005-03-16,22.952,23.1272,22.7223,22.7647,224363.08915227
2005-03-17,22.7915,22.8906,22.6539,22.6539,249571.41542713
2005-03-18,22.8004,22.9609,22.6063,22.9609,554878.98643346
2005-03-21,23.0461,23.0461,22.636,22.7223,189754.51753536
2005-03-22,22.7223,23.584,22.7223,23.1175,450509.10530207
2005-03-23,22.8174,22.9342,22.6232,22.6449,375778.61873103
2005-03-24,22.755,22.9609,22.5568,22.5568,209458.58673743
2005-03-28,22.6063,22.9253,22.5211,22.7647,407732.99155036
2005-03-29,22.7737,23.1956,22.3319,22.3666,323235.78030542
2005-03-30,22.3418,23.0114,22.3418,22.8174,316849.14599828
2005-03-31,22.8262,22.9847,22.5568,22.732,476426.16020223
2005-04-01,22.74,22.7915,22.2161,22.2992,400632.58069325
2005-04-04,22.2992,22.748,22.1992,22.636,629787.15995328
2005-04-05,22.636,22.8906,22.636,22.7053,354480.41491452
2005-04-06,22.755,22.8262,22.5875,22.5875,241051.52814957
2005-04-07,22.6063,22.6618,22.3161,22.6063,240696.15425198
