Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,2.60489,2.63622,2.56579,2.56579,13718.976287549
1982-01-04,2.60489,2.62046,2.56579,2.62046,30513.910703798
1982-01-05,2.55021,2.62046,2.48807,2.48807,10134.419141527
1982-01-06,2.47249,2.50353,2.44107,2.45664,10771.94445665
1982-01-07,2.47249,2.48807,2.45664,2.48807,16796.964751648
1982-01-08,2.50353,2.53465,2.47249,2.53465,31285.438155221
1982-01-11,2.53465,2.55021,2.51889,2.51889,14362.592608867
1982-01-12,2.51889,2.55021,2.48807,2.50353,188488.21705355
1982-01-13,2.51889,2.53465,2.48807,2.51889,198486.60372338
1982-01-14,2.47249,2.48807,2.45664,2.45664,12696.702414412
1982-01-15,2.48807,2.50353,2.45664,2.50353,24616.801538905
1982-01-18,2.50353,2.51889,2.48807,2.50353,14229.605640267
1982-01-19,2.51889,2.53465,2.48807,2.50353,25519.28562353
1982-01-20,2.51889,2.53465,2.50353,2.53465,5644.3324077822
1982-01-21,2.51889,2.55021,2.48807,2.48807,26924.277719281
1982-01-22,2.50353,2.50353,2.48807,2.48807,2690.1944029897
1982-01-25,2.48807,2.50353,2.47249,2.48807,16281.259560433
1982-01-26,2.50353,2.51889,2.48807,2.48807,5385.4646444756
1982-01-27,2.51889,2.55021,2.47249,2.51889,196691.78723112
1982-01-28,2.55021,2.58903,2.50353,2.58903,64109.870542493
1982-01-29,2.58903,2.58903,2.56579,2.56579,22691.028413444
1982-02-01,2.55021,2.55021,2.53465,2.53465,21284.005982295
1982-02-02,2.56579,2.58903,2.53465,2.53465,97448.992953279
1982-02-03,2.53465,2.55021,2.50353,2.53465,17310.639607465
1982-02-04,2.53465,2.55021,2.50353,2.50353,5766.1525316911
1982-02-05,2.51889,2.53465,2.50353,2.50353,29749.489426269
1982-02-08,2.48807,2.50353,2.47249,2.47249,70522.684898601
1982-02-09,2.47249,2.48807,2.44107,2.47249,29488.591327564
1982-02-10,2.47249,2.47249,2.45664,2.45664,17053.802179557
1982-02-11,2.45664,2.47249,2.44107,2.44107,21540.843410204
1982-02-12,2.44107,2.45664,2.40206,2.40206,70009.010042784
