Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,4.25,4.33,4.22,4.3,689854
2005-02-28,4.22,4.28,4.05,4.14,803400
2005-03-01,4.21,4.21,4.03,4.12,364616
2005-03-02,4.08,4.27,4.08,4.12,229344
2005-03-03,4.1,4.28,4.01,4.14,595384
2005-03-04,4.12,4.16,3.9,3.92,431344
2005-03-07,3.88,4.07,3.77,3.92,563116
2005-03-08,3.96,4.0,3.88,3.9,361054
2005-03-09,3.89,4.0,3.8,3.8,299904
2005-03-10,3.87,3.87,3.65,3.73,411860
2005-03-11,3.69,3.7,3.36,3.38,1267830
2005-03-14,3.42,3.77,3.4,3.77,695254
2005-03-15,3.72,4.02,3.62,4.0,755304
2005-03-16,3.99,3.99,3.82,3.82,425952
2005-03-17,3.87,3.9,3.73,3.79,420186
2005-03-18,3.83,3.83,3.65,3.77,659838
2005-03-21,3.81,3.81,3.69,3.71,298780
2005-03-22,3.71,3.74,3.55,3.57,403912
2005-03-23,3.5,3.52,3.46,3.48,409344
2005-03-24,3.6,3.88,3.54,3.65,560544
2005-03-28,3.62,3.71,3.5,3.52,367394
2005-03-29,3.54,3.55,3.46,3.49,475556
2005-03-30,3.93,4.09,3.75,3.98,1444566
2005-03-31,4.05,4.08,3.95,4.04,599952
2005-04-01,4.08,4.25,3.99,4.04,753878
2005-04-04,4.11,4.13,3.98,4.0,692808
2005-04-05,4.0,4.06,3.95,4.01,550714
2005-04-06,4.01,4.21,4.0,4.2,463402
2005-04-07,4.23,4.43,4.21,4.42,324868
2005-04-08,4.43,4.45,4.19,4.26,308930
2005-04-11,4.3,4.51,4.3,4.46,510606
2005-04-12,4.48,4.48,4.13,4.36,677474
2005-04-13,4.37,4.39,4.03,4.06,524846
2005-04-14,4.03,4.25,4.03,4.12,682276
2005-04-15,4.1,4.27,4.08,4.16,803268
2005-04-18,4.21,4.31,4.12,4.12,529718
2005-04-19,4.14,4.35,4.13,4.33,651352
2005-04-20,4.34,4.92,4.28,4.47,1211400
2005-04-21,4.47,4.66,4.47,4.6,390112
2005-04-22,4.61,4.61,4.45,4.57,428318
2005-04-25,4.56,4.64,4.5,4.55,223772
2005-04-26,4.5,4.57,4.4,4.44,599790
2005-04-27,4.47,4.5,4.24,4.43,510312
2005-04-28,4.46,4.77,4.46,4.62,841820
2005-04-29,4.65,4.92,4.58,4.91,986556
2005-05-02,4.71,4.96,4.54,4.93,904350
2005-05-03,4.88,4.97,4.75,4.91,464916
2005-05-04,4.93,4.95,4.84,4.86,430760
2005-05-05,4.85,4.93,4.75,4.92,389826
2005-05-06,4.92,5.0,4.78,5.0,529544
2005-05-09,5.0,5.22,4.95,5.22,385368
2005-05-10,5.17,5.25,5.08,5.22,1010054
2005-05-11,5.25,5.26,5.04,5.25,696998
2005-05-12,5.26,5.35,5.19,5.24,489934
2005-05-13,5.21,5.32,4.89,4.92,611720
2005-05-16,4.83,5.0,4.67,5.0,452304
2005-05-17,5.0,5.12,4.93,5.08,295970
2005-05-18,5.11,5.29,5.04,5.17,509210
2005-05-19,5.2,5.2,5.08,5.13,392944
2005-05-20,5.15,5.2,5.01,5.09,342334
2005-05-23,5.09,5.24,5.01,5.15,379668
2005-05-24,5.13,5.18,5.08,5.14,309920
2005-05-25,5.15,5.15,4.89,5.05,529780
2005-05-26,5.06,5.26,5.0,5.25,333754
2005-05-27,5.2,5.43,5.16,5.22,852662
2005-05-31,5.25,5.29,5.13,5.25,653004
2005-06-01,5.28,5.38,5.15,5.38,502406
2005-06-02,5.32,5.38,5.25,5.34,212778
2005-06-03,5.21,5.33,5.11,5.22,373870
2005-06-06,5.25,5.28,5.15,5.23,272230
2005-06-07,5.26,5.41,5.22,5.26,527878
2005-06-08,5.32,5.38,5.2,5.3,603376
2005-06-09,5.3,6.11,5.25,6.06,1934178
2005-06-10,5.81,6.03,5.65,5.83,1034014
2005-06-13,5.7,5.87,5.65,5.7,599800
2005-06-14,5.75,6.04,5.67,5.92,583222
2005-06-15,5.93,6.25,5.88,6.1,1707696
2005-06-16,6.11,6.11,5.99,6.08,1495858
2005-06-17,6.04,6.27,6.03,6.25,1082988
2005-06-20,6.26,6.35,6.11,6.33,562376
2005-06-21,6.4,6.47,6.33,6.4,588528
2005-06-22,6.42,6.45,6.09,6.25,614358
2005-06-23,6.24,6.32,5.85,5.87,533066
2005-06-24,5.76,6.16,5.76,6.16,1476610
2005-06-27,6.18,6.22,5.8,5.83,503614
2005-06-28,5.83,6.22,5.81,6.22,735120
2005-06-29,6.25,6.32,6.09,6.14,591352
2005-06-30,6.17,6.18,5.97,6.04,586644
2005-07-01,6.08,6.17,5.95,6.15,554238
2005-07-05,6.19,6.19,5.98,6.14,449504
2005-07-06,6.13,6.2,6.01,6.03,386166
2005-07-07,5.96,6.03,5.8,5.95,622988
2005-07-08,5.9,5.97,5.77,5.95,1647528
2005-07-11,6.0,6.04,5.87,5.95,512532
2005-07-12,5.95,6.24,5.92,6.23,1304664
2005-07-13,6.26,6.88,6.26,6.88,2151364
2005-07-14,6.9,7.01,6.75,6.93,1156562
2005-07-15,6.88,7.42,6.88,7.1,1921922
2005-07-18,7.17,7.32,6.83,7.05,1083634
2005-07-19,7.04,7.2,6.95,7.18,743824
2005-07-20,7.19,7.23,7.0,7.2,620650
2005-07-21,7.24,7.3,6.89,7.17,612518
2005-07-22,7.12,7.12,6.75,6.89,1416158
2005-07-25,6.92,7.06,6.82,6.87,429336
2005-07-26,6.92,6.93,6.4,6.5,1093648
2005-07-27,5.95,6.17,5.5,5.58,4826716
2005-07-28,5.56,5.58,5.41,5.55,2745758
2005-07-29,5.55,5.73,5.42,5.6,1120778
2005-08-01,5.61,5.72,5.55,5.6,687352
2005-08-02,5.47,5.58,5.46,5.5,714924
2005-08-03,5.45,5.62,5.44,5.62,575372
2005-08-04,5.58,5.72,5.45,5.66,805068
2005-08-05,5.66,5.74,5.51,5.68,648294
2005-08-08,5.67,5.77,5.54,5.55,872734
2005-08-09,5.54,5.86,5.54,5.82,530898
2005-08-10,5.75,6.03,5.75,5.9,988926
2005-08-11,5.9,6.04,5.8,5.93,443100
2005-08-12,5.93,6.0,5.56,5.93,1415944
2005-08-15,5.91,6.16,5.83,6.09,512264
