Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,8.45,8.83,8.41,8.82,1349996
2005-02-28,8.88,8.88,8.5,8.73,723602
2005-03-01,8.7,8.77,8.52,8.52,1887334
2005-03-02,8.47,8.59,8.0,8.08,1048061
2005-03-03,8.08,8.1,7.66,7.7,1352948
2005-03-04,7.71,7.86,7.32,7.43,1803173
2005-03-07,7.48,7.51,6.95,7.03,1669187
2005-03-08,7.07,7.14,6.9,7.0,1542306
2005-03-09,7.0,7.38,6.9,7.24,1404002
2005-03-10,7.25,7.43,7.19,7.22,968176
2005-03-11,7.63,8.03,7.37,7.63,2410734
2005-03-14,7.55,7.78,7.45,7.67,1407643
2005-03-15,7.76,7.87,7.45,7.5,794366
2005-03-16,7.45,7.73,7.18,7.32,1311510
2005-03-17,7.28,7.4,7.25,7.34,380820
2005-03-18,7.31,7.31,7.18,7.3,822199
2005-03-21,7.26,7.39,7.17,7.24,706848
2005-03-22,7.2,7.34,7.07,7.11,605596
2005-03-23,7.07,7.23,7.05,7.21,590273
2005-03-24,7.24,7.34,7.18,7.25,494778
2005-03-28,7.2,7.29,6.88,6.92,852527
2005-03-29,6.89,7.1,6.54,6.59,923676
2005-03-30,6.57,6.9,6.52,6.88,615643
2005-03-31,6.83,7.12,6.7,6.83,640913
2005-04-01,6.92,7.06,6.55,6.7,664869
2005-04-04,6.7,6.7,6.43,6.55,926318
2005-04-05,6.54,6.64,6.48,6.64,592764
2005-04-06,6.78,6.86,6.6,6.8,931810
2005-04-07,6.74,7.09,6.71,7.09,846632
2005-04-08,7.16,7.16,6.9,6.9,351742
2005-04-11,6.89,7.1,6.89,6.97,1353824
2005-04-12,6.92,7.28,6.84,7.21,1220188
2005-04-13,7.23,7.28,7.0,7.05,864028
2005-04-14,7.07,7.19,7.0,7.1,425112
2005-04-15,7.09,7.26,7.02,7.03,576035
2005-04-18,6.99,7.17,6.83,6.89,547328
2005-04-19,6.91,7.02,6.72,6.95,597812
2005-04-20,6.96,7.01,6.75,6.84,467464
2005-04-21,6.85,7.12,6.74,7.06,403642
2005-04-22,7.09,7.09,6.89,7.06,495697
2005-04-25,7.02,7.16,6.93,7.03,279624
2005-04-26,7.0,7.26,6.98,7.07,1095967
2005-04-27,7.03,7.09,6.89,6.96,271304
2005-04-28,6.99,6.99,6.65,6.65,517324
2005-04-29,6.7,6.84,6.49,6.55,863679
2005-05-02,6.51,6.95,6.51,6.95,817702
2005-05-03,6.75,6.9,6.7,6.82,892347
2005-05-04,6.85,7.46,6.79,7.36,2498335
2005-05-05,7.56,8.05,7.37,7.94,1525552
2005-05-06,7.83,8.06,7.83,7.95,807859
2005-05-09,7.87,8.11,7.87,8.11,952618
2005-05-10,8.13,8.46,7.99,8.3,1375808
2005-05-11,8.26,8.43,8.19,8.43,525924
2005-05-12,8.4,8.5,8.0,8.08,852850
2005-05-13,8.06,8.1,7.75,7.84,546503
2005-05-16,7.82,8.03,7.77,8.03,421045
2005-05-17,7.99,8.04,7.79,7.94,635683
2005-05-18,7.91,8.14,7.88,7.98,529888
2005-05-19,8.0,8.1,7.88,8.1,978159
2005-05-20,8.11,8.11,7.92,7.95,816184
2005-05-23,7.9,7.99,7.77,7.93,626544
2005-05-24,7.87,7.99,7.8,7.89,808904
2005-05-25,7.86,7.86,7.52,7.7,416633
2005-05-26,7.49,7.78,7.46,7.57,626199
2005-05-27,7.58,7.7,7.46,7.65,216328
2005-05-31,7.62,7.87,7.62,7.63,432709
2005-06-01,7.62,7.8,7.57,7.68,464183
2005-06-02,7.68,7.75,7.53,7.62,577740
2005-06-03,7.62,7.69,7.34,7.37,532035
2005-06-06,7.44,7.44,6.95,7.1,1593391
2005-06-07,7.09,7.47,7.08,7.23,843997
2005-06-08,7.23,7.39,7.09,7.15,679665
2005-06-09,7.13,7.24,7.08,7.16,463076
2005-06-10,7.19,7.36,7.17,7.2,246887
2005-06-13,7.2,7.35,7.19,7.26,499156
2005-06-14,7.27,7.27,7.18,7.21,271194
2005-06-15,7.25,7.25,6.86,6.93,859406
2005-06-16,7.05,7.23,6.9,7.07,996044
2005-06-17,7.17,7.23,7.06,7.14,1486670
2005-06-20,7.08,7.42,7.05,7.3,817138
2005-06-21,7.3,7.41,7.24,7.25,403422
2005-06-22,7.33,7.75,7.25,7.75,983832
2005-06-23,7.8,7.83,7.52,7.57,701536
2005-06-24,7.55,7.69,7.31,7.47,2139161
2005-06-27,7.38,7.45,7.05,7.1,819184
2005-06-28,7.15,7.22,7.08,7.2,574625
2005-06-29,7.2,7.31,7.1,7.3,531868
2005-06-30,7.32,7.43,7.12,7.15,615220
2005-07-01,7.2,7.4,7.1,7.36,403579
2005-07-05,7.35,7.79,7.35,7.79,652137
2005-07-06,7.79,8.09,7.72,7.95,1093256
2005-07-07,7.72,8.11,7.66,7.92,736687
2005-07-08,8.07,8.6,8.07,8.53,1938781
2005-07-11,8.5,8.69,8.23,8.57,1004680
