Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-03-22,2.25071,2.28668,2.14259,2.14259,1943379.6681044
1993-03-23,2.17856,2.28668,2.09746,2.28668,2221955.2672609
1993-03-24,2.25071,2.28668,2.17856,2.23287,1120977.0113818
1993-03-25,2.23287,2.23287,2.14259,2.14259,1150297.7480097
1993-03-26,2.17856,2.17856,2.14259,2.14259,1472863.9858386
1993-03-29,2.17856,2.21464,2.09746,2.13353,575812.22092315
1993-03-30,2.17856,2.17856,2.09746,2.14259,721103.25993425
1993-03-31,2.14259,2.14259,2.07972,2.07972,1850072.5479531
1993-04-01,2.07972,2.14259,2.06178,2.07972,351885.97090621
1993-04-02,2.07972,2.07972,1.93553,1.98993,2022015.8826607
1993-04-05,2.00738,2.06178,1.93553,2.02581,1611483.4207458
1993-04-06,2.09746,2.09746,2.02581,2.02581,1204947.0971494
1993-04-07,1.98993,2.04375,1.95357,1.95357,1351567.8406487
1993-04-08,1.93553,2.00738,1.89049,1.90892,1099649.5549414
1993-04-12,1.87285,1.90892,1.85442,1.89049,1368896.1481188
1993-04-13,1.87285,1.90892,1.81884,1.83658,2227288.1349216
1993-04-14,1.87285,1.90892,1.83658,1.90892,3357592.1451814
1993-04-15,1.90892,1.90892,1.85442,1.85442,458517.2318046
1993-04-16,1.85442,1.90892,1.85442,1.85442,209269.3941299
1993-04-19,1.89049,1.89049,1.83658,1.83658,698442.08480346
1993-04-20,1.83658,1.87285,1.83658,1.83658,238589.12720731
1993-04-21,1.87285,1.87285,1.80101,1.81884,653127.76294635
1993-04-22,1.85442,1.90892,1.81884,1.90892,425199.35330754
1993-04-23,1.93553,1.93553,1.85442,1.93553,131956.86275837
1993-04-26,1.93553,1.93553,1.85442,1.85442,207933.66833835
1993-04-27,1.89049,2.06178,1.83658,2.06178,1155627.6050187
1993-04-28,2.06178,2.06178,2.00738,2.04375,386544.59294761
1993-04-29,2.00738,2.00738,1.97179,2.00738,354551.40118598
1993-04-30,1.98993,2.11579,1.98993,2.06178,1326239.228137
1993-05-03,2.06178,2.17856,2.06178,2.17856,554491.78933671
1993-05-04,2.17856,2.17856,2.11579,2.17856,269248.6002785
1993-05-05,2.11579,2.35832,2.11579,2.28668,1350233.1184077
1993-05-06,2.28668,2.32255,2.1967,2.23287,665123.20275585
1993-05-07,2.23287,2.32255,2.23287,2.26874,525167.03850652
1993-05-10,2.26874,2.38553,2.26874,2.32255,387878.31163806
1993-05-11,2.35832,2.35832,2.30472,2.30472,434528.35928671
1993-05-12,2.30472,2.34089,2.30472,2.30472,161281.61358857
1993-05-13,2.34089,2.34089,2.28668,2.32255,337222.09016529
1993-05-14,2.32255,2.34089,2.28668,2.30472,226593.68739781
1993-05-17,2.34089,2.35832,2.30472,2.32255,158614.17620769
1993-05-18,2.35832,2.35832,2.32255,2.32255,891713.879502
1993-05-19,2.35832,2.4219,2.35832,2.40367,1458203.1157493
1993-05-20,2.38553,2.43974,2.38553,2.43974,294572.19503738
1993-05-21,2.38553,2.4219,2.38553,2.38553,247918.13318648
1993-05-24,2.40367,2.40367,2.38553,2.38553,246590.43579939
1993-05-25,2.40367,2.40367,2.32255,2.35832,413203.91349804
1993-05-26,2.30472,2.32255,2.25071,2.27772,938364.93070121
1993-05-27,2.30472,2.30472,2.23287,2.23287,222597.54907929
1993-05-28,2.23287,2.25071,2.14259,2.17856,751756.7117021
1993-06-01,2.17856,2.17856,2.14259,2.14259,105300.55285961
1993-06-02,2.16083,2.17856,2.14259,2.17856,502505.86337573
1993-06-03,2.16083,2.17856,2.14259,2.17856,745095.1431038
1993-06-04,2.14259,2.1967,2.14259,2.14259,971686.8234005
1993-06-07,2.11579,2.17856,2.02581,2.11579,1270264.1887114
1993-06-08,2.06178,2.09746,1.97179,2.02581,1340900.0982263
1993-06-09,1.97179,2.02581,1.93553,1.97179,545157.76560475
1993-06-10,1.97179,2.06178,1.97179,2.00738,651792.0371548
1993-06-11,2.06178,2.32255,2.05251,2.28668,2343250.4089002
1993-06-14,2.30472,2.35832,2.26874,2.30472,1054327.2046799
1993-06-15,2.34089,2.34089,2.26874,2.28668,822405.66737421
1993-06-16,2.26874,2.30472,2.26874,2.30472,334558.66698663
1993-06-17,2.28668,2.30472,2.26874,2.26874,81308.669690061
1993-06-18,2.30472,2.30472,2.26874,2.26874,74641.079788421
1993-06-21,2.30472,2.4219,2.26874,2.4219,737093.83451173
1993-06-22,2.4219,2.4219,2.35832,2.35832,71974.645958099
1993-06-23,2.34089,2.38553,2.34089,2.38553,119964.43360054
1993-06-24,2.40367,2.52982,2.34089,2.51178,1406217.1897883
1993-06-25,2.49385,2.56589,2.45768,2.45768,1107642.8351291
1993-06-28,2.45768,2.49385,2.45768,2.47581,342553.95427537
1993-06-29,2.45768,2.47581,2.35832,2.40367,294572.19503738
1993-06-30,2.35832,2.43974,2.35832,2.43974,110630.40986858
1993-07-01,2.38553,2.43974,2.34089,2.34089,431861.9254564
1993-07-02,2.38553,2.40367,2.34089,2.40367,321231.51558781
1993-07-06,2.35832,2.40367,2.35832,2.35832,163948.04741889
1993-07-07,2.40367,2.40367,2.35832,2.35832,399874.75499811
1993-07-08,2.35832,2.4219,2.32255,2.40367,1017009.173662
1993-07-09,2.43974,2.43974,2.40367,2.40367,55986.078481741
1993-07-12,2.43974,2.43974,2.40367,2.40367,1166292.3367895
1993-07-13,2.40367,2.43974,2.40367,2.43974,86639.53024959
1993-07-14,2.43974,2.43974,2.38553,2.38553,843728.10606177
1993-07-15,2.38553,2.43974,2.38553,2.43974,1099649.5549414
1993-07-16,2.4219,2.4219,2.4219,2.4219,453190.3854473
