Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,1.87556,1.9394,1.86888,1.93292,110613.36285176
1970-01-05,2.00345,2.06102,2.00345,2.04205,182478.55957333
1970-01-06,2.04205,2.04815,2.00974,2.02271,129983.31145609
1970-01-07,2.01671,2.01671,1.96524,1.97772,144360.89870724
1970-01-08,1.9844,2.00345,1.9844,1.99726,114357.11705906
1970-01-09,1.99049,1.99049,1.95857,1.97772,143731.42705834
1970-01-12,1.97772,1.9844,1.9394,1.95228,60620.49710223
1970-01-13,1.95228,1.95857,1.93292,1.9394,166852.3651763
1970-01-14,1.9394,1.9394,1.91357,1.93292,59362.587419655
1970-01-15,1.93292,1.93292,1.89471,1.91357,73739.141055607
1970-01-16,1.90119,1.90119,1.77909,1.83704,147477.24849602
1970-01-19,1.83704,1.86888,1.83704,1.84973,98112.820780199
1970-01-20,1.84973,1.86278,1.83704,1.8563,116858.46581159
1970-01-21,1.8563,1.86278,1.81779,1.83704,110613.36285176
1970-01-22,1.83704,1.8563,1.82428,1.83057,78742.872175862
1970-01-23,1.83057,1.84343,1.79216,1.79216,124985.78202695
1970-01-26,1.79216,1.79216,1.75365,1.77909,89361.20099189
1970-01-27,1.77909,1.77909,1.74766,1.76004,97492.651668001
1970-01-28,1.75365,1.75365,1.71554,1.73469,111237.66642469
1970-01-29,1.71554,1.71554,1.66406,1.68999,166224.96075779
1970-01-30,1.68999,1.74137,1.68332,1.69657,98112.820780199
1970-02-02,1.70895,1.76671,1.70895,1.70895,208096.71198307
1970-02-03,1.70895,1.76671,1.70257,1.74766,231841.95367397
1970-02-04,1.74766,1.77319,1.74766,1.76671,172475.23179357
1970-02-05,1.76671,1.80512,1.76671,1.79855,63738.914121404
1970-02-06,1.81161,1.86888,1.81161,1.8563,132481.55936307
1970-02-09,1.86888,1.90119,1.86888,1.88803,63738.914121404
1970-02-10,1.88803,1.89471,1.86278,1.88175,134358.60454265
1970-02-11,1.88175,1.91357,1.83704,1.90728,211839.43257519
1970-02-12,1.90728,1.94598,1.88803,1.93292,93735.460463264
1970-02-13,1.93292,1.93292,1.91357,1.92692,96235.775600613
1970-02-16,1.94598,1.94598,1.84973,1.86888,75611.018159259
1970-02-17,1.86888,1.87556,1.82428,1.82428,251839.30669682
1970-02-18,1.83057,1.86278,1.83057,1.86278,151233.40608557
1970-02-19,1.86278,1.89471,1.82428,1.83057,139983.53839029
1970-02-20,1.83057,1.83057,1.79855,1.83057,95607.337566917
1970-02-24,1.83057,1.84973,1.81161,1.81161,94364.932112147
1970-02-25,1.81161,1.86278,1.79855,1.8563,108736.31767216
1970-02-26,1.8563,1.8563,1.83057,1.84973,66868.700907631
1970-02-27,1.84973,1.90119,1.83704,1.89471,104358.95735522
1970-03-02,1.90119,1.9394,1.90119,1.91357,127480.92908837
1970-03-03,1.91357,1.92015,1.88175,1.90119,86239.683127157
1970-03-04,1.90119,1.91357,1.88803,1.90119,106234.96891963
1970-03-05,1.90728,1.9394,1.90728,1.90728,103738.78824303
1970-03-06,1.90728,1.90728,1.86888,1.88803,160603.12775572
1970-03-09,1.88803,1.88803,1.84343,1.86278,78112.366911794
1970-03-10,1.86278,1.87556,1.84973,1.8563,94364.932112147
1970-03-11,1.8563,1.86888,1.84343,1.84973,101863.81029381
1970-03-12,1.84973,1.86278,1.83704,1.8563,72488.466679339
1970-03-13,1.8563,1.8563,1.83057,1.83057,156848.00378136
1970-03-16,1.83057,1.84343,1.79216,1.80512,76238.422577766
1970-03-17,1.80512,1.82428,1.78558,1.80512,216842.13008025
1970-03-18,1.80512,1.81779,1.79855,1.80512,480557.67527568
1970-03-19,1.80512,1.82428,1.79855,1.79855,78112.366911794
1970-03-20,1.79855,1.81161,1.77319,1.77319,108110.98048403
1970-03-23,1.77319,1.81161,1.76671,1.77909,92486.853317371
1970-03-24,1.77909,1.82428,1.77319,1.80512,42496.054798225
1970-03-25,1.80512,1.88175,1.79855,1.83057,558669.00857228
1970-03-26,1.83704,1.84973,1.83704,1.84973,157478.50904541
1970-03-30,1.84973,1.84973,1.83057,1.83057,107480.47521996
1970-03-31,1.83704,1.8563,1.83704,1.84343,76238.422577766
1970-04-01,1.86888,1.90119,1.86888,1.88175,271211.32253153
1970-04-02,1.89471,1.92692,1.89471,1.90119,208724.11640158
1970-04-03,1.91357,1.92692,1.91357,1.92015,68738.510780911
1970-04-06,1.92015,1.9394,1.91357,1.92692,41244.346806771
1970-04-07,1.92692,1.94598,1.92015,1.94598,37496.458138717
1970-04-08,1.94598,1.95228,1.92692,1.94598,115611.92589607
1970-04-09,1.95228,1.97772,1.95228,1.95857,113109.54352835
1970-04-10,1.95857,1.97143,1.95228,1.95857,87488.29027305
1970-04-13,1.95857,1.96524,1.95228,1.95228,44372.066362625
1970-04-14,1.95228,1.96524,1.9394,1.96524,70610.387884563
1970-04-15,1.96524,1.97143,1.95228,1.96524,93114.257735879
1970-04-16,1.96524,1.97143,1.91357,1.91357,371194.98680019
1970-04-17,1.90728,1.90728,1.88175,1.88803,74365.511858927
1970-04-20,1.88803,1.88803,1.84343,1.87556,67493.004480579
1970-04-21,1.87556,1.88803,1.84343,1.84973,70610.387884563
1970-04-22,1.84973,1.86888,1.79855,1.83704,348703.52033112
1970-04-23,1.83057,1.83057,1.79216,1.81161,80617.850125077
1970-04-24,1.81161,1.81779,1.76004,1.76004,236218.28037572
1970-04-27,1.76004,1.76004,1.73469,1.75365,94987.168454719
1970-04-28,1.75365,1.75365,1.72172,1.72821,156231.9691299
1970-04-29,1.72821,1.76004,1.72172,1.76004,118735.51099118
1970-04-30,1.76004,1.80512,1.74766,1.77319,83117.131647236
1970-05-01,1.77319,1.81161,1.77319,1.79855,74986.714586312
1970-05-04,1.78558,1.78558,1.72821,1.74137,88112.593845997
1970-05-05,1.74137,1.76671,1.72821,1.72821,165600.65718484
1970-05-06,1.72821,1.77319,1.72821,1.74137,91862.549744425
1970-05-07,1.74137,1.75365,1.72821,1.74766,93114.257735879
1970-05-08,1.74137,1.74137,1.72172,1.73469,74986.714586312
1970-05-11,1.73469,1.74137,1.72172,1.72821,60620.49710223
1970-05-12,1.72172,1.72172,1.68999,1.69657,139350.96589585
1970-05-13,1.69657,1.69657,1.6451,1.6451,176850.52488013
1970-05-14,1.57476,1.57476,1.51071,1.53616,356200.33128242
1970-05-15,1.53616,1.6003,1.5234,1.58744,135604.11084298
1970-05-18,1.58744,1.60688,1.5617,1.60688,71239.859533445
1970-05-19,1.63204,1.63204,1.60688,1.60688,70610.387884563
1970-05-20,1.60688,1.61308,1.55552,1.55552,137482.18963776
1970-05-21,1.55552,1.55552,1.5234,1.54883,118735.51099118
1970-05-22,1.54883,1.58076,1.53616,1.55552,108736.31767216
1970-05-25,1.55552,1.56828,1.51701,1.51701,84986.941520515
1970-05-26,1.51701,1.56828,1.49794,1.49794,203723.48612689
1970-05-27,1.49794,1.63881,1.49794,1.63204,123105.63600181
1970-05-28,1.63204,1.65777,1.61937,1.65777,211839.43257519
1970-05-29,1.65777,1.68999,1.63881,1.67712,95607.337566917
1970-06-01,1.67712,1.70895,1.66406,1.68332,103108.28297896
1970-06-02,1.68999,1.72821,1.68999,1.72821,66868.700907631
1970-06-03,1.72821,1.74766,1.70257,1.74137,83117.131647236
1970-06-04,1.74137,1.76671,1.71554,1.71554,161849.66767123
1970-06-05,1.70257,1.70257,1.63881,1.63881,79363.04128806
1970-06-08,1.65159,1.72821,1.65159,1.70895,82485.592767981
1970-06-09,1.70895,1.75365,1.70895,1.72821,153105.28318922
1970-06-10,1.72821,1.74137,1.71554,1.72172,47493.584227359
1970-06-11,1.72172,1.73469,1.70257,1.70257,108110.98048403
1970-06-12,1.70257,1.71554,1.68999,1.70895,87488.29027305
1970-06-15,1.70895,1.71554,1.68999,1.70257,95607.337566917
1970-06-16,1.70257,1.76004,1.69657,1.76004,117490.00469085
1970-06-17,1.76004,1.77319,1.74137,1.74137,98112.820780199
1970-06-18,1.74137,1.74137,1.67045,1.70895,86863.986700103
1970-06-19,1.70895,1.72172,1.68999,1.70895,78742.872175862
1970-06-22,1.68999,1.68999,1.65159,1.65159,61243.76705999
1970-06-23,1.65159,1.66406,1.61308,1.61308,73113.803867473
1970-06-24,1.61308,1.6451,1.58076,1.58076,80617.850125077
1970-06-25,1.58076,1.60688,1.5617,1.58076,114985.55509274
1970-06-26,1.58076,1.59363,1.56828,1.57476,88112.593845997
1970-06-29,1.57476,1.59363,1.55552,1.55552,73113.803867473
1970-06-30,1.56828,1.61937,1.56828,1.60688,124985.78202695
1970-07-01,1.60688,1.63881,1.6003,1.63881,50619.23655284
1970-07-02,1.63881,1.68999,1.63881,1.67712,66868.700907631
1970-07-06,1.67712,1.68999,1.65159,1.65159,77490.130569221
1970-07-07,1.65159,1.65777,1.61308,1.63881,124985.78202695
1970-07-08,1.63881,1.66406,1.63881,1.65159,53745.922493509
1970-07-09,1.65159,1.70257,1.65159,1.70257,241847.3486841
1970-07-10,1.70257,1.74137,1.68999,1.72821,157478.50904541
1970-07-13,1.72821,1.74137,1.72172,1.73469,55617.799597161
1970-07-14,1.74137,1.76004,1.74137,1.76004,124355.27676289
1970-07-15,1.76671,1.79216,1.76671,1.77909,104981.1936978
1970-07-16,1.81779,1.87556,1.81779,1.87556,156231.9691299
1970-07-17,1.88803,1.92692,1.88803,1.89471,171221.45657173
1970-07-20,1.89471,1.90119,1.87556,1.88803,76864.793381087
1970-07-21,1.86888,1.86888,1.78558,1.79855,154353.89033511
1970-07-22,1.79855,1.81779,1.77909,1.81779,106861.33972296
1970-07-23,1.81779,1.83057,1.79855,1.81161,168724.24227996
1970-07-24,1.81161,1.83704,1.81161,1.83704,109359.58762992
1970-07-27,1.83704,1.84973,1.83704,1.83704,58738.283846708
1970-07-28,1.83704,1.8563,1.81779,1.83057,66868.700907631
1970-07-29,1.83057,1.83704,1.79855,1.82428,31869.457060701
1970-07-30,1.83057,1.84973,1.83057,1.83704,98112.820780199
1970-07-31,1.83704,1.86278,1.80512,1.81779,189343.83164537
1970-08-03,1.81779,1.83704,1.79855,1.81161,41868.650379718
1970-08-04,1.81161,1.81161,1.79855,1.80512,51240.439280226
1970-08-05,1.80512,1.81779,1.79216,1.81161,115611.92589607
1970-08-06,1.80512,1.80512,1.79216,1.79216,56866.406743054
1970-08-07,1.79216,1.79855,1.77909,1.78558,99983.664268665
1970-08-10,1.78558,1.78558,1.74766,1.74766,59992.059068537
1970-08-11,1.74766,1.78558,1.74766,1.78558,25625.387716048
1970-08-12,1.78558,1.81161,1.77319,1.79855,81861.289195034
1970-08-13,1.79855,1.81779,1.77319,1.77909,137482.18963776
1970-08-14,1.77909,1.81779,1.77319,1.81779,87488.29027305
