Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-11-05,1.57023,1.70229,1.57023,1.70229,1050649.697709
1987-11-06,1.73672,1.74362,1.70229,1.70229,586861.73910369
1987-11-09,1.69489,1.70229,1.66738,1.69489,845962.05351082
1987-11-10,1.68157,1.68157,1.63946,1.63946,571310.41409385
1987-11-11,1.63946,1.79253,1.63946,1.74362,798026.78832973
1987-11-12,1.79943,1.82706,1.75762,1.76453,1211292.2217047
1987-11-13,1.77133,1.77863,1.77133,1.77863,174891.99239889
1987-11-16,1.84115,1.86868,1.79253,1.84115,382173.06658279
1987-11-17,1.79253,1.81315,1.75762,1.81315,867984.61361204
1987-11-18,1.81315,1.82706,1.75762,1.78553,677544.38117158
1987-11-19,1.73672,1.77863,1.73672,1.75762,930169.34719632
1987-11-20,1.75072,1.75072,1.74362,1.75072,637387.3493023
1987-11-23,1.74362,1.75762,1.74362,1.75072,577792.96073553
1987-11-24,1.76453,1.81996,1.76453,1.79253,292781.99789403
1987-11-25,1.77133,1.86187,1.76453,1.83406,433990.25016051
1987-11-27,1.83406,1.85477,1.83406,1.83406,77729.88865759
1987-11-30,1.81996,1.82706,1.75762,1.76453,770822.50987075
1987-12-01,1.75762,1.77133,1.75072,1.77133,1198343.5815853
1987-12-02,1.79253,1.80624,1.75072,1.77133,305738.86459534
1987-12-03,1.75762,1.76453,1.73672,1.73672,1001421.830826
1987-12-04,1.71609,1.76453,1.69489,1.76453,3021103.2492532
1987-12-07,1.73672,1.76453,1.73672,1.75072,443063.1418197
1987-12-08,1.77133,1.82706,1.75762,1.81315,373101.20324637
1987-12-09,1.79943,1.83406,1.79253,1.81996,220237.94088523
1987-12-10,1.80624,1.84115,1.75762,1.79253,244845.70439018
1987-12-11,1.79253,1.79253,1.75762,1.77133,189144.54577034
1987-12-14,1.78553,1.79253,1.76453,1.77133,500063.07207794
1987-12-15,1.79253,1.80624,1.74362,1.74362,627021.85594124
1987-12-16,1.79253,1.79253,1.75762,1.75762,424923.52843786
1987-12-17,1.74362,1.79253,1.74362,1.76453,358851.73484318
1987-12-18,1.73672,1.79253,1.73672,1.79253,616660.47587121
1987-12-21,1.78553,1.88268,1.78553,1.88268,909441.44544248
1987-12-22,1.88268,1.90368,1.86868,1.89677,418449.20837821
1987-12-23,1.88268,1.97341,1.88268,1.95192,281125.95947661
1987-12-24,1.95192,1.95931,1.94521,1.95931,260393.94443176
1987-12-28,1.95192,1.95192,1.88268,1.90368,528562.0088843
1987-12-29,1.88948,1.88948,1.80624,1.86187,674959.17776784
1987-12-30,1.84115,1.9313,1.84115,1.9313,895186.83542553
1987-12-31,1.89677,1.95931,1.88268,1.94521,238373.44097604
1988-01-04,1.93831,1.98682,1.93831,1.95192,537633.87222073
1988-01-05,1.95931,1.96553,1.93831,1.93831,275943.21279609
1988-01-06,1.9174,1.9313,1.90368,1.9313,431398.87682025
1988-01-07,1.91049,1.94521,1.86868,1.94521,191735.9191106
1988-01-08,1.91049,1.9313,1.88268,1.89677,221531.57090984
1988-01-11,1.85477,1.86868,1.81996,1.85477,443063.1418197
1988-01-12,1.85477,1.86868,1.81996,1.81996,389945.12995808
1988-01-13,1.81315,1.85477,1.81315,1.85477,387355.81326332
1988-01-14,1.88268,1.88268,1.79253,1.79253,610181.0141978
1988-01-15,1.80624,1.85477,1.80624,1.85477,102343.82209907
1988-01-18,1.84115,1.86187,1.84115,1.85477,207281.07418391
1988-01-19,1.85477,1.86187,1.85477,1.85477,193029.54913522
1988-01-20,1.83406,1.83406,1.81315,1.82706,1645286.5851562
1988-01-21,1.88268,1.88268,1.83406,1.83406,317397.98798102
1988-01-22,1.81996,1.84115,1.80624,1.84115,108822.25544972
1988-01-25,1.86187,1.88268,1.83406,1.83406,226710.20429935
1988-01-26,1.83406,1.83406,1.77133,1.77133,357556.04817305
1988-01-27,1.79253,1.81315,1.78553,1.79253,479338.25529236
1988-01-28,1.78553,1.79943,1.77133,1.78553,189144.54577034
1988-01-29,1.78553,1.81315,1.78553,1.79253,124369.46716855
1988-02-01,1.80624,1.83406,1.80624,1.81315,357556.04817305
1988-02-02,1.81315,1.83406,1.81315,1.82706,386061.15491594
1988-02-03,1.81996,1.86868,1.81996,1.85477,312214.21297774
1988-02-04,1.86868,1.87567,1.86187,1.86868,171008.01735676
1988-02-05,1.86187,1.86187,1.81996,1.81996,312214.21297774
1988-02-08,1.81996,1.81996,1.80624,1.81315,134730.84723858
1988-02-09,1.81315,1.82706,1.80624,1.82706,225417.60259748
1988-02-10,1.81315,1.85477,1.79943,1.85477,575204.67236352
1988-02-11,1.86868,1.88268,1.85477,1.85477,72549.198622572
1988-02-12,1.86868,1.90368,1.85477,1.87567,231899.12091641
1988-02-16,1.86187,1.90368,1.85477,1.88268,448243.83185471
1988-02-17,1.86868,1.89677,1.86868,1.88268,655525.93436138
1988-02-18,1.89677,1.90368,1.89677,1.90368,1237201.8418163
1988-02-19,1.90368,1.9174,1.89677,1.90368,384761.3549548
1988-02-22,1.90368,1.93831,1.90368,1.93831,498763.27211679
1988-02-23,1.92431,2.01444,1.9174,1.96553,821345.03510108
1988-02-24,1.96553,1.98682,1.95931,1.96553,428809.5601255
1988-02-25,1.95931,1.99393,1.95931,1.98682,1659537.0818821
1988-02-26,1.99393,2.00083,1.97963,1.98682,704748.65963057
1988-02-29,1.97963,2.00083,1.97963,2.00083,139913.59391911
1988-03-01,2.00083,2.00083,1.96553,1.98682,256509.96938962
1988-03-02,1.96553,1.99393,1.96553,1.96553,310919.55463036
1988-03-03,1.96553,1.96553,1.94521,1.95192,623138.90922186
1988-03-04,1.95192,1.96553,1.94521,1.94521,396419.45001772
1988-03-07,1.95192,1.95931,1.92431,1.93831,519493.23051613
1988-03-08,1.9174,1.96553,1.9174,1.95192,748797.89312402
1988-03-09,1.96553,2.04946,1.96553,2.04946,988470.10573846
1988-03-10,2.04946,2.08407,2.04946,2.04946,314809.69960901
1988-03-11,2.04946,2.05645,2.01444,2.04946,388652.5282562
1988-03-14,2.06316,2.07698,2.04946,2.07698,525975.77715781
1988-03-15,2.08407,2.12599,2.07698,2.10489,553180.0556168
1988-03-16,2.09817,2.17403,2.09817,2.16732,674959.17776784
1988-03-17,2.16732,2.22294,2.16732,2.22294,1132265.6180542
1988-03-18,2.22294,2.22994,2.20213,2.20213,840780.33515305
1988-03-21,2.18132,2.19532,2.16031,2.18132,546699.56562063
1988-03-22,2.16732,2.16732,2.1466,2.16031,139913.59391911
1988-03-23,2.1466,2.1466,2.11899,2.11899,104939.30873034
1988-03-24,2.12599,2.12599,2.07698,2.09117,150280.11560291
1988-03-25,2.09817,2.09817,2.07698,2.09117,194326.26412811
1988-03-28,2.07698,2.07698,2.02845,2.03584,479338.25529236
1988-03-29,2.03584,2.07026,2.03584,2.05645,330350.74139132
1988-03-30,2.06316,2.07026,2.02845,2.02845,269464.77944543
1988-03-31,2.02175,2.04946,2.00083,2.03584,202099.35582614
1988-04-04,2.02845,2.02845,2.01444,2.02845,273350.81113307
1988-04-05,2.02845,2.03584,2.01444,2.01444,358851.73484318
1988-04-06,2.01444,2.01444,1.97963,2.00083,1966568.5481793
1988-04-07,2.00083,2.04946,1.98682,2.04946,1232021.1517812
1988-04-08,2.04946,2.05645,2.03584,2.05645,224116.77431358
1988-04-11,2.05645,2.07698,2.04946,2.04946,510426.50879348
1988-04-12,2.04946,2.04946,2.02845,2.04946,673660.40612944
1988-04-13,2.05645,2.05645,2.03584,2.05645,283714.24784861
1988-04-14,2.03584,2.06316,2.02845,2.04946,194326.26412811
1988-04-15,2.04946,2.05645,2.02845,2.02845,698273.31124817
1988-04-18,2.02845,2.03584,2.01444,2.02845,501356.70210256
1988-04-19,2.02175,2.02175,1.97963,1.97963,321285.04799141
1988-04-20,1.97963,1.98682,1.95192,1.95931,664592.65608403
1988-04-21,1.94521,1.96553,1.94521,1.95192,536336.12890509
1988-04-22,1.94521,1.94521,1.92431,1.92431,296664.94461341
1988-04-25,1.92431,1.9313,1.88948,1.91049,215050.05259092
1988-04-26,1.91049,1.92431,1.91049,1.9174,304443.17792521
1988-04-27,1.9313,1.9313,1.91049,1.91049,393833.21829122
1988-04-28,1.92431,1.9313,1.90368,1.9313,919805.91048078
1988-04-29,1.9313,1.93831,1.92431,1.93831,461195.55694226
1988-05-02,1.93831,1.97963,1.9313,1.95192,445653.4868372
1988-05-03,1.97963,1.98682,1.9313,1.93831,299256.31795367
1988-05-04,1.95931,1.98682,1.93831,1.98682,465086.73024367
1988-05-05,1.96553,1.96553,1.93831,1.93831,117887.94884963
1988-05-06,1.96553,1.96553,1.93831,1.93831,352380.49975181
1988-05-09,1.92431,1.92431,1.87567,1.90368,472855.70865069
1988-05-10,1.92431,1.92431,1.87567,1.88268,428809.5601255
1988-05-11,1.86868,1.91049,1.84816,1.88948,1106358.0545881
1988-05-12,1.91049,1.94521,1.91049,1.9313,252625.99434749
1988-05-13,1.9313,1.95931,1.9313,1.94521,240963.78599355
1988-05-16,1.95192,1.97963,1.93831,1.93831,494880.32539741
1988-05-17,1.94521,1.94521,1.88948,1.9174,497472.72706043
1988-05-18,1.91049,1.9174,1.88268,1.88268,387355.81326332
1988-05-19,1.88948,1.90368,1.84816,1.84816,623138.90922186
1988-05-20,1.86868,1.88948,1.86868,1.88948,641270.29602167
1988-05-23,1.88948,1.88948,1.86868,1.88268,1146515.0864573
1988-05-24,1.88948,1.9313,1.87567,1.91049,493580.52543626
1988-05-25,1.9313,1.95192,1.9313,1.93831,77729.88865759
1988-05-26,1.9313,1.95192,1.9313,1.9313,119184.66384251
1988-05-27,1.94521,1.95192,1.9174,1.9174,182670.22571069
