Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-05-12,21.2087,21.2585,20.2298,21.0588,10955351.262704
2017-05-15,20.969,22.2554,20.969,21.9757,3494210.5892466
2017-05-16,22.1455,22.3652,22.0057,22.0556,1291901.7161788
2017-05-17,22.1056,22.4652,21.6272,22.0556,1586846.923113
2017-05-18,22.1455,23.5829,21.9357,22.4552,4083274.0155729
2017-05-19,22.5151,23.4439,22.2754,22.6749,1251099.993062
2017-05-22,22.7549,23.0444,22.4752,22.8447,383832.35094913
2017-05-23,22.9446,23.5629,22.6049,23.404,705384.33019038
2017-05-24,23.4939,23.5459,22.9646,23.3042,409603.12495424
2017-05-25,23.3741,23.7726,22.2654,22.4652,1082891.12752
2017-05-26,22.5051,23.1943,22.3104,22.9846,722505.77565507
2017-05-30,22.9546,23.2442,22.5451,22.9046,844800.81349302
2017-05-31,22.9246,23.1343,22.6249,22.8846,485391.62731001
2017-06-01,22.8646,23.3881,22.7648,22.8846,487366.98617218
2017-06-02,22.8447,23.0544,22.555,22.6049,547678.00619134
2017-06-05,22.565,22.8646,21.8759,22.585,422992.11332914
2017-06-06,21.7859,22.6649,21.7859,22.2454,1091661.6007246
2017-06-07,22.3552,22.7449,21.5272,21.716,735000.69638481
2017-06-08,21.706,21.8859,21.5672,21.6072,433412.55683517
2017-06-09,21.6372,22.7747,21.6372,22.4452,566987.06397931
2017-06-12,22.4152,23.5339,21.8459,22.9846,827810.52464817
2017-06-13,22.9446,24.192,22.7549,23.4439,929107.48776937
2017-06-14,23.5239,23.6626,22.5051,23.2043,1992432.2502397
2017-06-15,23.0344,24.5017,22.7249,22.9446,1513317.1179661
2017-06-16,22.9546,23.9523,22.9546,23.8724,2470528.1654216
2017-06-19,24.0123,24.1621,23.4939,23.8724,461112.63470614
2017-06-20,23.6726,23.6726,22.1655,22.575,1045776.8076922
2017-06-21,22.4951,22.6999,20.5894,20.6793,1277912.0104612
2017-06-22,20.6793,21.0288,19.8703,21.0189,1267656.7642245
2017-06-23,20.9889,21.0638,20.1998,20.4296,3710768.1901218
2017-06-26,20.3796,21.0089,20.04,20.4595,792344.17273065
2017-06-27,20.5195,21.5872,20.3796,21.2486,1031122.3081152
2017-06-28,21.2387,21.5972,21.0988,21.2287,739033.51214598
2017-06-29,21.2885,21.4973,20.9989,21.3874,797752.63120678
2017-06-30,21.4973,21.696,21.1987,21.5672,251330.12426185
2017-07-03,21.706,22.3552,21.3475,22.2954,397253.37758232
2017-07-05,22.3352,22.3652,21.716,21.776,767337.31094645
2017-07-06,21.5672,21.5672,20.854,20.929,1186781.1871709
2017-07-07,20.949,21.1787,20.5395,20.6293,955753.30670377
2017-07-10,20.5894,21.4374,20.5095,21.2975,828532.38665507
2017-07-11,21.1887,21.756,20.979,21.686,657438.07547668
2017-07-12,21.736,22.2954,21.686,22.0856,1093977.3660811
2017-07-13,22.0656,22.2154,21.8159,22.0157,1580865.7807701
2017-07-14,22.0856,22.2454,21.9457,22.0357,211673.76887848
2017-07-17,22.0157,23.0744,21.8789,22.9246,1359751.7388499
2017-07-18,22.7847,23.1643,22.7648,22.9945,964597.86838058
2017-07-19,22.9846,23.3741,22.9546,23.3741,743899.32262246
2017-07-20,23.3641,23.5729,22.9546,23.5039,430197.71785574
2017-07-21,23.394,23.6427,22.7747,22.9646,1165551.8362773
2017-07-24,22.8846,23.1044,22.6649,23.0944,725867.79038347
2017-07-25,23.2342,23.5139,22.9446,23.404,1835721.1146385
2017-07-26,23.5529,23.5529,22.5949,22.7747,782762.73111338
2017-07-27,22.7648,23.2043,22.6999,23.1843,314783.89717929
2017-07-28,23.0344,23.1743,22.8347,23.0444,261310.0417165
2017-07-31,23.1843,23.1843,22.8646,22.9146,537990.4378435
2017-08-01,22.9546,22.9546,22.3452,22.4552,1000183.3625711
2017-08-02,22.4552,23.0844,22.4552,22.9746,1447229.1995005
2017-08-03,23.7826,23.9483,22.9146,23.2142,2655597.1643841
2017-08-04,23.414,24.0323,23.2442,24.0223,811204.69490268
2017-08-07,24.0423,24.292,23.6926,23.9923,1041126.2542636
2017-08-08,24.0123,24.242,23.6826,24.0822,627899.80253681
2017-08-09,23.9923,24.0163,23.4339,23.5529,297350.07869636
2017-08-10,23.3441,23.3441,22.4752,22.6149,1250346.0927968
2017-08-11,22.2354,22.8646,22.2354,22.6349,606500.24839599
2017-08-14,22.8447,23.1443,22.1156,22.5451,972209.95830913
2017-08-15,22.6449,22.7549,22.5051,22.6449,1064019.5921968
2017-08-16,22.7549,22.8247,22.5451,22.7049,537361.68702473
2017-08-17,22.555,22.7648,21.9357,21.9557,418696.98432829
2017-08-18,21.8659,22.1355,21.716,21.9258,507391.89879362
2017-08-21,22.6149,22.8546,22.0906,22.3452,715014.83039064
2017-08-22,22.4752,22.8047,22.3552,22.7349,245572.24853134
2017-08-23,22.5351,23.0195,22.5351,22.9146,613634.76803702
2017-08-24,22.9346,22.9346,22.5899,22.6549,230716.50864448
2017-08-25,22.7747,22.9945,22.6649,22.9346,573416.74193815
2017-08-28,23.0245,23.0245,22.6999,22.9046,355907.00407461
2017-08-29,22.7648,23.1343,22.6349,23.0145,262718.72388531
2017-08-30,22.9046,23.2642,22.8447,23.2542,369264.95538681
2017-08-31,23.4239,23.7826,23.2442,23.4439,382970.32156225
2017-09-01,23.6527,23.9024,23.6228,23.6527,466434.99036315
2017-09-05,23.7326,23.8226,22.8946,23.0744,451240.84637319
2017-09-06,23.2742,23.4439,22.8746,23.3042,401413.34518105
2017-09-07,23.3841,23.6328,23.1343,23.5629,246865.79320945
2017-09-08,23.4839,23.8824,23.4539,23.7126,404876.48066216
2017-09-11,23.9024,24.3519,23.7926,23.8426,387470.69565521
2017-09-12,24.0123,25.0,23.8226,24.4817,656812.32824463
2017-09-13,24.5316,24.7503,24.4717,24.6206,331784.19797987
2017-09-14,24.6306,25.02,24.5216,24.9203,481375.83187356
2017-09-15,24.9502,25.11,24.7105,25.04,518201.80737688
2017-09-18,25.12,25.948,25.12,25.7293,705310.2417181
2017-09-19,25.838,26.1277,25.5294,25.7693,422113.06361754
2017-09-20,25.8081,25.988,25.5794,25.928,562124.25708953
2017-09-21,25.978,26.0379,25.7293,25.7981,433638.82703428
2017-09-22,25.828,26.2477,25.6493,26.2277,270180.63447816
2017-09-25,26.2676,26.6022,26.2077,26.3474,486611.08351585
2017-09-26,26.4574,26.6871,26.1477,26.2576,662091.63249207
2017-09-27,26.3474,27.0267,26.1577,27.0167,558880.38343855
2017-09-28,26.9967,27.4362,26.9967,27.2764,695794.87900853
2017-09-29,27.3663,27.595,27.2764,27.4651,299019.0717137
2017-10-02,27.4062,27.7847,27.1665,27.4951,471641.20733387
2017-10-03,27.8947,27.8947,27.5151,27.575,400972.81912968
2017-10-04,27.4462,27.5451,26.757,26.837,666994.48720469
2017-10-05,26.8669,27.1167,26.6871,26.737,418679.96400358
2017-10-06,26.5573,26.787,26.4474,26.5473,414848.38855223
2017-10-09,26.5473,26.797,26.1747,26.727,373667.21231379
