Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,7.47047,7.47906,7.38872,7.44219,2204894.5306861
2005-02-28,7.44219,7.47047,7.30599,7.41323,2261074.0544677
2005-03-01,7.40465,7.47047,7.40271,7.40465,2571526.3754556
2005-03-02,8.62179,8.76918,8.17905,8.34825,18568320.978297
2005-03-03,8.38377,8.44729,8.28425,8.35945,5609638.2727989
2005-03-04,8.38889,8.55779,8.33522,8.53917,3694767.7104666
2005-03-07,8.55335,8.65973,8.49844,8.57942,2462444.2768412
2005-03-08,8.60742,8.68771,8.57942,8.58666,2656891.7762052
2005-03-09,8.53473,8.56504,8.36118,8.41631,3182942.0590289
2005-03-10,8.44188,8.50298,8.38377,8.43763,1170660.2263823
2005-03-11,8.43763,8.47556,8.39796,8.42972,2559121.0050103
2005-03-14,8.43416,8.53917,8.40038,8.53473,2134848.8403735
2005-03-15,8.53917,8.59294,8.46688,8.49844,2479595.6805259
2005-03-16,8.49844,8.49844,8.38377,8.40683,1635796.3484662
2005-03-17,8.40683,8.48802,8.26862,8.44381,1685410.578068
2005-03-18,8.43763,8.43763,8.28956,8.33859,1304548.9217847
2005-03-21,8.31697,8.32054,8.20182,8.26862,2016649.7165447
2005-03-22,8.25308,8.29459,8.17905,8.22818,2537962.2543336
2005-03-23,8.2247,8.247,8.1249,8.16968,746755.85083086
2005-03-24,8.1831,8.19507,8.08687,8.15714,1252377.7810206
2005-03-28,8.15714,8.21949,8.15714,8.19082,964548.11487181
2005-03-29,7.95018,8.00462,7.79981,7.89411,4931461.1000416
2005-03-30,7.95018,7.96843,7.82664,7.85348,2579184.6766357
2005-03-31,7.85348,7.95018,7.81207,7.90811,1399397.064783
2005-04-01,7.9305,7.9305,7.78793,7.79981,1210063.3877439
2005-04-04,7.77152,7.77152,7.60724,7.66766,2829810.6637558
2005-04-05,7.68456,7.74161,7.63108,7.67645,2307403.0469156
2005-04-06,7.71651,7.86757,7.66766,7.79518,1406692.7570058
2005-04-07,7.79518,7.87346,7.74642,7.85348,1258589.7904735
2005-04-08,7.84933,7.90309,7.80647,7.84055,1547144.674537
2005-04-11,7.87346,7.91226,7.81622,7.8998,1501185.5432258
2005-04-12,7.94015,7.98156,7.83561,7.95018,1604783.9583787
2005-04-13,7.95018,7.98156,7.76834,7.78793,1208606.7357608
2005-04-14,7.75705,7.83561,7.66052,7.67094,1187812.6660926
2005-04-15,7.67094,7.74161,7.55406,7.63438,1776247.2299719
2005-04-18,7.63438,7.63438,7.48756,7.51574,2023584.8718612
2005-04-19,7.56448,7.56448,7.50483,7.53765,1724437.6621394
2005-04-20,7.49615,7.57385,7.47047,7.48282,2365412.1918938
2005-04-21,7.59469,7.71255,7.56448,7.66766,2717814.2251497
2005-04-22,7.66766,7.7083,7.56448,7.60724,2082322.342831
2005-04-25,7.6113,7.90811,7.6113,7.76255,2533214.1490429
2005-04-26,7.77983,7.77983,7.61922,7.62558,2344982.8032342
2005-04-27,7.62558,7.72723,7.5586,7.71255,2931227.2090109
2005-04-28,7.95018,8.41117,7.94015,8.14343,11014629.374276
2005-04-29,8.2247,8.26515,8.07847,8.14343,4033309.7933454
2005-05-02,8.14343,8.19507,7.9997,8.03851,4912491.4714419
2005-05-03,8.02365,8.02606,7.84933,7.96331,4479470.0706759
2005-05-04,7.96331,8.03098,7.88909,7.99632,3326313.4966799
2005-05-05,7.96331,8.06322,7.88088,8.0139,2671851.9857617
2005-05-06,7.9997,8.06322,7.99074,7.99074,2064443.6491804
2005-05-09,7.99074,8.01785,7.9305,8.01785,2130836.3132535
2005-05-10,8.01785,8.02365,7.95018,7.9997,1307104.7969216
2005-05-11,8.05974,8.05974,7.95579,7.99074,643885.76166946
2005-05-12,7.99074,8.02365,7.82664,7.88088,1350152.6963177
2005-05-13,7.86187,7.88909,7.79981,7.84055,757707.67736974
2005-05-16,7.88088,7.91699,7.82664,7.90811,691674.51417717
2005-05-17,7.88088,7.9305,7.84933,7.88088,1438797.1180678
2005-05-18,7.92307,7.98484,7.88088,7.9445,1500822.9342684
2005-05-19,8.04527,8.07162,7.97162,8.03851,1835340.0577199
2005-05-20,8.03098,8.04527,7.99074,8.02365,1767488.6696125
2005-05-23,8.05974,8.0665,7.98156,7.98156,1457046.7088807
2005-05-24,7.95018,8.01785,7.86757,7.93619,1516134.3565007
2005-05-25,7.9445,7.97162,7.80319,7.84459,1141115.8845595
2005-05-26,7.86187,7.95018,7.86187,7.94015,1065963.6241012
2005-05-27,7.95018,7.97587,7.86757,7.88909,576392.838417
2005-05-31,7.90811,7.92307,7.84055,7.86757,1395749.2186717
2005-06-01,7.84055,7.84055,7.73195,7.77983,5373970.4231842
2005-06-02,7.80647,7.82664,7.76255,7.81207,1034591.7331331
2005-06-03,7.79981,7.84933,7.75705,7.84055,2205259.2116946
2005-06-06,7.88088,7.89411,7.70194,7.77559,1104997.960352
2005-06-07,7.81207,7.85348,7.70194,7.71255,1032040.0020986
2005-06-08,7.70599,7.7391,7.65261,7.72723,1342119.3538731
2005-06-09,7.72723,7.76834,7.51246,7.61922,9980390.9258692
2005-06-10,7.61922,7.69006,7.49615,7.6113,1489509.5347977
2005-06-13,7.60724,7.75049,7.60416,7.70194,1967766.9210113
2005-06-14,7.66766,7.75705,7.64393,7.67645,1879849.7892272
2005-06-15,7.67645,7.72723,7.64943,7.68456,1353069.1083609
2005-06-16,7.69006,7.71255,7.64393,7.67645,1589462.1758904
2005-06-17,7.69488,7.83561,7.66052,7.7083,4657124.6312102
2005-06-20,7.71651,7.83233,7.7083,7.77559,1476739.4833439
2005-06-21,7.77559,7.84459,7.75705,7.80319,996652.47593384
2005-06-22,7.82664,7.85772,7.78378,7.84055,1556992.0977942
2005-06-23,7.84055,8.01785,7.84055,7.99074,3628377.1184447
2005-06-24,7.97587,8.03098,7.97587,8.01785,2019574.4167925
2005-06-27,7.99074,8.1384,7.95018,8.1384,2610920.2125868
2005-06-28,8.12751,8.26515,8.12751,8.26515,2666372.4464026
2005-06-29,8.2358,8.26515,8.17905,8.24352,1740127.2337131
