Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,5.281,5.3443,5.2223,5.3333,3359934
2005-02-28,5.34,5.361,5.2223,5.239,3797766
2005-03-01,5.2777,5.339,5.2557,5.3177,3709962
2005-03-02,5.3077,5.3433,5.2557,5.2557,4106502
2005-03-03,5.3233,5.3233,5.1967,5.21,2865429
2005-03-04,5.2223,5.2557,5.1977,5.2177,1818972
2005-03-07,5.201,5.319,5.1633,5.1777,2847078
2005-03-08,5.1667,5.2167,4.9667,5.0067,6913098
2005-03-09,4.9567,4.9777,4.8157,4.8877,9154548
2005-03-10,4.8733,4.9077,4.7077,4.779,6196914
2005-03-11,4.7777,5.0977,4.751,5.011,7573167
2005-03-14,5.0577,5.089,4.9423,5.0067,5049612
2005-03-15,5.0033,5.1,4.9277,4.9443,3252717
2005-03-16,4.9243,5.0133,4.8933,4.9077,1751247
2005-03-17,4.9633,5.0,4.8067,4.9723,2736018
2005-03-18,4.9967,5.03,4.8823,4.939,4156515
2005-03-21,4.9133,4.9523,4.809,4.9323,1860876
2005-03-22,4.91,5.0,4.91,4.961,2841750
2005-03-23,4.9477,5.0823,4.919,5.0277,3546792
2005-03-24,5.0277,5.211,5.0223,5.1033,4283217
2005-03-28,5.1467,5.1843,5.0277,5.119,3045915
2005-03-29,5.13,5.2223,4.99,5.0767,5461740
2005-03-30,5.051,5.1133,4.9923,5.099,6306948
2005-03-31,5.1267,5.1543,5.0033,5.0523,3267936
2005-04-01,5.1057,5.3,5.0557,5.199,5781591
2005-04-04,5.1823,5.2257,5.069,5.0977,4671666
2005-04-05,5.1267,5.35,5.089,5.35,4597947
2005-04-06,5.399,5.9,5.3923,5.781,16513695
2005-04-07,5.7557,5.8067,5.7167,5.7833,5388831
2005-04-08,5.799,5.8067,5.5343,5.5977,5436297
2005-04-11,5.5933,5.6833,5.5277,5.6277,2644470
2005-04-12,5.6133,5.6533,5.449,5.6033,3570678
2005-04-13,5.61,5.7223,5.4667,5.4967,3699792
2005-04-14,5.4857,5.5543,5.449,5.46,3782223
2005-04-15,5.4557,5.56,5.2957,5.3243,4848093
2005-04-18,5.2943,5.3177,5.24,5.2657,5390361
2005-04-19,5.319,5.6067,5.3167,5.6067,6412761
2005-04-20,5.6643,5.6777,5.471,5.4877,4478283
2005-04-21,5.5423,5.7667,5.5423,5.7667,7085610
2005-04-22,5.4167,5.4367,4.461,4.58,50627232
2005-04-25,4.63,5.0023,4.5877,4.8333,21873735
2005-04-26,4.85,4.9477,4.6343,4.6723,9203400
2005-04-27,4.6743,4.8077,4.5867,4.73,5303430
2005-04-28,4.75,4.7657,4.48,4.5577,5422572
2005-04-29,4.6033,4.771,4.5167,4.771,5719338
2005-05-02,4.7733,4.83,4.6677,4.7133,3427371
2005-05-03,4.7257,4.801,4.669,4.7443,3939786
2005-05-04,4.7333,4.8443,4.721,4.801,2730078
2005-05-05,4.8133,4.879,4.7467,4.7957,3283182
2005-05-06,4.849,4.8733,4.8133,4.8457,2973177
2005-05-09,4.86,4.8633,4.6833,4.7977,4428135
2005-05-10,4.7767,4.7767,4.6067,4.6557,4291605
2005-05-11,4.651,4.7667,4.5967,4.7557,3953484
2005-05-12,4.749,4.7933,4.6667,4.691,1964223
2005-05-13,4.6977,4.7457,4.639,4.6443,2412315
2005-05-16,4.661,4.9377,4.6177,4.9377,4678893
2005-05-17,4.8833,4.9133,4.751,4.8433,3302685
2005-05-18,4.861,5.0057,4.8143,5.0033,4411512
2005-05-19,5.0243,5.2423,4.9967,5.2323,6548769
2005-05-20,5.2557,5.261,5.089,5.201,4261734
2005-05-23,5.1977,5.4323,5.1557,5.331,6153498
2005-05-24,5.331,5.441,5.2243,5.401,4328694
2005-05-25,5.389,5.389,5.17,5.271,4258854
2005-05-26,5.2777,5.4077,5.2167,5.3943,3705975
2005-05-27,5.4043,5.58,5.3643,5.5157,3336291
2005-05-31,5.5277,5.569,5.47,5.5,4750578
2005-06-01,5.5233,5.5377,5.3357,5.3833,4072599
2005-06-02,5.341,5.5277,5.3343,5.4567,5134662
2005-06-03,5.4557,5.5167,5.379,5.4643,2034666
2005-06-06,5.4533,5.5067,5.4167,5.4467,2020077
2005-06-07,5.4467,5.4933,5.389,5.4067,2503224
2005-06-08,5.429,5.431,5.169,5.2443,3136086
2005-06-09,5.271,5.389,5.199,5.3857,2635614
2005-06-10,5.38,5.38,5.3057,5.3523,1844100
2005-06-13,5.3333,5.409,5.3177,5.4043,1204308
2005-06-14,5.391,5.409,5.34,5.3877,1483587
2005-06-15,5.401,5.4077,5.241,5.349,2955915
2005-06-16,5.3577,5.5457,5.3233,5.5357,2796534
2005-06-17,5.5557,5.661,5.511,5.6,4359465
2005-06-20,5.599,5.651,5.5,5.5767,2082294
2005-06-21,5.5723,5.6157,5.4223,5.4577,2467377
2005-06-22,5.4443,5.499,5.281,5.3723,3346830
2005-06-23,5.3467,5.389,5.2467,5.2777,1955898
2005-06-24,5.28,5.399,5.251,5.2633,2462445
2005-06-27,5.3067,5.3067,5.0933,5.1123,4978251
2005-06-28,5.111,5.309,5.0977,5.261,2805129
2005-06-29,5.3033,5.3033,5.1823,5.2257,3545163
2005-06-30,5.24,5.349,5.1633,5.1823,2486385
2005-07-01,5.1933,5.2177,5.1557,5.1923,1918053
2005-07-05,5.1667,5.3967,5.1667,5.3967,2430198
2005-07-06,5.4,5.4833,5.3423,5.4333,2617902
2005-07-07,5.3523,5.5423,5.3333,5.5257,3140973
2005-07-08,5.5557,5.8643,5.55,5.7523,8197218
2005-07-11,5.8077,5.9667,5.7967,5.8777,5583141
2005-07-12,5.9343,6.0223,5.8357,5.9377,4657527
2005-07-13,5.9767,5.9767,5.561,5.659,6378705
2005-07-14,5.7567,5.759,5.5557,5.6043,3963708
2005-07-15,5.579,5.65,5.5443,5.609,2608767
2005-07-18,5.5943,5.7877,5.5943,5.7167,4957353
2005-07-19,5.7533,5.7767,5.601,5.6557,3535470
2005-07-20,5.6667,5.6723,5.5877,5.611,2963880
2005-07-21,5.611,5.66,5.361,5.4923,4902408
2005-07-22,5.52,5.5843,5.4933,5.5743,2299500
2005-07-25,5.609,5.6667,5.5223,5.5233,3456594
2005-07-26,5.7433,5.8557,5.6357,5.7,14758245
2005-07-27,7.0177,7.249,6.8333,7.2023,46088748
2005-07-28,7.2223,8.071,7.2023,8.049,33758226
2005-07-29,7.69,7.7233,7.2777,7.711,66050928
2005-08-01,7.6223,7.7543,7.4123,7.481,14668101
2005-08-02,7.469,7.69,7.3877,7.6467,9661995
2005-08-03,7.559,8.039,7.479,7.91,13687587
2005-08-04,7.85,7.9533,7.649,7.7857,5629806
2005-08-05,7.7767,7.8833,7.64,7.7067,5134455
2005-08-08,7.741,7.8843,7.679,7.75,5251536
2005-08-09,7.7943,8.3567,7.75,8.3157,19387089
2005-08-10,8.3333,8.5177,8.0457,8.1567,14021469
2005-08-11,8.1133,8.4033,8.0733,8.311,6397695
2005-08-12,8.2443,8.3277,8.211,8.3277,5545728
2005-08-15,8.3333,8.5443,8.2443,8.4623,7396002
2005-08-16,8.4523,8.4977,8.1557,8.2367,9092358
2005-08-17,8.1943,8.4223,8.15,8.389,7768026
2005-08-18,8.2333,8.3277,8.0167,8.2123,10083978
2005-08-19,8.18,8.32,8.18,8.29,4278141
2005-08-22,8.3333,8.5177,8.25,8.4923,7523406
2005-08-23,8.51,8.8243,8.4723,8.6523,14706324
2005-08-24,8.5667,8.771,8.561,8.621,7464825
2005-08-25,8.6057,8.6643,8.4177,8.4867,6797250
2005-08-26,8.1757,8.189,7.9,8.0943,18542097
2005-08-29,7.9233,8.111,7.8067,8.0723,11140650
2005-08-30,8.0577,8.0577,7.8643,7.9767,7200198
2005-08-31,7.9723,8.2943,7.929,8.2667,5540247
2005-09-01,8.111,8.2167,7.891,7.9577,7101630
2005-09-02,7.9723,8.0743,7.8557,7.9,2633166
2005-09-06,7.8743,7.8957,7.5657,7.741,8188911
2005-09-07,7.709,8.1323,7.64,7.9857,12478230
2005-09-08,8.0133,8.0723,7.821,7.871,4411998
2005-09-09,7.889,7.9543,7.7777,7.811,3525741
2005-09-12,7.8623,8.111,7.7567,8.05,6539742
2005-09-13,8.08,8.34,7.861,8.12,9963063
2005-09-14,8.131,8.211,7.7523,7.7957,7772382
2005-09-15,7.8623,7.889,7.6733,7.72,4388589
2005-09-16,7.7777,7.8243,7.6323,7.6657,7037703
2005-09-19,7.6557,7.799,7.65,7.75,3757410
2005-09-20,7.7767,7.7777,7.419,7.5657,5378580
2005-09-21,7.49,7.779,7.3723,7.7423,6430464
2005-09-22,7.7477,7.8323,7.5677,7.769,5117832
2005-09-23,7.7443,8.0323,7.639,7.9167,5075010
2005-09-26,7.9277,8.0477,7.6833,7.7623,6041295
2005-09-27,7.7823,8.3057,7.7733,8.2533,17567829
2005-09-28,8.2843,8.4157,8.129,8.2723,8474895
2005-09-29,8.2777,8.531,8.139,8.38,8334099
2005-09-30,8.3877,8.4323,8.1077,8.1433,6250527
2005-10-03,8.1667,8.3057,8.0977,8.211,4436541
2005-10-04,8.1133,8.661,8.1123,8.35,10060173
2005-10-05,8.3357,8.4033,8.0577,8.091,6261354
2005-10-06,8.1023,8.1567,7.6733,7.8177,7899030
2005-10-07,7.861,7.94,7.6833,7.8233,5981283
2005-10-10,7.8667,8.049,7.711,7.7367,4889070
2005-10-11,7.8333,7.8823,7.4757,7.6,8121501
2005-10-12,7.5757,7.6,7.1733,7.3277,12325437
2005-10-13,7.3057,7.4,7.0857,7.3157,5533578
2005-10-14,7.39,7.4777,7.2767,7.4333,6038649
2005-10-17,7.4267,7.59,7.4267,7.499,3584601
2005-10-18,7.5,7.5,7.3077,7.4023,4215438
2005-10-19,7.399,7.6333,7.2777,7.6243,8146449
2005-10-20,7.5967,7.6757,7.4,7.5057,5335785
2005-10-21,7.52,7.8667,7.52,7.7457,8247375
2005-10-24,7.8223,7.919,7.7257,7.9123,7954083
2005-10-25,7.9723,8.031,7.7223,7.999,15342660
2005-10-26,9.972,10.293,9.803,10.022,44560062
2005-10-27,9.913,10.067,9.75,9.768,12581001
2005-10-28,9.823,9.931,9.722,9.79,7638345
2005-10-31,9.84,9.98,9.644,9.859,7461270
2005-11-01,9.781,9.828,9.531,9.698,7825095
2005-11-02,9.663,10.438,9.638,10.311,14405634
2005-11-03,10.444,10.652,10.313,10.352,9544338
2005-11-04,10.352,10.419,10.167,10.258,3646755
2005-11-07,10.272,10.393,10.111,10.26,3696030
2005-11-08,10.282,10.503,10.056,10.238,4483836
2005-11-09,10.228,10.32,10.13,10.229,3831903
2005-11-10,10.633,11.078,10.507,10.954,15680466
2005-11-11,11.02,11.104,10.75,11.038,8152614
2005-11-14,11.111,11.937,11.067,11.65,18297936
2005-11-15,11.722,12.081,11.71,11.806,11620476
2005-11-16,11.833,11.853,11.341,11.471,9334575
2005-11-17,11.556,11.941,11.494,11.886,6597522
2005-11-18,11.874,12.219,11.811,12.0,8413857
2005-11-21,12.056,12.214,11.897,12.162,5637555
2005-11-22,12.218,13.164,12.116,12.833,16676082
2005-11-23,12.916,12.932,12.504,12.741,5856813
2005-11-25,12.744,12.95,12.67,12.85,2336535
2005-11-28,12.896,12.968,12.151,12.379,8955864
2005-11-29,12.39,12.788,12.294,12.386,8462448
2005-11-30,12.312,12.693,12.29,12.414,4885911
2005-12-01,12.533,12.859,12.489,12.818,6493662
2005-12-02,12.883,13.304,12.723,12.876,9992079
2005-12-05,12.867,13.166,12.668,12.951,5074632
2005-12-06,12.984,13.077,12.694,12.728,5021127
2005-12-07,12.816,12.889,12.456,12.546,6836229
2005-12-08,12.633,12.661,12.358,12.433,6222285
2005-12-09,12.447,12.988,12.444,12.943,6600951
2005-12-12,12.97,13.591,12.954,13.577,14803713
2005-12-13,13.531,13.667,13.089,13.139,9750375
2005-12-14,13.21,13.271,12.927,13.078,4902723
2005-12-15,13.171,13.183,12.711,12.791,6197004
2005-12-16,12.833,13.233,12.819,12.872,8150661
2005-12-19,12.874,12.956,12.706,12.792,5224680
2005-12-20,12.8,13.071,12.676,12.939,5625909
2005-12-21,12.999,13.418,12.944,13.274,7415532
2005-12-22,13.381,13.821,13.211,13.688,10468692
2005-12-23,13.789,13.866,13.464,13.586,4460859
2005-12-27,13.522,13.789,13.244,13.346,6147477
2005-12-28,13.444,13.484,13.007,13.301,4638303
2005-12-29,13.268,13.321,13.144,13.189,3557637
2005-12-30,13.111,13.177,12.926,13.03,4002390
2006-01-03,13.21,13.21,12.543,12.867,13345209
2006-01-04,12.914,13.564,12.889,13.562,10706940
2006-01-05,13.776,13.778,13.306,13.364,5813055
2006-01-06,13.081,13.576,13.029,13.341,8692074
2006-01-09,13.364,13.889,13.364,13.744,9502875
2006-01-10,13.667,14.328,13.642,14.249,10314558
2006-01-11,14.326,14.469,13.914,14.147,6207993
2006-01-12,14.68,14.798,14.42,14.518,10214208
2006-01-13,14.61,14.611,14.081,14.217,6674580
2006-01-17,14.178,14.601,14.009,14.566,7098633
2006-01-18,14.427,14.678,14.196,14.296,6993351
2006-01-19,14.428,14.853,14.34,14.748,7043544
2006-01-20,14.779,14.852,14.158,14.231,8178759
2006-01-23,14.349,14.59,13.962,14.398,6679647
