Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-11-05,2.53541,2.54311,2.41468,2.44487,729338.13864885
1987-11-06,2.45995,2.45995,2.36141,2.36141,655343.9337951
1987-11-09,2.36141,2.36141,2.22538,2.25527,1158486.2791546
1987-11-10,2.22538,2.24048,2.08136,2.15712,988305.69053958
1987-11-11,2.20259,2.3768,2.19461,2.3768,655343.9337951
1987-11-12,2.45995,2.5735,2.399,2.43687,1367770.5595604
1987-11-13,2.41468,2.47495,2.33872,2.33872,1226132.3306887
1987-11-16,2.36141,2.40688,2.36141,2.399,709248.49407307
1987-11-17,2.3768,2.3768,2.31594,2.36861,1020018.0719102
1987-11-18,2.3768,2.45995,2.31594,2.45995,617289.48165371
1987-11-19,2.45995,2.51273,2.33872,2.3768,442889.63176189
1987-11-20,2.3768,2.44487,2.31594,2.41468,1332890.1840788
1987-11-23,2.43687,2.47495,2.3768,2.47495,197661.54361116
1987-11-24,2.49004,2.52043,2.45995,2.50494,745193.315576
1987-11-25,2.45995,2.53541,2.43687,2.51273,380523.23249346
1987-11-27,2.51273,2.51273,2.41468,2.43687,918541.898302
1987-11-30,2.30104,2.3768,2.25527,2.31594,1947010.6578633
1987-12-01,2.33872,2.45995,2.31594,2.41468,789581.72842333
1987-12-02,2.399,2.399,2.33872,2.3768,643721.19700036
1987-12-03,2.36861,2.36861,2.20259,2.22538,1060180.1271738
1987-12-04,2.14173,2.22538,2.10376,2.20259,1040100.6201791
1987-12-07,2.16452,2.24048,2.12693,2.22538,300192.02565943
1987-12-08,2.20259,2.45995,2.20259,2.43687,523220.83859591
1987-12-09,2.41468,2.5735,2.40688,2.49004,1380453.687344
1987-12-10,2.399,2.58868,2.399,2.45995,756823.14867755
1987-12-11,2.43687,2.53541,2.43687,2.51273,208230.98572385
1987-12-14,2.49004,2.61117,2.49004,2.61117,1099287.8739972
1987-12-15,2.63386,2.64876,2.5582,2.61117,1310692.9363808
1987-12-16,2.61117,2.61117,2.53541,2.61117,663797.66272065
1987-12-17,2.61117,2.61117,2.58868,2.58868,739907.58076154
1987-12-18,2.61117,2.64876,2.58868,2.64876,2302169.6623058
1987-12-21,2.70962,2.70962,2.64876,2.66424,926998.66850189
1987-12-22,2.66424,2.66424,2.61117,2.64876,541188.68743586
1987-12-23,2.63386,2.76259,2.5735,2.76259,3276726.7652823
1987-12-24,2.7473,2.84604,2.7473,2.78509,136354.52157348
1987-12-28,2.72461,2.72461,2.63386,2.69453,639492.81190042
1987-12-29,2.66424,2.66424,2.5808,2.61117,918541.898302
1987-12-30,2.58868,2.61117,2.5735,2.61117,509480.3610978
1987-12-31,2.61117,2.61117,2.5735,2.5735,384749.59007717
1988-01-04,2.58868,2.64136,2.5735,2.64136,2758796.7302915
1988-01-05,2.66424,2.82296,2.66424,2.76259,1865623.1150729
1988-01-06,2.80816,2.82296,2.76259,2.80816,524277.17455231
1988-01-07,2.78509,2.89862,2.76259,2.88333,893173.61521857
1988-01-08,2.82296,2.86823,2.63386,2.63386,506309.32571237
1988-01-11,2.64876,2.64876,2.3768,2.64136,641603.45629699
1988-01-12,2.64876,2.72461,2.45995,2.70962,881548.8509076
1988-01-13,2.66424,2.70962,2.5735,2.5735,1088719.4456426
1988-01-14,2.61117,2.63386,2.5735,2.58868,893173.61521857
1988-01-15,2.72461,2.76259,2.64876,2.64876,1188077.8785473
1988-01-18,2.63386,2.63386,2.58868,2.61117,437602.88318931
1988-01-19,2.58868,2.70962,2.5808,2.58868,1134174.3320275
1988-01-20,2.5808,2.63386,2.54311,2.54311,993588.38407969
1988-01-21,2.5582,2.5582,2.45995,2.49004,919600.26177464
1988-01-22,2.51273,2.5582,2.49004,2.51273,1619340.718482
1988-01-25,2.53541,2.70962,2.51273,2.67944,358329.0260698
1988-01-26,2.64136,2.69453,2.61117,2.63386,207179.71855802
1988-01-27,2.61117,2.69453,2.54311,2.5735,305472.69168331
1988-01-28,2.5735,2.5735,2.54311,2.54311,677546.25028369
1988-01-29,2.5582,2.60358,2.5582,2.60358,375234.45640465
1988-02-01,2.5808,2.61847,2.5582,2.5808,171233.88329698
1988-02-02,2.5808,2.60358,2.48235,2.5582,1478756.7980505
1988-02-03,2.5735,2.60358,2.36141,2.399,801212.57528299
1988-02-04,2.399,2.52043,2.399,2.45995,925940.30502927
1988-02-05,2.44487,2.44487,2.42987,2.42987,657462.68825659
1988-02-08,2.42987,2.44487,2.399,2.44487,399548.43104792
1988-02-09,2.44487,2.54311,2.44487,2.54311,156437.06984246
1988-02-10,2.50494,2.5735,2.50494,2.5582,475655.30781447
1988-02-11,2.5808,2.61847,2.50494,2.52043,281166.82710497
1988-02-12,2.55061,2.70962,2.55061,2.69453,990418.36245238
1988-02-16,2.65656,2.71712,2.65656,2.69453,361498.03393899
1988-02-17,2.71712,2.7398,2.63386,2.63386,494679.49261082
1988-02-18,2.61847,2.63386,2.5582,2.5582,1054898.4473917
1988-02-19,2.54311,2.69453,2.54311,2.69453,981958.55097815
1988-02-22,2.69453,2.79307,2.67944,2.77779,909025.75087138
1988-02-23,2.77779,2.77779,2.65656,2.7398,496795.20579797
1988-02-24,2.7398,2.7548,2.66424,2.7398,770557.54362698
1988-02-25,2.7548,2.80816,2.70962,2.70962,2963856.6806299
1988-02-26,2.70962,2.77779,2.70962,2.7398,297017.94899966
1988-02-29,2.69453,2.85344,2.69453,2.84604,740971.01302475
1988-03-01,2.83815,2.86823,2.81566,2.85344,735676.15438725
1988-03-02,2.9363,2.9363,2.86823,2.91391,755762.75768869
1988-03-03,2.89142,2.9363,2.89142,2.9214,450282.96969857
1988-03-04,2.9214,2.95179,2.83815,2.91391,825523.50865191
1988-03-07,2.89142,2.89142,2.81566,2.89142,666971.73938042
1988-03-08,2.89142,2.89862,2.81566,2.81566,458741.76741469
1988-03-09,2.83815,2.86823,2.77779,2.77779,693395.34466215
1988-03-10,2.79307,2.79307,2.67944,2.69453,492567.83445613
1988-03-11,2.71712,2.7398,2.61847,2.7398,706079.48620386
1988-03-14,2.7398,2.86823,2.7398,2.83815,251570.15892158
1988-03-15,2.81566,2.85344,2.81566,2.85344,454516.42358909
1988-03-16,2.86823,2.95179,2.81566,2.95179,483053.71454172
1988-03-17,2.96678,3.01226,2.91391,2.9363,1194419.9493182
1988-03-18,2.98956,2.98956,2.86823,2.96678,1601368.8146096
1988-03-21,2.95179,2.95179,2.86823,2.86823,764216.48661424
1988-03-22,2.89142,2.89142,2.81566,2.84604,438661.24666194
1988-03-23,2.86823,2.89142,2.85344,2.88333,523220.83859591
1988-03-24,2.86823,2.86823,2.71712,2.7548,647944.51330973
1988-03-25,2.7398,2.7548,2.71712,2.7548,758931.76555789
1988-03-28,2.7398,2.76259,2.7398,2.7398,764216.48661424
1988-03-29,2.7548,2.77779,2.71712,2.7548,277990.72292895
1988-03-30,2.7548,2.79307,2.71712,2.72461,563385.93513387
1988-03-31,2.71712,2.72461,2.67944,2.72461,573954.36348845
1988-04-04,2.70962,2.72461,2.63386,2.63386,689163.91828785
1988-04-05,2.65656,2.69453,2.65656,2.68664,365721.35024836
1988-04-06,2.69453,2.7548,2.67944,2.7398,672259.50171112
1988-04-07,2.76259,2.78509,2.7398,2.7398,595097.30274628
1988-04-08,2.7398,2.81566,2.71712,2.78509,689163.91828785
1988-04-11,2.76259,2.85344,2.7548,2.85344,309705.13181572
1988-04-12,2.83815,2.95179,2.81566,2.95179,395320.04594797
1988-04-13,2.9363,2.9363,2.89142,2.9363,565497.59328856
1988-04-14,2.81566,2.83815,2.7548,2.79307,637378.11247139
1988-04-15,2.7398,2.7548,2.67944,2.7398,951309.60187082
1988-04-18,2.71712,2.7398,2.65656,2.65656,543306.42813924
1988-04-19,2.69453,2.79307,2.69453,2.71712,905855.72924405
1988-04-20,2.68664,2.70962,2.65656,2.68664,1637305.5260476
1988-04-21,2.66424,2.77779,2.66424,2.66424,502077.89933807
1988-04-22,2.67944,2.81566,2.66424,2.77779,561270.22194673
1988-04-25,2.7548,2.83815,2.7473,2.81566,320271.53265406
