Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,26.2354,26.7118,26.113,26.7118,1019307.4414852
2005-02-28,26.6074,26.7953,26.5616,26.5974,1183895.6491432
2005-03-01,26.5039,26.674,26.495,26.5616,700448.58294756
2005-03-02,26.5874,26.7575,26.495,26.6074,516494.21764949
2005-03-03,26.5417,26.5616,25.759,26.1578,700232.3979064
2005-03-04,26.2453,26.7764,26.1578,26.674,635409.06193821
2005-03-07,26.5686,26.8053,26.5039,26.7953,501759.44744911
2005-03-08,26.7953,26.9882,26.5686,26.6262,922070.42650933
2005-03-09,26.6262,26.6262,25.934,25.9897,887553.21677557
2005-03-10,26.0873,26.113,25.571,25.6169,836196.70060359
2005-03-11,25.7033,25.8276,25.5054,25.6079,233623.63263722
2005-03-14,25.6566,25.7511,25.4597,25.6079,433568.65239801
2005-03-15,25.6079,25.7222,25.4597,25.5442,1103704.0705284
2005-03-16,25.4408,25.571,25.3145,25.3145,404104.13955635
2005-03-17,25.3523,25.5999,25.229,25.5442,487871.3182006
2005-03-18,25.4209,25.8276,25.3821,25.759,968375.25130102
2005-03-21,25.6566,25.7312,25.5442,25.6466,706969.32709587
2005-03-22,25.5899,26.1489,25.5899,26.113,903546.88777374
2005-03-23,26.113,26.5417,26.0593,26.1489,913862.43352818
2005-03-24,26.0673,26.129,25.401,25.4597,990262.22707225
2005-03-28,25.3244,25.3244,24.8779,25.1623,739172.85413337
2005-03-29,25.2011,25.229,24.4115,24.4691,695179.7010143
2005-03-30,24.4015,24.8968,24.3825,24.6859,660456.36135758
2005-03-31,24.5745,24.7913,24.5178,24.666,536488.82017675
2005-04-01,24.6402,25.0499,24.5368,24.6212,544697.81866971
2005-04-04,24.5368,25.2011,24.4891,24.9446,508706.52860882
2005-04-05,24.9446,25.1623,24.8579,25.03,498813.29781849
2005-04-06,25.03,25.4308,24.7745,25.3145,819781.72015312
2005-04-07,25.3145,25.6466,25.2747,25.5054,504921.78212088
2005-04-08,25.4209,25.4955,25.1813,25.2468,318020.26168037
2005-04-11,25.1911,25.4209,25.0022,25.3323,460091.03765632
2005-04-12,25.3323,25.8943,25.1335,25.8943,904181.36573173
2005-04-13,25.7979,25.8078,25.229,25.3423,579004.87643323
2005-04-14,25.3523,25.4209,24.1957,24.4214,514810.99086394
2005-04-15,24.2951,24.6015,23.4538,23.583,1045827.8157199
2005-04-18,23.583,23.9927,23.3761,23.9729,815571.64216561
2005-04-19,23.9729,24.1369,23.8624,24.0991,394001.7623076
2005-04-20,24.0614,24.0991,23.5283,23.6108,489133.23553386
2005-04-21,23.7382,24.1658,23.6108,24.1658,387264.83311813
2005-04-22,24.1369,24.2135,23.583,23.777,504921.78212088
2005-04-25,23.758,24.4791,23.758,24.4214,512073.98769174
2005-04-26,24.2951,24.5178,23.777,23.7949,657930.51566744
2005-04-27,23.7949,23.7949,23.1664,23.5183,845458.46997138
2005-04-28,23.4716,23.4716,22.5686,22.8153,986264.31207862
2005-04-29,22.863,23.2339,22.6333,23.1484,1035722.4219357
2005-05-02,23.1484,23.3961,22.9963,23.3861,691183.7970443
2005-05-03,23.2717,23.2817,22.853,22.873,1046879.5810829
2005-05-04,22.873,23.2061,22.6333,23.1664,694129.94667492
2005-05-05,23.0897,23.5005,23.035,23.3194,495447.84975921
2005-05-06,23.2817,24.4015,23.2151,24.2504,922279.57296775
2005-05-09,24.2324,25.0022,24.2324,24.9266,1620200.2992016
2005-05-10,24.9266,25.401,24.7059,25.2946,1081393.7742813
2005-05-11,25.2946,25.4855,25.221,25.4408,784844.20647889
2005-05-12,25.4408,25.4408,24.9723,25.0599,789475.59391869
2005-05-13,25.0688,25.0956,24.2762,24.5745,831569.33521106
2005-05-16,24.6114,25.229,24.6114,25.0768,666138.50864858
2005-05-17,24.9923,25.1713,24.8481,25.1434,358852.08563949
2005-05-18,25.1813,25.7411,25.1146,25.5154,803576.8916729
2005-05-19,25.5154,25.5899,25.2946,25.4597,451667.86514584
2005-05-20,25.4597,25.4597,25.1713,25.3523,379689.30707134
2005-05-23,25.391,25.6466,25.391,25.571,262877.99350864
2005-05-24,25.229,25.3323,25.0121,25.221,485345.47251046
2005-05-25,25.2468,25.2468,24.7745,24.8579,321387.72076329
2005-05-26,24.9823,25.5442,24.9823,25.3523,467876.71567334
2005-05-27,25.2846,25.3523,24.9544,25.03,299919.0379089
2005-05-31,24.9446,25.3244,24.9446,24.9823,505550.22700796
2005-06-01,24.8779,25.1813,24.7824,25.1434,787577.18760381
2005-06-02,25.0688,25.1335,24.9923,25.03,668454.20236848
2005-06-03,25.03,25.0956,24.5935,24.7546,875765.60171763
2005-06-06,24.7745,25.0688,24.7059,25.0499,457350.01243684
2005-06-07,25.03,25.221,25.0121,25.0768,751800.07156044
2005-06-08,25.0768,25.221,24.9266,25.03,528912.28861814
2005-06-09,24.9266,25.4408,24.7456,25.4408,727384.23356361
2005-06-10,25.4765,26.0096,25.4209,25.7033,841880.85891823
2005-06-13,25.6079,25.6566,25.3821,25.5621,387053.67563607
2005-06-14,25.5621,25.9808,25.5442,25.8863,406629.98524649
2005-06-15,25.8576,25.9808,25.7033,25.8943,372320.91645934
2005-06-16,25.9043,26.1777,25.7222,26.1578,259930.8383662
2005-06-17,26.495,27.1961,26.0494,26.0773,1878865.1981872
2005-06-20,25.8943,25.9897,25.7123,25.952,451036.4037233
2005-06-21,25.952,25.952,25.5621,25.8773,434200.11382054
2005-06-22,25.8773,26.0673,25.5243,25.7879,565742.17553634
2005-06-23,25.7222,25.952,25.571,25.6079,616888.53973808
2005-06-24,25.6079,25.7879,25.1434,25.3244,447250.65172355
2005-06-27,25.0688,25.4408,24.9644,25.401,490606.31034917
2005-06-28,25.4696,25.9142,25.4696,25.9043,756848.74640526
2005-06-29,26.0196,26.6451,26.0196,26.5238,1287234.1098387
2005-06-30,26.5238,26.9882,26.5238,26.7287,1573475.1704693
2005-07-01,26.8441,27.0827,26.6451,26.8241,1156111.3465516
2005-07-05,26.8341,27.3771,26.7386,27.3671,562588.89047094
2005-07-06,27.4437,27.7461,26.9882,27.206,1174844.0317456
2005-07-07,26.7764,26.8441,26.129,26.8241,2402094.3340025
2005-07-08,26.7476,26.8728,26.3397,26.7287,967109.31192049
2005-07-11,26.7287,27.1295,26.7028,27.0827,722753.85163562
2005-07-12,27.0827,27.0827,26.6551,26.8441,635409.06193821
2005-07-13,26.864,27.036,26.7764,26.9117,438619.33826647
2005-07-14,26.9505,27.0827,26.5974,26.9018,643826.20137778
2005-07-15,26.9018,27.3482,26.8441,27.3384,516494.21764949
2005-07-18,27.3005,27.4537,26.7118,26.7764,482189.1709096
2005-07-19,26.7118,27.3005,26.6351,27.0638,388949.0654155
2005-07-20,27.0638,27.4437,27.0638,27.2527,436303.64454657
2005-07-21,27.3572,27.6238,27.1862,27.3284,864612.46461769
2005-07-22,27.1961,27.4835,26.864,27.1662,458612.93528191
2005-07-25,27.046,27.216,26.5417,26.6074,499656.9222349
2005-07-26,26.9683,28.4313,26.9683,28.1359,2953316.9188678
2005-07-27,28.0802,28.0802,27.6904,27.9182,1410781.347079
2005-07-28,28.0325,28.3526,27.7262,28.2046,768216.05752272
2005-07-29,28.1269,28.2324,27.8435,27.9768,741697.69431169
2005-08-01,27.937,28.2702,27.937,28.0425,565955.34404204
2005-08-02,27.9669,28.4711,27.9569,28.2702,864819.60005247
2005-08-03,28.1449,28.4213,27.9938,28.2602,368954.46288824
2005-08-04,28.2046,28.4711,28.0325,28.2702,672452.11736211
2005-08-05,28.2046,28.3339,28.1269,28.1746,1137170.520411
2005-08-08,28.1746,28.7058,28.1648,28.5745,1321752.3250843
2005-08-09,28.5566,28.5666,28.2235,28.4611,1229357.8550303
2005-08-10,28.4711,28.8102,28.3438,28.4711,601524.31913881
2005-08-11,28.4711,28.5745,28.2235,28.4413,617518.9956488
2005-08-12,28.4413,28.6878,28.0992,28.5099,623834.61538597
2005-08-15,28.5099,28.6878,28.2602,28.481,416521.20501318
2005-08-16,28.491,28.491,27.8822,28.0126,463455.48020378
2005-08-17,27.9669,28.0325,27.7758,27.7958,586368.23948614
2005-08-18,27.6048,27.6238,27.1762,27.2807,1253349.3670393
