Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-12-30,1.52636,1.57126,1.52636,1.57126,240355.9797344
1987-12-31,1.56028,1.56028,1.54165,1.56028,232293.83369267
1988-01-04,1.55646,1.59774,1.55646,1.57891,288694.18008783
1988-01-05,1.59774,1.65029,1.59774,1.61617,606926.10510424
1988-01-06,1.66117,1.66117,1.63147,1.65029,943290.46458946
1988-01-07,1.63147,1.65029,1.60137,1.65029,211480.13648588
1988-01-08,1.63147,1.65029,1.5191,1.53793,367918.40583374
1988-01-11,1.54165,1.56028,1.5191,1.54165,365225.92442322
1988-01-12,1.54165,1.54165,1.4588,1.49625,685479.25025618
1988-01-13,1.47724,1.50019,1.44007,1.49625,284662.5971273
1988-01-14,1.47724,1.5191,1.46635,1.51507,879516.39069504
1988-01-15,1.55646,1.57126,1.52636,1.52636,1233330.8853825
1988-01-18,1.53793,1.53793,1.5191,1.52636,304804.19386076
1988-01-19,1.52636,1.52636,1.5191,1.5191,513608.16700529
1988-01-20,1.48518,1.50019,1.44007,1.47724,392085.46625181
1988-01-21,1.49625,1.50019,1.47724,1.50019,450498.03454961
1988-01-22,1.50019,1.51507,1.47724,1.47724,307493.61563333
1988-01-25,1.49625,1.50019,1.48518,1.48518,453848.33812291
1988-01-26,1.48518,1.50019,1.48518,1.48518,336357.22032997
1988-01-27,1.49625,1.50019,1.48518,1.50019,710993.57125883
1988-01-28,1.49625,1.60137,1.49625,1.59019,962767.10000489
1988-01-29,1.59774,1.65029,1.59774,1.62019,1652946.9740569
1988-02-01,1.65029,1.65765,1.61617,1.62019,717036.35624267
1988-02-02,1.61617,1.61617,1.57126,1.59774,663327.47137872
1988-02-03,1.59774,1.61617,1.57891,1.57891,183960.73273586
1988-02-04,1.59774,1.59774,1.54165,1.54165,213498.47766445
1988-02-05,1.54165,1.56028,1.52636,1.53793,905694.65313642
1988-02-08,1.53793,1.54165,1.49625,1.52636,437075.40279056
1988-02-09,1.5191,1.52636,1.51507,1.52636,196041.20330693
1988-02-10,1.52636,1.57126,1.52636,1.57126,561274.2668854
1988-02-11,1.57126,1.59774,1.57126,1.57891,925838.28962854
1988-02-12,1.57891,1.59774,1.57891,1.57891,96006.339992182
1988-02-16,1.59019,1.59019,1.49625,1.59019,203425.12959942
1988-02-17,1.59019,1.65029,1.59019,1.59774,558591.9842681
1988-02-18,1.61617,1.62019,1.59774,1.59774,577391.41981361
1988-02-19,1.59774,1.63882,1.57126,1.63882,868097.82180406
1988-02-22,1.65029,1.73275,1.65029,1.73275,1726127.3949397
1988-02-23,1.7102,1.73275,1.66117,1.6801,1525381.4883196
1988-02-24,1.67236,1.69883,1.67236,1.69883,741207.49617802
1988-02-25,1.69128,1.75168,1.6801,1.73275,921808.74642666
1988-02-26,1.6801,1.69128,1.66117,1.67236,459224.12203006
1988-02-29,1.6801,1.6801,1.65029,1.6801,445793.33123645
1988-03-01,1.6801,1.7102,1.66117,1.69883,521663.17389177
1988-03-02,1.69883,1.69883,1.66892,1.68755,1005060.4756158
1988-03-03,1.70266,1.72129,1.68755,1.68755,782159.73048031
1988-03-04,1.68755,1.70266,1.66892,1.68755,214847.77800768
1988-03-07,1.68755,1.75874,1.66892,1.75874,367245.28548112
1988-03-08,1.75874,1.85237,1.75874,1.83374,1395138.8193616
1988-03-09,1.85237,1.89395,1.84149,1.86414,1560292.9773967
1988-03-10,1.86414,1.92376,1.84149,1.85237,1400505.4243549
1988-03-11,1.82258,1.82258,1.72129,1.75874,1920827.456938
1988-03-14,1.77383,1.78129,1.74393,1.78129,879516.39069504
1988-03-15,1.80002,1.80002,1.75874,1.78914,592155.1928813
1988-03-16,1.77383,1.92032,1.77383,1.92032,1783868.8826435
1988-03-17,1.91249,1.91249,1.86012,1.87483,2066521.2976268
1988-03-18,1.88287,1.89395,1.85237,1.87483,986926.00138837
1988-03-21,1.87483,1.99533,1.86012,1.99533,1265557.0322043
1988-03-22,2.01396,2.03633,1.92032,1.97278,2071216.822026
1988-03-23,1.97278,2.02152,1.92376,2.02152,2159167.1352525
1988-03-24,1.99131,1.99131,1.91249,1.95406,802974.44756641
1988-03-25,1.95406,1.99533,1.92376,1.99533,2237724.3599217
1988-03-28,1.91249,1.95406,1.91249,1.92376,1926193.0420519
1988-03-29,1.92376,1.94239,1.91249,1.92032,1195062.9734562
1988-03-30,1.92032,1.92032,1.82258,1.87483,2145742.4637347
1988-03-31,1.86012,1.88287,1.85237,1.86414,817748.41942733
1988-04-04,1.87483,1.88287,1.83374,1.84149,414238.26500859
1988-04-05,1.84149,1.87483,1.83374,1.87483,1453545.2683834
1988-04-06,1.9013,2.00249,1.9013,1.99131,1441461.7381744
1988-04-07,2.01396,2.02152,1.97651,1.99533,2067188.2987035
1988-04-08,1.99533,1.99533,1.92376,1.95406,982904.61722107
1988-04-11,1.99131,1.99131,1.92376,1.96141,1050045.3127579
1988-04-12,1.96141,1.97651,1.93523,1.97651,1213190.3085284
1988-04-13,1.99131,1.99533,1.95406,1.96141,1395805.8204383
1988-04-14,1.86012,1.9013,1.85237,1.86414,1994005.8380621
1988-04-15,1.86012,1.86414,1.77383,1.84149,1459588.0533673
1988-04-18,1.84149,1.84149,1.78914,1.83374,837886.95652283
1988-04-19,1.85237,1.92032,1.85237,1.92032,1885911.8883436
1988-04-20,1.92376,1.92376,1.87483,1.88287,469297.4700951
1988-04-21,1.86414,1.99533,1.86414,1.96141,647208.27869186
1988-04-22,1.96141,1.97278,1.92376,1.97278,1172238.074226
1988-04-25,1.97278,1.99533,1.95406,1.97651,748592.44234983
1988-04-26,1.97651,1.97651,1.92376,1.97651,2541858.4930677
1988-04-27,1.99131,2.01396,1.97651,1.99533,3238082.171983
1988-04-28,2.00249,2.00249,1.97651,1.99131,1264889.0112484
1988-04-29,1.97651,1.99533,1.97278,1.99533,900328.04814318
1988-05-02,1.99131,2.01396,1.99131,2.01396,2403553.6780681
1988-05-03,1.99533,2.12644,1.99533,2.10751,3321333.9011722
1988-05-04,2.11535,2.15643,2.07387,2.11535,1876512.6805105
1988-05-05,2.13397,2.13397,2.07387,2.07759,1144035.3513302
1988-05-06,2.11535,2.22752,2.10751,2.20526,3769820.7336984
1988-05-09,2.20526,2.20889,2.16771,2.17526,2323653.2723315
1988-05-10,2.15643,2.19409,2.15643,2.17526,1544185.0033824
1988-05-11,2.14516,2.1528,2.04759,2.0925,1374995.1828696
1988-05-12,2.0925,2.11535,2.07387,2.0925,1301814.7619867
1988-05-13,2.13397,2.13397,2.07759,2.10751,2157830.0734611
1988-05-16,2.15643,2.19409,2.14516,2.19409,1700616.133575
1988-05-17,2.20889,2.24644,2.20889,2.23517,1844288.5734473
1988-05-18,2.22359,2.23517,2.17526,2.19409,972158.1488034
1988-05-19,2.17526,2.22359,2.17526,2.20889,1517320.3621572
1988-05-20,2.22359,2.28782,2.20889,2.22752,1486442.4957993
1988-05-23,2.22359,2.24644,2.1528,2.18653,766716.71778406
1988-05-24,2.20526,2.22359,2.17526,2.19409,1164181.0275809
1988-05-25,2.22359,2.23517,2.15643,2.17526,803644.50828108
1988-05-26,2.20889,2.20889,2.16771,2.18653,450498.03454961
