Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-06-25,14.3056,14.4417,12.8117,13.4709,54857905.603078
1999-06-28,13.3328,13.5552,12.2749,13.5033,11245225.437816
1999-06-29,13.3328,18.3599,13.0547,15.7338,18040805.949193
1999-06-30,16.586,21.6787,16.2079,20.2946,20653923.789764
1999-07-01,21.5072,22.0745,19.3465,19.8861,11637924.817318
1999-07-02,20.0761,20.567,18.3923,19.4463,4795370.3247286
1999-07-06,19.6168,21.0146,18.6636,19.0055,4465792.9343217
1999-07-07,18.883,19.4786,17.4333,18.401,5204953.7541999
1999-07-08,18.7332,18.8008,17.4333,17.4333,2919944.2824563
1999-07-09,17.9818,18.123,16.6173,18.0808,3629007.0041895
1999-07-12,18.2542,18.3923,17.3873,17.4333,1757249.9428462
1999-07-13,17.1344,18.1131,16.6173,17.0278,2285747.5555532
1999-07-14,17.3628,18.6636,17.1013,17.9907,4269074.7130969
1999-07-15,18.0808,20.4337,17.9818,20.373,6292776.994666
1999-07-16,21.0646,21.521,19.223,19.463,6147437.7776656
1999-07-19,20.1966,20.2946,18.3599,18.3923,2505216.7252996
1999-07-20,18.0642,19.5854,17.3539,18.8008,4701414.1954038
1999-07-21,19.6833,21.4378,19.3465,19.5854,14813311.433121
1999-07-22,20.273,20.9274,18.4911,20.2299,9574589.5789844
1999-07-23,20.706,20.8451,19.4786,19.8695,4460656.9735386
1999-07-26,19.746,20.1652,18.9398,19.6501,5403874.9973627
1999-07-27,20.2299,20.4044,19.7558,19.9047,2783415.1114822
1999-07-28,19.7734,19.7901,19.2749,19.5854,2822318.1513396
1999-07-29,18.8008,20.0928,18.6636,19.7558,2016357.1736712
1999-07-30,20.0076,22.478,19.8861,22.1264,11110164.267558
1999-08-02,21.8002,23.4987,21.2536,21.9696,8433183.2914932
1999-08-03,22.3977,22.9551,20.8608,21.1743,7965612.8128464
1999-08-04,20.9431,21.2536,20.1652,21.2349,5521319.1381559
1999-08-05,20.9333,21.9334,19.8861,21.4828,6239193.9476409
1999-08-06,21.3162,22.3085,20.8931,21.8002,4185393.5679266
1999-08-09,22.0745,23.1158,21.9147,22.1264,3474129.8659812
1999-08-10,22.1686,23.3107,21.9334,23.2881,3804437.1732954
1999-08-11,23.5664,25.2561,23.533,25.2561,5604993.1372865
1999-08-12,25.2424,27.1124,25.2011,26.8361,5637289.1530555
1999-08-13,27.9322,29.2791,27.1124,29.1166,7785043.620369
1999-08-16,28.9344,29.0185,27.2446,27.7932,5133755.7194363
1999-08-17,28.326,29.9022,27.5316,29.7787,6125418.7877767
1999-08-18,29.427,30.4968,28.1751,28.1751,4553146.1230095
1999-08-19,27.6541,28.61,27.3818,28.2007,3402928.7686292
1999-08-20,28.5357,28.5435,27.3818,27.8764,1780004.9748191
1999-08-23,27.7932,31.0522,27.7256,30.9199,6017515.6307798
1999-08-24,30.3939,31.9279,29.5495,30.146,9434392.4479439
1999-08-25,30.6525,30.9199,29.2233,29.4927,3849217.3203339
1999-08-26,29.5593,30.6849,29.2292,29.331,4128878.6029192
1999-08-27,29.7366,30.3842,28.8785,29.6974,2713680.9939841
1999-08-30,29.6974,29.6974,28.4142,28.619,2475122.7106057
1999-08-31,28.6738,29.0843,27.6041,27.9322,3390450.7625366
1999-09-01,28.1174,28.4045,24.4,24.5557,15343273.983956
1999-09-02,23.0893,27.4807,23.0893,27.0565,16276950.003122
1999-09-03,27.8568,27.9459,25.7557,26.3297,8649720.5432572
1999-09-07,26.1083,26.7783,25.355,26.361,2367222.616197
1999-09-08,26.2082,27.7932,25.692,26.361,4807847.3099584
1999-09-09,26.7372,26.7372,25.3383,26.1788,1545850.6935909
1999-09-10,26.5011,27.2446,25.9065,26.0936,2094167.3368371
1999-09-13,26.1573,26.2552,24.5086,24.5253,2064069.238692
1999-09-14,24.7291,25.8712,24.5086,24.9505,2917739.2187928
1999-09-15,25.5578,26.5334,24.8083,25.1376,5650507.2846834
1999-09-16,25.3236,25.3383,24.3039,24.9799,2969119.2438799
1999-09-17,25.2424,25.6343,24.7585,24.8662,1699992.810578
1999-09-20,24.9642,25.308,24.3844,24.9318,1761652.9241338
1999-09-21,24.8985,26.4129,24.6968,25.4794,3833065.2289981
1999-09-22,25.4628,26.0858,24.7909,25.8478,2200599.4305289
1999-09-23,25.7488,26.6333,24.7909,24.9221,3778014.1812562
1999-09-24,24.9799,27.1124,24.6595,27.1065,4188330.590223
1999-09-27,27.2358,29.6788,27.2358,28.1841,8989574.9595444
1999-09-28,28.1419,28.2007,26.4668,26.8782,5203484.7326203
1999-09-29,26.9723,27.8234,25.8478,26.0858,4816657.3559847
1999-09-30,25.8869,26.9723,24.7291,24.7996,31079250.410004
1999-10-01,24.8985,25.6077,24.5253,25.2091,10867201.982029
1999-10-04,25.2168,25.2424,24.7909,24.8083,2472923.7721189
1999-10-05,25.6077,26.1573,24.9877,25.0699,8323083.237735
1999-10-06,25.2992,26.2974,25.2913,26.0006,6494632.1975366
1999-10-07,26.4844,27.6041,26.1249,26.9566,7735861.5129058
1999-10-08,27.1858,29.2067,26.4286,29.0185,6030725.5955051
1999-10-11,29.8032,33.2464,29.8032,33.2464,9707447.7273038
1999-10-12,32.8526,34.2955,29.5652,30.3116,14492543.067877
1999-10-13,30.4026,31.6086,29.1567,29.8355,10401099.504099
1999-10-14,30.3842,30.9199,29.0676,30.0716,5535263.1032397
1999-10-15,28.8237,29.9904,28.6738,29.5074,4131079.5831316
1999-10-18,29.6974,31.2814,28.6581,31.1609,9077657.0442766
1999-10-19,32.1493,32.8526,31.6086,32.1395,6475546.146493
1999-10-20,32.9642,33.9242,31.6086,33.7185,9113626.124426
1999-10-21,32.3461,36.1704,32.2884,35.2477,9032879.9598264
1999-10-22,32.9642,35.7629,32.8193,35.6542,14986535.5177
1999-10-25,35.8286,36.1038,34.507,35.1183,4001891.4366042
1999-10-26,35.4181,35.6953,33.9389,34.3651,3414672.7743634
1999-10-27,34.3963,34.4709,33.3727,34.0526,2860489.2325641
1999-10-28,34.5169,36.5142,34.4709,36.1038,5102925.6626584
1999-10-29,36.62,38.008,36.6112,37.5525,4340273.7687234
1999-11-01,37.7367,37.7367,36.4182,36.5847,2823787.1729191
1999-11-02,37.0403,37.4458,35.5581,36.139,2660831.9473174
1999-11-03,36.7171,38.5154,36.1704,38.1079,3841141.274666
1999-11-04,38.8211,38.8299,37.6025,37.8855,3380906.7161519
1999-11-05,38.1305,38.1472,36.4398,37.2067,3084360.3627352
1999-11-08,36.8659,39.6674,36.4956,39.3598,3791957.1254772
1999-11-09,39.5978,39.5978,36.2351,36.2351,8243809.1573035
1999-11-10,37.4291,38.1079,35.7629,36.3741,3312641.6202335
1999-11-11,36.2772,36.2772,34.7373,35.6542,4895935.5198674
1999-11-12,36.5485,39.6606,36.0166,39.0953,9449069.3925232
1999-11-15,40.1778,41.3465,38.0609,38.6232,4421021.9750484
1999-11-17,45.0913,45.5703,41.5482,41.7872,6779431.4826308
1999-11-18,42.472,42.4886,40.6186,41.3787,6204692.8682082
1999-11-19,41.8264,43.087,41.363,42.2359,3640019.0512909
1999-11-22,42.4249,42.4249,40.7332,41.2769,3631944.0264858
1999-11-23,41.3465,41.5482,39.5058,40.0544,4545069.0564788
1999-11-24,40.3237,41.0751,39.9152,40.5579,3480733.8274811
1999-11-26,41.4189,41.7705,41.0271,41.7029,2014156.1934588
1999-11-29,41.9587,41.9587,40.0544,40.0544,2663033.9483926
1999-11-30,41.1397,41.3288,37.4703,37.7563,4344678.7917365
1999-12-01,38.1472,39.0953,37.0697,37.1089,5141825.6399273
1999-12-02,37.2753,41.9743,37.1264,40.8704,6220840.8760928
1999-12-03,42.5062,43.087,40.9683,41.2534,5132286.6978567
1999-12-06,41.8098,41.8264,39.2345,39.2678,3980603.3844853
1999-12-07,41.1397,45.7397,41.0751,45.2284,8639445.5591026
1999-12-08,45.8259,51.1528,45.6927,47.6969,6339753.0176028
1999-12-09,49.0438,49.0438,45.0981,48.2925,4570757.0272967
1999-12-10,49.2465,49.7227,47.0014,48.1308,3113725.4813847
1999-12-13,47.2699,47.4108,45.3666,46.1698,6489494.1950279
1999-12-14,46.9181,46.9181,44.816,44.9923,2820114.1085387
1999-12-15,44.6309,45.0227,43.1518,43.2458,3968123.3366671
1999-12-16,43.9981,44.9571,42.0957,43.1273,4045199.4994746
1999-12-17,43.4593,44.0079,41.2769,41.4189,5613804.2041756
1999-12-20,42.5062,42.5062,39.6938,40.8704,6052017.7310751
1999-12-21,41.125,45.9131,40.3237,45.5037,8369321.1768621
1999-12-22,45.678,45.9866,42.9156,43.9541,4499558.9925331
1999-12-23,44.5819,47.2699,43.904,44.051,5690141.2623107
