Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,2.70388,2.70388,2.6749,2.70388,34041.702124152
1970-01-05,2.70388,2.71076,2.68216,2.70388,44440.279713565
1970-01-06,2.70388,2.73246,2.68934,2.73246,38772.769923251
1970-01-07,2.73984,2.81165,2.73984,2.7973,102129.17785938
1970-01-08,2.79014,2.79014,2.75438,2.79014,30260.308648753
1970-01-09,2.76842,2.76842,2.7253,2.7253,21746.829502526
1970-01-12,2.73246,2.7753,2.73246,2.7753,51067.642544875
1970-01-13,2.7753,2.81922,2.76842,2.76842,38772.769923251
1970-01-14,2.76842,2.79014,2.75438,2.79014,37825.131343009
1970-01-15,2.79014,2.7973,2.79014,2.79014,19855.623828962
1970-01-16,2.79014,2.80497,2.73246,2.73246,24590.763114979
1970-01-19,2.73246,2.73984,2.6965,2.73984,129552.67799778
1970-01-20,2.73984,2.75438,2.71076,2.75438,48228.798291071
1970-01-21,2.74662,2.74662,2.71076,2.71792,67142.89077017
1970-01-22,2.71792,2.73246,2.71792,2.71792,32149.478578858
1970-01-23,2.73984,2.78336,2.73984,2.73984,55795.656728786
1970-01-26,2.73246,2.73246,2.70388,2.70388,87953.278281481
1970-01-27,2.70388,2.70388,2.6749,2.68934,48228.798291071
1970-01-28,2.68934,2.71076,2.65328,2.65328,36876.474891038
1970-01-29,2.63118,2.63118,2.53794,2.53794,96460.65019733
1970-01-30,2.53794,2.58127,2.53794,2.58127,40661.939853356
1970-02-02,2.55946,2.55946,2.55946,2.55946,9458.0641112792
1970-02-03,2.55946,2.61703,2.55228,2.61035,31204.893613805
1970-02-04,2.61035,2.6749,2.61035,2.61035,57687.880274079
1970-02-05,2.61035,2.63118,2.58127,2.61703,36876.474891038
1970-02-06,2.61703,2.61703,2.60278,2.61703,23639.05304782
1970-02-09,2.6247,2.71076,2.6247,2.68934,105913.62494996
1970-02-10,2.68934,2.71076,2.65328,2.6749,32149.478578858
1970-02-11,2.68216,2.75438,2.68216,2.75438,41611.614177055
1970-02-12,2.75438,2.76842,2.73984,2.73984,11348.251913113
1970-02-13,2.73984,2.7973,2.73984,2.79014,81324.89757844
1970-02-16,2.79014,2.81165,2.76842,2.81165,32149.478578858
1970-02-17,2.81165,2.8481,2.81165,2.84054,59580.103819373
1970-02-18,2.8481,2.87688,2.8481,2.87688,31204.893613805
