Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-12-17,2.11889,2.15908,2.08513,2.11226,1716186.7793678
1984-12-18,2.13265,2.18592,2.12533,2.17957,2049197.8552503
1984-12-19,2.16563,2.22661,2.16563,2.17957,1433128.4410376
1984-12-20,2.14562,2.15908,2.08513,2.11889,1050165.6525265
1984-12-21,2.13265,2.139,2.05186,2.05186,1355827.66097
1984-12-24,2.0584,2.11889,2.0584,2.0986,297333.47741318
1984-12-26,2.10532,2.10532,2.07187,2.07839,168880.79891377
1984-12-27,2.07839,2.10532,2.07839,2.0986,1194074.1823594
1984-12-28,2.11226,2.11226,2.07839,2.0986,668395.87535181
1984-12-31,2.09206,2.09206,2.06484,2.08513,291381.74474121
1985-01-02,2.07839,2.07839,2.01791,2.01791,398425.81431135
1985-01-03,2.01099,2.07187,2.00434,2.04454,679103.25458793
1985-01-04,2.03147,2.0584,2.03147,2.03829,277113.78012495
1985-01-07,2.05186,2.07187,2.03829,2.04454,498322.0651017
1985-01-08,2.04454,2.08513,2.04454,2.05186,686241.84905329
1985-01-09,2.04454,2.0986,2.04454,2.08513,693374.29397567
1985-01-10,2.0986,2.15284,2.09206,2.15284,642233.66970606
1985-01-11,2.19958,2.19958,2.14562,2.18592,1270197.3249482
1985-01-14,2.18592,2.23333,2.13265,2.22661,1522326.5369064
1985-01-15,2.22661,2.22661,2.17295,2.20631,1454535.0001192
1985-01-16,2.18592,2.21968,2.15908,2.16563,1376042.233639
1985-01-17,2.16563,2.17957,2.12533,2.13265,1233322.6154472
1985-01-18,2.139,2.16563,2.11889,2.14562,742134.02019172
1985-01-21,2.16563,2.20631,2.15908,2.20631,1842256.509966
1985-01-22,2.23333,2.23333,2.16563,2.18592,1500917.9279771
1985-01-23,2.17295,2.18592,2.11889,2.14562,1580605.7556413
1985-01-24,2.16563,2.17957,2.14562,2.16563,2665262.1448438
1985-01-25,2.13265,2.19958,2.10532,2.17957,1449780.3784789
1985-01-28,2.19958,2.25344,2.18592,2.23988,2224026.2871408
1985-01-29,2.23333,2.28709,2.21968,2.28709,720724.38633863
1985-01-30,2.29393,2.31383,2.28007,2.29393,1177424.2947658
1985-01-31,2.29393,2.30701,2.29393,2.29393,707646.35828723
1985-02-01,2.29393,2.29393,2.26006,2.29393,569685.46143102
1985-02-04,2.29393,2.36798,2.29393,2.32719,878906.0054069
1985-02-05,2.33422,2.33422,2.29393,2.29393,802792.08713258
1985-02-06,2.32066,2.32066,2.23333,2.2669,958589.73337581
1985-02-07,2.28007,2.28709,2.25344,2.28007,236673.36062467
1985-02-08,2.29393,2.29393,2.27373,2.28709,888426.52284964
1985-02-11,2.27373,2.28007,2.2467,2.2669,619633.07436428
1985-02-12,2.25344,2.2669,2.2467,2.26006,587529.38528484
1985-02-13,2.23988,2.31383,2.23988,2.30701,687425.63607518
1985-02-14,2.30046,2.34096,2.30046,2.33422,1191695.3341536
1985-02-15,2.34096,2.34096,2.31383,2.34096,644609.44314048
1985-02-19,2.32719,2.34096,2.31383,2.34096,212885.9034895
1985-02-20,2.31383,2.33422,2.29393,2.31383,941941.89562983
1985-02-21,2.30046,2.35402,2.30046,2.34759,604175.17318316
1985-02-22,2.34759,2.39481,2.34759,2.36798,806356.77220802
1985-02-25,2.37432,2.4752,2.37432,2.43501,2863880.0837171
1985-02-26,2.42135,2.49541,2.42135,2.49541,1486650.9882847
1985-02-27,2.4752,2.5156,2.4752,2.50915,1014491.1288287
1985-02-28,2.50243,2.52244,2.48223,2.50915,507836.43300147
1985-03-01,2.50243,2.57648,2.50243,2.52916,1310632.6198294
1985-03-04,2.52916,2.53589,2.49541,2.5156,491192.6949508
1985-03-05,2.5156,2.52916,2.50243,2.50243,735003.62511699
1985-03-06,2.5156,2.52244,2.46194,2.4752,913394.6922352
1985-03-07,2.46194,2.48223,2.42838,2.46906,853931.68647836
1985-03-08,2.45511,2.50915,2.44175,2.4752,795655.54251488
