Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-04-28,3.37328,3.48992,3.14674,3.14674,7792652.1139683
2008-04-29,3.11784,3.18749,3.11784,3.16425,7972049.3154906
2008-04-30,3.19907,3.39683,3.1409,3.2518,7972906.4952044
2008-05-01,3.25734,3.25734,3.14208,3.15831,17627176.053204
2008-05-02,3.16425,3.19907,3.00112,3.00112,21839681.641811
2008-05-05,3.03603,3.076,2.91415,3.07155,14304162.214662
2008-05-06,2.97935,2.98984,2.9105,2.91415,27009548.812473
2008-05-07,2.93186,3.00112,2.88516,2.96649,334761183.35276
2008-05-08,2.97569,3.00536,2.87804,2.95501,107180518.21009
2008-05-09,2.92009,2.95501,2.90149,2.93631,83789986.192698
2008-05-12,2.92118,3.12358,2.92009,2.9745,68096252.774262
2008-05-13,2.95253,3.01496,2.93186,3.01328,38843508.116189
2008-05-14,2.96649,3.06037,2.86192,3.04454,36924683.023687
2008-05-15,2.99538,3.07273,2.97569,3.02842,34120416.557431
2008-05-16,3.00864,3.11182,2.98647,3.08273,98151798.797241
2008-05-19,3.04197,3.07689,3.0209,3.03297,48525125.548195
2008-05-20,2.98984,3.01744,2.90822,2.97213,71674555.554579
2008-05-21,2.95125,2.99894,2.93879,2.96738,14864898.252198
2008-05-22,2.92444,3.0394,2.92227,2.99182,68596556.631148
2008-05-23,2.96837,2.99182,2.93879,2.95749,20811932.26236
2008-05-27,2.94997,2.96945,2.92227,2.95253,16326062.156927
2008-05-28,2.93384,2.96283,2.91415,2.93305,45957040.396201
2008-05-29,2.9094,2.92444,2.8907,2.90268,58890422.646337
2008-05-30,2.88714,2.96283,2.8816,2.92919,46903010.989818
2008-06-02,2.90456,2.91663,2.80484,2.80593,23145187.573295
2008-06-03,2.76882,2.82097,2.74429,2.81483,39854775.991827
2008-06-04,2.78614,2.81404,2.77822,2.7801,24681477.012825
2008-06-05,2.88516,3.06887,2.8734,2.97351,92859755.214255
2008-06-06,2.92227,2.95125,2.9003,2.90594,34735980.761072
2008-06-09,2.88516,2.94314,2.8724,2.90456,17349894.588983
2008-06-10,2.89456,2.92009,2.8907,2.9003,27830065.89868
2008-06-11,2.90594,2.90594,2.7987,2.83046,20220417.610312
2008-06-12,2.8816,2.8907,2.79198,2.81315,16210756.323041
2008-06-13,2.80959,2.87686,2.79534,2.87023,23366167.088364
2008-06-16,2.87686,2.8816,2.73351,2.75834,24060597.890628
2008-06-17,2.75943,2.7616,2.70155,2.72925,33912464.556692
2008-06-18,2.68731,2.79198,2.68286,2.76744,16187610.449117
2008-06-19,2.77466,2.79306,2.72233,2.77922,19444407.154765
2008-06-20,2.71609,2.79198,2.71293,2.79198,20110587.416178
2008-06-23,2.79198,2.79198,2.74093,2.74568,13433951.954031
2008-06-24,2.70511,2.70511,2.58264,2.62231,41652847.913794
2008-06-25,2.59768,2.66158,2.59283,2.62231,19496330.209435
2008-06-26,2.57661,2.62439,2.56751,2.57898,25258838.091344
2008-06-27,2.56177,2.56869,2.5034,2.5127,28615746.918285
2008-06-30,2.51033,2.51033,2.39873,2.44068,26200952.387073
2008-07-01,2.4198,2.42416,2.33008,2.39695,30229293.722825
2008-07-02,2.43276,2.50003,2.41882,2.48233,13697693.415579
2008-07-03,2.46729,2.48233,2.38923,2.43612,13155369.557864
2008-07-07,2.44879,2.50904,2.43612,2.47975,12822642.31338
2008-07-08,2.46047,2.54871,2.45789,2.50133,26786388.947589
2008-07-09,2.51131,2.53348,2.50241,2.51883,9932096.8677921
2008-07-10,2.55603,2.56177,2.49667,2.54188,10644999.488559
2008-07-11,2.49183,2.55603,2.46977,2.51745,11268430.94422
2008-07-14,2.54762,2.57562,2.48945,2.53456,11378952.542746
2008-07-15,2.5127,2.52774,2.38003,2.44266,12780827.510053
2008-07-16,2.42664,2.45245,2.41397,2.44642,9073852.7551001
2008-07-17,2.42772,2.43276,2.25341,2.37341,29951166.197967
2008-07-18,2.37747,2.38231,2.31742,2.35026,14631093.387826
2008-07-21,2.39695,2.429,2.35164,2.39161,14936711.313034
2008-07-22,2.35758,2.42416,2.34432,2.41516,13601134.344631
2008-07-23,2.40794,2.40794,2.33562,2.35164,15106380.333465
2008-07-24,2.33789,2.39755,2.33789,2.37865,7842158.2857423
2008-07-25,2.37865,2.41298,2.35164,2.36005,7416167.2602496
2008-07-28,2.3369,2.36114,2.33443,2.34759,11046753.959808
2008-07-29,2.37341,2.39418,2.3465,2.35531,23954681.611414
