Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-07-06,51.9603,54.3661,51.9603,53.3964,5205602.8391938
2015-07-07,53.9599,54.6745,53.3964,54.6183,7918058.6222913
2015-07-08,54.374,55.2544,54.1867,55.1837,5844669.1977115
2015-07-09,55.9634,56.4036,54.5223,54.7424,5830458.0755237
2015-07-10,54.9238,56.938,54.8898,56.5781,6808672.2824197
2015-07-13,58.1888,58.3285,57.0184,57.6905,12405478.513714
2015-07-14,58.1462,58.1811,56.8263,57.0843,25614835.692205
2015-07-15,56.8263,57.2075,55.9139,56.138,8650039.1765401
2015-07-16,56.3309,57.6982,56.3153,57.6341,7698343.5980586
2015-07-17,58.1288,58.3198,56.5433,58.2781,8336178.690348
2015-07-20,58.5089,59.4244,57.9096,58.6281,14052813.730907
2015-07-21,58.5224,59.0442,58.1064,58.7106,8366790.1962001
2015-07-22,59.1557,59.2051,57.5091,57.5537,7106959.4163672
2015-07-23,57.797,57.9057,56.4841,56.5577,4037447.7703848
2015-07-24,56.6915,57.0649,55.9749,56.3133,4227946.517582
2015-07-27,56.4772,57.4731,56.2242,57.031,7834864.6237698
2015-07-28,57.8126,57.9649,57.1173,57.7243,2572452.3570072
2015-07-29,57.6759,57.7079,56.7459,57.4179,3091584.7227135
2015-07-30,57.641,58.7309,57.1929,58.3789,4405560.2802544
2015-07-31,58.9181,58.9181,58.1171,58.5709,3643823.0942771
2015-08-03,58.9588,59.7201,58.8948,59.2314,3638803.1579291
2015-08-04,59.3816,59.6949,58.7154,58.8201,3296601.89305
2015-08-05,58.9656,59.6949,58.8473,59.3137,5867971.4782483
2015-08-06,59.7337,59.8364,58.598,58.7813,5032071.6418461
2015-08-07,58.3256,58.504,56.9621,57.8243,4442464.2371325
2015-08-10,58.5389,58.8134,57.9057,58.0841,4412752.9786986
2015-08-11,57.2123,59.3137,56.8032,57.4644,5276890.4726633
2015-08-12,57.3607,57.7166,56.0807,56.5199,5005151.8722567
2015-08-13,56.7537,56.8032,55.8683,56.0059,3958478.64434
2015-08-14,56.0631,56.5577,55.3631,56.3221,3491582.2843245
2015-08-17,55.9099,56.3133,55.654,55.8683,3066889.2757826
2015-08-18,55.8062,55.9749,55.3185,55.4136,2726726.7155377
2015-08-19,55.2758,55.4901,54.4797,55.1138,4106371.8676775
2015-08-20,54.5543,55.1002,54.374,54.723,2994433.2799708
2015-08-21,54.0277,54.723,53.2559,53.2626,7550199.7903884
2015-08-24,50.4048,53.2422,45.2661,52.2309,13357639.168468
2015-08-25,52.9843,53.3576,51.5908,51.744,6001758.762945
2015-08-26,52.8563,54.6203,51.2426,54.4708,7267701.5318358
2015-08-27,53.9269,55.4581,53.8891,55.4096,8056568.854497
2015-08-28,54.8326,55.4136,54.4079,55.0469,2917364.6762532
2015-08-31,54.692,54.8559,53.4857,53.5506,3647759.2276049
2015-09-01,52.4984,53.4613,51.3241,51.679,6338393.5495157
2015-09-02,52.2115,53.1162,51.8158,53.1162,4052101.2821973
2015-09-03,53.477,54.4554,52.9095,53.1821,3521298.6988145
2015-09-04,52.4306,52.8339,51.6868,52.0088,4066482.5542409
2015-09-08,52.9533,54.7793,52.1881,54.5872,6038798.8397075
2015-09-09,54.8714,54.9053,53.0503,53.1908,3984254.8006572
2015-09-10,53.1598,53.8386,52.9018,53.1821,4911346.7100087
2015-09-11,53.25,54.4864,52.77,54.3594,2912748.974714
2015-09-14,54.1703,55.0595,53.477,54.9451,3972043.1970763
2015-09-15,55.2312,55.6578,54.3546,55.5638,4604200.4402426
2015-09-16,55.4223,56.5354,54.7618,56.2842,3124552.5462636
