Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,1.31415,1.35029,1.29654,1.29654,403858.91175619
1990-03-27,1.35029,1.35029,1.29654,1.35029,41319.412050345
1990-03-28,1.31415,1.35029,1.31415,1.33277,61975.076859609
1990-03-29,1.31415,1.35029,1.29654,1.29654,124622.00586391
1990-03-30,1.29654,1.35029,1.29654,1.29654,23320.846700526
1990-04-02,1.29654,1.33277,1.29654,1.33277,231255.54941776
1990-04-03,1.35029,1.48262,1.31415,1.46432,2387159.3707494
1990-04-04,1.46432,1.53637,1.46432,1.50034,1436161.2475264
1990-04-05,1.48262,1.51895,1.48262,1.50034,5416756.896202
1990-04-06,1.48262,1.51895,1.48262,1.48262,1606767.2389023
1990-04-09,1.48262,1.51895,1.48262,1.48262,356541.32499454
1990-04-10,1.48262,1.51895,1.48262,1.50034,1111605.136139
1990-04-11,1.48262,1.59644,1.48262,1.59644,4746327.2595128
1990-04-12,1.61446,1.61446,1.51895,1.53637,676430.84231237
1990-04-16,1.51895,1.57249,1.50034,1.50034,247246.64076533
1990-04-17,1.50034,1.53637,1.50034,1.50034,137950.94623215
1990-04-18,1.53637,1.53637,1.46432,1.46432,520485.37194631
1990-04-19,1.46432,1.46432,1.40443,1.42848,441173.47884181
1990-04-20,1.38681,1.38681,1.35029,1.35029,1328864.9445637
1990-04-23,1.35029,1.35029,1.27238,1.31415,1132934.6737008
1990-04-24,1.29654,1.35029,1.29654,1.35029,648435.31911039
1990-04-25,1.31415,1.42848,1.31415,1.38681,302558.76289678
1990-04-26,1.38681,1.46432,1.38681,1.4467,97967.156039362
1990-04-27,1.38681,1.40443,1.35029,1.36859,342542.55308957
1990-04-30,1.35029,1.38681,1.35029,1.38681,93963.321378609
1990-05-01,1.36859,1.36859,1.35029,1.36859,71306.244390956
1990-05-02,1.35029,1.36859,1.35029,1.35029,137287.17651927
1990-05-03,1.35029,1.38681,1.35029,1.38681,75972.838460605
1990-05-04,1.38681,1.42848,1.35029,1.38681,540474.23613078
1990-05-07,1.40443,1.42848,1.40443,1.42848,67976.282482844
1990-05-08,1.40443,1.46432,1.38681,1.46432,219259.19999516
1990-05-09,1.42848,1.46432,1.42848,1.46432,166611.24945099
1990-05-10,1.42848,1.46432,1.42848,1.46432,410522.87678833
1990-05-11,1.46432,1.46432,1.42848,1.42848,473828.52398561
1990-05-14,1.42848,1.48262,1.42848,1.4467,537810.06454349
1990-05-15,1.46432,1.46432,1.42848,1.46432,795724.50500171
1990-05-16,1.42848,1.50034,1.42848,1.48262,2712376.2209379
1990-05-17,1.46432,1.53637,1.46432,1.51895,1082289.145639
1990-05-18,1.53637,1.61446,1.50034,1.59644,1044963.4652096
1990-05-21,1.57249,1.78273,1.57249,1.68652,3013599.3619771
1990-05-22,1.76482,1.76482,1.68652,1.70443,1080952.5134774
1990-05-23,1.68652,1.68652,1.65039,1.65039,933006.6300011
1990-05-24,1.65039,1.66831,1.65039,1.66831,907008.47776158
1990-05-25,1.65039,1.68652,1.61446,1.63258,241249.47635801
1990-05-29,1.63258,1.70443,1.63258,1.70443,3037594.0814303
1990-05-30,1.70443,1.76482,1.68652,1.76482,983652.1580629
1990-05-31,1.74651,1.80055,1.74651,1.78273,533148.52199372
1990-06-01,1.80055,1.80055,1.76482,1.78273,1788033.9578434
1990-06-04,1.78273,1.80055,1.78273,1.80055,560468.15183513
1990-06-05,1.78273,1.80055,1.72859,1.72859,1354851.9834594
1990-06-06,1.74651,1.76482,1.70443,1.72859,544478.07079153
1990-06-07,1.72859,1.78273,1.72859,1.78273,251911.21422703
1990-06-08,1.74651,1.78273,1.72859,1.74651,1060289.7765403
1990-06-11,1.72859,1.76482,1.70443,1.70443,169275.42103827
1990-06-12,1.70443,1.76482,1.70443,1.76482,270569.50807381
1990-06-13,1.76482,1.76482,1.70443,1.72859,424516.59717341
1990-06-14,1.70443,1.72859,1.66831,1.66831,289896.62315336
1990-06-15,1.66831,1.68652,1.65039,1.68652,473828.52398561
1990-06-18,1.66831,1.70443,1.65039,1.70443,549140.62364527
1990-06-19,1.65039,1.68652,1.65039,1.66831,107293.27205082
1990-06-20,1.66831,1.72859,1.66831,1.72859,519817.56101754
1990-06-21,1.70443,1.76482,1.70443,1.76482,850364.77498847
1990-06-22,1.72859,1.78273,1.72859,1.74651,919675.6690249
1990-06-25,1.70443,1.72859,1.66831,1.66831,784390.91498799
1990-06-26,1.68652,1.72859,1.68652,1.70443,171940.60292953
1990-06-27,1.68652,1.72859,1.68652,1.68652,192599.29865072
1990-06-28,1.72859,1.78273,1.68652,1.72859,197929.66243324
1990-06-29,1.78273,1.80055,1.74651,1.80055,177269.95640807
1990-07-02,1.74651,1.87289,1.74651,1.81876,469166.98143584
1990-07-03,1.83668,1.8547,1.81876,1.83668,323216.448314
1990-07-05,1.81876,1.83668,1.76482,1.83668,182605.37171048
1990-07-06,1.76482,1.80055,1.76482,1.76482,97967.156039362
1990-07-09,1.76482,1.83668,1.68652,1.72859,413850.81808848
1990-07-10,1.70443,1.74651,1.70443,1.72859,101958.86705239
1990-07-11,1.72859,1.76482,1.70443,1.76482,391196.77201275
1990-07-12,1.76482,1.80055,1.72859,1.80055,1308869.0082513
1990-07-13,1.76482,1.80055,1.76482,1.80055,151948.70783314
1990-07-16,1.80055,1.80055,1.76482,1.80055,49320.009244015
1990-07-17,1.76482,1.80055,1.76482,1.76482,156612.27099086
1990-07-18,1.76482,1.80055,1.76482,1.80055,79971.621601475
1990-07-19,1.76482,1.80055,1.72859,1.72859,1550115.4536973
1990-07-20,1.76482,1.76482,1.66831,1.68652,1262216.2015065
1990-07-23,1.65039,1.68652,1.65039,1.66831,429847.9712599
1990-07-24,1.68652,1.68652,1.65039,1.65039,291229.21409898
1990-07-25,1.65039,1.68652,1.61446,1.63258,1520129.6316608
1990-07-26,1.65039,1.65039,1.61446,1.63258,125289.81679269
1990-07-27,1.59644,1.65039,1.59644,1.65039,264574.36427444
1990-07-30,1.66831,1.66831,1.61446,1.66831,87972.218795143
1990-07-31,1.65039,1.68652,1.65039,1.68652,551808.83644846
1990-08-01,1.70443,1.72859,1.61446,1.61446,332548.62614933
1990-08-02,1.57249,1.61446,1.53637,1.55448,160607.01291581
1990-08-03,1.55448,1.61446,1.4467,1.51895,1072290.1671789
1990-08-06,1.50034,1.50034,1.40443,1.40443,721078.19566287
1990-08-07,1.40443,1.48262,1.40443,1.40443,189934.11675946
1990-08-08,1.40443,1.46432,1.40443,1.42848,215259.40655031
1990-08-09,1.40443,1.4467,1.40443,1.40443,182605.37171048
1990-08-10,1.46432,1.46432,1.35029,1.35029,340546.19243107
1990-08-13,1.33277,1.35029,1.33277,1.35029,278568.08465953
1990-08-14,1.35029,1.38681,1.31415,1.36859,497825.26404673
1990-08-15,1.33277,1.36859,1.31415,1.31415,641108.59466935
1990-08-16,1.31415,1.33277,1.27238,1.27238,93963.321378609
1990-08-17,1.23656,1.27238,1.21834,1.23656,1601437.8854238
1990-08-20,1.20014,1.23656,1.16411,1.20014,515817.76757269
1990-08-21,1.16411,1.20014,1.16411,1.18222,729074.75164063
1990-08-22,1.18222,1.20014,1.0864,1.0864,799051.43599789
1990-08-23,1.10422,1.14639,1.06849,1.0864,1367515.1335068
1990-08-24,1.12838,1.18222,1.12838,1.16411,781724.72279277
1990-08-27,1.20014,1.23656,1.18222,1.21834,251247.44451416
1990-08-28,1.21834,1.23656,1.16411,1.23656,450507.67728508
1990-08-29,1.23656,1.23656,1.16411,1.16411,1022971.1682388
1990-08-30,1.18222,1.18222,1.12838,1.12838,99966.547609797
