Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-12-17,2.35012,2.39023,2.35012,2.37008,730157.17342927
1984-12-18,2.43006,2.46366,2.42324,2.43659,1136468.0081719
1984-12-19,2.43659,2.43659,2.3766,2.39676,495933.02970401
1984-12-20,2.38312,2.40319,2.35654,2.40319,573613.06102524
1984-12-21,2.41009,2.41009,2.30989,2.35012,806637.75104583
1984-12-24,2.35654,2.40319,2.35654,2.38312,568831.67707919
1984-12-26,2.3766,2.38312,2.36307,2.38312,45411.851262592
1984-12-27,2.38312,2.39676,2.37008,2.37008,144597.84104567
1984-12-28,2.36307,2.40319,2.36307,2.39676,825761.23297098
1984-12-31,2.3766,2.43006,2.37008,2.41009,644118.96256832
1985-01-02,2.41009,2.41652,2.40319,2.41652,542543.30774175
1985-01-03,2.43006,2.46366,2.40319,2.43659,953624.23020544
1985-01-04,2.4434,2.4434,2.3766,2.39676,444548.55622701
1985-01-07,2.40319,2.40319,2.35012,2.39023,607073.50628178
1985-01-08,2.40319,2.43006,2.39676,2.40319,254540.91777784
1985-01-09,2.41652,2.42324,2.3766,2.3766,1475856.9254719
1985-01-10,2.38312,2.39676,2.3766,2.39676,1235653.9979549
1985-01-11,2.39676,2.42324,2.39676,2.41652,1203385.8178963
1985-01-14,2.41652,2.52403,2.41652,2.52403,1189050.908424
1985-01-15,2.53056,2.5437,2.50377,2.51712,990673.79421014
1985-01-16,2.52403,2.52403,2.45684,2.45684,1208168.2287719
1985-01-17,2.46366,2.47709,2.39023,2.40319,1602528.6844379
1985-01-18,2.37008,2.37008,2.2763,2.35654,4118048.0509763
1985-01-21,2.35654,2.3766,2.32976,2.3766,1118540.8991628
1985-01-22,2.39676,2.41652,2.3766,2.3766,1275086.0384963
1985-01-23,2.39023,2.40319,2.3766,2.39676,1248801.776877
1985-01-24,2.42324,2.45032,2.41009,2.41652,1418489.5604851
1985-01-25,2.43006,2.43659,2.41009,2.41652,1043257.7213919
1985-01-28,2.41652,2.42324,2.39023,2.39676,2024370.8015689
1985-01-29,2.40319,2.40319,2.36307,2.39023,518640.49572963
1985-01-30,2.3766,2.39023,2.36307,2.38312,1033693.9265702
1985-01-31,2.39023,2.39676,2.35654,2.36307,1028915.6234127
1985-02-01,2.35012,2.37008,2.3431,2.37008,388382.69880397
1985-02-04,2.37008,2.41652,2.35654,2.41652,578395.47190085
1985-02-05,2.43006,2.4434,2.39023,2.42324,1180682.4595889
1985-02-06,2.41009,2.42324,2.40319,2.41652,885510.04756495
1985-02-07,2.43006,2.4434,2.42324,2.4434,1742343.0876785
1985-02-08,2.45032,2.46366,2.4434,2.45684,725378.87027184
1985-02-11,2.46366,2.47009,2.45032,2.46366,1061180.7226828
1985-02-12,2.46366,2.49044,2.46366,2.47009,500717.4944387
1985-02-13,2.48342,2.58411,2.48342,2.51712,811421.18885096
1985-02-14,2.57729,2.57729,2.51712,2.53056,1970591.5284007
1985-02-15,2.5437,2.55733,2.51712,2.51712,1179491.2213205
1985-02-19,2.51712,2.53727,2.51049,2.52403,529395.52881963
1985-02-20,2.53056,2.57729,2.52403,2.55733,1173515.5183174
1985-02-21,2.57077,2.57077,2.51712,2.51712,952432.9919371
1985-02-22,2.51049,2.52403,2.50377,2.51712,961994.73289967
1985-02-25,2.53056,2.53056,2.50377,2.50377,252148.17194572
1985-02-26,2.51049,2.5437,2.50377,2.50377,1465095.7308046
1985-02-27,2.51712,2.52403,2.51049,2.51712,456500.98916262
1985-02-28,2.51712,2.51712,2.47709,2.50377,352531.5615744
1985-03-01,2.51712,2.53727,2.51049,2.51049,1309744.9105281
1985-03-04,2.51712,2.52403,2.51049,2.52403,1890527.9936133
1985-03-05,2.52403,2.53727,2.51049,2.53727,947652.63492057
1985-03-06,2.53727,2.53727,2.52403,2.53727,295171.38509437
1985-03-07,2.53727,2.53727,2.47709,2.49044,1959836.4953108
1985-03-08,2.51049,2.53056,2.50377,2.51712,234223.11679572
1985-03-11,2.51712,2.51712,2.49044,2.49044,598710.19209434
1985-03-12,2.50377,2.51712,2.49696,2.51049,1391006.8720906
1985-03-13,2.51049,2.53056,2.48342,2.49044,480400.72038612
1985-03-14,2.49044,2.49044,2.47009,2.49044,274853.58411226
1985-03-15,2.49044,2.49696,2.46366,2.46366,609461.11746618
1985-03-18,2.47009,2.48342,2.45684,2.46366,568831.67707919
1985-03-19,2.46366,2.48342,2.45684,2.48342,1073133.1556183
1985-03-20,2.47709,2.48342,2.46366,2.46366,298757.42305391
1985-03-21,2.47709,2.47709,2.46366,2.47009,363284.54080532
1985-03-22,2.47709,2.47709,2.46366,2.47009,1190242.1466924
1985-03-25,2.45684,2.47009,2.45684,2.45684,212717.15833387
1985-03-26,2.47009,2.49044,2.45684,2.49044,2613517.1988416
1985-03-27,2.47709,2.51049,2.47709,2.50377,1010987.4874741
1985-03-28,2.51049,2.51049,2.48342,2.48342,3141714.3008862
1985-03-29,2.48342,2.50377,2.48342,2.49044,754062.03930049
1985-04-01,2.49696,2.49696,2.47009,2.49044,14172981.168308
1985-04-02,2.49696,2.51049,2.49044,2.50377,908218.54052009
1985-04-03,2.51712,2.51712,2.49044,2.51712,1171119.6916967
1985-04-04,2.52403,2.56415,2.51712,2.55041,436184.21511004
1985-04-08,2.56415,2.56415,2.53727,2.55733,540148.50805054
1985-04-09,2.57077,2.57077,2.55733,2.56415,1147224.0681915
1985-04-10,2.56415,2.57077,2.55041,2.57077,302343.46101346
1985-04-11,2.57077,2.57077,2.5437,2.5437,486373.34260052
1985-04-12,2.55041,2.55733,2.53727,2.55733,687137.04106925
1985-04-15,2.57077,2.59746,2.55733,2.59746,1790146.6578437
1985-04-16,2.62433,2.69755,2.61741,2.69123,1690956.5603425
1985-04-17,2.69755,2.69755,2.67769,2.67769,1379060.6007323
1985-04-18,2.69755,2.71119,2.67107,2.69123,2155820.8636924
1985-04-19,2.69123,2.69755,2.65773,2.65773,345359.48565532
1985-04-22,2.68451,2.68451,2.61079,2.63066,702671.40424622
1985-04-23,2.63066,2.68451,2.62433,2.68451,577194.99126663
1985-04-24,2.71119,2.73116,2.70456,2.71781,2964854.441359
1985-04-25,2.73807,2.74469,2.71119,2.74469,2016000.2988747
1985-04-26,2.75812,2.75812,2.73807,2.75121,206740.42840129
1985-04-29,2.75121,2.75121,2.69755,2.69755,488764.03457355
1985-04-30,2.71781,2.72463,2.69755,2.72463,705063.12314881
1985-05-01,2.72463,2.75121,2.68451,2.68451,1554723.0604137
1985-05-02,2.68451,2.69755,2.67107,2.68451,259323.32865343
1985-05-03,2.67107,2.68451,2.65773,2.65773,384799.74163304
1985-05-06,2.65773,2.68451,2.65773,2.68451,381211.64981441
1985-05-07,2.67107,2.70456,2.67107,2.70456,314293.84008998
1985-05-08,2.69755,2.71119,2.69123,2.71119,290391.02807786
1985-05-09,2.69755,2.71119,2.69123,2.71119,302343.46101346
1985-05-10,2.71781,2.74469,2.71781,2.73116,2707923.8585377
1985-05-13,2.74469,2.75812,2.71119,2.73116,562855.97407617
1985-05-14,2.71781,2.73807,2.70456,2.72463,1210558.9207449
1985-05-15,2.69755,2.74469,2.69755,2.73116,2182115.3946072
1985-05-16,2.73116,2.73807,2.71781,2.73116,585564.46703131
1985-05-17,2.73807,2.75812,2.73116,2.75121,3951940.1437506
1985-05-20,2.75812,2.79173,2.73116,2.79173,2670877.3753216
1985-05-21,2.80478,2.81169,2.80478,2.81169,705063.12314881
1985-05-22,2.80478,2.82502,2.79834,2.82502,1338428.0795567
1985-05-23,2.8183,2.83836,2.8183,2.83183,1852290.2721289
1985-05-24,2.83183,2.83183,2.81169,2.83183,521031.18770266
1985-05-28,2.83836,2.8854,2.83836,2.8854,2392436.7263203
