Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.0606969,0.0606969,0.0606969,0.0606969,193772.11938102
1977-01-04,0.0606969,0.0606969,0.0606969,0.0606969,272863.42252429
1977-01-05,0.0606969,0.0606969,0.0606969,0.0606969,166097.92837628
1977-01-06,0.0606969,0.0606969,0.0606969,0.0606969,332181.64612044
1977-01-07,0.0606969,0.0606969,0.0606969,0.0606969,209593.62815416
1977-01-10,0.0606969,0.0606969,0.0606969,0.0606969,367771.15921493
1977-01-11,0.0606969,0.0606969,0.0606969,0.0606969,197724.70520013
1977-01-12,0.0606969,0.0606969,0.0606969,0.0606969,110724.17023803
1977-01-13,0.0606969,0.0606969,0.0606969,0.0606969,217495.75465693
1977-01-14,0.0606969,0.0606969,0.0606969,0.0606969,1182407.8259235
1977-01-17,0.0606969,0.0606969,0.0606969,0.0606969,201678.30606441
1977-01-18,0.0606969,0.0606969,0.0606969,0.0606969,221449.35552121
1977-01-19,0.0606969,0.0606969,0.0606969,0.0606969,170039.34869874
1977-01-20,0.0606969,0.0606969,0.0606969,0.0606969,355908.32653182
1977-01-21,0.0606969,0.0606969,0.0606969,0.0606969,692047.63369713
1977-01-24,0.0606969,0.0606969,0.0606969,0.0606969,858138.45675736
1977-01-25,0.0606969,0.0606969,0.0606969,0.0606969,909545.41844437
1977-01-26,0.0606969,0.0606969,0.0606969,0.0606969,363819.58844096
1977-01-27,0.0606969,0.0606969,0.0606969,0.0606969,632731.44019127
1977-01-28,0.0606969,0.0606969,0.0606969,0.0606969,154225.9602868
1977-01-31,0.0606969,0.0606969,0.0606969,0.0606969,482450.96040753
1977-02-01,0.0606969,0.0606969,0.0606969,0.0606969,217495.75465693
1977-02-02,0.0606969,0.0606969,0.0606969,0.0606969,162131.13192505
1977-02-03,0.0606969,0.0606969,0.0606969,0.0606969,822546.91357258
1977-02-04,0.0606969,0.0606969,0.0606969,0.0606969,1933773.6832167
1977-02-07,0.0606969,0.0606969,0.0606969,0.0606969,166097.92837628
1977-02-08,0.0606969,0.0606969,0.0606969,0.0606969,154225.9602868
1977-02-09,0.0606969,0.0606969,0.0606969,0.0606969,201678.30606441
