Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-10-12,21.7774,21.7774,21.7774,21.7774,
2006-10-13,24.6824,26.6993,24.5341,26.3957,34815161.185791
2006-10-16,27.2939,27.4254,26.2503,26.2898,6311200.973185
2006-10-17,26.2344,26.2503,25.641,26.089,2964906.8370158
2006-10-18,26.4817,26.4817,25.5381,25.6538,2524775.5900717
2006-10-19,25.6538,25.8258,24.9861,25.0702,2520917.7604682
2006-10-20,25.262,25.9852,25.0445,25.9149,2452033.8674673
2006-10-23,26.279,26.279,25.6251,25.8258,1962094.5626344
2006-10-24,25.8418,26.2503,25.724,25.9852,1497438.3973595
2006-10-25,26.1038,26.265,25.5657,26.2344,2066309.5428949
2006-10-26,26.4659,28.9368,26.2344,28.0356,8044003.3709752
2006-10-27,28.457,29.1792,28.1376,29.1376,6617166.4904365
2006-10-30,29.4283,30.6321,29.2128,29.5164,3298420.0478902
2006-10-31,30.2553,30.4611,28.7152,29.0368,2248770.9318686
2006-11-01,29.3255,29.6588,28.6737,28.6737,1453420.1167607
2006-11-02,28.6737,29.6154,28.3126,28.3266,1397559.4315563
2006-11-03,28.5144,28.9893,28.457,28.8171,1339082.3776377
2006-11-06,28.8894,29.4283,28.7014,29.0218,1432902.6503554
2006-11-07,29.0368,29.2533,28.6885,28.9754,1203113.0923863
2006-11-08,28.3266,28.4857,27.2939,27.8438,2639385.2778749
2006-11-09,27.9922,29.3255,27.7321,29.3255,1691190.2058854
2006-11-10,29.0368,29.196,28.3266,29.0218,1302232.8260007
2006-11-13,28.9754,28.9754,28.6302,28.8616,566117.2860386
2006-11-14,28.9199,29.1208,28.6025,28.9536,884477.19294911
2006-11-15,28.9536,29.2128,28.8171,29.0665,1007154.3546086
2006-11-16,28.9754,29.1545,28.8171,29.1545,636100.09433806
2006-11-17,29.0368,29.0368,28.5144,28.7014,826481.35676921
2006-11-20,28.8171,28.8765,28.0625,28.3126,726264.72977962
2006-11-21,28.1633,28.2375,27.5837,27.9625,2709917.0383428
2006-11-22,27.4956,28.28,27.2939,28.0625,2499561.195905
2006-11-24,27.6143,27.8744,27.556,27.8299,240733.21768024
2006-11-27,27.5837,27.7321,26.7854,27.4412,1405759.3413869
2006-11-28,27.0029,27.4956,26.2503,27.4412,1331779.1907782
2006-11-29,27.8012,27.8596,27.4412,27.644,780057.99843811
2006-11-30,27.5837,27.6865,27.2355,27.5401,419549.07899406
2006-12-01,27.4818,27.5104,27.1622,27.3246,631968.29413121
2006-12-04,27.0336,27.2939,26.9585,27.2355,522380.05277469
2006-12-05,27.2799,27.6865,27.1198,27.556,629418.64888489
2006-12-06,27.556,27.7458,27.1929,27.7321,988973.22054444
2006-12-07,27.8744,27.9486,27.4412,27.8903,620812.33247652
2006-12-08,27.6737,28.2375,27.6588,28.0911,928076.93543049
2006-12-11,28.0911,28.3126,27.4541,27.5253,851071.98760645
2006-12-12,27.5837,28.7775,27.2216,28.6302,1619559.530119
2006-12-13,27.7321,27.7321,26.3047,26.4817,3897603.8671234
2006-12-14,26.1612,26.6251,25.6251,26.0752,2782307.9572596
2006-12-15,26.4659,27.366,26.1325,27.1485,6512947.4663295
2006-12-18,27.0029,27.0782,26.3205,26.3957,1308016.5375209
2006-12-19,26.1762,26.3343,25.7854,25.9852,1556397.6799785
2006-12-20,25.9852,26.3799,25.8418,26.0613,728535.34961438
2006-12-21,25.9852,26.1762,25.7694,25.9149,798586.90330511
2006-12-22,25.9852,26.0455,25.8131,25.9149,914848.50242173
2006-12-26,25.9149,26.0455,25.6251,25.6538,548412.31490504
2006-12-27,25.6538,25.724,25.2779,25.4223,790393.05924427
2006-12-28,25.9852,25.9852,25.4223,25.7694,912376.70122139
2006-12-29,25.8131,25.9852,25.6538,25.8258,810987.35873389
2007-01-03,25.9436,26.4243,25.8258,26.3957,1215240.5881733
2007-01-04,26.4956,26.6094,25.9852,26.265,677153.22445806
2007-01-05,25.6963,26.2503,25.4382,25.4807,778060.33824512
2007-01-08,25.4807,25.6538,25.1602,25.641,859754.12613753
2007-01-09,25.4807,25.7389,25.2779,25.6696,1364774.9566582
2007-01-10,25.8001,26.089,25.5509,25.8131,745615.54645679
2007-01-11,25.8131,26.8596,25.7547,26.0455,1461755.4954506
2007-01-12,26.0148,26.6835,25.7112,25.7694,968170.66295778
2007-01-16,25.7694,25.8131,25.4223,25.6538,857890.92384214
2007-01-17,25.5657,26.2503,25.5509,26.1187,1006943.0636267
2007-01-18,25.8418,25.8418,25.2463,25.2779,1403070.1834348
2007-01-19,25.2324,25.6696,24.6557,25.6696,1624449.551553
2007-01-22,25.7854,26.3205,25.6696,26.2344,1623074.6437279
2007-01-23,26.1612,26.6993,25.8418,26.4956,907279.43265202
2007-01-24,26.2076,26.731,25.8872,26.541,1260900.6704692
2007-01-25,26.5954,26.6993,26.3343,26.6251,1340944.5689714
2007-01-26,26.4956,26.9732,26.3957,26.7695,1203044.346995
2007-01-29,26.7557,26.9585,26.5954,26.8744,856374.48138796
2007-01-30,26.9585,27.3523,26.639,27.1059,821656.03687997
2007-01-31,27.366,27.4679,26.8012,26.9318,1809253.3386376
2007-02-01,26.8596,26.9892,25.9436,26.3502,2854770.6544525
2007-02-02,26.365,26.8171,26.3047,26.7695,1306707.3422022
2007-02-05,26.7132,27.0633,26.541,26.9428,863949.61692748
2007-02-06,26.9892,27.0029,26.8012,26.8596,608754.59304238
2007-02-07,26.8596,26.9318,26.4362,26.5253,842669.88544857
2007-02-08,26.4956,27.1485,26.4956,27.1198,1002399.8020339
2007-02-09,27.2216,27.2939,26.6094,26.8299,529614.49424283
2007-02-12,26.8299,26.8596,26.0613,26.1187,1167946.7918735
2007-02-13,26.3502,26.5687,25.8585,26.1187,941483.29768722
2007-02-14,26.279,26.4659,26.0752,26.3502,707698.41933209
2007-02-15,26.5687,26.639,26.3502,26.3799,533262.043826
2007-02-16,26.3957,26.6094,26.3047,26.6094,318564.121161
2007-02-20,26.6094,27.0029,26.2076,26.8744,454398.94851475
2007-02-21,26.8171,27.1929,26.6094,26.6558,501373.28093754
2007-02-22,26.2898,27.092,26.1455,26.6558,607720.37928863
2007-02-23,26.7438,26.7695,26.4956,26.5123,264564.61632875
2007-02-26,26.9021,27.2939,26.8299,26.8447,961152.56727977
2007-02-27,26.4659,26.8012,26.0316,26.2076,808989.69854089
2007-02-28,26.0019,26.4243,25.9852,26.1762,944474.73316853
2007-03-01,25.9852,26.4243,25.724,26.1187,619110.88404291
2007-03-02,25.9852,26.2503,25.5064,25.6093,994270.65951776
2007-03-05,25.4807,26.0019,25.4382,25.6538,743758.40993122
2007-03-06,25.8001,26.089,25.6963,26.0148,431184.23646429
2007-03-07,26.0019,26.1187,25.7694,25.9001,280682.37769356
2007-03-08,26.0316,26.089,25.4223,25.7694,879447.65880935
2007-03-09,25.6963,25.9723,25.4056,25.8418,451779.54691553
2007-03-12,25.8418,26.0148,25.724,25.7694,985453.05212743
2007-03-13,25.6538,25.7854,25.4056,25.452,440275.81445801
2007-03-14,25.4056,25.6093,25.1909,25.6093,388273.96981874
2007-03-15,25.7694,25.9852,25.7112,25.9614,477605.57287212
2007-03-16,25.9614,26.3957,25.9436,26.3343,870534.01006359
2007-03-19,26.1455,26.5817,26.0455,26.4511,462114.60772169
2007-03-20,26.4362,26.4956,26.1038,26.1325,490287.07563574
2007-03-21,26.1455,26.265,25.9852,26.0613,837091.39914041
2007-03-22,26.089,26.1612,25.9327,26.1455,721166.45024863
2007-03-23,26.1325,26.1455,25.9149,25.9852,697534.21104244
2007-03-26,26.1038,26.1187,25.5806,25.6963,529885.43196132
2007-03-27,25.7112,25.7389,25.4926,25.5944,481672.67153426
2007-03-28,25.5509,25.7547,25.3779,25.5657,775511.70396043
2007-03-29,25.6251,25.6963,25.2206,25.3639,701397.09545409
2007-03-30,25.3304,25.6251,25.0276,25.1463,727296.92161011
2007-04-02,25.2779,25.5806,25.2047,25.3779,706078.858791
2007-04-03,25.4382,25.9149,25.4382,25.7854,921054.79590593
2007-04-04,25.8131,25.8131,25.5509,25.5944,537878.09465656
2007-04-05,25.4807,25.4807,24.4767,24.5638,1932889.9028898
2007-04-09,24.3896,24.7527,24.2482,24.724,1761934.2682968
2007-04-10,24.6557,24.724,24.5044,24.5044,824413.94022332
2007-04-11,24.5341,25.0276,24.0999,24.8268,1856091.1912395
2007-04-12,25.4807,26.279,25.4807,26.1325,3844081.5361833
2007-04-13,26.0148,26.9585,25.8418,26.6697,2112321.43984
2007-04-16,26.8596,27.7321,26.6697,27.1059,4033016.1125133
2007-04-17,27.1198,27.7458,26.5687,26.5817,2091451.1478238
2007-04-18,26.5817,27.2483,26.365,27.092,1114673.157496
2007-04-19,27.092,27.3076,26.6251,26.639,944199.75160349
2007-04-20,27.0782,27.0782,26.265,26.8596,1583466.1777859
